faixa_remuneracao_media_sm,sexo,Produção de lavouras temporárias,Horticultura e floricultura,Produção de lavouras permanentes,Produção de sementes e mudas certificadas,Pecuária,Atividades de apoio à agricultura e à pecuária,Caça e serviços relacionados,Produção florestal - florestas plantadas,Produção florestal - florestas nativas,Atividades de apoio à produção florestal,Pesca,Aqüicultura,Extração de carvão mineral,Extração de petróleo e gás natural,Extração de minério de ferro,Extração de minerais metálicos não-ferrosos,"Extração de pedra, areia e argila",Extração de outros minerais não-metálicos,Atividades de apoio à extração de petróleo e gás natural,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",Abate e fabricação de produtos de carne,Preservação do pescado e fabricação de produtos do pescado,"Fabricação de conservas de frutas, legumes e outros vegetais",Fabricação de óleos e gorduras vegetais e animais,Laticínios,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Fabricação e refino de açúcar,Torrefação e moagem de café,Fabricação de outros produtos alimentícios,Fabricação de bebidas alcoólicas,Fabricação de bebidas não-alcoólicas,Processamento industrial do fumo,Fabricação de produtos do fumo,Preparação e fiação de fibras têxteis,"Tecelagem, exceto malha",Fabricação de tecidos de malha,"Acabamentos em fios, tecidos e artefatos têxteis","Fabricação de artefatos têxteis, exceto vestuário",Confecção de artigos do vestuário e acessórios,Fabricação de artigos de malharia e tricotagem,Curtimento e outras preparações de couro,Fabricação de artigos para viagem e de artefatos diversos de couro,Fabricação de calçados,"Fabricação de partes para calçados, de qualquer material",Desdobramento de madeira,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Fabricação de celulose e outras pastas para a fabricação de papel,"Fabricação de papel, cartolina e papel-cartão","Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado","Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",Atividade de impressão,Serviços de pré-impressão e acabamentos gráficos,Reprodução de materiais gravados em qualquer suporte,Coquerias,Fabricação de produtos derivados do petróleo,Fabricação de biocombustíveis,Fabricação de produtos químicos inorgânicos,Fabricação de produtos químicos orgânicos,Fabricação de resinas e elastômeros,Fabricação de fibras artificiais e sintéticas,Fabricação de defensivos agrícolas e desinfestantes domissanitários,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal","Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Fabricação de produtos e preparados químicos diversos,Fabricação de produtos farmoquímicos,Fabricação de produtos farmacêuticos,Fabricação de produtos de borracha,Fabricação de produtos de material plástico,Fabricação de vidro e de produtos do vidro,Fabricação de cimento,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Fabricação de produtos cerâmicos,Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,Produção de ferro-gusa e de ferroligas,Siderurgia,"Produção de tubos de aço, exceto tubos sem costura",Metalurgia dos metais não-ferrosos,Fundição,Fabricação de estruturas metálicas e obras de caldeiraria pesada,"Fabricação de tanques, reservatórios metálicos e caldeiras","Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais","Fabricação de artigos de cutelaria, de serralheria e ferramentas","Fabricação de equipamento bélico pesado, armas de fogo e munições",Fabricação de produtos de metal não especificados anteriormente,Fabricação de componentes eletrônicos,Fabricação de equipamentos de informática e periféricos,Fabricação de equipamentos de comunicação,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo","Fabricação de aparelhos e instrumentos de medida, teste e controle",Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos","Fabricação de mídias virgens, magnéticas e ópticas","Fabricação de geradores, transformadores e motores elétricos","Fabricação de pilhas, baterias e acumuladores elétricos",Fabricação de equipamentos para distribuição e controle de energia elétrica,Fabricação de lâmpadas e outros equipamentos de iluminação,Fabricação de eletrodomésticos,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,"Fabricação de motores, bombas, compressores e equipamentos de transmissão",Fabricação de máquinas e equipamentos de uso geral,Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária,Fabricação de máquinas-ferramenta,Fabricação de máquinas e equipamentos de uso na extração mineral e na construção,Fabricação de máquinas e equipamentos de uso industrial específico,"Fabricação de automóveis, camionetas e utilitários",Fabricação de caminhões e ônibus,"Fabricação de cabines, carrocerias e reboques para veículos automotores",Fabricação de peças e acessórios para veículos automotores,Recondicionamento e recuperação de motores para veículos automotores,Construção de embarcações,Fabricação de veículos ferroviários,Fabricação de aeronaves,Fabricação de equipamentos de transporte não especificados anteriormente,Fabricação de móveis,"Fabricação de artigos de joalheria, bijuteria e semelhantes",Fabricação de instrumentos musicais,Fabricação de artefatos para pesca e esporte,Fabricação de brinquedos e jogos recreativos,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,Fabricação de produtos diversos,Manutenção e reparação de máquinas e equipamentos,Instalação de máquinas e equipamentos,"Geração, transmissão e distribuição de energia elétrica",Produção e distribuição de combustíveis gasosos por redes urbanas,"Produção e distribuição de vapor, água quente e ar condicionado","Captação, tratamento e distribuição de água",Esgoto e atividades relacionadas,Coleta de resíduos,Tratamento e disposição de resíduos,Recuperação de materiais,Descontaminação e outros serviços de gestão de resíduos,Incorporação de empreendimentos imobiliários,Construção de edifícios,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais","Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",Construção de outras obras de infra-estrutura,Demolição e preparação do terreno,"Instalações elétricas, hidráulicas e outras instalações em construções",Obras de acabamento,Outros serviços especializados para construção,Comércio de veículos automotores,Manutenção e reparação de veículos automotores,Comércio de peças e acessórios para veículos automotores,"Comércio, manutenção e reparação de motocicletas, peças e acessórios","Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas",Comércio atacadista de matérias-primas agrícolas e animais vivos,"Comércio atacadista especializado em produtos alimentícios, bebidas e fumo",Comércio atacadista de produtos de consumo não-alimentar,Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação,"Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação","Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção",Comércio atacadista especializado em outros produtos,Comércio atacadista não-especializado,Comércio varejista não-especializado,"Comércio varejista de produtos alimentícios, bebidas e fumo",Comércio varejista de combustíveis para veículos automotores,Comércio varejista de material de construção,Comércio varejista de equipamentos de informática e comunicação,"Comércio varejista de artigos culturais, recreativos e esportivos","Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,Transporte ferroviário e metroferroviário,Transporte rodoviário de passageiros,Transporte rodoviário de carga,Transporte dutoviário,"Trens turísticos, teleféricos e similares",Transporte marítimo de cabotagem e longo curso,Transporte por navegação interior,Navegação de apoio,Outros transportes aquaviários,Transporte aéreo de passageiros,Transporte aéreo de carga,Transporte espacial,"Armazenamento, carga e descarga",Atividades auxiliares dos transportes terrestres,Atividades auxiliares dos transportes aquaviários,Atividades auxiliares dos transportes aéreos,Atividades relacionadas à organização do transporte de carga,Atividades de Correio,Atividades de malote e de entrega,Hotéis e similares,Outros tipos de alojamento não especificados anteriormente,Restaurantes e outros serviços de alimentação e bebidas,"Serviços de catering, bufê e outros serviços de comida preparada","Edição de livros, jornais, revistas e outras atividades de edição","Edição integrada à impressão de livros, jornais, revistas e outras publicações","Atividades cinematográficas, produção de vídeos e de programas de televisão",Atividades de gravação de som e de edição de música,Atividades de rádio,Atividades de televisão,Telecomunicações por fio,Telecomunicações sem fio,Telecomunicações por satélite,Operadoras de televisão por assinatura,Outras atividades de telecomunicações,Atividades dos serviços de tecnologia da informação,"Tratamento de dados, hospedagem na internet e outras atividades relacionadas",Outras atividades de prestação de serviços de informação,Banco Central,Intermediação monetária - depósitos à vista,Intermediação não-monetária - outros instrumentos de captação,Arrendamento mercantil,Sociedades de capitalização,Atividades de sociedades de participação,Fundos de investimento,Atividades de serviços financeiros não especificadas anteriormente,Seguros de vida e não-vida,Seguros-saúde,Resseguros,Previdência complementar,Planos de saúde,Atividades auxiliares dos serviços financeiros,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde",Atividades de administração de fundos por contrato ou comissão,Atividades imobiliárias de imóveis próprios,Atividades imobiliárias por contrato ou comissão,Atividades jurídicas,"Atividades de contabilidade, consultoria e auditoria contábil e tributária",Atividades de consultoria em gestão empresarial,Serviços de arquitetura e engenharia e atividades técnicas relacionadas,Testes e análises técnicas,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,Publicidade,Pesquisas de mercado e de opinião pública,Design e decoração de interiores,Atividades fotográficas e similares,"Atividades profissionais, científicas e técnicas não especificadas anteriormente",Atividades veterinárias,Locação de meios de transporte sem condutor,Aluguel de objetos pessoais e domésticos,Aluguel de máquinas e equipamentos sem operador,Gestão de ativos intangíveis não-financeiros,Seleção e agenciamento de mão-de-obra,Locação de mão-de-obra temporária,Fornecimento e gestão de recursos humanos para terceiros,Agências de viagens e operadores turísticos,Serviços de reservas e outros serviços de turismo não especificados anteriormente,"Atividades de vigilância, segurança privada e transporte de valores",Atividades de monitoramento de sistemas de segurança,Atividades de investigação particular,Serviços combinados para apoio a edifícios,Atividades de limpeza,Atividades paisagísticas,Serviços de escritório e apoio administrativo,Atividades de teleatendimento,"Atividades de organização de eventos, exceto culturais e esportivos",Outras atividades de serviços prestados principalmente às empresas,Administração do estado e da política econômica e social,Serviços coletivos prestados pela administração pública,Seguridade social obrigatória,Educação infantil e ensino fundamental,Ensino médio,Educação superior,Educação profissional de nível técnico e tecnológico,Atividades de apoio à educação,Outras atividades de ensino,Atividades de atendimento hospitalar,Serviços móveis de atendimento a urgências e de remoção de pacientes,Atividades de atenção ambulatorial executadas por médicos e odontólogos,Atividades de serviços de complementação diagnóstica e terapêutica,"Atividades de profissionais da área de saúde, exceto médicos e odontólogos",Atividades de apoio à gestão de saúde,Atividades de atenção à saúde humana não especificadas anteriormente,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-est e apoio a pac prest em res col e part","Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química",Atividades de assistência social prestadas em residências coletivas e particulares,Serviços de assistência social sem alojamento,"Atividades artísticas, criativas e de espetáculos",Atividades ligadas ao patrimônio cultural e ambiental,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,Extrativa Mineral,Prod. Mineral Não Metálico,Indústria Metalúrgica,Indústria Mecânica,Elétrico e Comunic,Material de Transporte,Madeira e Mobiliário,Papel e Gráf,"Borracha, Fumo, Couros",Indústria Química,Indústria Têxtil,Indústria Calçados,Alimentos e Bebidas,Serviço Utilidade Pública,Construção Civil,Comércio Varejista,Comércio Atacadista,Instituição Financeira,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,CLT U/ PJ Ind,CLT U/ PF Ind,CLT R/ PJ Ind,CLT R/ PF Ind,Estatutário,Estatutário RGPS,Estatutário não Efetivo,Avulso,Temporário,Aprendiz,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,total_pessoas,capital_aracaju___se,capital_belem___pa,capital_belo_horizonte___mg,capital_boa_vista___rr,capital_brasilia___df,capital_campo_grande___ms,capital_cuiaba___mt,capital_curitiba___pr,capital_florianopolis___sc,capital_fortaleza___ce,capital_goiania___go,capital_joao_pessoa___pb,capital_macapa___ap,capital_maceio___al,capital_manaus___am,capital_natal___rn,capital_palmas___to,capital_porto_alegre___rs,capital_porto_velho___ro,capital_recife___pe,capital_rio_branco___ac,capital_rio_de_janeiro___rj,capital_salvador___ba,capital_sao_luiz___ma,capital_sao_paulo___sp,capital_terezina___pi,capital_vitoria___es
0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,38,0,2,0,0,0,1,2,6,0,2,1,1,0,15,4,0,0,1,0,3,79,4,1,12,9,5,7,20,0,27,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,47,1,0,2,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,1,4,6,1,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,9,16,0,2,5,1,3,43,1,0,133,32,28,2,0,20,75,0,12,6,2,0,2,1,0,0,34,0,0,0,11,0,0,2,6,22,0,0,5,0,0,0,0,0,0,2,18,0,0,0,2,1,4,12,0,14,9,57,174,27,8,58,49,159,109,208,192,0,384,12,0,0,94,2,32,0,0,439,3,0,0,0,0,0,0,0,0,1,12,9,65,53,335,407,47,157,3,0,6,197,365,99,175,105,55,5,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,F,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,52,1,0,0,0,1,0,0,0,7,60,0,0,2,0,0,0,1,0,0,0,1,10,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,5,5,1,17,0,0,0,0,32,0,0,0,42,139,1,4,2,1,10,20,5,12,14,12,5,20,1,15,11,0,2,1,12,6,115,71,17,18,58,19,42,98,0,25,17,0,0,0,0,0,0,3,0,0,1,4,0,0,0,3,9,49,7,311,57,2,10,27,0,2,3,3,1,0,0,3,12,10,3,0,3,0,0,0,0,0,2,2,0,0,0,11,18,9,0,8,37,65,54,6,15,0,0,0,22,0,0,3,9,3,7,18,9,0,7,36,11,17,1,9,1,0,54,167,1,48,3,12,71,431,164,1,683,107,77,15,4,88,115,1,188,89,36,0,15,6,0,5,48,3,1,1,72,9,8,13,68,90,8,8,185,3,0,0,0,3,7,8,28,2,0,10,37,10,19,70,0,133,35,199,431,60,46,530,91,1,427,758,435,9,4,154,2,5,382,12,199,1,5,355,30,1,0,0,6,2,0,22,0,5,94,105,247,466,621,3,277,704,13,3,2,105,1,1,2,1,455,29,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,F,9,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,8,0,28,19,0,0,411,1,1,0,0,7,37,0,2,67,359,0,0,12,1,0,0,4,0,0,0,24,51,17,0,0,0,0,1,0,0,0,0,43,0,0,0,0,1,59,1,0,4,0,17,0,3,0,0,1,13,1,5,3,0,8,1,7,0,0,1,0,0,0,0,0,9,2,203,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,28,4,0,1,4,30,10,24,4,43,0,0,4,1,98,0,0,0,87,259,2,17,9,5,44,47,16,122,55,210,45,83,16,149,296,14,40,35,44,82,2,615,144,476,1,339,735,3,0,339,74,0,0,0,0,0,0,2,0,0,3,53,1,2,1,9,22,663,57,2,466,10,38,28,0,18,16,10,9,0,2,15,86,66,4,0,1,0,0,0,4,0,15,6,0,0,1,111,158,63,0,24,140,201,290,22,45,4,1,1,136,1,0,17,29,21,27,66,58,0,45,323,217,96,4,137,9,0,590,3,3,252,3,62,301,3,5,6,2,351,328,26,13,269,3,2,494,414,119,4,120,105,1,7,93,8,4,2,155,30,28,64,364,213,28,43,594,4,0,0,0,5,23,47,228,16,3,37,138,62,124,286,1,748,178,440,9,810,378,5,718,6,5,3,3,25,32,444,4,12,2,12,507,1,4,38,226,5,0,0,3,28,0,250,0,36,442,489,2,3,2,25,2,3,31,11,0,31,6,7,12,7,2,79,36,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,F,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,8,5,0,0,38,0,0,0,0,2,5,0,0,13,24,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,1,0,6,0,0,0,0,0,3,4,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,1,7,1,17,0,0,9,0,38,0,0,0,40,84,1,9,3,4,14,13,5,68,10,63,14,10,3,41,71,4,17,7,7,15,534,67,118,116,215,64,340,490,0,33,26,0,0,0,0,0,0,13,0,0,2,5,0,3,1,3,2,97,3,256,81,5,15,3,0,10,20,9,6,0,0,4,29,14,2,0,3,0,0,0,4,0,10,3,0,0,2,55,79,15,0,4,28,50,155,7,22,0,1,2,22,0,0,2,17,1,10,7,22,0,4,11,1,29,1,137,1,0,39,155,0,53,55,12,54,3,25,26,316,133,147,9,8,187,2,1,162,241,15,2,41,22,0,1,39,2,0,0,25,5,24,33,118,61,7,5,68,1,0,0,0,3,10,15,16,3,0,9,31,14,22,41,0,126,72,142,2,196,173,345,157,634,3,786,3,5,8,53,1,1,2,7,334,1,1,0,41,0,0,0,2,3,0,73,0,2,39,35,115,552,461,7,448,2,23,4,0,1,586,2,4,3,2,100,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,F,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,6,0,0,13,0,0,0,0,3,4,0,0,6,10,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,2,16,0,0,20,0,28,0,0,0,43,93,0,5,4,3,10,8,5,75,5,42,11,10,4,28,63,5,12,4,8,13,153,18,22,73,120,37,241,242,0,14,20,0,0,0,0,0,0,23,0,0,2,3,0,1,1,21,2,41,2,70,26,5,22,7,0,8,33,11,18,0,0,1,27,20,2,0,40,0,0,0,3,0,6,7,0,0,4,40,58,9,0,4,14,40,86,4,23,0,4,3,12,0,0,2,14,1,12,1,24,0,2,9,1,32,1,21,1,0,20,44,0,76,6,8,24,4,67,69,301,122,208,26,7,194,2,0,106,141,18,1,18,19,0,1,51,4,0,0,21,2,29,38,123,48,6,2,28,0,0,0,0,4,4,12,9,2,0,7,46,8,5,20,0,52,130,143,1,144,180,623,162,672,3,583,4,5,6,38,0,1,3,15,543,1,0,0,36,0,0,0,2,4,1,166,0,1,12,15,168,312,261,4,770,4,59,8,0,0,468,1,3,3,2,161,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,3,0,18,0,3,0,0,0,21,61,0,3,3,0,3,3,6,41,0,10,4,2,0,13,23,2,2,2,4,4,36,3,5,20,32,6,129,68,0,7,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,22,0,10,0,16,20,2,7,1,0,3,17,6,8,0,0,1,16,13,0,0,123,1,0,0,1,0,2,4,0,0,3,24,15,4,0,3,3,11,25,2,9,0,1,2,5,0,0,0,21,0,5,0,3,0,0,1,0,16,0,2,0,0,6,9,0,18,1,1,8,3,369,99,77,65,150,52,5,98,1,0,52,86,3,0,5,16,0,0,54,1,0,0,7,0,19,19,41,21,3,0,5,0,0,0,0,3,1,2,3,0,0,3,14,4,3,12,0,26,54,82,378,54,173,217,80,329,1,456,3,2,3,5,0,1,2,16,524,0,0,0,19,0,0,0,1,3,6,176,0,0,6,14,50,158,77,2,388,4,156,11,0,0,211,532,2,2,1,71,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,10,0,3,0,0,0,13,38,0,1,2,0,1,1,4,22,0,4,2,2,0,5,11,0,0,1,1,2,23,2,2,11,9,2,81,26,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,21,0,5,0,4,4,0,6,0,0,1,8,4,4,0,0,0,14,6,0,0,157,1,0,0,1,0,1,2,0,0,5,19,22,2,0,1,1,7,7,4,4,0,1,0,1,0,0,0,9,0,2,0,1,0,0,0,0,7,0,1,0,0,2,5,0,6,0,1,4,4,318,42,22,30,140,52,4,43,582,0,18,30,0,0,4,4,0,0,25,0,0,0,3,0,9,9,20,7,0,0,2,0,0,0,0,2,0,1,2,0,0,1,9,1,2,3,0,9,30,53,194,23,197,104,49,158,653,293,4,2,2,4,0,0,3,11,285,0,0,0,13,0,0,0,1,2,1,158,0,1,4,8,19,43,22,612,240,4,250,15,0,0,106,476,2,2,2,48,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,F,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,22,0,3,0,0,0,12,39,1,1,1,0,0,3,24,17,0,5,2,1,0,3,8,0,0,0,1,2,15,1,2,6,8,1,38,17,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,25,0,3,0,3,2,0,3,0,0,1,10,5,5,0,0,0,7,10,0,0,193,1,0,0,2,0,1,3,0,0,5,29,9,2,0,0,0,5,8,21,4,0,9,0,2,0,0,0,26,0,1,0,1,0,0,0,0,6,0,1,0,0,2,4,0,5,0,1,2,4,632,55,17,23,161,78,4,71,571,0,11,25,0,0,3,6,0,1,37,0,0,0,1,1,5,8,11,8,0,0,1,0,0,0,0,13,0,0,2,0,0,1,5,1,2,2,0,6,38,65,133,20,246,117,55,170,619,349,4,2,1,3,0,0,4,16,288,0,0,0,15,0,0,0,1,2,1,99,0,0,7,3,29,46,21,475,278,4,406,19,0,0,51,422,2,2,2,86,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,F,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,35,0,2,0,0,0,9,34,3,0,0,1,0,1,9,9,0,1,0,0,0,1,3,0,0,0,0,0,7,0,1,4,4,0,7,5,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,4,0,11,0,4,0,1,0,0,0,0,0,0,8,3,3,0,0,0,4,9,0,0,195,0,0,0,1,0,0,3,0,0,2,12,4,1,0,0,0,2,1,13,5,0,10,0,0,0,0,0,11,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,3,2,294,76,4,9,143,74,1,33,258,0,5,14,0,0,1,1,0,0,18,0,0,0,0,0,3,6,4,4,0,0,0,0,0,0,0,23,0,0,1,0,0,0,1,0,6,0,0,2,50,50,43,5,220,77,34,141,279,248,3,1,818,1,0,0,2,13,147,0,0,0,7,0,0,0,1,0,0,92,0,0,1,0,6,17,13,489,128,3,217,16,0,0,23,176,731,2,2,73,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,F,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,36,0,0,0,0,0,3,23,1,0,0,0,0,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,0,1,0,0,0,0,0,0,8,2,0,0,0,0,2,8,0,0,155,0,0,0,0,0,0,0,0,0,1,6,2,0,0,2,0,0,0,6,2,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,499,232,172,1,1,110,89,1,8,221,0,0,5,0,0,6,0,0,0,7,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,27,0,0,1,0,0,0,1,0,7,1,0,0,43,29,14,4,165,50,14,195,245,184,564,0,633,0,0,0,1,31,88,0,0,0,2,0,0,0,1,0,0,17,0,0,0,0,5,6,5,319,59,1,134,35,0,0,8,81,477,585,682,60,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
