capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,sexo,ano
macapa___ap,"07:5,01_a_7,00",0,8,1,73,180,14,4.086,61,497,F,2017
macapa___ap,"08:7,01_a_10,00",0,11,4,38,79,8,2.303,45,541,F,2017
macapa___ap,"09:10,01_a_15,00",0,0,0,1,9,3,1.198,28,565,F,2017
macapa___ap,"10:15,01_a_20,00",0,0,0,1,1,2,141,11,216,F,2017
macapa___ap,"11:mais_de_20,00",0,0,0,0,8,1,224,5,171,F,2017
palmas___to,"00:ate_0,50",0,0,0,2,1,6,17,2,6,F,2017
palmas___to,"01:0,51_a_1,00",7,3,12,52,178,149,611,68,78,F,2017
palmas___to,"02:1,01_a_1,50",10,97,82,3.105,2.650,541,5.079,138,284,F,2017
palmas___to,"03:1,51_a_2,00",1,21,27,122,654,95,3.250,124,304,F,2017
palmas___to,"04:2,01_a_3,00",0,4,23,52,599,35,5.588,147,1.187,F,2017
palmas___to,"05:3,01_a_4,00",0,2,2,7,170,16,2.170,66,2.164,F,2017
palmas___to,"06:4,01_a_5,00",0,4,1,14,144,9,1.733,48,1.274,F,2017
palmas___to,"07:5,01_a_7,00",0,5,5,6,108,1,2.794,44,4.632,F,2017
palmas___to,"08:7,01_a_10,00",0,0,0,1,45,0,443,32,1.662,F,2017
palmas___to,"09:10,01_a_15,00",0,0,0,1,23,1,160,18,886,F,2017
palmas___to,"10:15,01_a_20,00",0,0,0,0,0,0,9,3,336,F,2017
palmas___to,"11:mais_de_20,00",0,0,0,0,0,0,24,1,288,F,2017
sao_luiz___ma,"00:ate_0,50",0,1,3,6,13,29,46,8,23,F,2017
sao_luiz___ma,"01:0,51_a_1,00",10,14,22,62,153,219,1.643,119,212,F,2017
sao_luiz___ma,"02:1,01_a_1,50",33,268,511,662,4.626,1.313,24.389,843,2.955,F,2017
sao_luiz___ma,"03:1,51_a_2,00",4,51,66,99,744,175,7.500,518,1.737,F,2017
sao_luiz___ma,"04:2,01_a_3,00",0,44,81,58,570,111,12.511,540,2.990,F,2017
sao_luiz___ma,"05:3,01_a_4,00",0,10,25,12,164,27,3.109,398,3.547,F,2017
sao_luiz___ma,"06:4,01_a_5,00",0,7,50,30,171,22,2.895,315,4.148,F,2017
sao_luiz___ma,"07:5,01_a_7,00",0,2,27,20,126,19,3.497,232,2.523,F,2017
sao_luiz___ma,"08:7,01_a_10,00",0,0,32,2,38,17,687,148,1.772,F,2017
sao_luiz___ma,"09:10,01_a_15,00",0,1,26,8,38,3,348,83,1.358,F,2017
sao_luiz___ma,"10:15,01_a_20,00",0,0,20,2,27,1,255,50,529,F,2017
sao_luiz___ma,"11:mais_de_20,00",0,0,6,0,12,1,71,18,812,F,2017
terezina___pi,"00:ate_0,50",3,10,15,28,46,88,88,11,61,F,2017
terezina___pi,"01:0,51_a_1,00",43,163,78,208,349,414,1.876,230,344,F,2017
terezina___pi,"02:1,01_a_1,50",352,3.544,1.017,1.340,3.134,2.346,15.298,3.033,2.032,F,2017
terezina___pi,"03:1,51_a_2,00",6,96,294,58,250,209,4.264,1.536,2.483,F,2017
terezina___pi,"04:2,01_a_3,00",4,76,142,23,288,130,4.805,3.105,4.594,F,2017
terezina___pi,"05:3,01_a_4,00",2,59,43,14,165,38,2.386,9.276,7.191,F,2017
terezina___pi,"06:4,01_a_5,00",1,38,12,8,78,9,1.174,264,2.019,F,2017
terezina___pi,"07:5,01_a_7,00",0,85,4,10,119,34,994,110,1.882,F,2017
terezina___pi,"08:7,01_a_10,00",0,14,0,5,45,11,540,65,1.314,F,2017
terezina___pi,"09:10,01_a_15,00",0,12,0,0,4,4,246,56,1.070,F,2017
terezina___pi,"10:15,01_a_20,00",0,3,1,1,1,0,85,13,549,F,2017
terezina___pi,"11:mais_de_20,00",0,1,0,0,1,1,36,8,582,F,2017
fortaleza___ce,"00:ate_0,50",6,11,69,38,115,166,387,58,137,F,2017
fortaleza___ce,"01:0,51_a_1,00",33,227,263,808,2.161,1.895,6.107,607,971,F,2017
fortaleza___ce,"02:1,01_a_1,50",249,3.289,4.123,8.012,18.668,10.325,50.720,3.572,4.257,F,2017
fortaleza___ce,"03:1,51_a_2,00",16,460,292,1.697,2.135,1.884,13.247,1.900,3.551,F,2017
fortaleza___ce,"04:2,01_a_3,00",1,140,134,302,913,1.110,8.799,2.343,9.635,F,2017
fortaleza___ce,"05:3,01_a_4,00",0,76,38,91,410,388,4.126,1.365,8.107,F,2017
fortaleza___ce,"06:4,01_a_5,00",0,71,15,81,217,149,2.244,791,4.963,F,2017
fortaleza___ce,"07:5,01_a_7,00",1,117,6,127,405,212,3.742,1.212,8.974,F,2017
fortaleza___ce,"08:7,01_a_10,00",0,31,10,42,154,69,1.653,457,6.358,F,2017
fortaleza___ce,"09:10,01_a_15,00",0,11,1,2,89,26,411,258,3.444,F,2017
fortaleza___ce,"10:15,01_a_20,00",0,0,1,0,43,5,104,135,1.749,F,2017
fortaleza___ce,"11:mais_de_20,00",0,11,3,5,58,69,187,354,2.415,F,2017
natal___rn,"00:ate_0,50",1,5,9,11,18,159,148,16,50,F,2017
natal___rn,"01:0,51_a_1,00",18,81,235,414,496,1.031,2.650,218,412,F,2017
natal___rn,"02:1,01_a_1,50",87,654,2.534,7.165,3.794,4.101,25.667,1.029,1.563,F,2017
natal___rn,"03:1,51_a_2,00",7,81,717,1.271,446,500,6.739,524,1.774,F,2017
natal___rn,"04:2,01_a_3,00",1,48,430,1.266,175,255,9.993,484,5.355,F,2017
natal___rn,"05:3,01_a_4,00",0,22,155,415,60,101,4.590,276,5.516,F,2017
natal___rn,"06:4,01_a_5,00",0,18,104,436,57,49,1.725,147,3.785,F,2017
natal___rn,"07:5,01_a_7,00",1,11,47,98,104,69,957,147,2.707,F,2017
natal___rn,"08:7,01_a_10,00",1,12,23,26,38,29,681,110,2.126,F,2017
natal___rn,"09:10,01_a_15,00",0,3,16,9,10,40,251,108,1.958,F,2017
natal___rn,"10:15,01_a_20,00",0,0,3,1,2,18,84,52,860,F,2017
natal___rn,"11:mais_de_20,00",0,1,2,2,2,5,101,31,1.135,F,2017
joao_pessoa___pb,"00:ate_0,50",0,7,2,14,10,7,37,22,114,F,2017
joao_pessoa___pb,"01:0,51_a_1,00",16,83,64,129,7.759,266,1.555,94,412,F,2017
joao_pessoa___pb,"02:1,01_a_1,50",168,1.083,760,1.398,8.376,1.946,14.907,2.893,4.403,F,2017
joao_pessoa___pb,"03:1,51_a_2,00",84,475,171,212,2.475,316,3.857,1.308,3.724,F,2017
joao_pessoa___pb,"04:2,01_a_3,00",26,200,108,77,1.742,107,2.294,4.238,7.489,F,2017
joao_pessoa___pb,"05:3,01_a_4,00",0,68,21,28,858,33,850,1.903,2.922,F,2017
joao_pessoa___pb,"06:4,01_a_5,00",0,25,5,53,564,10,480,318,1.309,F,2017
joao_pessoa___pb,"07:5,01_a_7,00",0,29,2,93,999,9,703,198,1.433,F,2017
joao_pessoa___pb,"08:7,01_a_10,00",0,7,0,8,419,4,412,105,1.466,F,2017
joao_pessoa___pb,"09:10,01_a_15,00",0,3,0,1,291,4,80,35,1.022,F,2017
joao_pessoa___pb,"10:15,01_a_20,00",0,1,0,0,120,0,35,9,585,F,2017
joao_pessoa___pb,"11:mais_de_20,00",0,0,0,2,160,0,97,2,842,F,2017
recife___pe,"00:ate_0,50",3,20,22,56,60,83,368,47,225,F,2017
recife___pe,"01:0,51_a_1,00",13,89,138,440,3.978,1.080,3.566,284,798,F,2017
recife___pe,"02:1,01_a_1,50",158,943,1.554,3.760,18.138,5.726,42.151,3.018,3.498,F,2017
recife___pe,"03:1,51_a_2,00",47,240,344,579,8.168,1.211,13.821,1.897,3.254,F,2017
recife___pe,"04:2,01_a_3,00",49,88,138,252,10.872,665,10.267,2.170,6.673,F,2017
recife___pe,"05:3,01_a_4,00",3,21,38,55,9.043,293,3.166,1.239,5.520,F,2017
recife___pe,"06:4,01_a_5,00",0,11,9,47,4.518,120,1.864,769,4.950,F,2017
recife___pe,"07:5,01_a_7,00",0,8,11,50,1.846,194,2.202,775,7.214,F,2017
recife___pe,"08:7,01_a_10,00",0,5,4,80,388,93,1.732,500,6.194,F,2017
recife___pe,"09:10,01_a_15,00",0,2,1,9,245,48,371,265,4.017,F,2017
recife___pe,"10:15,01_a_20,00",0,0,8,2,23,14,109,120,2.138,F,2017
recife___pe,"11:mais_de_20,00",0,0,3,0,13,10,73,125,2.641,F,2017
maceio___al,"00:ate_0,50",0,3,1,13,14,26,36,10,46,F,2017
maceio___al,"01:0,51_a_1,00",64,101,143,296,628,377,1.124,108,302,F,2017
maceio___al,"02:1,01_a_1,50",131,1.561,1.384,2.021,3.592,4.158,12.768,1.950,1.188,F,2017
maceio___al,"03:1,51_a_2,00",19,402,286,323,760,1.431,4.099,1.035,2.050,F,2017
maceio___al,"04:2,01_a_3,00",5,299,198,247,602,947,2.307,2.544,3.059,F,2017
maceio___al,"05:3,01_a_4,00",1,125,71,117,297,757,949,1.608,1.959,F,2017
maceio___al,"06:4,01_a_5,00",0,19,19,56,157,274,611,830,3.335,F,2017
maceio___al,"07:5,01_a_7,00",0,19,16,182,111,161,457,528,3.177,F,2017
maceio___al,"08:7,01_a_10,00",0,3,4,78,43,72,393,141,2.142,F,2017
maceio___al,"09:10,01_a_15,00",0,2,1,11,12,79,121,70,1.511,F,2017
maceio___al,"10:15,01_a_20,00",0,0,0,1,5,12,44,28,496,F,2017
maceio___al,"11:mais_de_20,00",0,0,1,1,6,3,67,30,627,F,2017
aracaju___se,"00:ate_0,50",2,9,9,36,37,94,152,33,88,F,2017
aracaju___se,"01:0,51_a_1,00",28,157,142,658,739,621,1.940,242,595,F,2017
aracaju___se,"02:1,01_a_1,50",74,456,489,2.711,3.103,2.620,14.244,906,1.108,F,2017
aracaju___se,"03:1,51_a_2,00",8,44,62,1.244,1.394,522,4.293,448,1.025,F,2017
aracaju___se,"04:2,01_a_3,00",1,11,17,572,871,400,4.749,728,2.552,F,2017
aracaju___se,"05:3,01_a_4,00",2,20,16,119,158,147,2.244,704,3.629,F,2017
aracaju___se,"06:4,01_a_5,00",1,19,18,83,86,89,1.466,470,2.865,F,2017
aracaju___se,"07:5,01_a_7,00",0,12,1,64,75,90,1.319,425,3.877,F,2017
aracaju___se,"08:7,01_a_10,00",0,2,1,23,44,60,864,240,2.596,F,2017
