capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
fortaleza___ce,"01:0,51_a_1,00",58.387,F,2020
fortaleza___ce,"02:1,01_a_1,50",107.957,F,2020
fortaleza___ce,"03:1,51_a_2,00",40.134,F,2020
fortaleza___ce,"04:2,01_a_3,00",30.241,F,2020
fortaleza___ce,"05:3,01_a_4,00",20.356,F,2020
fortaleza___ce,"06:4,01_a_5,00",12.840,F,2020
fortaleza___ce,"07:5,01_a_7,00",15.342,F,2020
fortaleza___ce,"08:7,01_a_10,00",11.305,F,2020
fortaleza___ce,"09:10,01_a_15,00",6.341,F,2020
fortaleza___ce,"10:15,01_a_20,00",3.093,F,2020
fortaleza___ce,"11:mais_de_20,00",2.722,F,2020
natal___rn,"00:ate_0,50",2.274,F,2020
natal___rn,"01:0,51_a_1,00",17.598,F,2020
natal___rn,"02:1,01_a_1,50",39.272,F,2020
natal___rn,"03:1,51_a_2,00",13.428,F,2020
natal___rn,"04:2,01_a_3,00",16.278,F,2020
natal___rn,"05:3,01_a_4,00",9.976,F,2020
natal___rn,"06:4,01_a_5,00",5.978,F,2020
natal___rn,"07:5,01_a_7,00",5.735,F,2020
natal___rn,"08:7,01_a_10,00",3.101,F,2020
natal___rn,"09:10,01_a_15,00",2.931,F,2020
natal___rn,"10:15,01_a_20,00",1.488,F,2020
natal___rn,"11:mais_de_20,00",924,F,2020
joao_pessoa___pb,"00:ate_0,50",1.105,F,2020
joao_pessoa___pb,"01:0,51_a_1,00",20.002,F,2020
joao_pessoa___pb,"02:1,01_a_1,50",38.894,F,2020
joao_pessoa___pb,"03:1,51_a_2,00",13.519,F,2020
joao_pessoa___pb,"04:2,01_a_3,00",15.478,F,2020
joao_pessoa___pb,"05:3,01_a_4,00",7.673,F,2020
joao_pessoa___pb,"06:4,01_a_5,00",4.543,F,2020
joao_pessoa___pb,"07:5,01_a_7,00",4.375,F,2020
joao_pessoa___pb,"08:7,01_a_10,00",2.998,F,2020
joao_pessoa___pb,"09:10,01_a_15,00",2.423,F,2020
joao_pessoa___pb,"10:15,01_a_20,00",1.323,F,2020
joao_pessoa___pb,"11:mais_de_20,00",833,F,2020
recife___pe,"00:ate_0,50",3.869,F,2020
recife___pe,"01:0,51_a_1,00",30.814,F,2020
recife___pe,"02:1,01_a_1,50",90.146,F,2020
recife___pe,"03:1,51_a_2,00",40.219,F,2020
recife___pe,"04:2,01_a_3,00",31.519,F,2020
recife___pe,"05:3,01_a_4,00",20.980,F,2020
recife___pe,"06:4,01_a_5,00",13.652,F,2020
recife___pe,"07:5,01_a_7,00",15.613,F,2020
recife___pe,"08:7,01_a_10,00",12.692,F,2020
recife___pe,"09:10,01_a_15,00",8.063,F,2020
recife___pe,"10:15,01_a_20,00",3.049,F,2020
recife___pe,"11:mais_de_20,00",2.974,F,2020
maceio___al,"00:ate_0,50",1.425,F,2020
maceio___al,"01:0,51_a_1,00",19.160,F,2020
maceio___al,"02:1,01_a_1,50",33.783,F,2020
maceio___al,"03:1,51_a_2,00",14.466,F,2020
maceio___al,"04:2,01_a_3,00",10.757,F,2020
maceio___al,"05:3,01_a_4,00",6.818,F,2020
maceio___al,"06:4,01_a_5,00",4.515,F,2020
maceio___al,"07:5,01_a_7,00",4.490,F,2020
maceio___al,"08:7,01_a_10,00",2.867,F,2020
maceio___al,"09:10,01_a_15,00",1.774,F,2020
maceio___al,"10:15,01_a_20,00",675,F,2020
maceio___al,"11:mais_de_20,00",783,F,2020
aracaju___se,"00:ate_0,50",1.778,F,2020
aracaju___se,"01:0,51_a_1,00",14.589,F,2020
aracaju___se,"02:1,01_a_1,50",31.440,F,2020
aracaju___se,"03:1,51_a_2,00",10.769,F,2020
aracaju___se,"04:2,01_a_3,00",8.928,F,2020
aracaju___se,"05:3,01_a_4,00",4.967,F,2020
aracaju___se,"06:4,01_a_5,00",6.536,F,2020
aracaju___se,"07:5,01_a_7,00",5.152,F,2020
aracaju___se,"08:7,01_a_10,00",2.639,F,2020
aracaju___se,"09:10,01_a_15,00",1.494,F,2020
aracaju___se,"10:15,01_a_20,00",637,F,2020
aracaju___se,"11:mais_de_20,00",830,F,2020
salvador___ba,"00:ate_0,50",4.275,F,2020
salvador___ba,"01:0,51_a_1,00",53.705,F,2020
salvador___ba,"02:1,01_a_1,50",90.106,F,2020
salvador___ba,"03:1,51_a_2,00",37.703,F,2020
salvador___ba,"04:2,01_a_3,00",37.278,F,2020
salvador___ba,"05:3,01_a_4,00",23.226,F,2020
salvador___ba,"06:4,01_a_5,00",17.990,F,2020
salvador___ba,"07:5,01_a_7,00",21.152,F,2020
salvador___ba,"08:7,01_a_10,00",17.903,F,2020
salvador___ba,"09:10,01_a_15,00",10.723,F,2020
salvador___ba,"10:15,01_a_20,00",3.950,F,2020
salvador___ba,"11:mais_de_20,00",4.040,F,2020
belo_horizonte___mg,"00:ate_0,50",7.651,F,2020
belo_horizonte___mg,"01:0,51_a_1,00",52.632,F,2020
belo_horizonte___mg,"02:1,01_a_1,50",158.527,F,2020
belo_horizonte___mg,"03:1,51_a_2,00",68.479,F,2020
belo_horizonte___mg,"04:2,01_a_3,00",105.782,F,2020
belo_horizonte___mg,"05:3,01_a_4,00",45.622,F,2020
belo_horizonte___mg,"06:4,01_a_5,00",34.232,F,2020
belo_horizonte___mg,"07:5,01_a_7,00",31.019,F,2020
belo_horizonte___mg,"08:7,01_a_10,00",21.078,F,2020
belo_horizonte___mg,"09:10,01_a_15,00",13.252,F,2020
belo_horizonte___mg,"10:15,01_a_20,00",6.443,F,2020
belo_horizonte___mg,"11:mais_de_20,00",7.308,F,2020
vitoria___es,"00:ate_0,50",1.356,F,2020
vitoria___es,"01:0,51_a_1,00",7.256,F,2020
vitoria___es,"02:1,01_a_1,50",24.436,F,2020
vitoria___es,"03:1,51_a_2,00",12.817,F,2020
vitoria___es,"04:2,01_a_3,00",18.643,F,2020
vitoria___es,"05:3,01_a_4,00",11.300,F,2020
vitoria___es,"06:4,01_a_5,00",6.544,F,2020
vitoria___es,"07:5,01_a_7,00",6.872,F,2020
vitoria___es,"08:7,01_a_10,00",4.085,F,2020
vitoria___es,"09:10,01_a_15,00",3.076,F,2020
vitoria___es,"10:15,01_a_20,00",1.239,F,2020
vitoria___es,"11:mais_de_20,00",1.109,F,2020
rio_de_janeiro___rj,"00:ate_0,50",7.062,F,2020
rio_de_janeiro___rj,"01:0,51_a_1,00",77.380,F,2020
rio_de_janeiro___rj,"02:1,01_a_1,50",236.379,F,2020
rio_de_janeiro___rj,"03:1,51_a_2,00",122.494,F,2020
rio_de_janeiro___rj,"04:2,01_a_3,00",116.883,F,2020
rio_de_janeiro___rj,"05:3,01_a_4,00",67.391,F,2020
rio_de_janeiro___rj,"06:4,01_a_5,00",46.474,F,2020
rio_de_janeiro___rj,"07:5,01_a_7,00",60.846,F,2020
rio_de_janeiro___rj,"08:7,01_a_10,00",47.927,F,2020
rio_de_janeiro___rj,"09:10,01_a_15,00",33.416,F,2020
rio_de_janeiro___rj,"10:15,01_a_20,00",13.802,F,2020
rio_de_janeiro___rj,"11:mais_de_20,00",14.058,F,2020
sao_paulo___sp,"00:ate_0,50",21.905,F,2020
sao_paulo___sp,"01:0,51_a_1,00",223.730,F,2020
sao_paulo___sp,"02:1,01_a_1,50",717.408,F,2020
sao_paulo___sp,"03:1,51_a_2,00",455.225,F,2020
