capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
macapa___ap,"08:7,01_a_10,00",0,0,37,73,603,1.555,1.756,223,F,2022
macapa___ap,"09:10,01_a_15,00",0,0,14,53,289,546,1.089,175,F,2022
macapa___ap,"10:15,01_a_20,00",0,0,7,27,85,155,275,39,F,2022
macapa___ap,"11:mais_de_20,00",0,0,3,29,166,167,224,49,F,2022
palmas___to,"00:ate_0,50",5,265,327,54,76,77,25,0,F,2022
palmas___to,"01:0,51_a_1,00",1,135,1.525,879,2.083,2.253,1.594,52,F,2022
palmas___to,"02:1,01_a_1,50",0,51,4.565,3.637,5.694,3.913,1.715,94,F,2022
palmas___to,"03:1,51_a_2,00",0,3,940,1.260,2.347,1.786,811,39,F,2022
palmas___to,"04:2,01_a_3,00",0,0,641,1.709,3.696,3.342,1.992,90,F,2022
palmas___to,"05:3,01_a_4,00",0,1,220,1.008,3.055,2.961,1.454,55,F,2022
palmas___to,"06:4,01_a_5,00",0,0,30,215,1.228,2.052,1.400,67,F,2022
palmas___to,"07:5,01_a_7,00",0,1,38,168,1.348,2.237,1.605,87,F,2022
palmas___to,"08:7,01_a_10,00",0,0,27,89,720,1.362,681,32,F,2022
palmas___to,"09:10,01_a_15,00",0,0,18,41,425,986,687,43,F,2022
palmas___to,"10:15,01_a_20,00",0,0,12,17,141,369,343,13,F,2022
palmas___to,"11:mais_de_20,00",0,0,9,24,127,302,397,32,F,2022
sao_luiz___ma,"00:ate_0,50",5,57,601,159,264,151,55,5,F,2022
sao_luiz___ma,"01:0,51_a_1,00",1,92,3.017,1.780,2.880,2.045,1.189,86,F,2022
sao_luiz___ma,"02:1,01_a_1,50",1,8,7.685,9.918,20.070,16.145,9.753,925,F,2022
sao_luiz___ma,"03:1,51_a_2,00",0,1,1.520,3.290,8.466,6.508,4.681,736,F,2022
sao_luiz___ma,"04:2,01_a_3,00",0,0,700,2.801,7.542,5.531,4.754,978,F,2022
sao_luiz___ma,"05:3,01_a_4,00",0,0,206,1.206,4.183,4.632,4.118,870,F,2022
sao_luiz___ma,"06:4,01_a_5,00",0,0,95,582,2.118,1.959,4.860,1.406,F,2022
sao_luiz___ma,"07:5,01_a_7,00",0,0,109,372,2.314,2.221,2.037,374,F,2022
sao_luiz___ma,"08:7,01_a_10,00",0,0,83,284,1.124,1.301,1.790,460,F,2022
sao_luiz___ma,"09:10,01_a_15,00",0,0,79,155,722,725,684,260,F,2022
sao_luiz___ma,"10:15,01_a_20,00",0,0,51,93,387,382,367,78,F,2022
sao_luiz___ma,"11:mais_de_20,00",0,0,15,102,392,409,381,98,F,2022
terezina___pi,"00:ate_0,50",4,248,786,104,187,128,68,5,F,2022
terezina___pi,"01:0,51_a_1,00",6,97,2.529,1.667,2.258,1.458,659,38,F,2022
terezina___pi,"02:1,01_a_1,50",0,2,6.191,7.620,14.979,11.802,7.348,651,F,2022
terezina___pi,"03:1,51_a_2,00",0,2,637,1.672,4.209,3.276,2.824,474,F,2022
terezina___pi,"04:2,01_a_3,00",0,1,275,1.106,4.005,3.282,3.296,779,F,2022
terezina___pi,"05:3,01_a_4,00",0,2,106,598,2.600,3.719,3.697,532,F,2022
terezina___pi,"06:4,01_a_5,00",0,1,62,271,1.079,1.114,1.279,270,F,2022
terezina___pi,"07:5,01_a_7,00",0,0,74,204,1.668,1.507,1.229,271,F,2022
terezina___pi,"08:7,01_a_10,00",0,0,181,251,1.126,1.109,1.137,259,F,2022
terezina___pi,"09:10,01_a_15,00",0,0,141,216,835,936,956,219,F,2022
terezina___pi,"10:15,01_a_20,00",0,0,22,63,204,257,435,121,F,2022
terezina___pi,"11:mais_de_20,00",0,0,21,75,252,316,295,81,F,2022
fortaleza___ce,"00:ate_0,50",3,152,1.878,600,1.260,848,386,27,F,2022
fortaleza___ce,"01:0,51_a_1,00",3,182,9.435,5.493,8.375,5.550,3.207,989,F,2022
fortaleza___ce,"02:1,01_a_1,50",0,34,20.786,24.927,43.327,32.635,20.347,1.347,F,2022
fortaleza___ce,"03:1,51_a_2,00",0,2,3.184,6.151,12.621,8.844,5.659,1.025,F,2022
fortaleza___ce,"04:2,01_a_3,00",0,3,1.772,5.507,12.083,10.134,9.919,1.973,F,2022
fortaleza___ce,"05:3,01_a_4,00",0,0,596,2.748,7.364,4.589,3.847,1.750,F,2022
fortaleza___ce,"06:4,01_a_5,00",0,0,288,1.560,5.485,3.914,3.689,1.015,F,2022
fortaleza___ce,"07:5,01_a_7,00",0,3,186,717,4.932,4.462,4.280,1.825,F,2022
