;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;91.379;64.421;155.800
;00:Até 0,50;233;204;437
;01:0,51 a 1,00;2.285;2.510;4.795
;02:1,01 a 1,50;19.715;19.310;39.025
;03:1,51 a 2,00;17.249;10.904;28.153
;04:2,01 a 3,00;19.581;11.177;30.758
;05:3,01 a 4,00;8.239;7.621;15.860
;06:4,01 a 5,00;5.975;3.124;9.099
;07:5,01 a 7,00;6.123;3.895;10.018
;08:7,01 a 10,00;4.511;2.631;7.142
;09:10,01 a 15,00;3.387;1.576;4.963
;10:15,01 a 20,00;1.376;524;1.900
;11:Mais de 20,00;2.167;800;2.967
;{ñ class};538;145;683
120040:Rio Branco - AC;Total;46.907;37.415;84.322
;00:Até 0,50;148;96;244
;01:0,51 a 1,00;1.399;857;2.256
;02:1,01 a 1,50;14.389;10.782;25.171
;03:1,51 a 2,00;8.129;4.639;12.768
;04:2,01 a 3,00;7.023;6.068;13.091
;05:3,01 a 4,00;5.478;4.007;9.485
;06:4,01 a 5,00;3.377;4.013;7.390
;07:5,01 a 7,00;2.646;3.598;6.244
;08:7,01 a 10,00;1.443;1.580;3.023
;09:10,01 a 15,00;1.148;898;2.046
;10:15,01 a 20,00;505;363;868
;11:Mais de 20,00;860;409;1.269
;{ñ class};362;105;467
130260:Manaus - AM;Total;262.186;174.461;436.647
;00:Até 0,50;970;821;1.791
;01:0,51 a 1,00;5.088;4.784;9.872
;02:1,01 a 1,50;63.684;58.963;122.647
;03:1,51 a 2,00;51.027;25.374;76.401
;04:2,01 a 3,00;56.945;36.814;93.759
;05:3,01 a 4,00;26.525;13.133;39.658
;06:4,01 a 5,00;16.226;8.710;24.936
;07:5,01 a 7,00;14.491;10.157;24.648
;08:7,01 a 10,00;10.548;7.258;17.806
;09:10,01 a 15,00;7.344;4.126;11.470
;10:15,01 a 20,00;3.263;1.585;4.848
;11:Mais de 20,00;4.396;1.863;6.259
;{ñ class};1.679;873;2.552
140010:Boa Vista - RR;Total;34.669;33.016;67.685
;00:Até 0,50;54;43;97
;01:0,51 a 1,00;1.194;1.482;2.676
;02:1,01 a 1,50;10.836;10.798;21.634
;03:1,51 a 2,00;4.356;2.425;6.781
;04:2,01 a 3,00;5.044;4.334;9.378
;05:3,01 a 4,00;2.192;1.824;4.016
;06:4,01 a 5,00;2.125;2.944;5.069
;07:5,01 a 7,00;4.296;5.303;9.599
;08:7,01 a 10,00;2.003;2.346;4.349
;09:10,01 a 15,00;1.082;808;1.890
;10:15,01 a 20,00;462;241;703
;11:Mais de 20,00;773;345;1.118
;{ñ class};252;123;375
150140:Belém - PA;Total;210.748;146.897;357.645
;00:Até 0,50;1.039;857;1.896
;01:0,51 a 1,00;9.410;8.394;17.804
;02:1,01 a 1,50;64.650;51.562;116.212
