;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;112.031;72.076;184.107
;00:Até 0,50;469;393;862
;01:0,51 a 1,00;2.428;3.073;5.501
;02:1,01 a 1,50;17.800;20.640;38.440
;03:1,51 a 2,00;22.244;13.114;35.358
;04:2,01 a 3,00;25.863;10.385;36.248
;05:3,01 a 4,00;14.640;11.009;25.649
;06:4,01 a 5,00;6.925;3.725;10.650
;07:5,01 a 7,00;7.426;3.735;11.161
;08:7,01 a 10,00;5.175;2.642;7.817
;09:10,01 a 15,00;4.261;1.732;5.993
;10:15,01 a 20,00;1.804;573;2.377
;11:Mais de 20,00;2.253;812;3.065
;{ñ class};743;243;986
120040:Rio Branco - AC;Total;52.562;44.216;96.778
;00:Até 0,50;109;103;212
;01:0,51 a 1,00;1.638;1.303;2.941
;02:1,01 a 1,50;15.170;11.677;26.847
;03:1,51 a 2,00;9.471;6.242;15.713
;04:2,01 a 3,00;9.034;7.551;16.585
;05:3,01 a 4,00;5.262;5.300;10.562
;06:4,01 a 5,00;3.554;4.672;8.226
;07:5,01 a 7,00;3.098;3.778;6.876
;08:7,01 a 10,00;1.839;1.611;3.450
;09:10,01 a 15,00;1.333;995;2.328
;10:15,01 a 20,00;684;409;1.093
;11:Mais de 20,00;1.022;440;1.462
;{ñ class};348;135;483
130260:Manaus - AM;Total;286.971;205.458;492.429
;00:Até 0,50;1.227;1.017;2.244
;01:0,51 a 1,00;5.600;6.433;12.033
;02:1,01 a 1,50;70.108;68.059;138.167
;03:1,51 a 2,00;56.583;28.911;85.494
;04:2,01 a 3,00;65.492;52.863;118.355
;05:3,01 a 4,00;27.998;13.937;41.935
;06:4,01 a 5,00;15.512;7.438;22.950
;07:5,01 a 7,00;14.585;8.895;23.480
;08:7,01 a 10,00;12.236;8.987;21.223
;09:10,01 a 15,00;8.124;4.635;12.759
;10:15,01 a 20,00;3.195;1.429;4.624
;11:Mais de 20,00;4.200;1.709;5.909
;{ñ class};2.111;1.145;3.256
140010:Boa Vista - RR;Total;36.649;33.385;70.034
;00:Até 0,50;58;41;99
;01:0,51 a 1,00;1.548;1.888;3.436
;02:1,01 a 1,50;11.903;11.937;23.840
;03:1,51 a 2,00;5.169;2.441;7.610
;04:2,01 a 3,00;5.218;3.564;8.782
;05:3,01 a 4,00;2.161;2.077;4.238
;06:4,01 a 5,00;2.036;2.664;4.700
;07:5,01 a 7,00;4.210;5.404;9.614
