;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;71.884;58.495;130.379
;00:Até 0,50;75;73;148
;01:0,51 a 1,00;3.131;5.125;8.256
;02:1,01 a 1,50;17.132;15.787;32.919
;03:1,51 a 2,00;11.749;6.967;18.716
;04:2,01 a 3,00;12.507;10.589;23.096
;05:3,01 a 4,00;5.754;7.501;13.255
;06:4,01 a 5,00;5.761;3.030;8.791
;07:5,01 a 7,00;5.593;3.823;9.416
;08:7,01 a 10,00;3.609;2.615;6.224
;09:10,01 a 15,00;2.670;1.437;4.107
;10:15,01 a 20,00;1.216;521;1.737
;11:Mais de 20,00;2.027;833;2.860
;{ñ class};660;194;854
120040:Rio Branco - AC;Total;43.831;35.830;79.661
;00:Até 0,50;134;146;280
;01:0,51 a 1,00;1.101;660;1.761
;02:1,01 a 1,50;12.864;9.228;22.092
;03:1,51 a 2,00;7.671;4.823;12.494
;04:2,01 a 3,00;6.526;6.460;12.986
;05:3,01 a 4,00;4.014;3.179;7.193
;06:4,01 a 5,00;3.825;3.531;7.356
;07:5,01 a 7,00;2.988;3.898;6.886
;08:7,01 a 10,00;1.677;1.799;3.476
;09:10,01 a 15,00;1.206;1.258;2.464
;10:15,01 a 20,00;534;330;864
;11:Mais de 20,00;985;434;1.419
;{ñ class};306;84;390
130260:Manaus - AM;Total;261.917;178.552;440.469
;00:Até 0,50;830;691;1.521
;01:0,51 a 1,00;4.609;4.135;8.744
;02:1,01 a 1,50;56.826;55.849;112.675
;03:1,51 a 2,00;47.131;24.944;72.075
;04:2,01 a 3,00;57.268;37.507;94.775
;05:3,01 a 4,00;28.400;16.514;44.914
;06:4,01 a 5,00;18.858;9.056;27.914
;07:5,01 a 7,00;16.991;11.718;28.709
;08:7,01 a 10,00;12.275;8.610;20.885
;09:10,01 a 15,00;7.991;4.584;12.575
;10:15,01 a 20,00;3.928;1.953;5.881
;11:Mais de 20,00;5.317;2.143;7.460
;{ñ class};1.493;848;2.341
140010:Boa Vista - RR;Total;24.857;21.583;46.440
;00:Até 0,50;47;39;86
;01:0,51 a 1,00;888;1.294;2.182
;02:1,01 a 1,50;8.533;8.567;17.100
;03:1,51 a 2,00;3.007;1.604;4.611
;04:2,01 a 3,00;3.504;2.030;5.534
;05:3,01 a 4,00;1.499;1.154;2.653
;06:4,01 a 5,00;1.339;1.395;2.734
;07:5,01 a 7,00;2.623;2.968;5.591
;08:7,01 a 10,00;1.410;1.527;2.937
;09:10,01 a 15,00;815;510;1.325
;10:15,01 a 20,00;395;178;573
;11:Mais de 20,00;579;238;817
;{ñ class};218;79;297
150140:Belém - PA;Total;212.255;145.622;357.877
;00:Até 0,50;1.111;798;1.909
;01:0,51 a 1,00;9.713;8.628;18.341
;02:1,01 a 1,50;62.253;48.975;111.228
;03:1,51 a 2,00;33.766;17.990;51.756
;04:2,01 a 3,00;34.105;18.601;52.706
;05:3,01 a 4,00;20.923;12.050;32.973
;06:4,01 a 5,00;11.169;9.601;20.770
;07:5,01 a 7,00;14.835;12.582;27.417
;08:7,01 a 10,00;9.389;7.726;17.115
;09:10,01 a 15,00;5.672;3.784;9.456
;10:15,01 a 20,00;2.998;1.704;4.702
;11:Mais de 20,00;3.938;2.368;6.306
;{ñ class};2.383;815;3.198
160030:Macapá - AP;Total;43.461;37.397;80.858
;00:Até 0,50;182;191;373
;01:0,51 a 1,00;2.011;1.644;3.655
;02:1,01 a 1,50;10.529;8.605;19.134
;03:1,51 a 2,00;6.560;4.364;10.924
;04:2,01 a 3,00;5.191;2.927;8.118
;05:3,01 a 4,00;2.815;1.898;4.713
;06:4,01 a 5,00;2.259;3.154;5.413
;07:5,01 a 7,00;7.026;8.205;15.231
;08:7,01 a 10,00;3.204;3.746;6.950
;09:10,01 a 15,00;1.623;1.669;3.292
;10:15,01 a 20,00;756;437;1.193
;11:Mais de 20,00;1.149;477;1.626
;{ñ class};156;80;236
172100:Palmas - TO;Total;52.198;51.622;103.820
;00:Até 0,50;59;98;157
;01:0,51 a 1,00;1.421;1.576;2.997
;02:1,01 a 1,50;13.649;14.147;27.796
;03:1,51 a 2,00;7.036;5.154;12.190
;04:2,01 a 3,00;8.606;9.513;18.119
;05:3,01 a 4,00;5.748;5.123;10.871
;06:4,01 a 5,00;3.980;5.153;9.133
;07:5,01 a 7,00;5.330;6.433;11.763
;08:7,01 a 10,00;2.596;2.479;5.075
;09:10,01 a 15,00;1.454;958;2.412
;10:15,01 a 20,00;1.244;522;1.766
;11:Mais de 20,00;901;352;1.253
;{ñ class};174;114;288
211130:São Luiz - MA;Total;161.249;116.160;277.409
;00:Até 0,50;350;212;562
;01:0,51 a 1,00;6.114;5.975;12.089
