;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
;01:0,51 a 1,00;1.775;2.310;4.085
;02:1,01 a 1,50;13.921;14.623;28.544
;03:1,51 a 2,00;5.960;3.589;9.549
;04:2,01 a 3,00;5.450;5.349;10.799
;05:3,01 a 4,00;2.933;3.141;6.074
;06:4,01 a 5,00;2.390;2.818;5.208
;07:5,01 a 7,00;4.061;5.308;9.369
;08:7,01 a 10,00;1.641;1.652;3.293
;09:10,01 a 15,00;1.236;987;2.223
;10:15,01 a 20,00;491;312;803
;11:Mais de 20,00;700;319;1.019
;{ñ class};241;104;345
150140:Belém - PA;Total;259.022;180.479;439.501
;00:Até 0,50;1.189;981;2.170
;01:0,51 a 1,00;9.160;7.009;16.169
;02:1,01 a 1,50;80.456;64.308;144.764
;03:1,51 a 2,00;41.237;22.268;63.505
;04:2,01 a 3,00;43.325;19.738;63.063
;05:3,01 a 4,00;25.601;14.557;40.158
;06:4,01 a 5,00;12.019;10.762;22.781
;07:5,01 a 7,00;15.743;16.176;31.919
;08:7,01 a 10,00;13.026;12.557;25.583
;09:10,01 a 15,00;8.102;6.618;14.720
;10:15,01 a 20,00;2.952;1.964;4.916
;11:Mais de 20,00;3.781;2.556;6.337
;{ñ class};2.431;985;3.416
160030:Macapá - AP;Total;56.232;45.627;101.859
;00:Até 0,50;384;364;748
;01:0,51 a 1,00;2.692;1.886;4.578
;02:1,01 a 1,50;16.818;13.343;30.161
;03:1,51 a 2,00;8.777;6.006;14.783
;04:2,01 a 3,00;6.903;3.417;10.320
;05:3,01 a 4,00;2.755;2.544;5.299
;06:4,01 a 5,00;3.574;3.384;6.958
;07:5,01 a 7,00;6.539;7.464;14.003
;08:7,01 a 10,00;3.822;4.562;8.384
;09:10,01 a 15,00;2.005;1.619;3.624
;10:15,01 a 20,00;784;462;1.246
;11:Mais de 20,00;958;473;1.431
;{ñ class};221;103;324
172100:Palmas - TO;Total;57.789;58.099;115.888
;00:Até 0,50;274;247;521
;01:0,51 a 1,00;4.224;4.594;8.818
;02:1,01 a 1,50;14.322;13.758;28.080
;03:1,51 a 2,00;9.471;6.490;15.961
;04:2,01 a 3,00;9.584;6.731;16.315
;05:3,01 a 4,00;3.847;4.447;8.294
;06:4,01 a 5,00;3.863;9.539;13.402
;07:5,01 a 7,00;4.463;6.673;11.136
;08:7,01 a 10,00;3.060;2.407;5.467
;09:10,01 a 15,00;2.159;1.822;3.981
;10:15,01 a 20,00;821;575;1.396
;11:Mais de 20,00;1.448;705;2.153
;{ñ class};253;111;364
211130:São Luiz - MA;Total;201.549;148.703;350.252
;00:Até 0,50;315;294;609
;01:0,51 a 1,00;7.780;6.844;14.624
;02:1,01 a 1,50;67.580;59.375;126.955
;03:1,51 a 2,00;37.696;18.579;56.275
;04:2,01 a 3,00;28.861;17.078;45.939
;05:3,01 a 4,00;18.599;18.359;36.958
;06:4,01 a 5,00;10.324;8.332;18.656
;07:5,01 a 7,00;10.771;8.424;19.195
;08:7,01 a 10,00;7.501;5.510;13.011
;09:10,01 a 15,00;5.116;2.973;8.089
;10:15,01 a 20,00;2.005;1.019;3.024
;11:Mais de 20,00;2.628;1.157;3.785
;{ñ class};2.373;759;3.132
221100:Terezina - PI;Total;163.600;115.082;278.682
;00:Até 0,50;626;493;1.119
;01:0,51 a 1,00;6.439;3.218;9.657
;02:1,01 a 1,50;75.252;53.899;129.151
;03:1,51 a 2,00;25.502;13.996;39.498
;04:2,01 a 3,00;18.046;12.579;30.625
;05:3,01 a 4,00;12.982;12.962;25.944
;06:4,01 a 5,00;4.577;5.665;10.242
;07:5,01 a 7,00;6.035;4.661;10.696
;08:7,01 a 10,00;5.642;3.223;8.865
;09:10,01 a 15,00;4.108;2.551;6.659
;10:15,01 a 20,00;1.592;754;2.346
;11:Mais de 20,00;1.552;732;2.284
;{ñ class};1.247;349;1.596
230440:Fortaleza - CE;Total;467.343;338.800;806.143
;00:Até 0,50;2.565;2.881;5.446
;01:0,51 a 1,00;24.808;22.079;46.887
;02:1,01 a 1,50;209.895;179.803;389.698
;03:1,51 a 2,00;78.792;31.868;110.660
;04:2,01 a 3,00;49.692;33.853;83.545
;05:3,01 a 4,00;20.554;16.696;37.250
;06:4,01 a 5,00;23.760;9.923;33.683
;07:5,01 a 7,00;19.487;16.164;35.651
;08:7,01 a 10,00;13.032;9.516;22.548
;09:10,01 a 15,00;10.082;7.204;17.286
;10:15,01 a 20,00;4.828;3.103;7.931
;11:Mais de 20,00;6.225;3.249;9.474
;{ñ class};3.623;2.461;6.084
240810:Natal - RN;Total;178.090;136.283;314.373
;00:Até 0,50;733;1.234;1.967
;01:0,51 a 1,00;5.950;5.643;11.593
;02:1,01 a 1,50;70.721;58.501;129.222
;03:1,51 a 2,00;28.804;15.977;44.781
;04:2,01 a 3,00;23.748;18.329;42.077
;05:3,01 a 4,00;16.906;13.420;30.326
;06:4,01 a 5,00;6.495;6.176;12.671
;07:5,01 a 7,00;7.345;5.286;12.631
;08:7,01 a 10,00;5.547;4.040;9.587
;09:10,01 a 15,00;4.690;3.215;7.905
;10:15,01 a 20,00;2.186;1.438;3.624
;11:Mais de 20,00;3.287;1.572;4.859
;{ñ class};1.678;1.452;3.130
250750:João Pessoa - PB;Total;171.503;124.621;296.124
;00:Até 0,50;552;492;1.044
;01:0,51 a 1,00;11.355;15.567;26.922
;02:1,01 a 1,50;71.113;51.141;122.254
;03:1,51 a 2,00;27.627;15.654;43.281
;04:2,01 a 3,00;25.854;17.171;43.025
;05:3,01 a 4,00;10.552;7.294;17.846
;06:4,01 a 5,00;4.336;3.501;7.837
;07:5,01 a 7,00;5.908;4.839;10.747
;08:7,01 a 10,00;5.295;3.289;8.584
;09:10,01 a 15,00;3.635;2.915;6.550
;10:15,01 a 20,00;1.753;1.123;2.876
;11:Mais de 20,00;1.995;922;2.917
;{ñ class};1.528;713;2.241
261160:Recife - PE;Total;433.486;322.466;755.952
;00:Até 0,50;2.260;2.856;5.116
;01:0,51 a 1,00;10.090;14.395;24.485
;02:1,01 a 1,50;143.805;119.109;262.914
;03:1,51 a 2,00;82.417;55.122;137.539
;04:2,01 a 3,00;64.720;40.420;105.140
;05:3,01 a 4,00;38.992;27.526;66.518
;06:4,01 a 5,00;21.110;15.136;36.246
;07:5,01 a 7,00;23.971;19.338;43.309
;08:7,01 a 10,00;16.896;12.265;29.161
;09:10,01 a 15,00;12.406;8.356;20.762
;10:15,01 a 20,00;4.730;2.695;7.425
;11:Mais de 20,00;6.214;3.052;9.266
;{ñ class};5.875;2.196;8.071
270430:Maceió - AL;Total;159.935;101.590;261.525
;00:Até 0,50;935;711;1.646
;01:0,51 a 1,00;7.026;5.791;12.817
;02:1,01 a 1,50;67.227;45.239;112.466
;03:1,51 a 2,00;27.749;13.026;40.775
;04:2,01 a 3,00;18.512;12.071;30.583
;05:3,01 a 4,00;9.402;5.664;15.066
;06:4,01 a 5,00;5.566;4.300;9.866
;07:5,01 a 7,00;7.976;5.846;13.822
;08:7,01 a 10,00;5.126;3.455;8.581
;09:10,01 a 15,00;3.299;2.050;5.349
;10:15,01 a 20,00;1.426;702;2.128
;11:Mais de 20,00;1.868;844;2.712
;{ñ class};3.823;1.891;5.714
280030:Aracaju - SE;Total;128.468;96.119;224.587
;00:Até 0,50;750;867;1.617
;01:0,51 a 1,00;7.070;5.568;12.638
;02:1,01 a 1,50;48.952;39.183;88.135
;03:1,51 a 2,00;22.891;11.931;34.822
;04:2,01 a 3,00;14.569;10.580;25.149
;05:3,01 a 4,00;6.879;6.526;13.405
;06:4,01 a 5,00;4.611;5.859;10.470
;07:5,01 a 7,00;8.150;6.813;14.963
;08:7,01 a 10,00;5.121;3.898;9.019
;09:10,01 a 15,00;3.583;2.146;5.729
;10:15,01 a 20,00;1.921;933;2.854
;11:Mais de 20,00;2.476;983;3.459
;{ñ class};1.495;832;2.327
292740:Salvador - BA;Total;460.675;335.763;796.438
;00:Até 0,50;2.372;2.259;4.631
;01:0,51 a 1,00;14.959;18.943;33.902
;02:1,01 a 1,50;152.882;133.457;286.339
;03:1,51 a 2,00;87.611;41.456;129.067
;04:2,01 a 3,00;67.278;35.540;102.818
;05:3,01 a 4,00;31.618;24.673;56.291
;06:4,01 a 5,00;26.718;18.354;45.072
;07:5,01 a 7,00;28.664;23.199;51.863
;08:7,01 a 10,00;16.671;16.931;33.602
;09:10,01 a 15,00;11.920;9.641;21.561
;10:15,01 a 20,00;6.060;3.874;9.934
;11:Mais de 20,00;7.887;4.243;12.130
;{ñ class};6.035;3.193;9.228
310620:Belo Horizonte - MG;Total;723.416;654.266;1.377.682
;00:Até 0,50;3.190;4.551;7.741
;01:0,51 a 1,00;18.332;28.035;46.367
;02:1,01 a 1,50;165.528;232.674;398.202
;03:1,51 a 2,00;128.082;84.260;212.342
;04:2,01 a 3,00;137.463;113.033;250.496
;05:3,01 a 4,00;71.665;56.521;128.186
;06:4,01 a 5,00;47.618;36.164;83.782
;07:5,01 a 7,00;50.674;40.171;90.845
;08:7,01 a 10,00;38.488;21.394;59.882
;09:10,01 a 15,00;26.384;15.844;42.228
;10:15,01 a 20,00;11.007;7.380;18.387
;11:Mais de 20,00;15.687;8.517;24.204
;{ñ class};9.298;5.722;15.020
320530:Vitória - ES;Total;125.722;114.378;240.100
;00:Até 0,50;1.446;1.430;2.876
;01:0,51 a 1,00;2.126;2.489;4.615
;02:1,01 a 1,50;22.038;36.070;58.108
;03:1,51 a 2,00;18.134;14.883;33.017
;04:2,01 a 3,00;19.796;15.227;35.023
;05:3,01 a 4,00;15.138;13.606;28.744
;06:4,01 a 5,00;8.952;7.161;16.113
;07:5,01 a 7,00;12.317;9.075;21.392
;08:7,01 a 10,00;9.932;5.797;15.729
;09:10,01 a 15,00;7.530;4.695;12.225
;10:15,01 a 20,00;2.968;1.436;4.404
;11:Mais de 20,00;3.645;1.462;5.107
;{ñ class};1.700;1.047;2.747
330455:Rio de Janeiro - RJ;Total;1.522.573;1.092.364;2.614.937
;00:Até 0,50;3.435;3.233;6.668
;01:0,51 a 1,00;25.070;30.560;55.630
;02:1,01 a 1,50;318.189;371.775;689.964
;03:1,51 a 2,00;282.407;171.896;454.303
;04:2,01 a 3,00;295.819;145.144;440.963
;05:3,01 a 4,00;141.232;86.778;228.010
;06:4,01 a 5,00;78.694;58.390;137.084
;07:5,01 a 7,00;110.626;73.523;184.149
;08:7,01 a 10,00;92.007;55.672;147.679
;09:10,01 a 15,00;65.192;42.792;107.984
;10:15,01 a 20,00;32.295;18.359;50.654
;11:Mais de 20,00;50.189;20.442;70.631
;{ñ class};27.418;13.800;41.218
355030:São Paulo - SP;Total;2.824.442;2.423.462;5.247.904
;00:Até 0,50;9.544;26.557;36.101
;01:0,51 a 1,00;46.880;73.431;120.311
;02:1,01 a 1,50;379.336;595.370;974.706
;03:1,51 a 2,00;587.872;448.777;1.036.649
;04:2,01 a 3,00;613.617;390.836;1.004.453
;05:3,01 a 4,00;303.990;230.757;534.747
;06:4,01 a 5,00;214.419;162.238;376.657
;07:5,01 a 7,00;217.352;182.178;399.530
;08:7,01 a 10,00;153.252;128.648;281.900
;09:10,01 a 15,00;115.124;88.036;203.160
;10:15,01 a 20,00;55.244;32.502;87.746
;11:Mais de 20,00;83.673;34.339;118.012
;{ñ class};44.139;29.793;73.932
410690:Curitiba - PR;Total;483.059;453.100;936.159
;00:Até 0,50;679;1.018;1.697
;01:0,51 a 1,00;7.805;12.485;20.290
;02:1,01 a 1,50;64.030;109.356;173.386
;03:1,51 a 2,00;81.840;83.034;164.874
;04:2,01 a 3,00;114.132;78.844;192.976
;05:3,01 a 4,00;54.400;50.099;104.499
;06:4,01 a 5,00;32.729;31.911;64.640
;07:5,01 a 7,00;48.342;34.877;83.219
;08:7,01 a 10,00;30.392;23.291;53.683
;09:10,01 a 15,00;21.246;12.349;33.595
;10:15,01 a 20,00;8.633;4.839;13.472
;11:Mais de 20,00;11.265;4.579;15.844
;{ñ class};7.566;6.418;13.984
420540:Florianópolis - SC;Total;140.070;137.671;277.741
;00:Até 0,50;259;374;633
;01:0,51 a 1,00;2.308;5.193;7.501
;02:1,01 a 1,50;15.351;27.037;42.388
;03:1,51 a 2,00;21.580;23.325;44.905
;04:2,01 a 3,00;25.200;20.402;45.602
;05:3,01 a 4,00;19.040;10.573;29.613
;06:4,01 a 5,00;11.809;9.984;21.793
;07:5,01 a 7,00;13.663;17.230;30.893
;08:7,01 a 10,00;9.541;9.398;18.939
;09:10,01 a 15,00;8.745;6.431;15.176
;10:15,01 a 20,00;4.555;2.376;6.931
;11:Mais de 20,00;5.347;2.278;7.625
;{ñ class};2.672;3.070;5.742
431490:Porto Alegre - RS;Total;385.072;386.017;771.089
;00:Até 0,50;1.597;1.704;3.301
;01:0,51 a 1,00;9.025;16.314;25.339
;02:1,01 a 1,50;61.147;94.651;155.798
;03:1,51 a 2,00;70.602;66.641;137.243
;04:2,01 a 3,00;78.614;77.841;156.455
;05:3,01 a 4,00;41.157;35.235;76.392
;06:4,01 a 5,00;22.558;19.621;42.179
;07:5,01 a 7,00;30.108;22.734;52.842
;08:7,01 a 10,00;23.421;18.605;42.026
;09:10,01 a 15,00;17.871;13.933;31.804
;10:15,01 a 20,00;8.822;5.873;14.695
;11:Mais de 20,00;11.129;5.893;17.022
;{ñ class};9.021;6.972;15.993
500270:Campo Grande - MS;Total;151.084;122.301;273.385
;00:Até 0,50;491;700;1.191
;01:0,51 a 1,00;3.546;4.648;8.194
;02:1,01 a 1,50;40.488;47.510;87.998
;03:1,51 a 2,00;29.829;19.082;48.911
;04:2,01 a 3,00;28.202;13.415;41.617
;05:3,01 a 4,00;13.694;9.674;23.368
;06:4,01 a 5,00;6.935;6.850;13.785
;07:5,01 a 7,00;9.492;6.747;16.239
;08:7,01 a 10,00;6.824;6.181;13.005
;09:10,01 a 15,00;4.318;3.170;7.488
;10:15,01 a 20,00;1.910;1.241;3.151
;11:Mais de 20,00;3.005;1.164;4.169
;{ñ class};2.350;1.919;4.269
510340:Cuiabá - MT;Total;138.265;106.775;245.040
;00:Até 0,50;563;581;1.144
;01:0,51 a 1,00;2.879;4.769;7.648
;02:1,01 a 1,50;30.230;33.981;64.211
;03:1,51 a 2,00;26.707;15.078;41.785
;04:2,01 a 3,00;24.884;14.079;38.963
;05:3,01 a 4,00;14.866;9.611;24.477
;06:4,01 a 5,00;8.974;6.847;15.821
;07:5,01 a 7,00;11.142;8.810;19.952
;08:7,01 a 10,00;6.596;5.657;12.253
;09:10,01 a 15,00;4.846;3.801;8.647
;10:15,01 a 20,00;2.260;1.350;3.610
;11:Mais de 20,00;2.848;1.380;4.228
;{ñ class};1.470;831;2.301
520870:Goiânia - GO;Total;326.916;287.324;614.240
;00:Até 0,50;2.876;2.528;5.404
;01:0,51 a 1,00;12.681;17.234;29.915
;02:1,01 a 1,50;86.105;100.536;186.641
;03:1,51 a 2,00;62.759;43.888;106.647
;04:2,01 a 3,00;60.322;35.185;95.507
;05:3,01 a 4,00;25.759;20.190;45.949
;06:4,01 a 5,00;14.210;16.580;30.790
;07:5,01 a 7,00;27.277;26.236;53.513
;08:7,01 a 10,00;14.730;11.788;26.518
;09:10,01 a 15,00;8.725;7.273;15.998
;10:15,01 a 20,00;3.772;2.117;5.889
;11:Mais de 20,00;4.456;1.937;6.393
;{ñ class};3.244;1.832;5.076
530010:Brasília - DF;Total;825.479;476.805;1.302.284
;00:Até 0,50;2.517;2.164;4.681
;01:0,51 a 1,00;65.114;8.944;74.058
;02:1,01 a 1,50;149.442;144.259;293.701
;03:1,51 a 2,00;118.836;52.338;171.174
;04:2,01 a 3,00;111.535;43.098;154.633
;05:3,01 a 4,00;65.517;26.888;92.405
;06:4,01 a 5,00;35.871;23.179;59.050
;07:5,01 a 7,00;63.036;40.816;103.852
;08:7,01 a 10,00;71.629;41.860;113.489
;09:10,01 a 15,00;62.557;50.167;112.724
;10:15,01 a 20,00;30.719;16.890;47.609
;11:Mais de 20,00;40.035;21.413;61.448
;{ñ class};8.671;4.789;13.460
{ñ class};Total;17.088.734;12.286.841;29.375.575
;00:Até 0,50;53.607;63.819;117.426
;01:0,51 a 1,00;679.324;767.100;1.446.424
;02:1,01 a 1,50;4.577.247;5.209.048;9.786.295
;03:1,51 a 2,00;3.729.990;2.420.820;6.150.810
;04:2,01 a 3,00;3.727.126;1.732.807;5.459.933
;05:3,01 a 4,00;1.577.366;764.075;2.341.441
;06:4,01 a 5,00;772.444;404.413;1.176.857
;07:5,01 a 7,00;721.411;382.931;1.104.342
;08:7,01 a 10,00;440.987;203.798;644.785
;09:10,01 a 15,00;282.823;112.846;395.669
;10:15,01 a 20,00;112.845;34.632;147.477
;11:Mais de 20,00;115.683;22.109;137.792
;{ñ class};297.881;168.443;466.324
Total;Total;28.003.631;20.944.802;48.948.433
;00:Até 0,50;96.601;125.100;221.701
;01:0,51 a 1,00;998.274;1.094.082;2.092.356
;02:1,01 a 1,50;7.060.964;7.966.966;15.027.930
;03:1,51 a 2,00;5.738.710;3.759.487;9.498.197
;04:2,01 a 3,00;5.717.382;2.980.682;8.698.064
;05:3,01 a 4,00;2.595.561;1.504.799;4.100.360
;06:4,01 a 5,00;1.413.549;907.847;2.321.396
;07:5,01 a 7,00;1.492.708;994.374;2.487.082
;08:7,01 a 10,00;1.020.597;628.651;1.649.248
;09:10,01 a 15,00;710.542;420.818;1.131.360
;10:15,01 a 20,00;312.283;150.656;462.939
;11:Mais de 20,00;395.230;149.187;544.417
;{ñ class};451.230;262.153;713.383

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2013
Vínculo Ativo 31/12;igual a;Sim
