;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;108.283;81.502;189.785
;00:Até 0,50;539;489;1.028
;01:0,51 a 1,00;1.667;1.854;3.521
;02:1,01 a 1,50;17.707;24.509;42.216
;03:1,51 a 2,00;20.516;14.625;35.141
;04:2,01 a 3,00;22.504;12.868;35.372
;05:3,01 a 4,00;15.921;12.693;28.614
;06:4,01 a 5,00;7.045;3.947;10.992
;07:5,01 a 7,00;8.478;4.376;12.854
;08:7,01 a 10,00;5.319;2.612;7.931
;09:10,01 a 15,00;3.492;1.741;5.233
;10:15,01 a 20,00;1.885;733;2.618
;11:Mais de 20,00;1.969;658;2.627
;{ñ class};1.241;397;1.638
120040:Rio Branco - AC;Total;55.578;45.991;101.569
;00:Até 0,50;187;147;334
;01:0,51 a 1,00;1.598;1.192;2.790
;02:1,01 a 1,50;16.112;13.211;29.323
;03:1,51 a 2,00;10.270;6.371;16.641
;04:2,01 a 3,00;9.925;7.548;17.473
;05:3,01 a 4,00;6.043;5.097;11.140
;06:4,01 a 5,00;3.237;4.661;7.898
;07:5,01 a 7,00;2.930;3.956;6.886
;08:7,01 a 10,00;1.994;1.902;3.896
;09:10,01 a 15,00;1.295;870;2.165
;10:15,01 a 20,00;549;385;934
;11:Mais de 20,00;873;416;1.289
;{ñ class};565;235;800
130260:Manaus - AM;Total;326.270;231.680;557.950
;00:Até 0,50;2.539;1.945;4.484
;01:0,51 a 1,00;6.591;5.987;12.578
;02:1,01 a 1,50;85.070;81.240;166.310
;03:1,51 a 2,00;64.752;38.507;103.259
;04:2,01 a 3,00;71.701;47.499;119.200
;05:3,01 a 4,00;28.153;15.193;43.346
;06:4,01 a 5,00;18.711;12.152;30.863
;07:5,01 a 7,00;16.747;10.523;27.270
;08:7,01 a 10,00;13.105;8.743;21.848
;09:10,01 a 15,00;8.053;4.773;12.826
;10:15,01 a 20,00;3.270;1.589;4.859
;11:Mais de 20,00;4.407;1.793;6.200
;{ñ class};3.171;1.736;4.907
140010:Boa Vista - RR;Total;40.976;40.693;81.669
;00:Até 0,50;177;181;358
