;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;86.572;77.516;164.088
;00:Até 0,50;428;398;826
;01:0,51 a 1,00;1.754;1.891;3.645
;02:1,01 a 1,50;18.242;24.084;42.326
;03:1,51 a 2,00;14.684;12.772;27.456
;04:2,01 a 3,00;18.344;14.468;32.812
;05:3,01 a 4,00;9.091;10.484;19.575
;06:4,01 a 5,00;6.213;3.585;9.798
;07:5,01 a 7,00;6.273;3.855;10.128
;08:7,01 a 10,00;3.955;2.223;6.178
;09:10,01 a 15,00;3.053;1.931;4.984
;10:15,01 a 20,00;1.463;628;2.091
;11:Mais de 20,00;1.532;521;2.053
;{ñ class};1.540;676;2.216
120040:Rio Branco - AC;Total;51.635;46.764;98.399
;00:Até 0,50;252;259;511
;01:0,51 a 1,00;1.520;1.599;3.119
;02:1,01 a 1,50;15.004;14.745;29.749
;03:1,51 a 2,00;8.654;5.863;14.517
;04:2,01 a 3,00;8.862;9.183;18.045
;05:3,01 a 4,00;6.244;5.180;11.424
;06:4,01 a 5,00;2.766;2.978;5.744
;07:5,01 a 7,00;3.029;3.353;6.382
;08:7,01 a 10,00;1.645;1.485;3.130
;09:10,01 a 15,00;1.410;1.070;2.480
;10:15,01 a 20,00;684;348;1.032
;11:Mais de 20,00;818;339;1.157
;{ñ class};747;362;1.109
130260:Manaus - AM;Total;275.987;210.942;486.929
;00:Até 0,50;2.307;1.922;4.229
;01:0,51 a 1,00;6.324;6.635;12.959
;02:1,01 a 1,50;78.170;76.342;154.512
;03:1,51 a 2,00;55.158;37.510;92.668
;04:2,01 a 3,00;54.113;35.711;89.824
;05:3,01 a 4,00;20.591;15.797;36.388
;06:4,01 a 5,00;14.694;9.500;24.194
;07:5,01 a 7,00;15.728;10.875;26.603
;08:7,01 a 10,00;11.190;7.577;18.767
;09:10,01 a 15,00;7.356;4.027;11.383
;10:15,01 a 20,00;2.846;1.517;4.363
;11:Mais de 20,00;3.528;1.340;4.868
;{ñ class};3.982;2.189;6.171
140010:Boa Vista - RR;Total;42.452;42.192;84.644
;00:Até 0,50;229;220;449
;01:0,51 a 1,00;1.513;1.696;3.209
;02:1,01 a 1,50;13.465;14.601;28.066
;03:1,51 a 2,00;6.553;3.780;10.333
;04:2,01 a 3,00;6.399;6.670;13.069
;05:3,01 a 4,00;3.396;3.720;7.116
;06:4,01 a 5,00;2.259;2.814;5.073
;07:5,01 a 7,00;4.062;5.187;9.249
;08:7,01 a 10,00;1.815;1.742;3.557
;09:10,01 a 15,00;1.205;975;2.180
;10:15,01 a 20,00;610;344;954
;11:Mais de 20,00;683;295;978
;{ñ class};263;148;411
150140:Belém - PA;Total;230.314;177.739;408.053
;00:Até 0,50;1.623;1.893;3.516
;01:0,51 a 1,00;7.553;6.802;14.355
;02:1,01 a 1,50;66.827;61.150;127.977
;03:1,51 a 2,00;37.035;22.163;59.198
;04:2,01 a 3,00;38.273;19.554;57.827
;05:3,01 a 4,00;21.878;14.047;35.925
;06:4,01 a 5,00;12.910;11.738;24.648
;07:5,01 a 7,00;15.384;16.395;31.779
;08:7,01 a 10,00;11.565;11.974;23.539
;09:10,01 a 15,00;7.836;6.237;14.073
;10:15,01 a 20,00;3.052;2.108;5.160
;11:Mais de 20,00;3.644;2.386;6.030
;{ñ class};2.734;1.292;4.026
160030:Macapá - AP;Total;55.308;52.010;107.318
;00:Até 0,50;493;375;868
;01:0,51 a 1,00;3.124;2.915;6.039
;02:1,01 a 1,50;15.398;13.988;29.386
;03:1,51 a 2,00;7.528;7.002;14.530
;04:2,01 a 3,00;10.744;9.963;20.707
;05:3,01 a 4,00;5.742;6.573;12.315
;06:4,01 a 5,00;2.594;2.828;5.422
;07:5,01 a 7,00;4.303;4.426;8.729
;08:7,01 a 10,00;2.167;1.936;4.103
;09:10,01 a 15,00;1.325;1.010;2.335
;10:15,01 a 20,00;674;390;1.064
;11:Mais de 20,00;831;435;1.266
;{ñ class};385;169;554
172100:Palmas - TO;Total;63.462;64.439;127.901
;00:Até 0,50;542;509;1.051
;01:0,51 a 1,00;2.633;2.791;5.424
;02:1,01 a 1,50;16.280;19.281;35.561
;03:1,51 a 2,00;8.581;5.847;14.428
;04:2,01 a 3,00;10.212;8.392;18.604
;05:3,01 a 4,00;5.565;7.449;13.014
;06:4,01 a 5,00;3.834;6.791;10.625
;07:5,01 a 7,00;5.900;7.052;12.952
;08:7,01 a 10,00;3.855;2.831;6.686
;09:10,01 a 15,00;2.904;1.946;4.850
;10:15,01 a 20,00;1.204;670;1.874
;11:Mais de 20,00;1.558;705;2.263
;{ñ class};394;175;569
211130:São Luiz - MA;Total;182.044;149.189;331.233
;00:Até 0,50;451;447;898
;01:0,51 a 1,00;6.587;8.431;15.018
;02:1,01 a 1,50;55.519;56.205;111.724
;03:1,51 a 2,00;29.888;17.220;47.108
;04:2,01 a 3,00;29.445;18.654;48.099
;05:3,01 a 4,00;15.339;13.151;28.490
;06:4,01 a 5,00;10.265;12.712;22.977
;07:5,01 a 7,00;12.578;9.175;21.753
;08:7,01 a 10,00;7.191;5.701;12.892
;09:10,01 a 15,00;5.207;3.380;8.587
;10:15,01 a 20,00;1.735;1.117;2.852
;11:Mais de 20,00;2.405;998;3.403
;{ñ class};5.434;1.998;7.432
221100:Terezina - PI;Total;153.244;123.678;276.922
;00:Até 0,50;620;535;1.155
;01:0,51 a 1,00;5.042;4.844;9.886
;02:1,01 a 1,50;66.579;58.238;124.817
;03:1,51 a 2,00;23.353;15.404;38.757
;04:2,01 a 3,00;18.417;12.235;30.652
;05:3,01 a 4,00;9.713;12.224;21.937
;06:4,01 a 5,00;7.770;6.095;13.865
;07:5,01 a 7,00;5.318;5.043;10.361
;08:7,01 a 10,00;6.312;3.875;10.187
;09:10,01 a 15,00;4.746;2.905;7.651
;10:15,01 a 20,00;1.770;935;2.705
;11:Mais de 20,00;1.687;747;2.434
;{ñ class};1.917;598;2.515
230440:Fortaleza - CE;Total;433.446;339.587;773.033
;00:Até 0,50;2.708;2.795;5.503
;01:0,51 a 1,00;19.196;20.036;39.232
;02:1,01 a 1,50;186.287;172.169;358.456
;03:1,51 a 2,00;69.433;35.260;104.693
;04:2,01 a 3,00;54.611;34.369;88.980
;05:3,01 a 4,00;31.208;19.900;51.108
;06:4,01 a 5,00;18.378;11.610;29.988
;07:5,01 a 7,00;16.760;18.061;34.821
;08:7,01 a 10,00;10.723;9.491;20.214
;09:10,01 a 15,00;9.099;6.732;15.831
;10:15,01 a 20,00;4.472;2.878;7.350
;11:Mais de 20,00;5.380;2.781;8.161
;{ñ class};5.191;3.505;8.696
240810:Natal - RN;Total;165.705;133.895;299.600
;00:Até 0,50;1.276;1.504;2.780
;01:0,51 a 1,00;5.230;5.645;10.875
;02:1,01 a 1,50;62.758;57.593;120.351
;03:1,51 a 2,00;25.779;15.224;41.003
;04:2,01 a 3,00;24.261;18.714;42.975
;05:3,01 a 4,00;14.384;11.781;26.165
;06:4,01 a 5,00;7.821;6.763;14.584
;07:5,01 a 7,00;7.293;5.713;13.006
