;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;114.037;77.365;191.402
;00:Até 0,50;474;449;923
;01:0,51 a 1,00;2.451;3.564;6.015
;02:1,01 a 1,50;15.920;21.184;37.104
;03:1,51 a 2,00;21.652;14.677;36.329
;04:2,01 a 3,00;24.283;11.631;35.914
;05:3,01 a 4,00;18.165;11.326;29.491
;06:4,01 a 5,00;6.915;3.558;10.473
;07:5,01 a 7,00;9.029;4.426;13.455
;08:7,01 a 10,00;5.830;2.872;8.702
;09:10,01 a 15,00;3.838;1.804;5.642
;10:15,01 a 20,00;2.055;696;2.751
;11:Mais de 20,00;2.605;909;3.514
;{ñ class};820;269;1.089
120040:Rio Branco - AC;Total;52.672;44.287;96.959
;00:Até 0,50;175;161;336
;01:0,51 a 1,00;1.509;1.176;2.685
;02:1,01 a 1,50;15.056;11.927;26.983
;03:1,51 a 2,00;9.258;6.138;15.396
;04:2,01 a 3,00;8.721;6.712;15.433
;05:3,01 a 4,00;5.675;5.068;10.743
;06:4,01 a 5,00;3.388;5.149;8.537
;07:5,01 a 7,00;3.200;4.060;7.260
;08:7,01 a 10,00;2.126;1.751;3.877
;09:10,01 a 15,00;1.423;1.024;2.447
;10:15,01 a 20,00;649;455;1.104
;11:Mais de 20,00;1.066;487;1.553
;{ñ class};426;179;605
130260:Manaus - AM;Total;301.003;212.935;513.938
;00:Até 0,50;1.687;1.302;2.989
;01:0,51 a 1,00;5.487;6.043;11.530
;02:1,01 a 1,50;71.352;71.398;142.750
;03:1,51 a 2,00;62.083;32.550;94.633
;04:2,01 a 3,00;69.403;49.491;118.894
;05:3,01 a 4,00;28.087;13.866;41.953
;06:4,01 a 5,00;14.467;8.521;22.988
;07:5,01 a 7,00;15.706;10.064;25.770
;08:7,01 a 10,00;13.059;9.496;22.555
;09:10,01 a 15,00;8.601;4.874;13.475
;10:15,01 a 20,00;3.605;1.805;5.410
;11:Mais de 20,00;4.933;2.145;7.078
;{ñ class};2.533;1.380;3.913
140010:Boa Vista - RR;Total;40.944;42.079;83.023
;00:Até 0,50;90;73;163
;01:0,51 a 1,00;1.794;3.157;4.951
;02:1,01 a 1,50;13.501;14.735;28.236
;03:1,51 a 2,00;5.918;3.629;9.547
;04:2,01 a 3,00;5.452;4.768;10.220
;05:3,01 a 4,00;2.535;2.817;5.352
;06:4,01 a 5,00;2.216;2.843;5.059
;07:5,01 a 7,00;4.315;5.710;10.025
;08:7,01 a 10,00;1.924;2.164;4.088
;09:10,01 a 15,00;1.385;1.013;2.398
;10:15,01 a 20,00;508;277;785
;11:Mais de 20,00;855;426;1.281
;{ñ class};451;467;918
150140:Belém - PA;Total;247.473;172.550;420.023
;00:Até 0,50;1.339;1.358;2.697
;01:0,51 a 1,00;9.888;11.326;21.214
;02:1,01 a 1,50;73.248;56.904;130.152
;03:1,51 a 2,00;43.376;21.404;64.780
;04:2,01 a 3,00;42.971;22.194;65.165
;05:3,01 a 4,00;21.355;13.866;35.221
;06:4,01 a 5,00;10.319;10.101;20.420
;07:5,01 a 7,00;15.479;14.819;30.298
;08:7,01 a 10,00;11.769;9.509;21.278
;09:10,01 a 15,00;7.419;5.148;12.567
;10:15,01 a 20,00;2.778;1.963;4.741
;11:Mais de 20,00;4.921;2.961;7.882
;{ñ class};2.611;997;3.608
160030:Macapá - AP;Total;52.882;43.714;96.596
;00:Até 0,50;351;310;661
;01:0,51 a 1,00;2.747;2.173;4.920
;02:1,01 a 1,50;14.412;10.563;24.975
;03:1,51 a 2,00;8.219;6.130;14.349
;04:2,01 a 3,00;6.748;3.495;10.243
;05:3,01 a 4,00;3.291;3.035;6.326
;06:4,01 a 5,00;3.816;4.243;8.059
;07:5,01 a 7,00;5.718;6.642;12.360
;08:7,01 a 10,00;3.620;4.539;8.159
;09:10,01 a 15,00;1.875;1.519;3.394
;10:15,01 a 20,00;641;389;1.030
;11:Mais de 20,00;1.218;571;1.789
;{ñ class};226;105;331
172100:Palmas - TO;Total;57.464;51.729;109.193
;00:Até 0,50;120;121;241
;01:0,51 a 1,00;1.978;1.433;3.411
;02:1,01 a 1,50;14.113;11.499;25.612
;03:1,51 a 2,00;10.099;6.578;16.677
;04:2,01 a 3,00;7.878;6.501;14.379
;05:3,01 a 4,00;3.716;4.023;7.739
;06:4,01 a 5,00;3.026;4.933;7.959
;07:5,01 a 7,00;6.876;10.602;17.478
;08:7,01 a 10,00;4.063;2.711;6.774
;09:10,01 a 15,00;2.415;1.707;4.122
;10:15,01 a 20,00;1.166;765;1.931
;11:Mais de 20,00;1.799;771;2.570
;{ñ class};215;85;300
211130:São Luiz - MA;Total;197.820;139.320;337.140
;00:Até 0,50;457;264;721
;01:0,51 a 1,00;8.303;7.676;15.979
;02:1,01 a 1,50;65.516;53.637;119.153
;03:1,51 a 2,00;34.433;16.527;50.960
;04:2,01 a 3,00;30.285;16.367;46.652
;05:3,01 a 4,00;17.135;19.233;36.368
;06:4,01 a 5,00;10.704;6.806;17.510
;07:5,01 a 7,00;10.810;7.640;18.450
;08:7,01 a 10,00;7.722;4.964;12.686
;09:10,01 a 15,00;5.222;3.026;8.248
;10:15,01 a 20,00;2.304;1.010;3.314
;11:Mais de 20,00;2.808;1.266;4.074
;{ñ class};2.121;904;3.025
221100:Terezina - PI;Total;149.692;104.652;254.344
;00:Até 0,50;523;417;940
;01:0,51 a 1,00;6.218;3.499;9.717
;02:1,01 a 1,50;66.623;45.330;111.953
;03:1,51 a 2,00;22.972;12.996;35.968
;04:2,01 a 3,00;18.417;13.130;31.547
;05:3,01 a 4,00;11.151;13.724;24.875
;06:4,01 a 5,00;3.669;3.960;7.629
;07:5,01 a 7,00;5.860;4.135;9.995
;08:7,01 a 10,00;5.557;3.110;8.667
;09:10,01 a 15,00;4.240;2.415;6.655
;10:15,01 a 20,00;1.611;807;2.418
;11:Mais de 20,00;1.913;848;2.761
;{ñ class};938;281;1.219
230440:Fortaleza - CE;Total;441.487;325.530;767.017
;00:Até 0,50;1.735;1.737;3.472
;01:0,51 a 1,00;24.759;22.116;46.875
;02:1,01 a 1,50;200.594;165.545;366.139
;03:1,51 a 2,00;72.122;31.103;103.225
;04:2,01 a 3,00;46.768;33.650;80.418
;05:3,01 a 4,00;24.261;17.141;41.402
;06:4,01 a 5,00;18.103;10.499;28.602
;07:5,01 a 7,00;16.521;18.549;35.070
;08:7,01 a 10,00;12.804;9.737;22.541
;09:10,01 a 15,00;9.585;6.906;16.491
;10:15,01 a 20,00;4.424;3.084;7.508
;11:Mais de 20,00;6.814;3.622;10.436
;{ñ class};2.997;1.841;4.838
240810:Natal - RN;Total;174.282;134.521;308.803
;00:Até 0,50;659;734;1.393
;01:0,51 a 1,00;5.121;5.415;10.536
;02:1,01 a 1,50;69.963;54.279;124.242
;03:1,51 a 2,00;27.608;17.293;44.901
;04:2,01 a 3,00;24.047;24.136;48.183
;05:3,01 a 4,00;17.357;10.826;28.183
;06:4,01 a 5,00;6.180;4.785;10.965
;07:5,01 a 7,00;5.813;5.038;10.851
;08:7,01 a 10,00;5.390;3.918;9.308
;09:10,01 a 15,00;4.856;3.581;8.437
;10:15,01 a 20,00;2.410;1.735;4.145
;11:Mais de 20,00;3.712;1.896;5.608
;{ñ class};1.166;885;2.051
250750:João Pessoa - PB;Total;161.584;120.000;281.584
;00:Até 0,50;433;334;767
;01:0,51 a 1,00;12.563;15.403;27.966
;02:1,01 a 1,50;68.773;47.258;116.031
;03:1,51 a 2,00;23.171;14.174;37.345
;04:2,01 a 3,00;19.728;17.468;37.196
