;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;83.443;74.616;158.059
;00:Até 0,50;449;514;963
;01:0,51 a 1,00;1.643;1.751;3.394
;02:1,01 a 1,50;18.244;23.417;41.661
;03:1,51 a 2,00;15.829;12.762;28.591
;04:2,01 a 3,00;15.377;10.961;26.338
;05:3,01 a 4,00;9.761;11.876;21.637
;06:4,01 a 5,00;4.822;3.162;7.984
;07:5,01 a 7,00;7.190;4.277;11.467
;08:7,01 a 10,00;3.406;2.361;5.767
;09:10,01 a 15,00;2.775;1.794;4.569
;10:15,01 a 20,00;1.230;462;1.692
;11:Mais de 20,00;1.431;469;1.900
;{ñ class};1.286;810;2.096
120040:Rio Branco - AC;Total;50.639;43.946;94.585
;00:Até 0,50;274;217;491
;01:0,51 a 1,00;1.696;1.800;3.496
;02:1,01 a 1,50;15.003;13.486;28.489
;03:1,51 a 2,00;8.567;5.504;14.071
;04:2,01 a 3,00;7.205;7.119;14.324
;05:3,01 a 4,00;3.442;4.449;7.891
;06:4,01 a 5,00;3.098;3.624;6.722
;07:5,01 a 7,00;5.032;3.491;8.523
;08:7,01 a 10,00;2.671;2.182;4.853
;09:10,01 a 15,00;1.646;1.146;2.792
;10:15,01 a 20,00;622;348;970
;11:Mais de 20,00;745;288;1.033
;{ñ class};638;292;930
130260:Manaus - AM;Total;280.557;207.906;488.463
;00:Até 0,50;2.441;2.053;4.494
;01:0,51 a 1,00;5.865;5.715;11.580
;02:1,01 a 1,50;79.125;71.981;151.106
;03:1,51 a 2,00;61.742;40.690;102.432
;04:2,01 a 3,00;52.081;33.791;85.872
;05:3,01 a 4,00;20.507;15.154;35.661
;06:4,01 a 5,00;12.838;10.467;23.305
;07:5,01 a 7,00;16.567;11.315;27.882
;08:7,01 a 10,00;10.864;7.024;17.888
;09:10,01 a 15,00;7.973;4.538;12.511
;10:15,01 a 20,00;3.140;1.611;4.751
;11:Mais de 20,00;3.669;1.529;5.198
;{ñ class};3.745;2.038;5.783
140010:Boa Vista - RR;Total;43.270;43.576;86.846
;00:Até 0,50;208;196;404
;01:0,51 a 1,00;1.372;1.442;2.814
;02:1,01 a 1,50;14.409;15.343;29.752
;03:1,51 a 2,00;6.637;3.912;10.549
;04:2,01 a 3,00;5.921;6.379;12.300
;05:3,01 a 4,00;3.695;4.295;7.990
;06:4,01 a 5,00;1.743;2.477;4.220
;07:5,01 a 7,00;3.557;4.746;8.303
;08:7,01 a 10,00;2.356;2.503;4.859
;09:10,01 a 15,00;1.626;1.380;3.006
;10:15,01 a 20,00;703;369;1.072
;11:Mais de 20,00;743;345;1.088
;{ñ class};300;189;489
150140:Belém - PA;Total;234.592;174.685;409.277
;00:Até 0,50;2.125;2.082;4.207
;01:0,51 a 1,00;7.230;5.945;13.175
;02:1,01 a 1,50;65.291;56.321;121.612
;03:1,51 a 2,00;41.906;24.898;66.804
;04:2,01 a 3,00;39.432;19.880;59.312
;05:3,01 a 4,00;21.871;14.874;36.745
;06:4,01 a 5,00;12.018;11.336;23.354
;07:5,01 a 7,00;15.132;15.966;31.098
;08:7,01 a 10,00;10.687;11.153;21.840
;09:10,01 a 15,00;8.485;6.203;14.688
;10:15,01 a 20,00;3.385;2.212;5.597
;11:Mais de 20,00;4.006;2.576;6.582
;{ñ class};3.024;1.239;4.263
160030:Macapá - AP;Total;56.365;52.593;108.958
;00:Até 0,50;555;400;955
;01:0,51 a 1,00;2.663;2.696;5.359
;02:1,01 a 1,50;16.058;13.715;29.773
;03:1,51 a 2,00;7.002;5.180;12.182
;04:2,01 a 3,00;7.637;6.193;13.830
;05:3,01 a 4,00;3.400;3.173;6.573
;06:4,01 a 5,00;2.094;2.627;4.721
;07:5,01 a 7,00;7.317;8.798;16.115
;08:7,01 a 10,00;4.639;6.334;10.973
;09:10,01 a 15,00;2.624;2.247;4.871
;10:15,01 a 20,00;852;495;1.347
;11:Mais de 20,00;1.177;577;1.754
;{ñ class};347;158;505
172100:Palmas - TO;Total;65.074;67.248;132.322
;00:Até 0,50;457;511;968
;01:0,51 a 1,00;3.084;3.379;6.463
;02:1,01 a 1,50;16.456;20.777;37.233
;03:1,51 a 2,00;8.869;6.362;15.231
;04:2,01 a 3,00;10.237;8.186;18.423
;05:3,01 a 4,00;6.220;8.540;14.760
;06:4,01 a 5,00;3.649;5.996;9.645
;07:5,01 a 7,00;4.642;6.777;11.419
;08:7,01 a 10,00;4.283;2.873;7.156
;09:10,01 a 15,00;3.369;1.999;5.368
;10:15,01 a 20,00;1.511;818;2.329
;11:Mais de 20,00;1.833;792;2.625
;{ñ class};464;238;702
211130:São Luiz - MA;Total;187.257;153.078;340.335
;00:Até 0,50;1.570;2.431;4.001
;01:0,51 a 1,00;6.440;8.530;14.970
;02:1,01 a 1,50;55.704;55.245;110.949
;03:1,51 a 2,00;33.748;19.006;52.754
;04:2,01 a 3,00;26.642;18.157;44.799
;05:3,01 a 4,00;16.497;13.526;30.023
;06:4,01 a 5,00;10.462;13.803;24.265
;07:5,01 a 7,00;14.126;9.944;24.070
;08:7,01 a 10,00;9.028;5.833;14.861
;09:10,01 a 15,00;4.617;2.713;7.330
;10:15,01 a 20,00;2.561;1.558;4.119
;11:Mais de 20,00;2.422;997;3.419
;{ñ class};3.440;1.335;4.775
221100:Terezina - PI;Total;151.796;124.342;276.138
;00:Até 0,50;968;871;1.839
;01:0,51 a 1,00;5.871;6.502;12.373
;02:1,01 a 1,50;64.550;56.699;121.249
;03:1,51 a 2,00;24.569;15.934;40.503
;04:2,01 a 3,00;17.221;12.494;29.715
;05:3,01 a 4,00;10.174;7.939;18.113
;06:4,01 a 5,00;6.820;9.474;16.294
;07:5,01 a 7,00;4.988;5.048;10.036
;08:7,01 a 10,00;5.347;3.548;8.895
;09:10,01 a 15,00;5.461;3.162;8.623
;10:15,01 a 20,00;2.061;1.003;3.064
;11:Mais de 20,00;1.746;883;2.629
;{ñ class};2.020;785;2.805
230440:Fortaleza - CE;Total;434.330;334.082;768.412
;00:Até 0,50;3.194;3.144;6.338
;01:0,51 a 1,00;18.269;18.504;36.773
;02:1,01 a 1,50;179.597;161.564;341.161
;03:1,51 a 2,00;72.199;39.451;111.650
;04:2,01 a 3,00;55.375;34.331;89.706
;05:3,01 a 4,00;30.192;19.837;50.029
;06:4,01 a 5,00;18.581;12.582;31.163
;07:5,01 a 7,00;21.410;17.609;39.019
;08:7,01 a 10,00;10.827;10.725;21.552
;09:10,01 a 15,00;8.802;6.783;15.585
;10:15,01 a 20,00;5.082;3.093;8.175
;11:Mais de 20,00;5.655;3.037;8.692
;{ñ class};5.147;3.422;8.569
240810:Natal - RN;Total;165.862;130.354;296.216
;00:Até 0,50;1.644;1.962;3.606
;01:0,51 a 1,00;5.635;5.175;10.810
;02:1,01 a 1,50;60.689;56.497;117.186
;03:1,51 a 2,00;25.803;14.636;40.439
;04:2,01 a 3,00;24.339;17.603;41.942
;05:3,01 a 4,00;12.752;10.965;23.717
;06:4,01 a 5,00;9.340;6.706;16.046
;07:5,01 a 7,00;8.000;5.965;13.965
;08:7,01 a 10,00;4.975;3.355;8.330
;09:10,01 a 15,00;5.208;3.232;8.440
;10:15,01 a 20,00;2.840;1.605;4.445
;11:Mais de 20,00;2.551;1.099;3.650
;{ñ class};2.086;1.554;3.640
250750:João Pessoa - PB;Total;149.372;115.707;265.079
;00:Até 0,50;740;591;1.331
;01:0,51 a 1,00;10.565;13.867;24.432
;02:1,01 a 1,50;59.569;47.919;107.488
;03:1,51 a 2,00;22.252;13.114;35.366
;04:2,01 a 3,00;25.694;15.979;41.673
;05:3,01 a 4,00;7.658;6.957;14.615
;06:4,01 a 5,00;4.032;3.970;8.002
;07:5,01 a 7,00;5.403;4.237;9.640
;08:7,01 a 10,00;4.240;3.238;7.478
;09:10,01 a 15,00;3.489;2.637;6.126
;10:15,01 a 20,00;2.090;1.326;3.416
;11:Mais de 20,00;1.889;983;2.872
;{ñ class};1.751;889;2.640
261160:Recife - PE;Total;365.161;290.811;655.972
;00:Até 0,50;2.987;3.277;6.264
;01:0,51 a 1,00;9.345;11.283;20.628
;02:1,01 a 1,50;118.217;109.558;227.775
;03:1,51 a 2,00;73.559;47.708;121.267
;04:2,01 a 3,00;50.698;34.052;84.750
;05:3,01 a 4,00;23.276;23.018;46.294
;06:4,01 a 5,00;19.937;13.872;33.809
