;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;115.488;79.755;195.243
;00:Até 0,50;429;425;854
;01:0,51 a 1,00;2.889;4.138;7.027
;02:1,01 a 1,50;17.699;22.777;40.476
;03:1,51 a 2,00;22.979;15.098;38.077
;04:2,01 a 3,00;22.996;12.253;35.249
;05:3,01 a 4,00;17.700;11.393;29.093
;06:4,01 a 5,00;7.191;3.216;10.407
;07:5,01 a 7,00;9.604;4.548;14.152
;08:7,01 a 10,00;5.545;2.519;8.064
;09:10,01 a 15,00;3.686;1.737;5.423
;10:15,01 a 20,00;1.908;687;2.595
;11:Mais de 20,00;1.932;655;2.587
;{ñ class};930;309;1.239
120040:Rio Branco - AC;Total;54.825;44.776;99.601
;00:Até 0,50;198;173;371
;01:0,51 a 1,00;1.451;1.183;2.634
;02:1,01 a 1,50;15.995;12.481;28.476
;03:1,51 a 2,00;9.625;6.310;15.935
;04:2,01 a 3,00;9.276;6.667;15.943
;05:3,01 a 4,00;5.678;4.949;10.627
;06:4,01 a 5,00;3.420;4.801;8.221
;07:5,01 a 7,00;3.122;3.803;6.925
;08:7,01 a 10,00;2.080;1.866;3.946
;09:10,01 a 15,00;1.436;1.043;2.479
;10:15,01 a 20,00;628;403;1.031
;11:Mais de 20,00;972;448;1.420
;{ñ class};944;649;1.593
130260:Manaus - AM;Total;312.560;223.142;535.702
;00:Até 0,50;2.079;1.711;3.790
;01:0,51 a 1,00;6.666;6.775;13.441
;02:1,01 a 1,50;81.344;77.747;159.091
;03:1,51 a 2,00;62.075;34.888;96.963
;04:2,01 a 3,00;67.321;47.208;114.529
;05:3,01 a 4,00;29.285;16.069;45.354
;06:4,01 a 5,00;16.723;10.470;27.193
;07:5,01 a 7,00;16.229;9.763;25.992
;08:7,01 a 10,00;12.272;8.487;20.759
;09:10,01 a 15,00;8.187;5.105;13.292
;10:15,01 a 20,00;3.343;1.628;4.971
;11:Mais de 20,00;4.218;1.723;5.941
;{ñ class};2.818;1.568;4.386
140010:Boa Vista - RR;Total;42.240;42.594;84.834
;00:Até 0,50;136;115;251
;01:0,51 a 1,00;2.322;4.838;7.160
;02:1,01 a 1,50;13.727;13.976;27.703
;03:1,51 a 2,00;6.640;3.757;10.397
;04:2,01 a 3,00;5.654;5.319;10.973
;05:3,01 a 4,00;3.036;2.975;6.011
;06:4,01 a 5,00;2.023;2.506;4.529
;07:5,01 a 7,00;4.408;5.817;10.225
;08:7,01 a 10,00;1.668;1.636;3.304
;09:10,01 a 15,00;1.232;926;2.158
;10:15,01 a 20,00;474;302;776
;11:Mais de 20,00;713;325;1.038
;{ñ class};207;102;309
150140:Belém - PA;Total;235.211;174.731;409.942
;00:Até 0,50;1.269;1.333;2.602
;01:0,51 a 1,00;8.295;7.300;15.595
;02:1,01 a 1,50;79.897;63.881;143.778
;03:1,51 a 2,00;41.816;20.665;62.481
;04:2,01 a 3,00;36.926;18.751;55.677
;05:3,01 a 4,00;14.648;13.243;27.891
;06:4,01 a 5,00;9.119;10.783;19.902
;07:5,01 a 7,00;15.137;15.438;30.575
;08:7,01 a 10,00;11.925;11.708;23.633
;09:10,01 a 15,00;7.172;6.195;13.367
;10:15,01 a 20,00;2.882;1.981;4.863
;11:Mais de 20,00;3.823;2.475;6.298
;{ñ class};2.302;978;3.280
160030:Macapá - AP;Total;54.522;44.605;99.127
;00:Até 0,50;378;329;707
;01:0,51 a 1,00;2.706;2.208;4.914
;02:1,01 a 1,50;15.694;12.039;27.733
;03:1,51 a 2,00;8.759;5.667;14.426
;04:2,01 a 3,00;6.197;3.021;9.218
;05:3,01 a 4,00;3.010;3.046;6.056
;06:4,01 a 5,00;4.106;4.265;8.371
;07:5,01 a 7,00;6.676;7.724;14.400
;08:7,01 a 10,00;3.301;3.923;7.224
;09:10,01 a 15,00;1.819;1.424;3.243
;10:15,01 a 20,00;760;419;1.179
;11:Mais de 20,00;931;455;1.386
;{ñ class};185;85;270
172100:Palmas - TO;Total;58.844;54.983;113.827
;00:Até 0,50;173;163;336
;01:0,51 a 1,00;2.557;2.690;5.247
;02:1,01 a 1,50;14.708;13.913;28.621
;03:1,51 a 2,00;10.037;6.331;16.368
;04:2,01 a 3,00;8.677;7.338;16.015
;05:3,01 a 4,00;3.528;2.903;6.431
;06:4,01 a 5,00;3.292;7.652;10.944
;07:5,01 a 7,00;6.679;8.024;14.703
;08:7,01 a 10,00;3.607;2.659;6.266
;09:10,01 a 15,00;2.379;1.737;4.116
;10:15,01 a 20,00;1.150;648;1.798
;11:Mais de 20,00;1.788;810;2.598
;{ñ class};269;115;384
211130:São Luiz - MA;Total;202.618;145.803;348.421
;00:Até 0,50;394;303;697
;01:0,51 a 1,00;8.234;7.186;15.420
;02:1,01 a 1,50;68.164;56.857;125.021
;03:1,51 a 2,00;34.945;18.239;53.184
