;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;09:Ignorado;Total
;08:7,01 a 10,00;5.764;4.063;0;9.827
;09:10,01 a 15,00;5.272;3.303;0;8.575
;10:15,01 a 20,00;1.774;1.102;0;2.876
;11:Mais de 20,00;1.890;1.040;0;2.930
;{ñ class};10.449;5.376;0;15.825
230440:Fortaleza - CE;Total;465.792;363.033;2;828.827
;00:Até 0,50;5.128;5.154;0;10.282
;01:0,51 a 1,00;32.800;33.234;0;66.034
;02:1,01 a 1,50;172.735;143.403;0;316.138
;03:1,51 a 2,00;66.730;37.486;0;104.216
;04:2,01 a 3,00;55.595;41.391;0;96.986
;05:3,01 a 4,00;23.081;20.894;0;43.975
;06:4,01 a 5,00;22.802;15.951;0;38.753
;07:5,01 a 7,00;22.086;16.405;0;38.491
;08:7,01 a 10,00;13.884;14.292;0;28.176
;09:10,01 a 15,00;11.209;8.969;0;20.178
;10:15,01 a 20,00;4.980;3.124;0;8.104
;11:Mais de 20,00;6.268;3.479;0;9.747
;{ñ class};28.494;19.251;2;47.747
240810:Natal - RN;Total;170.937;136.090;0;307.027
;00:Até 0,50;2.045;2.241;0;4.286
;01:0,51 a 1,00;10.158;9.635;0;19.793
;02:1,01 a 1,50;54.670;48.649;0;103.319
;03:1,51 a 2,00;23.813;13.884;0;37.697
;04:2,01 a 3,00;19.334;15.469;0;34.803
;05:3,01 a 4,00;12.853;13.807;0;26.660
;06:4,01 a 5,00;8.998;7.745;0;16.743
;07:5,01 a 7,00;11.129;7.033;0;18.162
;08:7,01 a 10,00;5.800;3.892;0;9.692
;09:10,01 a 15,00;6.342;3.550;0;9.892
;10:15,01 a 20,00;2.438;1.288;0;3.726
;11:Mais de 20,00;2.208;1.004;0;3.212
;{ñ class};11.149;7.893;0;19.042
250750:João Pessoa - PB;Total;169.284;132.351;0;301.635
;00:Até 0,50;1.344;1.119;0;2.463
;01:0,51 a 1,00;12.566;13.616;0;26.182
;02:1,01 a 1,50;60.683;49.759;0;110.442
;03:1,51 a 2,00;23.270;16.436;0;39.706
;04:2,01 a 3,00;23.309;17.451;0;40.760
;05:3,01 a 4,00;10.891;8.541;0;19.432
;06:4,01 a 5,00;6.615;5.395;0;12.010
;07:5,01 a 7,00;6.243;5.711;0;11.954
;08:7,01 a 10,00;4.997;3.345;0;8.342
;09:10,01 a 15,00;4.777;2.988;0;7.765
;10:15,01 a 20,00;2.539;1.241;0;3.780
;11:Mais de 20,00;2.198;1.149;0;3.347
;{ñ class};9.852;5.600;0;15.452
261160:Recife - PE;Total;392.723;310.457;0;703.180
;00:Até 0,50;3.762;4.045;0;7.807
;01:0,51 a 1,00;17.768;19.520;0;37.288
;02:1,01 a 1,50;117.976;92.369;0;210.345
;03:1,51 a 2,00;70.076;46.276;0;116.352
;04:2,01 a 3,00;49.724;46.731;0;96.455
;05:3,01 a 4,00;22.731;23.151;0;45.882
;06:4,01 a 5,00;18.519;13.144;0;31.663
;07:5,01 a 7,00;20.982;18.910;0;39.892
;08:7,01 a 10,00;18.378;15.873;0;34.251
;09:10,01 a 15,00;13.373;8.966;0;22.339
;10:15,01 a 20,00;5.262;3.409;0;8.671
;11:Mais de 20,00;7.397;4.177;0;11.574
;{ñ class};26.775;13.886;0;40.661
270430:Maceió - AL;Total;161.669;122.101;0;283.770
;00:Até 0,50;1.597;1.473;0;3.070
;01:0,51 a 1,00;12.439;11.832;0;24.271
;02:1,01 a 1,50;55.688;42.974;0;98.662
;03:1,51 a 2,00;24.146;14.301;0;38.447
;04:2,01 a 3,00;18.390;16.132;0;34.522
;05:3,01 a 4,00;7.951;9.323;0;17.274
;06:4,01 a 5,00;7.110;5.612;0;12.722
;07:5,01 a 7,00;7.667;6.236;0;13.903
;08:7,01 a 10,00;5.307;2.866;0;8.173
;09:10,01 a 15,00;4.181;2.271;0;6.452
;10:15,01 a 20,00;1.707;741;0;2.448
;11:Mais de 20,00;2.016;927;0;2.943
;{ñ class};13.470;7.413;0;20.883
280030:Aracaju - SE;Total;124.805;100.793;0;225.598
;00:Até 0,50;1.807;1.761;0;3.568
;01:0,51 a 1,00;8.535;6.551;0;15.086
;02:1,01 a 1,50;40.900;36.482;0;77.382
;03:1,51 a 2,00;20.980;14.549;0;35.529
;04:2,01 a 3,00;13.429;11.621;0;25.050
;05:3,01 a 4,00;4.942;5.025;0;9.967
;06:4,01 a 5,00;4.891;3.657;0;8.548
;07:5,01 a 7,00;8.819;8.353;0;17.172
;08:7,01 a 10,00;4.895;3.611;0;8.506
;09:10,01 a 15,00;2.851;1.699;0;4.550
;10:15,01 a 20,00;1.275;665;0;1.940
;11:Mais de 20,00;1.805;930;0;2.735
;{ñ class};9.676;5.889;0;15.565
292740:Salvador - BA;Total;431.027;357.164;4;788.195
;00:Até 0,50;4.117;4.757;0;8.874
;01:0,51 a 1,00;25.695;36.619;0;62.314
;02:1,01 a 1,50;130.452;111.905;0;242.357
;03:1,51 a 2,00;66.121;39.207;0;105.328
;04:2,01 a 3,00;54.740;45.124;0;99.864
;05:3,01 a 4,00;23.560;23.948;0;47.508
;06:4,01 a 5,00;27.089;17.976;0;45.065
;07:5,01 a 7,00;26.243;21.751;0;47.994
;08:7,01 a 10,00;15.912;18.114;0;34.026
;09:10,01 a 15,00;13.336;10.604;0;23.940
;10:15,01 a 20,00;5.665;4.524;0;10.189
;11:Mais de 20,00;7.281;5.083;0;12.364
;{ñ class};30.816;17.552;4;48.372
310620:Belo Horizonte - MG;Total;657.877;629.407;4;1.287.288
;00:Até 0,50;7.329;8.530;0;15.859
;01:0,51 a 1,00;27.947;40.630;0;68.577
;02:1,01 a 1,50;140.608;203.490;0;344.098
;03:1,51 a 2,00;100.246;75.558;0;175.804
;04:2,01 a 3,00;109.778;97.663;0;207.441
;05:3,01 a 4,00;47.861;50.121;0;97.982
;06:4,01 a 5,00;40.985;32.870;0;73.855
;07:5,01 a 7,00;53.229;33.994;0;87.223
;08:7,01 a 10,00;36.477;23.962;0;60.439
;09:10,01 a 15,00;24.224;16.252;0;40.476
;10:15,01 a 20,00;11.281;7.974;0;19.255
;11:Mais de 20,00;14.881;10.737;0;25.618
;{ñ class};43.031;27.626;4;70.661
320530:Vitória - ES;Total;115.606;108.679;0;224.285
;00:Até 0,50;1.272;1.467;0;2.739
;01:0,51 a 1,00;3.337;4.408;0;7.745
;02:1,01 a 1,50;19.471;28.559;0;48.030
;03:1,51 a 2,00;15.093;13.711;0;28.804
;04:2,01 a 3,00;17.661;19.967;0;37.628
;05:3,01 a 4,00;11.868;11.024;0;22.892
;06:4,01 a 5,00;9.503;7.947;0;17.450
;07:5,01 a 7,00;9.530;6.383;0;15.913
;08:7,01 a 10,00;7.749;4.230;0;11.979
;09:10,01 a 15,00;5.213;2.660;0;7.873
;10:15,01 a 20,00;2.720;1.218;0;3.938
;11:Mais de 20,00;3.835;1.365;0;5.200
;{ñ class};8.354;5.740;0;14.094
330455:Rio de Janeiro - RJ;Total;1.326.912;1.012.381;1;2.339.294
;00:Até 0,50;13.749;16.211;0;29.960
;01:0,51 a 1,00;48.777;58.350;0;107.127
;02:1,01 a 1,50;292.442;291.422;0;583.864
;03:1,51 a 2,00;214.833;131.926;0;346.759
;04:2,01 a 3,00;215.847;135.850;0;351.697
;05:3,01 a 4,00;94.703;72.789;0;167.492
;06:4,01 a 5,00;50.413;44.370;0;94.783
;07:5,01 a 7,00;82.144;65.070;0;147.214
;08:7,01 a 10,00;76.487;51.186;0;127.673
;09:10,01 a 15,00;66.778;39.072;0;105.850
;10:15,01 a 20,00;26.014;16.698;0;42.712
;11:Mais de 20,00;40.195;20.134;0;60.329
;{ñ class};104.530;69.303;1;173.834
355030:São Paulo - SP;Total;2.826.408;2.564.036;2;5.390.446
;00:Até 0,50;16.015;22.865;0;38.880
;01:0,51 a 1,00;82.769;125.073;0;207.842
;02:1,01 a 1,50;428.377;570.065;0;998.442
;03:1,51 a 2,00;499.106;387.506;0;886.612
;04:2,01 a 3,00;516.796;380.931;0;897.727
;05:3,01 a 4,00;283.723;232.946;0;516.669
;06:4,01 a 5,00;171.980;158.961;0;330.941
;07:5,01 a 7,00;205.193;203.960;0;409.153
;08:7,01 a 10,00;154.762;151.702;0;306.464
;09:10,01 a 15,00;129.875;98.903;0;228.778
;10:15,01 a 20,00;63.109;41.968;0;105.077
;11:Mais de 20,00;97.740;63.638;0;161.378
;{ñ class};176.963;125.518;2;302.483
410690:Curitiba - PR;Total;477.003;458.981;0;935.984
;00:Até 0,50;2.319;2.964;0;5.283
;01:0,51 a 1,00;17.377;29.011;0;46.388
;02:1,01 a 1,50;73.568;112.554;0;186.122
;03:1,51 a 2,00;79.966;70.324;0;150.290
;04:2,01 a 3,00;96.043;65.544;0;161.587
;05:3,01 a 4,00;43.550;48.543;0;92.093
;06:4,01 a 5,00;24.382;27.056;0;51.438
;07:5,01 a 7,00;42.613;38.086;0;80.699
;08:7,01 a 10,00;25.011;18.088;0;43.099
;09:10,01 a 15,00;18.158;11.343;0;29.501
;10:15,01 a 20,00;8.121;4.499;0;12.620
;11:Mais de 20,00;10.881;5.968;0;16.849
;{ñ class};35.014;25.001;0;60.015
420540:Florianópolis - SC;Total;153.484;157.988;1;311.473
;00:Até 0,50;846;1.077;0;1.923
;01:0,51 a 1,00;5.977;8.572;0;14.549
;02:1,01 a 1,50;18.513;28.427;0;46.940
;03:1,51 a 2,00;23.346;23.219;0;46.565
;04:2,01 a 3,00;23.468;22.675;0;46.143
;05:3,01 a 4,00;11.428;12.037;0;23.465
;06:4,01 a 5,00;7.878;12.632;0;20.510
;07:5,01 a 7,00;17.938;16.275;0;34.213
;08:7,01 a 10,00;13.514;11.568;0;25.082
;09:10,01 a 15,00;10.899;7.979;0;18.878
;10:15,01 a 20,00;5.485;3.006;0;8.491
;11:Mais de 20,00;5.444;2.329;0;7.773
