;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;64.493;54.402;118.895
;00:Até 0,50;118;92;210
;01:0,51 a 1,00;2.804;4.571;7.375
;02:1,01 a 1,50;15.779;14.772;30.551
;03:1,51 a 2,00;10.856;7.018;17.874
;04:2,01 a 3,00;10.198;8.904;19.102
;05:3,01 a 4,00;5.289;7.585;12.874
;06:4,01 a 5,00;4.430;2.785;7.215
;07:5,01 a 7,00;5.296;3.280;8.576
;08:7,01 a 10,00;3.406;2.504;5.910
;09:10,01 a 15,00;2.531;1.306;3.837
;10:15,01 a 20,00;1.263;581;1.844
;11:Mais de 20,00;1.933;843;2.776
;{ñ class};590;161;751
120040:Rio Branco - AC;Total;40.754;34.718;75.472
;00:Até 0,50;60;47;107
;01:0,51 a 1,00;902;588;1.490
;02:1,01 a 1,50;11.818;8.535;20.353
;03:1,51 a 2,00;7.517;5.171;12.688
;04:2,01 a 3,00;6.113;6.253;12.366
;05:3,01 a 4,00;3.171;2.962;6.133
;06:4,01 a 5,00;3.231;3.365;6.596
;07:5,01 a 7,00;3.257;3.847;7.104
;08:7,01 a 10,00;1.683;1.811;3.494
;09:10,01 a 15,00;1.180;1.351;2.531
;10:15,01 a 20,00;628;315;943
;11:Mais de 20,00;885;381;1.266
;{ñ class};309;92;401
130260:Manaus - AM;Total;243.964;170.475;414.439
;00:Até 0,50;844;661;1.505
;01:0,51 a 1,00;5.022;3.942;8.964
;02:1,01 a 1,50;52.901;50.900;103.801
;03:1,51 a 2,00;44.806;25.320;70.126
;04:2,01 a 3,00;54.680;39.155;93.835
;05:3,01 a 4,00;26.124;15.437;41.561
;06:4,01 a 5,00;16.631;8.243;24.874
;07:5,01 a 7,00;15.317;10.944;26.261
;08:7,01 a 10,00;11.463;7.820;19.283
;09:10,01 a 15,00;6.753;3.800;10.553
;10:15,01 a 20,00;3.448;1.544;4.992
;11:Mais de 20,00;4.692;1.882;6.574
;{ñ class};1.283;827;2.110
140010:Boa Vista - RR;Total;22.704;18.481;41.185
;00:Até 0,50;31;15;46
;01:0,51 a 1,00;1.016;1.022;2.038
;02:1,01 a 1,50;7.550;7.138;14.688
;03:1,51 a 2,00;2.746;1.350;4.096
;04:2,01 a 3,00;2.912;1.355;4.267
;05:3,01 a 4,00;1.346;881;2.227
;06:4,01 a 5,00;1.413;1.403;2.816
;07:5,01 a 7,00;2.568;3.036;5.604
;08:7,01 a 10,00;1.238;1.365;2.603
;09:10,01 a 15,00;671;466;1.137
;10:15,01 a 20,00;418;173;591
;11:Mais de 20,00;653;236;889
;{ñ class};142;41;183
150140:Belém - PA;Total;194.980;136.811;331.791
;00:Até 0,50;1.161;742;1.903
;01:0,51 a 1,00;8.332;7.502;15.834
;02:1,01 a 1,50;55.792;44.803;100.595
;03:1,51 a 2,00;32.940;16.553;49.493
;04:2,01 a 3,00;30.115;18.631;48.746
;05:3,01 a 4,00;19.687;12.352;32.039
;06:4,01 a 5,00;11.999;9.078;21.077
;07:5,01 a 7,00;12.903;11.741;24.644
;08:7,01 a 10,00;8.638;7.329;15.967
;09:10,01 a 15,00;5.258;3.558;8.816
;10:15,01 a 20,00;2.797;1.680;4.477
;11:Mais de 20,00;3.388;2.079;5.467
;{ñ class};1.970;763;2.733
160030:Macapá - AP;Total;38.526;32.262;70.788
;00:Até 0,50;129;111;240
;01:0,51 a 1,00;1.952;1.439;3.391
;02:1,01 a 1,50;9.310;8.449;17.759
;03:1,51 a 2,00;5.473;2.713;8.186
;04:2,01 a 3,00;4.674;2.323;6.997
;05:3,01 a 4,00;2.691;1.789;4.480
;06:4,01 a 5,00;1.872;2.304;4.176
;07:5,01 a 7,00;6.353;7.521;13.874
;08:7,01 a 10,00;2.962;3.356;6.318
;09:10,01 a 15,00;1.434;1.536;2.970
;10:15,01 a 20,00;608;272;880
;11:Mais de 20,00;935;402;1.337
;{ñ class};133;47;180
172100:Palmas - TO;Total;47.948;48.324;96.272
;00:Até 0,50;31;39;70
;01:0,51 a 1,00;795;968;1.763
;02:1,01 a 1,50;12.294;13.773;26.067
;03:1,51 a 2,00;6.804;5.475;12.279
;04:2,01 a 3,00;7.635;7.964;15.599
;05:3,01 a 4,00;3.944;4.376;8.320
;06:4,01 a 5,00;5.451;3.714;9.165
;07:5,01 a 7,00;4.672;7.805;12.477
;08:7,01 a 10,00;2.683;2.427;5.110
;09:10,01 a 15,00;1.465;1.000;2.465
;10:15,01 a 20,00;1.160;408;1.568
;11:Mais de 20,00;893;338;1.231
;{ñ class};121;37;158
211130:São Luiz - MA;Total;136.569;98.760;235.329
;00:Até 0,50;441;175;616
;01:0,51 a 1,00;3.444;2.614;6.058
;02:1,01 a 1,50;48.688;37.967;86.655
;03:1,51 a 2,00;21.400;12.040;33.440
;04:2,01 a 3,00;19.752;16.917;36.669
;05:3,01 a 4,00;10.078;7.907;17.985
;06:4,01 a 5,00;11.309;7.462;18.771
;07:5,01 a 7,00;8.046;6.080;14.126
;08:7,01 a 10,00;4.809;3.335;8.144
;09:10,01 a 15,00;3.515;2.163;5.678
;10:15,01 a 20,00;1.821;725;2.546
;11:Mais de 20,00;2.403;1.045;3.448
;{ñ class};863;330;1.193
221100:Terezina - PI;Total;110.577;83.633;194.210
;00:Até 0,50;671;391;1.062
;01:0,51 a 1,00;6.199;3.746;9.945
;02:1,01 a 1,50;46.718;33.909;80.627
;03:1,51 a 2,00;15.157;9.434;24.591
;04:2,01 a 3,00;13.629;12.687;26.316
;05:3,01 a 4,00;10.071;12.733;22.804
;06:4,01 a 5,00;3.979;3.334;7.313
;07:5,01 a 7,00;5.069;2.917;7.986
;08:7,01 a 10,00;3.623;1.914;5.537
;09:10,01 a 15,00;2.185;1.158;3.343
;10:15,01 a 20,00;1.236;594;1.830
;11:Mais de 20,00;1.509;642;2.151
;{ñ class};531;174;705
230440:Fortaleza - CE;Total;320.516;239.959;560.475
;00:Até 0,50;1.512;1.270;2.782
;01:0,51 a 1,00;20.723;15.803;36.526
;02:1,01 a 1,50;141.681;111.444;253.125
;03:1,51 a 2,00;48.021;26.455;74.476
;04:2,01 a 3,00;31.781;25.041;56.822
;05:3,01 a 4,00;23.692;15.836;39.528
;06:4,01 a 5,00;11.963;9.395;21.358
;07:5,01 a 7,00;13.243;15.166;28.409
;08:7,01 a 10,00;9.716;8.786;18.502
;09:10,01 a 15,00;6.691;4.516;11.207
;10:15,01 a 20,00;3.705;2.044;5.749
;11:Mais de 20,00;5.718;3.083;8.801
;{ñ class};2.070;1.120;3.190
240810:Natal - RN;Total;145.930;119.709;265.639
;00:Até 0,50;371;522;893
;01:0,51 a 1,00;4.904;6.238;11.142
;02:1,01 a 1,50;60.210;48.194;108.404
;03:1,51 a 2,00;21.081;15.739;36.820
;04:2,01 a 3,00;18.180;18.482;36.662
;05:3,01 a 4,00;15.559;10.695;26.254
;06:4,01 a 5,00;6.406;6.007;12.413
;07:5,01 a 7,00;5.599;5.008;10.607
;08:7,01 a 10,00;4.421;3.289;7.710
;09:10,01 a 15,00;3.664;2.664;6.328
;10:15,01 a 20,00;1.888;1.049;2.937
;11:Mais de 20,00;2.804;1.158;3.962
;{ñ class};843;664;1.507
250750:João Pessoa - PB;Total;123.171;97.393;220.564
;00:Até 0,50;289;247;536
;01:0,51 a 1,00;8.391;11.708;20.099
;02:1,01 a 1,50;50.458;37.378;87.836
;03:1,51 a 2,00;17.869;11.805;29.674
;04:2,01 a 3,00;19.309;15.866;35.175
;05:3,01 a 4,00;7.094;6.558;13.652
;06:4,01 a 5,00;4.318;3.055;7.373
;07:5,01 a 7,00;5.180;4.095;9.275
;08:7,01 a 10,00;3.760;2.949;6.709
;09:10,01 a 15,00;2.230;1.613;3.843
;10:15,01 a 20,00;1.737;846;2.583
;11:Mais de 20,00;1.990;921;2.911
;{ñ class};546;352;898
261160:Recife - PE;Total;310.783;227.839;538.622
;00:Até 0,50;700;914;1.614
;01:0,51 a 1,00;8.394;8.319;16.713
;02:1,01 a 1,50;110.650;84.527;195.177
;03:1,51 a 2,00;50.831;32.511;83.342
;04:2,01 a 3,00;45.303;33.443;78.746
;05:3,01 a 4,00;28.702;21.312;50.014
;06:4,01 a 5,00;14.988;12.618;27.606
;07:5,01 a 7,00;16.667;13.662;30.329
;08:7,01 a 10,00;11.931;9.179;21.110
;09:10,01 a 15,00;8.188;4.786;12.974
;10:15,01 a 20,00;4.276;2.362;6.638
;11:Mais de 20,00;6.021;2.936;8.957
;{ñ class};4.132;1.270;5.402
270430:Maceió - AL;Total;114.652;77.608;192.260
;00:Até 0,50;432;171;603
;01:0,51 a 1,00;4.123;3.330;7.453
;02:1,01 a 1,50;45.927;30.959;76.886
;03:1,51 a 2,00;17.303;8.803;26.106
;04:2,01 a 3,00;15.264;12.000;27.264
;05:3,01 a 4,00;9.566;5.347;14.913
;06:4,01 a 5,00;4.755;3.944;8.699
;07:5,01 a 7,00;6.485;6.559;13.044
;08:7,01 a 10,00;3.358;2.924;6.282
;09:10,01 a 15,00;2.842;1.750;4.592
;10:15,01 a 20,00;1.225;558;1.783
;11:Mais de 20,00;2.149;730;2.879
;{ñ class};1.223;533;1.756
280030:Aracaju - SE;Total;107.408;80.478;187.886
;00:Até 0,50;580;454;1.034
;01:0,51 a 1,00;8.537;6.626;15.163
;02:1,01 a 1,50;39.408;27.649;67.057
;03:1,51 a 2,00;14.734;8.566;23.300
;04:2,01 a 3,00;13.655;12.107;25.762
;05:3,01 a 4,00;9.994;6.897;16.891
;06:4,01 a 5,00;5.117;4.680;9.797
;07:5,01 a 7,00;4.785;5.759;10.544
;08:7,01 a 10,00;3.428;3.581;7.009
;09:10,01 a 15,00;2.478;2.028;4.506
;10:15,01 a 20,00;1.325;630;1.955
;11:Mais de 20,00;2.553;1.087;3.640
;{ñ class};814;414;1.228
292740:Salvador - BA;Total;379.007;309.080;688.087
;00:Até 0,50;1.297;1.106;2.403
;01:0,51 a 1,00;11.524;11.913;23.437
;02:1,01 a 1,50;119.392;97.258;216.650
;03:1,51 a 2,00;59.749;36.447;96.196
;04:2,01 a 3,00;54.534;45.071;99.605
;05:3,01 a 4,00;30.760;27.813;58.573
;06:4,01 a 5,00;36.341;24.081;60.422
;07:5,01 a 7,00;21.623;28.569;50.192
;08:7,01 a 10,00;14.547;16.332;30.879
;09:10,01 a 15,00;10.810;8.945;19.755
;10:15,01 a 20,00;5.585;3.600;9.185
;11:Mais de 20,00;7.033;4.014;11.047
;{ñ class};5.812;3.931;9.743
310620:Belo Horizonte - MG;Total;645.583;569.574;1.215.157
;00:Até 0,50;1.845;3.930;5.775
;01:0,51 a 1,00;16.174;25.049;41.223
;02:1,01 a 1,50;167.018;200.158;367.176
;03:1,51 a 2,00;114.419;79.395;193.814
;04:2,01 a 3,00;102.290;91.748;194.038
;05:3,01 a 4,00;66.059;50.052;116.111
;06:4,01 a 5,00;33.913;29.011;62.924
;07:5,01 a 7,00;52.742;33.381;86.123
;08:7,01 a 10,00;32.505;21.797;54.302
;09:10,01 a 15,00;22.645;14.540;37.185
;10:15,01 a 20,00;10.678;6.452;17.130
;11:Mais de 20,00;15.720;8.361;24.081
;{ñ class};9.575;5.700;15.275
320530:Vitória - ES;Total;115.165;104.099;219.264
;00:Até 0,50;842;680;1.522
;01:0,51 a 1,00;3.157;3.459;6.616
;02:1,01 a 1,50;25.070;31.491;56.561
;03:1,51 a 2,00;18.189;14.778;32.967
;04:2,01 a 3,00;16.654;17.256;33.910
;05:3,01 a 4,00;11.413;8.520;19.933
;06:4,01 a 5,00;6.235;5.542;11.777
;07:5,01 a 7,00;9.013;7.933;16.946
;08:7,01 a 10,00;8.522;5.898;14.420
;09:10,01 a 15,00;6.888;4.286;11.174
;10:15,01 a 20,00;3.260;1.669;4.929
;11:Mais de 20,00;3.869;1.637;5.506
;{ñ class};2.053;950;3.003
