;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;93.473;81.066;174.539
;00:Até 0,50;495;481;976
;01:0,51 a 1,00;1.519;1.718;3.237
;02:1,01 a 1,50;17.183;22.985;40.168
;03:1,51 a 2,00;16.516;14.037;30.553
;04:2,01 a 3,00;20.325;14.876;35.201
;05:3,01 a 4,00;9.271;12.093;21.364
;06:4,01 a 5,00;8.285;3.983;12.268
;07:5,01 a 7,00;7.163;4.328;11.491
;08:7,01 a 10,00;4.619;2.626;7.245
;09:10,01 a 15,00;3.037;1.881;4.918
;10:15,01 a 20,00;1.740;784;2.524
;11:Mais de 20,00;1.855;705;2.560
;{ñ class};1.465;569;2.034
120040:Rio Branco - AC;Total;55.425;49.827;105.252
;00:Até 0,50;271;227;498
;01:0,51 a 1,00;1.473;1.478;2.951
;02:1,01 a 1,50;14.929;14.464;29.393
;03:1,51 a 2,00;9.502;6.822;16.324
;04:2,01 a 3,00;9.263;8.697;17.960
;05:3,01 a 4,00;6.809;5.718;12.527
;06:4,01 a 5,00;4.007;4.440;8.447
;07:5,01 a 7,00;3.331;3.652;6.983
;08:7,01 a 10,00;2.053;1.976;4.029
;09:10,01 a 15,00;1.534;1.206;2.740
;10:15,01 a 20,00;703;402;1.105
;11:Mais de 20,00;876;410;1.286
;{ñ class};674;335;1.009
130260:Manaus - AM;Total;294.756;223.162;517.918
;00:Até 0,50;2.607;2.152;4.759
;01:0,51 a 1,00;5.798;6.626;12.424
;02:1,01 a 1,50;76.702;77.569;154.271
;03:1,51 a 2,00;59.098;39.343;98.441
;04:2,01 a 3,00;62.484;41.091;103.575
;05:3,01 a 4,00;23.188;14.269;37.457
;06:4,01 a 5,00;16.605;12.076;28.681
;07:5,01 a 7,00;16.376;11.379;27.755
;08:7,01 a 10,00;12.783;8.533;21.316
;09:10,01 a 15,00;7.888;4.482;12.370
;10:15,01 a 20,00;3.246;1.671;4.917
;11:Mais de 20,00;4.224;1.710;5.934
;{ñ class};3.757;2.261;6.018
140010:Boa Vista - RR;Total;43.257;43.146;86.403
;00:Até 0,50;233;228;461
;01:0,51 a 1,00;1.523;1.723;3.246
;02:1,01 a 1,50;13.565;14.296;27.861
;03:1,51 a 2,00;6.563;4.786;11.349
;04:2,01 a 3,00;6.421;5.535;11.956
;05:3,01 a 4,00;3.492;4.429;7.921
;06:4,01 a 5,00;2.155;2.662;4.817
;07:5,01 a 7,00;4.466;5.774;10.240
;08:7,01 a 10,00;1.949;1.941;3.890
;09:10,01 a 15,00;1.212;977;2.189
;10:15,01 a 20,00;585;304;889
;11:Mais de 20,00;786;353;1.139
;{ñ class};307;138;445
150140:Belém - PA;Total;237.423;179.576;416.999
;00:Até 0,50;1.523;1.358;2.881
;01:0,51 a 1,00;6.720;5.934;12.654
;02:1,01 a 1,50;66.900;60.984;127.884
;03:1,51 a 2,00;38.939;23.775;62.714
;04:2,01 a 3,00;40.871;20.332;61.203
;05:3,01 a 4,00;20.583;13.024;33.607
;06:4,01 a 5,00;14.823;10.897;25.720
;07:5,01 a 7,00;15.302;16.625;31.927
;08:7,01 a 10,00;13.430;13.375;26.805
;09:10,01 a 15,00;8.196;7.094;15.290
;10:15,01 a 20,00;3.222;2.199;5.421
;11:Mais de 20,00;4.189;2.731;6.920
;{ñ class};2.725;1.248;3.973
160030:Macapá - AP;Total;52.521;45.740;98.261
;00:Até 0,50;352;370;722
;01:0,51 a 1,00;2.197;1.920;4.117
;02:1,01 a 1,50;14.689;12.706;27.395
;03:1,51 a 2,00;6.574;5.053;11.627
;04:2,01 a 3,00;7.480;4.239;11.719
;05:3,01 a 4,00;3.325;2.785;6.110
;06:4,01 a 5,00;2.775;3.075;5.850
;07:5,01 a 7,00;6.303;7.360;13.663
;08:7,01 a 10,00;4.535;5.401;9.936
;09:10,01 a 15,00;2.171;1.695;3.866
;10:15,01 a 20,00;813;504;1.317
;11:Mais de 20,00;982;506;1.488
;{ñ class};325;126;451
172100:Palmas - TO;Total;64.522;64.397;128.919
;00:Até 0,50;493;458;951
;01:0,51 a 1,00;2.999;4.319;7.318
;02:1,01 a 1,50;14.432;16.374;30.806
;03:1,51 a 2,00;9.199;6.391;15.590
;04:2,01 a 3,00;11.227;8.426;19.653
;05:3,01 a 4,00;4.466;4.826;9.292
;06:4,01 a 5,00;4.248;7.424;11.672
;07:5,01 a 7,00;6.344;9.094;15.438
;08:7,01 a 10,00;4.399;2.756;7.155
;09:10,01 a 15,00;3.134;2.225;5.359
;10:15,01 a 20,00;1.165;918;2.083
;11:Mais de 20,00;2.055;1.015;3.070
;{ñ class};361;171;532
211130:São Luiz - MA;Total;186.470;146.504;332.974
;00:Até 0,50;436;417;853
;01:0,51 a 1,00;6.370;7.211;13.581
;02:1,01 a 1,50;58.273;57.027;115.300
;03:1,51 a 2,00;30.698;16.558;47.256
;04:2,01 a 3,00;30.835;18.297;49.132
;05:3,01 a 4,00;16.068;13.024;29.092
;06:4,01 a 5,00;11.727;11.049;22.776
;07:5,01 a 7,00;11.333;10.538;21.871
;08:7,01 a 10,00;7.395;5.528;12.923
;09:10,01 a 15,00;5.210;3.442;8.652
;10:15,01 a 20,00;2.339;1.115;3.454
;11:Mais de 20,00;2.650;1.160;3.810
;{ñ class};3.136;1.138;4.274
221100:Terezina - PI;Total;163.240;126.200;289.440
;00:Até 0,50;704;574;1.278
;01:0,51 a 1,00;5.760;4.595;10.355
;02:1,01 a 1,50;72.131;60.527;132.658
;03:1,51 a 2,00;24.662;14.635;39.297
;04:2,01 a 3,00;19.903;12.211;32.114
;05:3,01 a 4,00;12.294;12.105;24.399
;06:4,01 a 5,00;5.332;6.973;12.305
;07:5,01 a 7,00;5.860;5.056;10.916
;08:7,01 a 10,00;6.591;4.220;10.811
;09:10,01 a 15,00;4.576;2.932;7.508
;10:15,01 a 20,00;1.883;916;2.799
;11:Mais de 20,00;1.746;828;2.574
;{ñ class};1.798;628;2.426
230440:Fortaleza - CE;Total;465.403;358.271;823.674
;00:Até 0,50;3.142;3.443;6.585
;01:0,51 a 1,00;22.329;22.595;44.924
;02:1,01 a 1,50;195.210;177.877;373.087
;03:1,51 a 2,00;76.498;38.171;114.669
;04:2,01 a 3,00;57.780;35.838;93.618
