;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;83.360;73.325;156.685
;00:Até 0,50;490;485;975
;01:0,51 a 1,00;2.108;1.856;3.964
;02:1,01 a 1,50;19.025;23.605;42.630
;03:1,51 a 2,00;15.289;11.105;26.394
;04:2,01 a 3,00;15.613;16.294;31.907
;05:3,01 a 4,00;9.361;6.504;15.865
;06:4,01 a 5,00;4.348;2.843;7.191
;07:5,01 a 7,00;5.929;3.791;9.720
;08:7,01 a 10,00;3.390;2.483;5.873
;09:10,01 a 15,00;2.399;1.507;3.906
;10:15,01 a 20,00;1.240;563;1.803
;11:Mais de 20,00;1.158;493;1.651
;{ñ class};3.010;1.796;4.806
120040:Rio Branco - AC;Total;49.690;43.292;92.982
;00:Até 0,50;191;180;371
;01:0,51 a 1,00;2.049;3.488;5.537
;02:1,01 a 1,50;14.686;12.285;26.971
;03:1,51 a 2,00;7.882;5.133;13.015
;04:2,01 a 3,00;7.179;8.490;15.669
;05:3,01 a 4,00;2.895;3.829;6.724
;06:4,01 a 5,00;2.491;2.736;5.227
;07:5,01 a 7,00;4.976;3.092;8.068
;08:7,01 a 10,00;2.278;1.638;3.916
;09:10,01 a 15,00;1.362;710;2.072
;10:15,01 a 20,00;486;186;672
;11:Mais de 20,00;530;212;742
;{ñ class};2.685;1.313;3.998
130260:Manaus - AM;Total;285.627;203.093;488.720
;00:Até 0,50;2.770;2.299;5.069
;01:0,51 a 1,00;7.022;6.889;13.911
;02:1,01 a 1,50;73.465;60.445;133.910
;03:1,51 a 2,00;60.443;37.218;97.661
;04:2,01 a 3,00;53.483;36.298;89.781
;05:3,01 a 4,00;18.819;13.245;32.064
;06:4,01 a 5,00;12.659;12.209;24.868
;07:5,01 a 7,00;16.306;12.589;28.895
;08:7,01 a 10,00;12.734;7.277;20.011
;09:10,01 a 15,00;7.330;4.070;11.400
;10:15,01 a 20,00;3.832;1.943;5.775
;11:Mais de 20,00;3.852;1.738;5.590
;{ñ class};12.912;6.873;19.785
140010:Boa Vista - RR;Total;43.979;45.126;89.105
;00:Até 0,50;242;267;509
;01:0,51 a 1,00;1.703;2.158;3.861
;02:1,01 a 1,50;14.867;15.274;30.141
;03:1,51 a 2,00;5.961;3.989;9.950
;04:2,01 a 3,00;5.643;6.683;12.326
;05:3,01 a 4,00;3.314;4.291;7.605
;06:4,01 a 5,00;2.372;3.623;5.995
;07:5,01 a 7,00;2.933;3.616;6.549
;08:7,01 a 10,00;2.177;2.323;4.500
;09:10,01 a 15,00;1.531;1.250;2.781
;10:15,01 a 20,00;743;386;1.129
;11:Mais de 20,00;671;327;998
;{ñ class};1.822;939;2.761
150140:Belém - PA;Total;227.380;169.319;396.699
;00:Até 0,50;1.920;2.058;3.978
;01:0,51 a 1,00;6.519;6.157;12.676
;02:1,01 a 1,50;61.553;52.423;113.976
;03:1,51 a 2,00;38.158;23.902;62.060
;04:2,01 a 3,00;39.557;19.395;58.952
;05:3,01 a 4,00;20.489;14.498;34.987
;06:4,01 a 5,00;11.556;11.188;22.744
;07:5,01 a 7,00;13.249;14.947;28.196
;08:7,01 a 10,00;10.062;10.273;20.335
;09:10,01 a 15,00;8.075;5.596;13.671
;10:15,01 a 20,00;3.146;1.901;5.047
;11:Mais de 20,00;4.048;2.415;6.463
;{ñ class};9.048;4.566;13.614
160030:Macapá - AP;Total;55.564;51.640;107.204
;00:Até 0,50;567;413;980
;01:0,51 a 1,00;2.559;2.451;5.010
;02:1,01 a 1,50;15.165;13.026;28.191
;03:1,51 a 2,00;7.348;5.923;13.271
;04:2,01 a 3,00;6.498;4.895;11.393
;05:3,01 a 4,00;2.827;3.170;5.997
;06:4,01 a 5,00;2.685;3.564;6.249
;07:5,01 a 7,00;6.848;7.760;14.608
;08:7,01 a 10,00;4.756;6.416;11.172
;09:10,01 a 15,00;2.630;2.061;4.691
;10:15,01 a 20,00;953;477;1.430
;11:Mais de 20,00;1.050;558;1.608
;{ñ class};1.678;926;2.604
172100:Palmas - TO;Total;60.971;60.056;121.027
;00:Até 0,50;454;492;946
;01:0,51 a 1,00;3.937;5.826;9.763
;02:1,01 a 1,50;14.617;15.866;30.483
;03:1,51 a 2,00;7.929;5.717;13.646
;04:2,01 a 3,00;9.225;7.602;16.827
;05:3,01 a 4,00;4.950;5.098;10.048
;06:4,01 a 5,00;3.021;5.197;8.218
;07:5,01 a 7,00;4.492;6.324;10.816
;08:7,01 a 10,00;3.826;2.648;6.474
;09:10,01 a 15,00;3.283;2.163;5.446
;10:15,01 a 20,00;1.634;967;2.601
;11:Mais de 20,00;1.982;930;2.912
;{ñ class};1.621;1.226;2.847
211130:São Luiz - MA;Total;186.014;158.521;344.535
;00:Até 0,50;591;865;1.456
;01:0,51 a 1,00;7.004;8.981;15.985
;02:1,01 a 1,50;55.974;54.729;110.703
;03:1,51 a 2,00;30.739;18.823;49.562
;04:2,01 a 3,00;25.193;18.516;43.709
;05:3,01 a 4,00;15.804;15.009;30.813
;06:4,01 a 5,00;9.858;14.116;23.974
;07:5,01 a 7,00;13.521;9.286;22.807
;08:7,01 a 10,00;8.240;6.041;14.281
;09:10,01 a 15,00;4.650;2.657;7.307
;10:15,01 a 20,00;2.395;1.390;3.785
;11:Mais de 20,00;2.186;993;3.179
;{ñ class};9.859;7.115;16.974
221100:Terezina - PI;Total;152.499;124.755;277.254
;00:Até 0,50;1.263;1.002;2.265
;01:0,51 a 1,00;6.742;8.667;15.409
;02:1,01 a 1,50;62.568;52.368;114.936
;03:1,51 a 2,00;23.911;15.426;39.337
;04:2,01 a 3,00;15.778;12.679;28.457
;05:3,01 a 4,00;10.766;9.013;19.779
;06:4,01 a 5,00;5.766;7.895;13.661
;07:5,01 a 7,00;4.417;4.998;9.415
;08:7,01 a 10,00;5.276;3.839;9.115
;09:10,01 a 15,00;5.079;3.019;8.098
;10:15,01 a 20,00;2.020;1.066;3.086
;11:Mais de 20,00;1.678;874;2.552
;{ñ class};7.235;3.909;11.144
230440:Fortaleza - CE;Total;432.504;326.790;759.294
;00:Até 0,50;3.264;3.433;6.697
;01:0,51 a 1,00;17.616;18.777;36.393
;02:1,01 a 1,50;174.093;146.289;320.382
;03:1,51 a 2,00;67.821;41.971;109.792
;04:2,01 a 3,00;54.218;33.632;87.850
;05:3,01 a 4,00;29.057;20.308;49.365
;06:4,01 a 5,00;17.927;12.537;30.464
;07:5,01 a 7,00;22.320;16.786;39.106
;08:7,01 a 10,00;11.022;11.108;22.130
;09:10,01 a 15,00;8.377;6.311;14.688
;10:15,01 a 20,00;5.072;3.063;8.135
;11:Mais de 20,00;5.620;2.937;8.557
;{ñ class};16.097;9.638;25.735
240810:Natal - RN;Total;163.710;129.907;293.617
;00:Até 0,50;1.565;2.008;3.573
;01:0,51 a 1,00;5.955;6.453;12.408
;02:1,01 a 1,50;58.259;53.563;111.822
;03:1,51 a 2,00;24.670;14.193;38.863
;04:2,01 a 3,00;21.997;17.124;39.121
;05:3,01 a 4,00;12.479;10.667;23.146
;06:4,01 a 5,00;8.921;6.393;15.314
;07:5,01 a 7,00;8.161;6.046;14.207
;08:7,01 a 10,00;4.876;3.274;8.150
;09:10,01 a 15,00;5.035;3.157;8.192
;10:15,01 a 20,00;2.892;1.529;4.421
;11:Mais de 20,00;2.465;1.068;3.533
;{ñ class};6.435;4.432;10.867
250750:João Pessoa - PB;Total;151.776;117.616;269.392
;00:Até 0,50;964;795;1.759
;01:0,51 a 1,00;11.363;15.832;27.195
;02:1,01 a 1,50;58.397;45.825;104.222
;03:1,51 a 2,00;21.294;13.769;35.063
;04:2,01 a 3,00;24.195;15.325;39.520
;05:3,01 a 4,00;7.708;6.458;14.166
;06:4,01 a 5,00;4.128;4.286;8.414
;07:5,01 a 7,00;6.071;4.603;10.674
;08:7,01 a 10,00;4.249;3.214;7.463
;09:10,01 a 15,00;3.215;2.398;5.613
;10:15,01 a 20,00;2.367;1.384;3.751
;11:Mais de 20,00;1.872;942;2.814
;{ñ class};5.953;2.785;8.738
261160:Recife - PE;Total;355.757;284.210;639.967
;00:Até 0,50;2.988;3.379;6.367
;01:0,51 a 1,00;8.832;10.811;19.643
;02:1,01 a 1,50;111.997;102.000;213.997
;03:1,51 a 2,00;65.374;44.099;109.473
;04:2,01 a 3,00;46.181;34.062;80.243
;05:3,01 a 4,00;20.989;21.410;42.399
;06:4,01 a 5,00;18.883;14.229;33.112
;07:5,01 a 7,00;21.379;16.981;38.360
;08:7,01 a 10,00;14.999;12.503;27.502
;09:10,01 a 15,00;11.075;8.397;19.472
;10:15,01 a 20,00;4.222;2.633;6.855
;11:Mais de 20,00;5.257;3.052;8.309
;{ñ class};23.581;10.654;34.235
270430:Maceió - AL;Total;142.568;108.508;251.076
;00:Até 0,50;1.188;1.175;2.363
;01:0,51 a 1,00;8.655;10.606;19.261
;02:1,01 a 1,50;55.061;42.344;97.405
;03:1,51 a 2,00;23.015;15.580;38.595
;04:2,01 a 3,00;15.284;12.437;27.721
;05:3,01 a 4,00;7.223;7.379;14.602
;06:4,01 a 5,00;5.452;4.242;9.694
;07:5,01 a 7,00;6.791;4.985;11.776
;08:7,01 a 10,00;5.017;3.073;8.090
;09:10,01 a 15,00;2.896;1.943;4.839
;10:15,01 a 20,00;1.393;709;2.102
;11:Mais de 20,00;1.730;753;2.483
;{ñ class};8.863;3.282;12.145
280030:Aracaju - SE;Total;101.266;83.856;185.122
;00:Até 0,50;1.535;1.597;3.132
;01:0,51 a 1,00;5.786;6.380;12.166
;02:1,01 a 1,50;41.518;36.843;78.361
;03:1,51 a 2,00;18.755;11.288;30.043
;04:2,01 a 3,00;11.736;9.058;20.794
;05:3,01 a 4,00;4.773;4.802;9.575
;06:4,01 a 5,00;2.313;2.902;5.215
;07:5,01 a 7,00;3.366;3.358;6.724
;08:7,01 a 10,00;2.303;2.123;4.426
;09:10,01 a 15,00;1.880;1.425;3.305
;10:15,01 a 20,00;1.287;636;1.923
;11:Mais de 20,00;1.337;657;1.994
;{ñ class};4.677;2.787;7.464
292740:Salvador - BA;Total;390.507;303.513;694.020
;00:Até 0,50;3.241;3.753;6.994
;01:0,51 a 1,00;15.464;20.470;35.934
;02:1,01 a 1,50;120.289;108.288;228.577
;03:1,51 a 2,00;67.109;36.292;103.401
;04:2,01 a 3,00;51.772;35.165;86.937
;05:3,01 a 4,00;25.872;20.417;46.289
;06:4,01 a 5,00;20.636;15.350;35.986
;07:5,01 a 7,00;30.613;19.464;50.077
;08:7,01 a 10,00;16.022;16.237;32.259
;09:10,01 a 15,00;11.710;11.567;23.277
;10:15,01 a 20,00;5.757;3.950;9.707
;11:Mais de 20,00;6.449;4.250;10.699
;{ñ class};15.573;8.310;23.883
310620:Belo Horizonte - MG;Total;640.633;560.238;1.200.871
;00:Até 0,50;5.924;7.179;13.103
;01:0,51 a 1,00;15.333;23.336;38.669
;02:1,01 a 1,50;144.570;174.606;319.176
;03:1,51 a 2,00;109.866;78.828;188.694
;04:2,01 a 3,00;116.052;101.396;217.448
;05:3,01 a 4,00;48.205;45.615;93.820
;06:4,01 a 5,00;46.379;34.141;80.520
;07:5,01 a 7,00;48.575;32.183;80.758
;08:7,01 a 10,00;34.172;22.140;56.312
;09:10,01 a 15,00;22.360;14.078;36.438
;10:15,01 a 20,00;10.372;6.739;17.111
;11:Mais de 20,00;12.797;7.714;20.511
;{ñ class};26.028;12.283;38.311
320530:Vitória - ES;Total;110.240;104.095;214.335
;00:Até 0,50;1.144;1.364;2.508
;01:0,51 a 1,00;2.045;3.853;5.898
;02:1,01 a 1,50;18.739;26.805;45.544
;03:1,51 a 2,00;15.854;15.431;31.285
;04:2,01 a 3,00;19.608;20.355;39.963
;05:3,01 a 4,00;12.813;10.518;23.331
;06:4,01 a 5,00;8.439;6.823;15.262
;07:5,01 a 7,00;9.507;6.950;16.457
;08:7,01 a 10,00;7.526;4.258;11.784
;09:10,01 a 15,00;5.527;3.292;8.819
;10:15,01 a 20,00;2.875;1.258;4.133
;11:Mais de 20,00;3.064;1.166;4.230
;{ñ class};3.099;2.022;5.121
330455:Rio de Janeiro - RJ;Total;1.266.419;931.441;2.197.860
;00:Até 0,50;4.139;4.306;8.445
;01:0,51 a 1,00;30.010;34.613;64.623
;02:1,01 a 1,50;247.102;260.636;507.738
;03:1,51 a 2,00;231.520;155.769;387.289
;04:2,01 a 3,00;237.036;131.066;368.102
;05:3,01 a 4,00;118.922;74.865;193.787
;06:4,01 a 5,00;62.698;47.780;110.478
;07:5,01 a 7,00;92.120;67.466;159.586
;08:7,01 a 10,00;70.759;53.050;123.809
;09:10,01 a 15,00;49.236;36.249;85.485
;10:15,01 a 20,00;25.058;14.790;39.848
;11:Mais de 20,00;35.649;15.854;51.503
;{ñ class};62.170;34.997;97.167
355030:São Paulo - SP;Total;3.394.173;2.908.434;6.302.607
;00:Até 0,50;9.269;13.861;23.130
;01:0,51 a 1,00;68.704;117.005;185.709
;02:1,01 a 1,50;517.467;704.560;1.222.027
;03:1,51 a 2,00;723.787;584.033;1.307.820
;04:2,01 a 3,00;751.076;512.853;1.263.929
;05:3,01 a 4,00;359.024;256.167;615.191
;06:4,01 a 5,00;202.916;154.898;357.814
;07:5,01 a 7,00;218.553;181.970;400.523
;08:7,01 a 10,00;151.989;131.750;283.739
;09:10,01 a 15,00;111.920;82.083;194.003
;10:15,01 a 20,00;50.912;31.539;82.451
;11:Mais de 20,00;71.628;33.211;104.839
;{ñ class};156.928;104.504;261.432
410690:Curitiba - PR;Total;454.900;444.281;899.181
;00:Até 0,50;1.167;1.692;2.859
;01:0,51 a 1,00;11.647;19.435;31.082
;02:1,01 a 1,50;65.600;100.119;165.719
;03:1,51 a 2,00;82.958;76.338;159.296
;04:2,01 a 3,00;96.971;74.722;171.693
;05:3,01 a 4,00;47.022;50.928;97.950
;06:4,01 a 5,00;36.037;30.478;66.515
;07:5,01 a 7,00;35.496;37.288;72.784
;08:7,01 a 10,00;25.474;19.855;45.329
;09:10,01 a 15,00;17.464;11.092;28.556
;10:15,01 a 20,00;8.053;4.250;12.303
;11:Mais de 20,00;9.236;4.257;13.493
;{ñ class};17.775;13.827;31.602
420540:Florianópolis - SC;Total;146.109;142.185;288.294
;00:Até 0,50;348;661;1.009
;01:0,51 a 1,00;3.865;5.434;9.299
;02:1,01 a 1,50;13.786;24.521;38.307
;03:1,51 a 2,00;24.842;25.156;49.998
;04:2,01 a 3,00;24.136;20.755;44.891
;05:3,01 a 4,00;11.812;11.366;23.178
;06:4,01 a 5,00;12.913;11.217;24.130
;07:5,01 a 7,00;16.817;15.939;32.756
;08:7,01 a 10,00;12.018;10.673;22.691
;09:10,01 a 15,00;9.670;7.105;16.775
;10:15,01 a 20,00;5.298;2.571;7.869
;11:Mais de 20,00;5.652;2.195;7.847
;{ñ class};4.952;4.592;9.544
431490:Porto Alegre - RS;Total;336.057;343.449;679.506
;00:Até 0,50;1.214;1.330;2.544
;01:0,51 a 1,00;8.041;12.999;21.040
;02:1,01 a 1,50;46.844;71.733;118.577
;03:1,51 a 2,00;66.885;68.814;135.699
;04:2,01 a 3,00;65.012;64.108;129.120
;05:3,01 a 4,00;29.870;28.986;58.856
;06:4,01 a 5,00;17.019;18.571;35.590
;07:5,01 a 7,00;25.731;21.571;47.302
;08:7,01 a 10,00;21.298;17.769;39.067
;09:10,01 a 15,00;19.131;13.678;32.809
;10:15,01 a 20,00;8.825;5.373;14.198
;11:Mais de 20,00;9.602;5.347;14.949
;{ñ class};16.585;13.170;29.755
500270:Campo Grande - MS;Total;144.957;126.524;271.481
;00:Até 0,50;451;826;1.277
;01:0,51 a 1,00;3.613;4.863;8.476
;02:1,01 a 1,50;35.781;41.906;77.687
;03:1,51 a 2,00;29.017;18.865;47.882
;04:2,01 a 3,00;24.267;15.780;40.047
;05:3,01 a 4,00;11.540;9.567;21.107
;06:4,01 a 5,00;6.708;7.562;14.270
;07:5,01 a 7,00;10.482;9.012;19.494
;08:7,01 a 10,00;6.338;5.569;11.907
;09:10,01 a 15,00;4.852;4.148;9.000
;10:15,01 a 20,00;2.245;1.500;3.745
;11:Mais de 20,00;2.829;1.232;4.061
;{ñ class};6.834;5.694;12.528
