;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;59.315;52.642;111.957
;00:Até 0,50;89;81;170
;01:0,51 a 1,00;1.334;1.069;2.403
;02:1,01 a 1,50;13.976;14.839;28.815
;03:1,51 a 2,00;10.394;6.943;17.337
;04:2,01 a 3,00;8.233;7.412;15.645
;05:3,01 a 4,00;5.391;7.985;13.376
;06:4,01 a 5,00;4.251;5.459;9.710
;07:5,01 a 7,00;5.810;3.383;9.193
;08:7,01 a 10,00;3.823;2.599;6.422
;09:10,01 a 15,00;2.296;1.258;3.554
;10:15,01 a 20,00;1.448;628;2.076
;11:Mais de 20,00;2.005;878;2.883
;{ñ class};265;108;373
120040:Rio Branco - AC;Total;37.533;32.258;69.791
;00:Até 0,50;72;58;130
;01:0,51 a 1,00;894;543;1.437
;02:1,01 a 1,50;11.251;8.039;19.290
;03:1,51 a 2,00;6.186;4.436;10.622
;04:2,01 a 3,00;5.495;6.082;11.577
;05:3,01 a 4,00;3.134;3.450;6.584
;06:4,01 a 5,00;3.068;2.740;5.808
;07:5,01 a 7,00;2.964;3.240;6.204
;08:7,01 a 10,00;1.609;1.681;3.290
;09:10,01 a 15,00;1.152;1.249;2.401
;10:15,01 a 20,00;566;303;869
;11:Mais de 20,00;864;365;1.229
;{ñ class};278;72;350
130260:Manaus - AM;Total;221.849;159.731;381.580
;00:Até 0,50;419;396;815
;01:0,51 a 1,00;3.979;3.452;7.431
;02:1,01 a 1,50;47.817;42.029;89.846
;03:1,51 a 2,00;39.691;25.572;65.263
;04:2,01 a 3,00;48.351;32.732;81.083
;05:3,01 a 4,00;24.926;19.048;43.974
;06:4,01 a 5,00;14.065;8.072;22.137
;07:5,01 a 7,00;14.326;11.636;25.962
;08:7,01 a 10,00;11.695;8.735;20.430
;09:10,01 a 15,00;7.120;3.946;11.066
;10:15,01 a 20,00;3.516;1.648;5.164
;11:Mais de 20,00;4.846;1.903;6.749
