;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
;04:2,01 a 3,00;45.856;30.241;76.097
;05:3,01 a 4,00;29.121;20.356;49.477
;06:4,01 a 5,00;16.663;12.840;29.503
;07:5,01 a 7,00;20.541;15.342;35.883
;08:7,01 a 10,00;10.651;11.305;21.956
;09:10,01 a 15,00;8.323;6.341;14.664
;10:15,01 a 20,00;5.148;3.093;8.241
;11:Mais de 20,00;5.255;2.722;7.977
;{ñ class};17.675;11.130;28.805
240810:Natal - RN;Total;158.080;122.791;280.871
;00:Até 0,50;2.007;2.274;4.281
;01:0,51 a 1,00;16.874;17.598;34.472
;02:1,01 a 1,50;49.289;39.272;88.561
;03:1,51 a 2,00;21.283;13.428;34.711
;04:2,01 a 3,00;19.984;16.278;36.262
;05:3,01 a 4,00;11.542;9.976;21.518
;06:4,01 a 5,00;7.828;5.978;13.806
;07:5,01 a 7,00;8.148;5.735;13.883
;08:7,01 a 10,00;4.519;3.101;7.620
;09:10,01 a 15,00;5.075;2.931;8.006
;10:15,01 a 20,00;2.831;1.488;4.319
;11:Mais de 20,00;2.144;924;3.068
;{ñ class};6.556;3.808;10.364
250750:João Pessoa - PB;Total;151.937;116.589;268.526
;00:Até 0,50;1.298;1.105;2.403
;01:0,51 a 1,00;17.776;20.002;37.778
;02:1,01 a 1,50;54.369;38.894;93.263
;03:1,51 a 2,00;19.744;13.519;33.263
;04:2,01 a 3,00;21.857;15.478;37.335
;05:3,01 a 4,00;9.031;7.673;16.704
;06:4,01 a 5,00;4.524;4.543;9.067
;07:5,01 a 7,00;5.446;4.375;9.821
;08:7,01 a 10,00;4.264;2.998;7.262
;09:10,01 a 15,00;3.386;2.423;5.809
;10:15,01 a 20,00;2.424;1.323;3.747
;11:Mais de 20,00;1.688;833;2.521
;{ñ class};6.130;3.423;9.553
261160:Recife - PE;Total;354.678;281.544;636.222
;00:Até 0,50;3.628;3.869;7.497
;01:0,51 a 1,00;27.509;30.814;58.323
;02:1,01 a 1,50;107.923;90.146;198.069
;03:1,51 a 2,00;60.967;40.219;101.186
;04:2,01 a 3,00;40.512;31.519;72.031
;05:3,01 a 4,00;20.311;20.980;41.291
;06:4,01 a 5,00;19.210;13.652;32.862
;07:5,01 a 7,00;18.301;15.613;33.914
;08:7,01 a 10,00;15.014;12.692;27.706
;09:10,01 a 15,00;11.088;8.063;19.151
;10:15,01 a 20,00;4.620;3.049;7.669
;11:Mais de 20,00;5.325;2.974;8.299
;{ñ class};20.270;7.954;28.224
270430:Maceió - AL;Total;141.403;105.121;246.524
;00:Até 0,50;1.499;1.425;2.924
;01:0,51 a 1,00;18.603;19.160;37.763
;02:1,01 a 1,50;49.593;33.783;83.376
;03:1,51 a 2,00;22.004;14.466;36.470
;04:2,01 a 3,00;12.754;10.757;23.511
;05:3,01 a 4,00;5.481;6.818;12.299
;06:4,01 a 5,00;6.244;4.515;10.759
;07:5,01 a 7,00;6.717;4.490;11.207
;08:7,01 a 10,00;4.533;2.867;7.400
;09:10,01 a 15,00;2.863;1.774;4.637
;10:15,01 a 20,00;1.436;675;2.111
;11:Mais de 20,00;1.737;783;2.520
;{ñ class};7.939;3.608;11.547
280030:Aracaju - SE;Total;115.530;92.773;208.303
;00:Até 0,50;1.756;1.778;3.534
;01:0,51 a 1,00;13.496;14.589;28.085
;02:1,01 a 1,50;38.640;31.440;70.080
;03:1,51 a 2,00;18.675;10.769;29.444
;04:2,01 a 3,00;10.615;8.928;19.543
;05:3,01 a 4,00;4.850;4.967;9.817
;06:4,01 a 5,00;5.378;6.536;11.914
;07:5,01 a 7,00;7.422;5.152;12.574
;08:7,01 a 10,00;3.645;2.639;6.284
;09:10,01 a 15,00;2.577;1.494;4.071
;10:15,01 a 20,00;1.379;637;2.016
;11:Mais de 20,00;1.728;830;2.558
;{ñ class};5.369;3.014;8.383
292740:Salvador - BA;Total;398.453;330.158;728.611
;00:Até 0,50;3.841;4.275;8.116
;01:0,51 a 1,00;39.982;53.705;93.687
;02:1,01 a 1,50;115.972;90.106;206.078
;03:1,51 a 2,00;62.862;37.703;100.565
;04:2,01 a 3,00;46.514;37.278;83.792
;05:3,01 a 4,00;24.892;23.226;48.118
;06:4,01 a 5,00;24.288;17.990;42.278
;07:5,01 a 7,00;27.797;21.152;48.949
;08:7,01 a 10,00;15.226;17.903;33.129
;09:10,01 a 15,00;11.242;10.723;21.965
;10:15,01 a 20,00;5.427;3.950;9.377
;11:Mais de 20,00;5.946;4.040;9.986
;{ñ class};14.464;8.107;22.571
310620:Belo Horizonte - MG;Total;639.055;564.890;1.203.945
;00:Até 0,50;6.353;7.651;14.004
;01:0,51 a 1,00;38.744;52.632;91.376
;02:1,01 a 1,50;140.496;158.527;299.023
;03:1,51 a 2,00;102.946;68.479;171.425
;04:2,01 a 3,00;110.148;105.782;215.930
;05:3,01 a 4,00;44.938;45.622;90.560
;06:4,01 a 5,00;45.079;34.232;79.311
;07:5,01 a 7,00;47.075;31.019;78.094
;08:7,01 a 10,00;33.984;21.078;55.062
;09:10,01 a 15,00;21.661;13.252;34.913
;10:15,01 a 20,00;9.935;6.443;16.378
;11:Mais de 20,00;11.932;7.308;19.240
;{ñ class};25.764;12.865;38.629
320530:Vitória - ES;Total;107.964;101.445;209.409
;00:Até 0,50;1.083;1.356;2.439
;01:0,51 a 1,00;4.749;7.256;12.005
;02:1,01 a 1,50;17.891;24.436;42.327
;03:1,51 a 2,00;14.829;12.817;27.646
;04:2,01 a 3,00;16.982;18.643;35.625
;05:3,01 a 4,00;12.195;11.300;23.495
;06:4,01 a 5,00;8.245;6.544;14.789
;07:5,01 a 7,00;9.495;6.872;16.367
;08:7,01 a 10,00;7.630;4.085;11.715
;09:10,01 a 15,00;5.412;3.076;8.488
;10:15,01 a 20,00;2.806;1.239;4.045
;11:Mais de 20,00;2.727;1.109;3.836
;{ñ class};3.920;2.712;6.632
330455:Rio de Janeiro - RJ;Total;1.194.687;879.528;2.074.215
;00:Até 0,50;7.340;7.062;14.402
;01:0,51 a 1,00;62.555;77.380;139.935
;02:1,01 a 1,50;249.921;236.379;486.300
;03:1,51 a 2,00;198.457;122.494;320.951
;04:2,01 a 3,00;205.481;116.883;322.364
;05:3,01 a 4,00;101.300;67.391;168.691
;06:4,01 a 5,00;57.148;46.474;103.622
;07:5,01 a 7,00;87.745;60.846;148.591
;08:7,01 a 10,00;61.993;47.927;109.920
;09:10,01 a 15,00;47.231;33.416;80.647
;10:15,01 a 20,00;22.393;13.802;36.195
;11:Mais de 20,00;31.364;14.058;45.422
;{ñ class};61.759;35.416;97.175
355030:São Paulo - SP;Total;2.999.246;2.758.203;5.757.449
;00:Até 0,50;15.208;21.905;37.113
;01:0,51 a 1,00;129.877;223.730;353.607
;02:1,01 a 1,50;551.850;717.408;1.269.258
;03:1,51 a 2,00;558.638;455.225;1.013.863
;04:2,01 a 3,00;582.898;416.103;999.001
;05:3,01 a 4,00;297.092;236.699;533.791
;06:4,01 a 5,00;171.642;146.513;318.155
;07:5,01 a 7,00;193.247;172.481;365.728
;08:7,01 a 10,00;139.272;126.829;266.101
;09:10,01 a 15,00;106.439;79.096;185.535
;10:15,01 a 20,00;48.886;30.968;79.854
;11:Mais de 20,00;66.708;31.618;98.326
;{ñ class};137.489;99.628;237.117
410690:Curitiba - PR;Total;445.275;418.530;863.805
;00:Até 0,50;2.198;2.455;4.653
;01:0,51 a 1,00;19.952;30.971;50.923
;02:1,01 a 1,50;75.402;106.176;181.578
;03:1,51 a 2,00;75.551;59.688;135.239
;04:2,01 a 3,00;87.869;61.874;149.743
;05:3,01 a 4,00;41.052;46.426;87.478
;06:4,01 a 5,00;32.709;27.815;60.524
;07:5,01 a 7,00;33.984;34.881;68.865
;08:7,01 a 10,00;23.190;17.601;40.791
;09:10,01 a 15,00;15.553;9.888;25.441
;10:15,01 a 20,00;7.670;3.915;11.585
;11:Mais de 20,00;8.502;3.888;12.390
;{ñ class};21.643;12.952;34.595
420540:Florianópolis - SC;Total;143.598;150.339;293.937
;00:Até 0,50;961;1.523;2.484
;01:0,51 a 1,00;6.481;9.957;16.438
;02:1,01 a 1,50;18.920;28.882;47.802
;03:1,51 a 2,00;21.367;22.524;43.891
;04:2,01 a 3,00;22.811;22.120;44.931
;05:3,01 a 4,00;10.177;14.154;24.331
;06:4,01 a 5,00;12.424;10.670;23.094
;07:5,01 a 7,00;15.728;15.291;31.019
;08:7,01 a 10,00;10.780;9.937;20.717
;09:10,01 a 15,00;8.859;6.327;15.186
;10:15,01 a 20,00;4.660;2.245;6.905
;11:Mais de 20,00;4.480;1.761;6.241
;{ñ class};5.950;4.948;10.898
431490:Porto Alegre - RS;Total;324.148;327.535;651.683
;00:Até 0,50;1.940;2.401;4.341
;01:0,51 a 1,00;13.699;21.214;34.913
;02:1,01 a 1,50;55.236;70.932;126.168
;03:1,51 a 2,00;58.164;56.277;114.441
;04:2,01 a 3,00;54.238;55.027;109.265
;05:3,01 a 4,00;25.521;30.081;55.602
;06:4,01 a 5,00;15.996;18.321;34.317
;07:5,01 a 7,00;27.037;20.735;47.772
;08:7,01 a 10,00;20.935;16.876;37.811
;09:10,01 a 15,00;18.585;13.040;31.625
;10:15,01 a 20,00;7.846;4.831;12.677
;11:Mais de 20,00;8.688;4.759;13.447
;{ñ class};16.263;13.041;29.304
500270:Campo Grande - MS;Total;142.902;128.322;271.224
;00:Até 0,50;1.052;1.478;2.530
;01:0,51 a 1,00;8.174;11.149;19.323
;02:1,01 a 1,50;35.125;37.784;72.909
;03:1,51 a 2,00;27.048;18.457;45.505
;04:2,01 a 3,00;22.943;16.349;39.292
;05:3,01 a 4,00;10.561;10.163;20.724
;06:4,01 a 5,00;7.558;8.585;16.143
;07:5,01 a 7,00;9.171;8.230;17.401
;08:7,01 a 10,00;5.710;4.713;10.423
;09:10,01 a 15,00;4.375;3.587;7.962
;10:15,01 a 20,00;1.895;1.192;3.087
;11:Mais de 20,00;2.434;1.049;3.483
;{ñ class};6.856;5.586;12.442
510340:Cuiabá - MT;Total;129.885;109.821;239.706
;00:Até 0,50;801;924;1.725
;01:0,51 a 1,00;6.235;7.828;14.063
;02:1,01 a 1,50;25.431;27.227;52.658
;03:1,51 a 2,00;23.846;15.040;38.886
;04:2,01 a 3,00;18.540;13.172;31.712
;05:3,01 a 4,00;8.916;9.769;18.685
;06:4,01 a 5,00;6.036;6.374;12.410
;07:5,01 a 7,00;11.918;11.820;23.738
;08:7,01 a 10,00;8.975;6.338;15.313
;09:10,01 a 15,00;5.597;3.832;9.429
;10:15,01 a 20,00;2.717;1.727;4.444
;11:Mais de 20,00;3.066;1.309;4.375
;{ñ class};7.807;4.461;12.268
520870:Goiânia - GO;Total;297.701;264.865;562.566
;00:Até 0,50;3.565;2.908;6.473
;01:0,51 a 1,00;21.766;25.843;47.609
;02:1,01 a 1,50;77.376;78.977;156.353
;03:1,51 a 2,00;50.837;41.589;92.426
