;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;86.299;77.578;163.877
;00:Até 0,50;492;501;993
;01:0,51 a 1,00;1.783;1.957;3.740
;02:1,01 a 1,50;19.073;24.486;43.559
;03:1,51 a 2,00;14.954;13.108;28.062
;04:2,01 a 3,00;17.273;14.861;32.134
;05:3,01 a 4,00;9.642;9.422;19.064
;06:4,01 a 5,00;5.035;3.125;8.160
;07:5,01 a 7,00;6.354;3.904;10.258
;08:7,01 a 10,00;3.964;2.383;6.347
;09:10,01 a 15,00;3.092;1.899;4.991
;10:15,01 a 20,00;1.368;603;1.971
;11:Mais de 20,00;1.514;554;2.068
;{ñ class};1.755;775;2.530
120040:Rio Branco - AC;Total;52.234;47.082;99.316
;00:Até 0,50;225;225;450
;01:0,51 a 1,00;1.578;1.739;3.317
;02:1,01 a 1,50;15.574;14.456;30.030
;03:1,51 a 2,00;8.591;5.535;14.126
;04:2,01 a 3,00;8.690;9.241;17.931
;05:3,01 a 4,00;4.633;5.145;9.778
;06:4,01 a 5,00;3.558;3.853;7.411
;07:5,01 a 7,00;4.104;3.239;7.343
;08:7,01 a 10,00;1.817;1.642;3.459
;09:10,01 a 15,00;1.455;1.104;2.559
;10:15,01 a 20,00;674;329;1.003
;11:Mais de 20,00;690;278;968
;{ñ class};645;296;941
130260:Manaus - AM;Total;275.158;209.875;485.033
;00:Até 0,50;2.280;1.785;4.065
;01:0,51 a 1,00;5.971;6.396;12.367
;02:1,01 a 1,50;80.223;76.784;157.007
;03:1,51 a 2,00;58.657;41.967;100.624
;04:2,01 a 3,00;51.182;30.962;82.144
;05:3,01 a 4,00;20.178;16.043;36.221
;06:4,01 a 5,00;13.596;8.904;22.500
;07:5,01 a 7,00;15.696;10.886;26.582
;08:7,01 a 10,00;10.269;7.192;17.461
;09:10,01 a 15,00;7.222;4.068;11.290
;10:15,01 a 20,00;2.821;1.494;4.315
;11:Mais de 20,00;3.357;1.382;4.739
;{ñ class};3.706;2.012;5.718
140010:Boa Vista - RR;Total;43.967;44.249;88.216
;00:Até 0,50;297;273;570
;01:0,51 a 1,00;1.456;1.555;3.011
;02:1,01 a 1,50;14.708;15.692;30.400
;03:1,51 a 2,00;6.134;3.892;10.026
;04:2,01 a 3,00;6.266;6.317;12.583
;05:3,01 a 4,00;3.620;4.116;7.736
;06:4,01 a 5,00;2.091;2.879;4.970
;07:5,01 a 7,00;3.843;5.067;8.910
;08:7,01 a 10,00;2.337;2.383;4.720
;09:10,01 a 15,00;1.461;1.163;2.624
;10:15,01 a 20,00;641;388;1.029
;11:Mais de 20,00;753;318;1.071
;{ñ class};360;206;566
150140:Belém - PA;Total;226.365;171.858;398.223
;00:Até 0,50;1.696;1.885;3.581
;01:0,51 a 1,00;8.171;5.802;13.973
;02:1,01 a 1,50;65.664;58.087;123.751
;03:1,51 a 2,00;35.958;22.875;58.833
;04:2,01 a 3,00;39.159;19.274;58.433
;05:3,01 a 4,00;21.372;14.302;35.674
;06:4,01 a 5,00;10.690;11.193;21.883
;07:5,01 a 7,00;14.972;15.556;30.528
;08:7,01 a 10,00;10.470;10.169;20.639
;09:10,01 a 15,00;6.912;5.172;12.084
;10:15,01 a 20,00;2.800;1.919;4.719
;11:Mais de 20,00;3.412;2.124;5.536
;{ñ class};5.089;3.500;8.589
160030:Macapá - AP;Total;54.359;51.294;105.653
;00:Até 0,50;593;491;1.084
;01:0,51 a 1,00;4.184;4.852;9.036
;02:1,01 a 1,50;18.919;18.482;37.401
;03:1,51 a 2,00;9.207;9.419;18.626
;04:2,01 a 3,00;8.449;6.598;15.047
;05:3,01 a 4,00;2.742;2.341;5.083
;06:4,01 a 5,00;1.350;1.128;2.478
;07:5,01 a 7,00;3.705;3.665;7.370
;08:7,01 a 10,00;1.982;2.259;4.241
;09:10,01 a 15,00;1.392;1.084;2.476
;10:15,01 a 20,00;697;389;1.086
;11:Mais de 20,00;728;354;1.082
;{ñ class};411;232;643
172100:Palmas - TO;Total;65.933;66.850;132.783
;00:Até 0,50;533;539;1.072
;01:0,51 a 1,00;3.342;4.745;8.087
;02:1,01 a 1,50;15.968;18.129;34.097
;03:1,51 a 2,00;9.150;6.723;15.873
;04:2,01 a 3,00;11.324;8.699;20.023
;05:3,01 a 4,00;5.873;8.358;14.231
;06:4,01 a 5,00;4.058;6.597;10.655
;07:5,01 a 7,00;4.468;6.688;11.156
;08:7,01 a 10,00;4.223;2.759;6.982
;09:10,01 a 15,00;3.506;1.943;5.449
;10:15,01 a 20,00;1.267;685;1.952
;11:Mais de 20,00;1.665;727;2.392
;{ñ class};556;258;814
211130:São Luiz - MA;Total;181.352;148.401;329.753
;00:Até 0,50;524;559;1.083
;01:0,51 a 1,00;6.386;9.159;15.545
;02:1,01 a 1,50;56.069;56.228;112.297
;03:1,51 a 2,00;31.218;17.924;49.142
;04:2,01 a 3,00;28.149;18.666;46.815
;05:3,01 a 4,00;15.988;13.340;29.328
;06:4,01 a 5,00;10.504;11.218;21.722
;07:5,01 a 7,00;13.442;9.262;22.704
;08:7,01 a 10,00;6.690;5.339;12.029
;09:10,01 a 15,00;5.034;3.312;8.346
;10:15,01 a 20,00;1.918;1.107;3.025
;11:Mais de 20,00;2.162;959;3.121
;{ñ class};3.268;1.328;4.596
221100:Terezina - PI;Total;152.720;125.823;278.543
;00:Até 0,50;759;681;1.440
;01:0,51 a 1,00;5.803;5.702;11.505
;02:1,01 a 1,50;67.124;59.203;126.327
;03:1,51 a 2,00;22.937;15.624;38.561
;04:2,01 a 3,00;17.529;12.538;30.067
;05:3,01 a 4,00;11.501;10.573;22.074
;06:4,01 a 5,00;5.666;7.362;13.028
;07:5,01 a 7,00;4.798;4.876;9.674
;08:7,01 a 10,00;6.196;3.820;10.016
;09:10,01 a 15,00;4.731;2.946;7.677
;10:15,01 a 20,00;2.043;1.042;3.085
;11:Mais de 20,00;1.700;793;2.493
;{ñ class};1.933;663;2.596
230440:Fortaleza - CE;Total;433.981;339.144;773.125
;00:Até 0,50;3.996;4.224;8.220
;01:0,51 a 1,00;19.621;19.540;39.161
;02:1,01 a 1,50;183.620;167.409;351.029
;03:1,51 a 2,00;70.578;37.518;108.096
;04:2,01 a 3,00;53.338;34.471;87.809
;05:3,01 a 4,00;31.030;19.593;50.623
;06:4,01 a 5,00;17.609;12.284;29.893
;07:5,01 a 7,00;18.411;17.381;35.792
;08:7,01 a 10,00;10.420;9.389;19.809
;09:10,01 a 15,00;8.778;6.799;15.577
;10:15,01 a 20,00;4.856;2.948;7.804
;11:Mais de 20,00;5.252;2.725;7.977
;{ñ class};6.472;4.863;11.335
240810:Natal - RN;Total;162.922;132.930;295.852
;00:Até 0,50;1.407;1.738;3.145
;01:0,51 a 1,00;5.000;5.682;10.682
;02:1,01 a 1,50;62.689;58.956;121.645
;03:1,51 a 2,00;24.772;14.797;39.569
;04:2,01 a 3,00;24.140;18.276;42.416
;05:3,01 a 4,00;12.786;10.830;23.616
;06:4,01 a 5,00;8.638;6.405;15.043
;07:5,01 a 7,00;6.850;5.513;12.363
;08:7,01 a 10,00;4.451;3.224;7.675
;09:10,01 a 15,00;4.990;3.210;8.200
;10:15,01 a 20,00;2.642;1.505;4.147
;11:Mais de 20,00;2.323;991;3.314
;{ñ class};2.234;1.803;4.037
250750:João Pessoa - PB;Total;150.613;117.678;268.291
;00:Até 0,50;689;627;1.316
;01:0,51 a 1,00;11.047;14.656;25.703
;02:1,01 a 1,50;60.799;50.292;111.091
;03:1,51 a 2,00;22.255;12.774;35.029
;04:2,01 a 3,00;25.595;16.101;41.696
;05:3,01 a 4,00;6.895;6.147;13.042
;06:4,01 a 5,00;3.823;3.455;7.278
;07:5,01 a 7,00;6.185;4.495;10.680
;08:7,01 a 10,00;4.148;3.064;7.212
;09:10,01 a 15,00;3.608;2.934;6.542
;10:15,01 a 20,00;2.016;1.307;3.323
;11:Mais de 20,00;1.808;893;2.701
;{ñ class};1.745;933;2.678
261160:Recife - PE;Total;370.123;292.214;662.337
;00:Até 0,50;2.769;2.980;5.749
;01:0,51 a 1,00;8.995;10.866;19.861
;02:1,01 a 1,50;126.228;115.082;241.310
;03:1,51 a 2,00;71.766;45.332;117.098
;04:2,01 a 3,00;51.592;34.781;86.373
;05:3,01 a 4,00;25.420;23.786;49.206
;06:4,01 a 5,00;18.983;12.684;31.667
;07:5,01 a 7,00;21.301;17.494;38.795
;08:7,01 a 10,00;15.384;12.699;28.083
;09:10,01 a 15,00;10.905;7.766;18.671
;10:15,01 a 20,00;4.331;2.868;7.199
;11:Mais de 20,00;5.363;2.828;8.191
;{ñ class};7.086;3.048;10.134
270430:Maceió - AL;Total;144.698;107.102;251.800
;00:Até 0,50;1.016;974;1.990
;01:0,51 a 1,00;5.766;5.617;11.383
;02:1,01 a 1,50;60.779;48.523;109.302
;03:1,51 a 2,00;24.619;14.732;39.351
;04:2,01 a 3,00;16.639;11.486;28.125
;05:3,01 a 4,00;6.808;6.830;13.638
