;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;64.942;51.981;116.923
;00:Até 0,50;531;577;1.108
;01:0,51 a 1,00;2.872;3.316;6.188
;02:1,01 a 1,50;16.717;16.237;32.954
;03:1,51 a 2,00;13.796;8.004;21.800
;04:2,01 a 3,00;10.996;9.137;20.133
;05:3,01 a 4,00;4.665;3.683;8.348
;06:4,01 a 5,00;2.677;2.319;4.996
;07:5,01 a 7,00;3.650;2.844;6.494
;08:7,01 a 10,00;2.402;1.803;4.205
;09:10,01 a 15,00;1.904;1.349;3.253
;10:15,01 a 20,00;936;509;1.445
;11:Mais de 20,00;858;357;1.215
;{ñ class};2.938;1.846;4.784
120040:Rio Branco - AC;Total;54.475;50.325;104.800
;00:Até 0,50;429;403;832
;01:0,51 a 1,00;3.525;3.726;7.251
;02:1,01 a 1,50;14.868;12.266;27.134
;03:1,51 a 2,00;8.377;5.716;14.093
;04:2,01 a 3,00;6.849;7.343;14.192
;05:3,01 a 4,00;4.410;7.482;11.892
;06:4,01 a 5,00;2.959;3.579;6.538
;07:5,01 a 7,00;5.314;3.897;9.211
;08:7,01 a 10,00;2.696;2.547;5.243
;09:10,01 a 15,00;1.802;1.225;3.027
;10:15,01 a 20,00;578;337;915
;11:Mais de 20,00;606;225;831
;{ñ class};2.062;1.579;3.641
130260:Manaus - AM;Total;308.542;223.770;532.312
;00:Até 0,50;3.854;3.219;7.073
;01:0,51 a 1,00;15.547;15.335;30.882
;02:1,01 a 1,50;86.198;66.071;152.269
;03:1,51 a 2,00;62.035;43.061;105.096
;04:2,01 a 3,00;56.880;38.295;95.175
;05:3,01 a 4,00;19.377;14.025;33.402
;06:4,01 a 5,00;13.078;12.516;25.594
;07:5,01 a 7,00;14.966;11.297;26.263
;08:7,01 a 10,00;12.249;7.063;19.312
;09:10,01 a 15,00;7.064;3.757;10.821
;10:15,01 a 20,00;3.562;1.829;5.391
;11:Mais de 20,00;3.032;1.332;4.364
;{ñ class};10.700;5.970;16.670
140010:Boa Vista - RR;Total;48.920;48.250;97.170
;00:Até 0,50;572;370;942
;01:0,51 a 1,00;4.006;3.814;7.820
;02:1,01 a 1,50;15.757;15.058;30.815
;03:1,51 a 2,00;7.243;4.963;12.206
