CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;1;2;95;160;535;580;326;44;1;1.744;0;2;88;155;355;373;151;14;1;1.139;1;4;183;315;890;953;477;58;2;2.883
;00:Até 0,50;0;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;3
;01:0,51 a 1,00;1;0;1;2;6;12;6;0;0;28;0;0;2;4;3;5;1;0;0;15;1;0;3;6;9;17;7;0;0;43
;02:1,01 a 1,50;0;0;18;18;38;23;18;8;0;123;0;2;26;33;35;26;6;3;0;131;0;2;44;51;73;49;24;11;0;254
;03:1,51 a 2,00;0;0;30;29;52;21;17;2;0;151;0;0;23;35;36;25;6;2;0;127;0;0;53;64;88;46;23;4;0;278
;04:2,01 a 3,00;0;0;22;29;67;65;37;7;0;227;0;0;13;27;46;35;22;3;0;146;0;0;35;56;113;100;59;10;0;373
;05:3,01 a 4,00;0;0;9;19;52;58;29;1;0;168;0;0;8;13;49;34;21;2;0;127;0;0;17;32;101;92;50;3;0;295
;06:4,01 a 5,00;0;0;2;13;39;40;27;6;0;127;0;0;4;10;34;25;18;2;0;93;0;0;6;23;73;65;45;8;0;220
;07:5,01 a 7,00;0;0;3;14;50;54;27;7;0;155;0;0;7;15;26;50;15;1;0;114;0;0;10;29;76;104;42;8;0;269
;08:7,01 a 10,00;0;0;2;7;38;66;33;2;0;148;0;0;2;9;28;38;9;0;0;86;0;0;4;16;66;104;42;2;0;234
;09:10,01 a 15,00;0;0;1;12;37;48;30;4;0;132;0;0;0;4;33;26;10;0;0;73;0;0;1;16;70;74;40;4;0;205
;10:15,01 a 20,00;0;0;3;6;43;30;16;3;1;102;0;0;1;2;15;22;7;0;0;47;0;0;4;8;58;52;23;3;1;149
;11:Mais de 20,00;0;0;4;11;112;163;86;4;0;380;0;0;2;3;50;87;36;1;1;180;0;0;6;14;162;250;122;5;1;560
120040:Rio Branco - AC;Total;1;1;277;505;632;324;153;10;0;1.903;1;2;436;671;658;228;70;4;0;2.070;2;3;713;1.176;1.290;552;223;14;0;3.973
;01:0,51 a 1,00;0;0;1;1;2;2;0;0;0;6;0;0;0;3;2;0;1;0;0;6;0;0;1;4;4;2;1;0;0;12
;02:1,01 a 1,50;0;0;59;39;53;22;11;0;0;184;0;1;53;42;40;7;2;0;0;145;0;1;112;81;93;29;13;0;0;329
;03:1,51 a 2,00;0;1;87;110;71;21;8;2;0;300;0;0;154;162;101;18;3;1;0;439;0;1;241;272;172;39;11;3;0;739
;04:2,01 a 3,00;0;0;78;135;101;28;12;1;0;355;1;0;136;166;114;30;7;1;0;455;1;0;214;301;215;58;19;2;0;810
;05:3,01 a 4,00;1;0;22;63;62;26;6;1;0;181;0;0;38;107;89;23;4;1;0;262;1;0;60;170;151;49;10;2;0;443
;06:4,01 a 5,00;0;0;9;42;54;22;8;0;0;135;0;0;26;59;74;14;5;0;0;178;0;0;35;101;128;36;13;0;0;313
;07:5,01 a 7,00;0;0;13;53;79;48;32;0;0;225;0;1;25;86;88;39;10;0;0;249;0;1;38;139;167;87;42;0;0;474
;08:7,01 a 10,00;0;0;6;17;67;35;20;1;0;146;0;0;3;22;52;24;12;1;0;114;0;0;9;39;119;59;32;2;0;260
;09:10,01 a 15,00;0;0;2;18;53;25;17;1;0;116;0;0;1;13;58;34;8;0;0;114;0;0;3;31;111;59;25;1;0;230
;10:15,01 a 20,00;0;0;0;7;20;31;8;1;0;67;0;0;0;5;17;14;5;0;0;41;0;0;0;12;37;45;13;1;0;108
;11:Mais de 20,00;0;0;0;19;70;64;31;3;0;187;0;0;0;6;22;25;13;0;0;66;0;0;0;25;92;89;44;3;0;253
;{ñ class};0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;2
130260:Manaus - AM;Total;0;2;367;1.179;2.200;1.740;1.078;93;0;6.659;0;0;174;346;819;541;167;12;0;2.059;0;2;541;1.525;3.019;2.281;1.245;105;0;8.718
;01:0,51 a 1,00;0;0;13;49;33;5;5;0;0;105;0;0;0;4;3;1;1;0;0;9;0;0;13;53;36;6;6;0;0;114
;02:1,01 a 1,50;0;1;152;514;421;54;39;5;0;1.186;0;0;46;33;71;32;4;1;0;187;0;1;198;547;492;86;43;6;0;1.373
;03:1,51 a 2,00;0;0;26;52;79;71;36;3;0;267;0;0;34;37;66;28;6;1;0;172;0;0;60;89;145;99;42;4;0;439
;04:2,01 a 3,00;0;0;51;106;181;83;59;4;0;484;0;0;36;76;108;61;9;0;0;290;0;0;87;182;289;144;68;4;0;774
;05:3,01 a 4,00;0;1;31;72;176;120;87;13;0;500;0;0;18;51;94;43;6;2;0;214;0;1;49;123;270;163;93;15;0;714
;06:4,01 a 5,00;0;0;31;58;129;113;47;6;0;384;0;0;9;32;71;36;14;0;0;162;0;0;40;90;200;149;61;6;0;546
;07:5,01 a 7,00;0;0;28;82;215;203;110;9;0;647;0;0;17;36;88;45;20;1;0;207;0;0;45;118;303;248;130;10;0;854
;08:7,01 a 10,00;0;0;20;92;234;204;137;14;0;701;0;0;11;30;84;46;15;1;0;187;0;0;31;122;318;250;152;15;0;888
;09:10,01 a 15,00;0;0;10;67;235;228;157;8;0;705;0;0;0;19;93;68;10;1;0;191;0;0;10;86;328;296;167;9;0;896
;10:15,01 a 20,00;0;0;4;34;118;106;62;3;0;327;0;0;1;18;55;37;12;3;0;126;0;0;5;52;173;143;74;6;0;453
;11:Mais de 20,00;0;0;1;53;377;549;337;28;0;1.345;0;0;2;10;86;142;70;2;0;312;0;0;3;63;463;691;407;30;0;1.657
;{ñ class};0;0;0;0;2;4;2;0;0;8;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;6;2;0;0;10
140010:Boa Vista - RR;Total;0;1;37;84;176;142;115;15;0;570;0;1;48;79;192;152;39;2;0;513;0;2;85;163;368;294;154;17;0;1.083
;01:0,51 a 1,00;0;0;1;3;0;0;0;0;0;4;0;0;3;1;1;2;0;0;0;7;0;0;4;4;1;2;0;0;0;11
;02:1,01 a 1,50;0;0;10;13;14;10;5;1;0;53;0;1;21;21;36;30;6;0;0;115;0;1;31;34;50;40;11;1;0;168
;03:1,51 a 2,00;0;1;7;18;11;12;6;1;0;56;0;0;8;8;15;6;2;0;0;39;0;1;15;26;26;18;8;1;0;95
;04:2,01 a 3,00;0;0;4;12;20;11;8;1;0;56;0;0;4;8;17;13;1;0;0;43;0;0;8;20;37;24;9;1;0;99
;05:3,01 a 4,00;0;0;3;13;13;13;7;1;0;50;0;0;6;10;18;4;1;0;0;39;0;0;9;23;31;17;8;1;0;89
;06:4,01 a 5,00;0;0;1;2;15;13;6;1;0;38;0;0;2;10;23;8;1;1;0;45;0;0;3;12;38;21;7;2;0;83
;07:5,01 a 7,00;0;0;5;9;16;10;17;4;0;61;0;0;4;4;26;22;6;1;0;63;0;0;9;13;42;32;23;5;0;124
;08:7,01 a 10,00;0;0;6;5;19;19;8;2;0;59;0;0;0;6;23;40;9;0;0;78;0;0;6;11;42;59;17;2;0;137
;09:10,01 a 15,00;0;0;0;5;18;11;18;1;0;53;0;0;0;6;21;17;9;0;0;53;0;0;0;11;39;28;27;1;0;106
;10:15,01 a 20,00;0;0;0;0;13;4;7;0;0;24;0;0;0;3;6;5;1;0;0;15;0;0;0;3;19;9;8;0;0;39
;11:Mais de 20,00;0;0;0;4;36;39;33;3;0;115;0;0;0;2;6;5;3;0;0;16;0;0;0;6;42;44;36;3;0;131
;{ñ class};0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
150140:Belém - PA;Total;1;3;290;621;2.050;1.910;1.287;191;0;6.353;0;3;243;555;1.765;1.868;1.039;115;0;5.588;1;6;533;1.176;3.815;3.778;2.326;306;0;11.941
;00:Até 0,50;0;2;0;0;1;1;0;0;0;4;0;2;1;0;0;0;0;0;0;3;0;4;1;0;1;1;0;0;0;7
;01:0,51 a 1,00;1;0;23;10;12;13;4;1;0;64;0;0;6;2;3;11;2;0;0;24;1;0;29;12;15;24;6;1;0;88
;02:1,01 a 1,50;0;0;74;67;120;35;18;5;0;319;0;0;47;53;57;29;10;0;0;196;0;0;121;120;177;64;28;5;0;515
;03:1,51 a 2,00;0;1;35;68;132;78;59;5;0;378;0;1;44;55;115;87;23;4;0;329;0;2;79;123;247;165;82;9;0;707
;04:2,01 a 3,00;0;0;43;86;199;170;81;8;0;587;0;0;37;85;203;152;60;2;0;539;0;0;80;171;402;322;141;10;0;1.126
;05:3,01 a 4,00;0;0;14;51;190;132;85;8;0;480;0;0;11;51;172;165;60;7;0;466;0;0;25;102;362;297;145;15;0;946
;06:4,01 a 5,00;0;0;40;70;177;125;73;7;0;492;0;0;26;47;151;123;64;6;0;417;0;0;66;117;328;248;137;13;0;909
;07:5,01 a 7,00;0;0;33;96;313;300;200;19;0;961;0;0;32;104;299;324;175;17;0;951;0;0;65;200;612;624;375;36;0;1.912
;08:7,01 a 10,00;0;0;16;71;316;314;218;32;0;967;0;0;18;68;300;332;202;19;0;939;0;0;34;139;616;646;420;51;0;1.906
;09:10,01 a 15,00;0;0;7;27;216;255;198;34;0;737;0;0;15;27;176;250;170;9;0;647;0;0;22;54;392;505;368;43;0;1.384
;10:15,01 a 20,00;0;0;1;15;90;131;90;10;0;337;0;0;1;13;84;124;67;3;0;292;0;0;2;28;174;255;157;13;0;629
;11:Mais de 20,00;0;0;4;60;282;353;261;62;0;1.022;0;0;5;50;204;269;205;48;0;781;0;0;9;110;486;622;466;110;0;1.803
;{ñ class};0;0;0;0;2;3;0;0;0;5;0;0;0;0;1;2;1;0;0;4;0;0;0;0;3;5;1;0;0;9
160030:Macapá - AP;Total;0;3;68;98;245;141;71;8;0;634;0;1;54;66;157;95;24;2;0;399;0;4;122;164;402;236;95;10;0;1.033
;01:0,51 a 1,00;0;0;5;3;1;0;1;0;0;10;0;1;9;5;6;1;1;0;0;23;0;1;14;8;7;1;2;0;0;33
;02:1,01 a 1,50;0;3;26;11;14;5;0;1;0;60;0;0;11;5;3;6;2;0;0;27;0;3;37;16;17;11;2;1;0;87
;03:1,51 a 2,00;0;0;10;11;25;6;4;2;0;58;0;0;11;8;10;4;0;0;0;33;0;0;21;19;35;10;4;2;0;91
;04:2,01 a 3,00;0;0;7;21;34;9;9;0;0;80;0;0;5;18;18;14;4;0;0;59;0;0;12;39;52;23;13;0;0;139
;05:3,01 a 4,00;0;0;5;15;35;26;6;1;0;88;0;0;10;8;31;14;4;0;0;67;0;0;15;23;66;40;10;1;0;155
;06:4,01 a 5,00;0;0;4;3;14;11;8;2;0;42;0;0;2;3;14;12;0;1;0;32;0;0;6;6;28;23;8;3;0;74
;07:5,01 a 7,00;0;0;6;10;24;15;6;0;0;61;0;0;2;6;15;11;5;0;0;39;0;0;8;16;39;26;11;0;0;100
;08:7,01 a 10,00;0;0;3;6;35;15;10;0;0;69;0;0;3;9;27;11;5;1;0;56;0;0;6;15;62;26;15;1;0;125
;09:10,01 a 15,00;0;0;0;6;22;13;4;1;0;46;0;0;0;3;17;10;1;0;0;31;0;0;0;9;39;23;5;1;0;77
;10:15,01 a 20,00;0;0;0;5;8;4;5;0;0;22;0;0;0;0;7;4;2;0;0;13;0;0;0;5;15;8;7;0;0;35
;11:Mais de 20,00;0;0;0;5;33;37;16;1;0;92;0;0;1;1;9;8;0;0;0;19;0;0;1;6;42;45;16;1;0;111
;{ñ class};0;0;2;2;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;6
172100:Palmas - TO;Total;0;0;184;364;803;731;409;27;0;2.518;0;2;194;404;869;531;149;11;0;2.160;0;2;378;768;1.672;1.262;558;38;0;4.678
;01:0,51 a 1,00;0;0;2;1;2;1;2;0;0;8;0;0;2;5;1;1;0;0;0;9;0;0;4;6;3;2;2;0;0;17
;02:1,01 a 1,50;0;0;20;20;16;15;7;0;0;78;0;1;18;16;15;10;8;0;0;68;0;1;38;36;31;25;15;0;0;146
;03:1,51 a 2,00;0;0;20;17;16;19;8;0;0;80;0;1;8;20;30;9;4;0;0;72;0;1;28;37;46;28;12;0;0;152
;04:2,01 a 3,00;0;0;15;30;49;33;16;1;0;144;0;0;23;27;39;30;13;0;0;132;0;0;38;57;88;63;29;1;0;276
;05:3,01 a 4,00;0;0;39;40;66;27;15;0;0;187;0;0;38;42;78;20;10;4;0;192;0;0;77;82;144;47;25;4;0;379
;06:4,01 a 5,00;0;0;27;44;73;37;23;2;0;206;0;0;41;88;195;84;22;0;0;430;0;0;68;132;268;121;45;2;0;636
;07:5,01 a 7,00;0;0;34;113;190;144;79;8;0;568;0;0;30;95;137;86;26;2;0;376;0;0;64;208;327;230;105;10;0;944
;08:7,01 a 10,00;0;0;22;60;173;171;90;3;0;519;0;0;16;74;219;159;34;3;0;505;0;0;38;134;392;330;124;6;0;1.024
;09:10,01 a 15,00;0;0;4;28;120;135;103;6;0;396;0;0;16;30;116;85;21;2;0;270;0;0;20;58;236;220;124;8;0;666
;10:15,01 a 20,00;0;0;0;5;39;48;19;1;0;112;0;0;2;5;18;18;2;0;0;45;0;0;2;10;57;66;21;1;0;157
;11:Mais de 20,00;0;0;1;6;59;100;47;6;0;219;0;0;0;2;20;28;8;0;0;58;0;0;1;8;79;128;55;6;0;277
;{ñ class};0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;3;0;0;0;0;1;2;1;0;0;4
211130:São Luiz - MA;Total;0;0;126;331;1.447;1.925;1.561;180;0;5.570;0;0;154;537;2.095;3.463;2.824;114;0;9.187;0;0;280;868;3.542;5.388;4.385;294;0;14.757
;00:Até 0,50;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;3;6;0;0;9;0;0;0;0;0;3;8;0;0;11
;01:0,51 a 1,00;0;0;4;5;6;3;2;1;0;21;0;0;7;5;7;3;7;0;0;29;0;0;11;10;13;6;9;1;0;50
;02:1,01 a 1,50;0;0;33;33;140;214;185;31;0;636;0;0;19;40;230;534;719;16;0;1.558;0;0;52;73;370;748;904;47;0;2.194
;03:1,51 a 2,00;0;0;23;60;181;248;306;38;0;856;0;0;79;243;591;397;220;3;0;1.533;0;0;102;303;772;645;526;41;0;2.389
;04:2,01 a 3,00;0;0;27;76;570;594;446;57;0;1.770;0;0;30;142;711;1.013;619;36;0;2.551;0;0;57;218;1.281;1.607;1.065;93;0;4.321
;05:3,01 a 4,00;0;0;14;35;123;250;145;19;0;586;0;0;3;30;221;544;428;28;0;1.254;0;0;17;65;344;794;573;47;0;1.840
;06:4,01 a 5,00;0;0;11;14;62;124;111;6;0;328;0;0;5;12;103;306;282;14;0;722;0;0;16;26;165;430;393;20;0;1.050
;07:5,01 a 7,00;0;0;6;17;72;121;122;11;0;349;0;0;7;18;104;413;361;11;0;914;0;0;13;35;176;534;483;22;0;1.263
;08:7,01 a 10,00;0;0;4;31;64;66;62;0;0;227;0;0;3;22;45;107;98;1;0;276;0;0;7;53;109;173;160;1;0;503
;09:10,01 a 15,00;0;0;3;23;50;54;34;2;0;166;0;0;1;10;24;52;29;1;0;117;0;0;4;33;74;106;63;3;0;283
;10:15,01 a 20,00;0;0;1;10;67;75;42;1;0;196;0;0;0;3;22;17;21;0;0;63;0;0;1;13;89;92;63;1;0;259
;11:Mais de 20,00;0;0;0;27;110;175;102;14;0;428;0;0;0;12;36;72;29;4;0;153;0;0;0;39;146;247;131;18;0;581
;{ñ class};0;0;0;0;2;1;2;0;0;5;0;0;0;0;1;2;5;0;0;8;0;0;0;0;3;3;7;0;0;13
221100:Terezina - PI;Total;0;1;142;327;969;1.065;459;94;1;3.058;0;2;130;259;812;753;400;62;2;2.420;0;3;272;586;1.781;1.818;859;156;3;5.478
;00:Até 0,50;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;2;0;0;0;3
;01:0,51 a 1,00;0;0;3;4;50;35;7;1;0;100;0;0;5;4;15;2;0;3;0;29;0;0;8;8;65;37;7;4;0;129
;02:1,01 a 1,50;0;1;32;48;80;50;21;1;0;233;0;0;30;44;71;64;27;6;0;242;0;1;62;92;151;114;48;7;0;475
;03:1,51 a 2,00;0;0;21;45;96;82;17;3;0;264;0;1;20;39;78;50;18;0;0;206;0;1;41;84;174;132;35;3;0;470
;04:2,01 a 3,00;0;0;44;79;178;121;41;5;1;469;0;1;37;60;151;92;43;3;0;387;0;1;81;139;329;213;84;8;1;856
;05:3,01 a 4,00;0;0;11;39;135;149;43;5;0;382;0;0;10;42;124;128;77;4;0;385;0;0;21;81;259;277;120;9;0;767
;06:4,01 a 5,00;0;0;13;28;98;124;44;7;0;314;0;0;12;17;87;86;43;10;1;256;0;0;25;45;185;210;87;17;1;570
;07:5,01 a 7,00;0;0;6;19;92;134;57;8;0;316;0;0;4;14;91;109;50;13;0;281;0;0;10;33;183;243;107;21;0;597
;08:7,01 a 10,00;0;0;8;29;83;131;62;25;0;338;0;0;5;16;88;81;52;4;0;246;0;0;13;45;171;212;114;29;0;584
;09:10,01 a 15,00;0;0;4;24;65;68;49;9;0;219;0;0;4;13;48;57;34;8;1;165;0;0;8;37;113;125;83;17;1;384
;10:15,01 a 20,00;0;0;0;4;26;53;26;3;0;112;0;0;3;2;22;20;18;4;0;69;0;0;3;6;48;73;44;7;0;181
;11:Mais de 20,00;0;0;0;8;65;117;91;27;0;308;0;0;0;8;36;62;38;7;0;151;0;0;0;16;101;179;129;34;0;459
;{ñ class};0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;3
230440:Fortaleza - CE;Total;0;8;549;925;2.752;2.407;1.248;155;0;8.044;1;9;466;837;2.322;2.083;866;84;1;6.669;1;17;1.015;1.762;5.074;4.490;2.114;239;1;14.713
;00:Até 0,50;0;0;5;2;2;0;0;0;0;9;0;0;0;0;1;1;1;0;0;3;0;0;5;2;3;1;1;0;0;12
;01:0,51 a 1,00;0;8;18;16;37;23;14;1;0;117;1;8;26;20;25;16;4;0;0;100;1;16;44;36;62;39;18;1;0;217
;02:1,01 a 1,50;0;0;190;185;295;187;62;12;0;931;0;1;145;159;287;165;46;2;0;805;0;1;335;344;582;352;108;14;0;1.736
;03:1,51 a 2,00;0;0;118;133;282;150;76;8;0;767;0;0;89;129;237;130;48;3;0;636;0;0;207;262;519;280;124;11;0;1.403
;04:2,01 a 3,00;0;0;65;139;364;251;128;18;0;965;0;0;86;146;291;259;123;10;0;915;0;0;151;285;655;510;251;28;0;1.880
;05:3,01 a 4,00;0;0;48;118;333;249;107;10;0;865;0;0;33;114;295;213;73;2;0;730;0;0;81;232;628;462;180;12;0;1.595
;06:4,01 a 5,00;0;0;62;97;248;216;130;11;0;764;0;0;44;82;263;173;76;12;0;650;0;0;106;179;511;389;206;23;0;1.414
;07:5,01 a 7,00;0;0;21;71;267;242;136;10;0;747;0;0;21;78;269;278;131;11;0;788;0;0;42;149;536;520;267;21;0;1.535
;08:7,01 a 10,00;0;0;13;78;317;292;164;13;0;877;0;0;16;70;297;345;145;15;1;889;0;0;29;148;614;637;309;28;1;1.766
;09:10,01 a 15,00;0;0;5;43;224;230;103;15;0;620;0;0;4;24;184;213;82;8;0;515;0;0;9;67;408;443;185;23;0;1.135
;10:15,01 a 20,00;0;0;4;17;101;133;54;11;0;320;0;0;1;7;52;94;44;7;0;205;0;0;5;24;153;227;98;18;0;525
;11:Mais de 20,00;0;0;0;25;282;430;268;46;0;1.051;0;0;1;7;119;193;91;14;0;425;0;0;1;32;401;623;359;60;0;1.476
;{ñ class};0;0;0;1;0;4;6;0;0;11;0;0;0;1;2;3;2;0;0;8;0;0;0;2;2;7;8;0;0;19
240810:Natal - RN;Total;0;2;212;317;756;745;399;39;0;2.470;0;0;156;286;588;525;273;13;0;1.841;0;2;368;603;1.344;1.270;672;52;0;4.311
;00:Até 0,50;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;01:0,51 a 1,00;0;2;1;2;6;2;4;1;0;18;0;0;4;2;3;3;2;0;0;14;0;2;5;4;9;5;6;1;0;32
;02:1,01 a 1,50;0;0;88;76;79;44;22;4;0;313;0;0;59;69;88;30;4;1;0;251;0;0;147;145;167;74;26;5;0;564
;03:1,51 a 2,00;0;0;44;46;86;57;14;1;0;248;0;0;28;48;60;36;8;0;0;180;0;0;72;94;146;93;22;1;0;428
;04:2,01 a 3,00;0;0;38;84;143;106;46;2;0;419;0;0;36;77;163;123;47;3;0;449;0;0;74;161;306;229;93;5;0;868
;05:3,01 a 4,00;0;0;20;40;88;65;33;0;0;246;0;0;17;26;74;88;30;2;0;237;0;0;37;66;162;153;63;2;0;483
;06:4,01 a 5,00;0;0;6;19;56;56;28;2;0;167;0;0;8;20;45;43;29;0;0;145;0;0;14;39;101;99;57;2;0;312
;07:5,01 a 7,00;0;0;7;10;52;70;39;7;0;185;0;0;1;20;51;48;35;0;0;155;0;0;8;30;103;118;74;7;0;340
;08:7,01 a 10,00;0;0;4;19;39;59;45;3;0;169;0;0;1;11;34;37;28;1;0;112;0;0;5;30;73;96;73;4;0;281
;09:10,01 a 15,00;0;0;2;6;64;64;32;3;0;171;0;0;1;5;28;37;26;0;0;97;0;0;3;11;92;101;58;3;0;268
;10:15,01 a 20,00;0;0;1;3;40;72;26;3;0;145;0;0;0;3;18;28;21;1;0;71;0;0;1;6;58;100;47;4;0;216
;11:Mais de 20,00;0;0;1;11;102;147;109;12;0;382;0;0;1;5;24;49;43;5;0;127;0;0;2;16;126;196;152;17;0;509
;{ñ class};0;0;0;0;1;3;1;1;0;6;0;0;0;0;0;3;0;0;0;3;0;0;0;0;1;6;1;1;0;9
250750:João Pessoa - PB;Total;0;0;494;1.425;8.007;10.202;5.997;567;0;26.692;0;1;336;1.288;6.894;15.576;12.799;670;0;37.564;0;1;830;2.713;14.901;25.778;18.796;1.237;0;64.256
;00:Até 0,50;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;0;0;3
;01:0,51 a 1,00;0;0;52;139;623;719;599;110;0;2.242;0;0;79;253;1.272;1.703;1.442;147;0;4.896;0;0;131;392;1.895;2.422;2.041;257;0;7.138
