CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;0;285;488;1.357;1.125;954;110;0;4.319;0;0;308;540;1.360;1.055;626;30;0;3.919;0;0;593;1.028;2.717;2.180;1.580;140;0;8.238
;00:Até 0,50;0;0;0;0;0;2;4;0;0;6;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;2;5;0;0;8
;01:0,51 a 1,00;0;0;7;8;19;15;15;0;0;64;0;0;13;9;20;14;9;0;0;65;0;0;20;17;39;29;24;0;0;129
;02:1,01 a 1,50;0;0;93;116;214;173;134;16;0;746;0;0;116;120;230;169;85;4;0;724;0;0;209;236;444;342;219;20;0;1.470
;03:1,51 a 2,00;0;0;61;81;118;113;65;4;0;442;0;0;52;81;154;96;38;0;0;421;0;0;113;162;272;209;103;4;0;863
;04:2,01 a 3,00;0;0;47;94;306;200;123;23;0;793;0;0;54;115;288;225;115;4;0;801;0;0;101;209;594;425;238;27;0;1.594
;05:3,01 a 4,00;0;0;20;46;146;145;92;7;0;456;0;0;17;54;174;150;81;4;0;480;0;0;37;100;320;295;173;11;0;936
;06:4,01 a 5,00;0;0;19;32;98;76;70;8;0;303;0;0;5;34;88;92;51;1;0;271;0;0;24;66;186;168;121;9;0;574
;07:5,01 a 7,00;0;0;17;60;151;141;95;17;0;481;0;0;29;84;199;139;56;6;0;513;0;0;46;144;350;280;151;23;0;994
;08:7,01 a 10,00;0;0;15;28;120;78;120;9;0;370;0;0;17;32;96;55;63;6;0;269;0;0;32;60;216;133;183;15;0;639
;09:10,01 a 15,00;0;0;2;10;66;44;66;4;0;192;0;0;0;2;45;34;51;2;0;134;0;0;2;12;111;78;117;6;0;326
;10:15,01 a 20,00;0;0;0;1;30;30;19;5;0;85;0;0;0;0;4;15;24;0;0;43;0;0;0;1;34;45;43;5;0;128
;11:Mais de 20,00;0;0;0;2;52;82;127;14;0;277;0;0;0;2;28;46;40;1;0;117;0;0;0;4;80;128;167;15;0;394
;{ñ class};0;0;4;10;37;26;24;3;0;104;0;0;5;7;33;20;12;2;0;79;0;0;9;17;70;46;36;5;0;183
120040:Rio Branco - AC;Total;0;0;189;287;984;830;415;70;0;2.775;0;0;164;299;899;752;332;23;0;2.469;0;0;353;586;1.883;1.582;747;93;0;5.244
;00:Até 0,50;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
;01:0,51 a 1,00;0;0;0;1;2;5;2;0;0;10;0;0;2;1;3;1;2;0;0;9;0;0;2;2;5;6;4;0;0;19
;02:1,01 a 1,50;0;0;38;47;103;59;24;4;0;275;0;0;45;60;84;62;10;0;0;261;0;0;83;107;187;121;34;4;0;536
;03:1,51 a 2,00;0;0;32;30;76;41;19;2;0;200;0;0;24;36;69;40;15;0;0;184;0;0;56;66;145;81;34;2;0;384
;04:2,01 a 3,00;0;0;59;91;219;138;51;10;0;568;0;0;51;90;189;114;39;3;0;486;0;0;110;181;408;252;90;13;0;1.054
;05:3,01 a 4,00;0;0;21;22;108;70;33;3;0;257;0;0;14;27;109;57;31;1;0;239;0;0;35;49;217;127;64;4;0;496
;06:4,01 a 5,00;0;0;16;27;51;38;26;6;0;164;0;0;5;22;48;27;18;2;0;122;0;0;21;49;99;65;44;8;0;286
;07:5,01 a 7,00;0;0;15;42;141;110;61;10;0;379;0;0;9;32;136;102;60;5;0;344;0;0;24;74;277;212;121;15;0;723
;08:7,01 a 10,00;0;0;1;12;122;169;74;9;0;387;0;0;5;21;143;212;79;2;0;462;0;0;6;33;265;381;153;11;0;849
;09:10,01 a 15,00;0;0;2;9;85;105;51;13;0;265;0;0;0;5;76;86;52;4;0;223;0;0;2;14;161;191;103;17;0;488
;10:15,01 a 20,00;0;0;0;2;42;48;22;7;0;121;0;0;0;0;16;24;7;2;0;49;0;0;0;2;58;72;29;9;0;170
;11:Mais de 20,00;0;0;2;0;25;32;40;4;0;103;0;0;2;0;12;20;15;4;0;53;0;0;4;0;37;52;55;8;0;156
;{ñ class};0;0;3;4;10;15;10;2;0;44;0;0;7;5;14;7;4;0;0;37;0;0;10;9;24;22;14;2;0;81
130260:Manaus - AM;Total;0;0;339;853;2.777;2.548;1.859;249;0;8.625;0;0;300;907;2.871;2.273;1.320;121;0;7.792;0;0;639;1.760;5.648;4.821;3.179;370;0;16.417
;00:Até 0,50;0;0;0;0;2;3;0;2;0;7;0;0;0;1;4;1;9;2;0;17;0;0;0;1;6;4;9;4;0;24
;01:0,51 a 1,00;0;0;3;6;17;11;15;8;0;60;0;0;1;2;15;15;12;2;0;47;0;0;4;8;32;26;27;10;0;107
;02:1,01 a 1,50;0;0;107;114;218;165;81;8;0;693;0;0;82;155;218;148;92;5;0;700;0;0;189;269;436;313;173;13;0;1.393
;03:1,51 a 2,00;0;0;61;113;237;166;119;12;0;708;0;0;64;124;304;179;83;5;0;759;0;0;125;237;541;345;202;17;0;1.467
;04:2,01 a 3,00;0;0;71;185;383;287;220;21;0;1.167;0;0;70;212;487;313;148;10;0;1.240;0;0;141;397;870;600;368;31;0;2.407
;05:3,01 a 4,00;0;0;45;108;342;226;184;26;0;931;0;0;38;138;436;310;177;15;0;1.114;0;0;83;246;778;536;361;41;0;2.045
;06:4,01 a 5,00;0;0;28;102;271;204;112;23;0;740;0;0;24;101;361;238;134;14;0;872;0;0;52;203;632;442;246;37;0;1.612
;07:5,01 a 7,00;0;0;12;91;347;248;168;27;0;893;0;0;8;85;380;292;137;13;0;915;0;0;20;176;727;540;305;40;0;1.808
;08:7,01 a 10,00;0;0;3;57;254;234;142;27;0;717;0;0;6;38;256;198;115;8;0;621;0;0;9;95;510;432;257;35;0;1.338
;09:10,01 a 15,00;0;0;2;23;286;309;199;18;0;837;0;0;1;9;184;205;105;12;0;516;0;0;3;32;470;514;304;30;0;1.353
;10:15,01 a 20,00;0;0;1;23;179;299;211;24;0;737;0;0;0;10;94;203;143;9;0;459;0;0;1;33;273;502;354;33;0;1.196
;11:Mais de 20,00;0;0;0;5;151;327;355;43;0;881;0;0;1;11;66;132;140;24;0;374;0;0;1;16;217;459;495;67;0;1.255
;{ñ class};0;0;6;26;90;69;53;10;0;254;0;0;5;21;66;39;25;2;0;158;0;0;11;47;156;108;78;12;0;412
140010:Boa Vista - RR;Total;0;1;239;410;1.079;680;497;57;0;2.963;0;2;319;434;1.128;689;396;31;0;2.999;0;3;558;844;2.207;1.369;893;88;0;5.962
;00:Até 0,50;0;0;0;0;0;0;1;0;0;1;0;0;1;0;2;0;0;0;0;3;0;0;1;0;2;0;1;0;0;4
;01:0,51 a 1,00;0;0;14;8;21;7;11;0;0;61;0;0;12;5;19;8;6;0;0;50;0;0;26;13;40;15;17;0;0;111
;02:1,01 a 1,50;0;1;58;72;131;61;47;9;0;379;0;0;82;76;134;65;38;3;0;398;0;1;140;148;265;126;85;12;0;777
;03:1,51 a 2,00;0;0;21;49;94;57;32;3;0;256;0;0;46;54;81;46;20;3;0;250;0;0;67;103;175;103;52;6;0;506
;04:2,01 a 3,00;0;0;56;108;221;150;88;7;0;630;0;1;63;119;272;157;86;6;0;704;0;1;119;227;493;307;174;13;0;1.334
;05:3,01 a 4,00;0;0;30;45;148;89;58;9;0;379;0;0;47;72;196;125;50;4;0;494;0;0;77;117;344;214;108;13;0;873
;06:4,01 a 5,00;0;0;42;55;145;89;71;6;0;408;0;1;39;44;164;84;58;2;0;392;0;1;81;99;309;173;129;8;0;800
;07:5,01 a 7,00;0;0;9;40;119;69;51;3;0;291;0;0;14;29;102;80;55;3;0;283;0;0;23;69;221;149;106;6;0;574
;08:7,01 a 10,00;0;0;7;14;68;33;39;5;0;166;0;0;10;24;80;45;35;6;0;200;0;0;17;38;148;78;74;11;0;366
;09:10,01 a 15,00;0;0;0;10;51;37;23;6;0;127;0;0;0;6;40;34;14;0;0;94;0;0;0;16;91;71;37;6;0;221
;10:15,01 a 20,00;0;0;0;3;27;24;19;0;0;73;0;0;0;3;17;15;10;1;0;46;0;0;0;6;44;39;29;1;0;119
;11:Mais de 20,00;0;0;0;0;30;51;47;7;0;135;0;0;0;0;13;23;21;2;0;59;0;0;0;0;43;74;68;9;0;194
;{ñ class};0;0;2;6;24;13;10;2;0;57;0;0;5;2;8;7;3;1;0;26;0;0;7;8;32;20;13;3;0;83
150140:Belém - PA;Total;0;0;254;817;3.199;3.585;2.737;541;0;11.133;1;0;309;941;3.365;3.054;2.595;423;0;10.688;1;0;563;1.758;6.564;6.639;5.332;964;0;21.821
;00:Até 0,50;0;0;1;0;3;1;1;0;0;6;0;0;0;0;2;1;1;1;0;5;0;0;1;0;5;2;2;1;0;11
;01:0,51 a 1,00;0;0;22;23;90;75;64;7;0;281;0;0;32;31;73;56;47;10;0;249;0;0;54;54;163;131;111;17;0;530
;02:1,01 a 1,50;0;0;70;132;253;226;209;22;0;912;0;0;79;128;301;195;151;28;0;882;0;0;149;260;554;421;360;50;0;1.794
;03:1,51 a 2,00;0;0;35;107;227;227;190;45;0;831;0;0;42;120;280;224;100;13;0;779;0;0;77;227;507;451;290;58;0;1.610
;04:2,01 a 3,00;0;0;59;185;519;473;293;50;0;1.579;1;0;50;179;591;444;288;25;0;1.578;1;0;109;364;1.110;917;581;75;0;3.157
;05:3,01 a 4,00;0;0;23;119;529;492;325;39;0;1.527;0;0;49;145;630;568;357;35;0;1.784;0;0;72;264;1.159;1.060;682;74;0;3.311
;06:4,01 a 5,00;0;0;13;78;405;459;285;46;0;1.286;0;0;9;136;437;376;308;36;0;1.302;0;0;22;214;842;835;593;82;0;2.588
;07:5,01 a 7,00;0;0;21;86;362;515;379;90;0;1.453;0;0;35;109;434;464;390;78;0;1.510;0;0;56;195;796;979;769;168;0;2.963
;08:7,01 a 10,00;0;0;2;31;238;263;265;64;0;863;0;0;5;33;241;231;287;55;0;852;0;0;7;64;479;494;552;119;0;1.715
;09:10,01 a 15,00;0;0;0;16;225;223;267;79;0;810;0;0;1;24;121;146;296;62;0;650;0;0;1;40;346;369;563;141;0;1.460
;10:15,01 a 20,00;0;0;0;6;106;197;125;37;0;471;0;0;0;5;59;71;124;24;0;283;0;0;0;11;165;268;249;61;0;754
;11:Mais de 20,00;0;0;0;2;151;339;260;45;0;797;0;0;0;1;100;203;179;49;0;532;0;0;0;3;251;542;439;94;0;1.329
;{ñ class};0;0;8;32;91;95;74;17;0;317;0;0;7;30;96;75;67;7;0;282;0;0;15;62;187;170;141;24;0;599
160030:Macapá - AP;Total;0;0;166;329;878;654;457;53;0;2.537;0;0;160;351;888;676;298;20;0;2.393;0;0;326;680;1.766;1.330;755;73;0;4.930
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
;01:0,51 a 1,00;0;0;1;3;17;13;12;0;0;46;0;0;2;2;19;11;12;4;0;50;0;0;3;5;36;24;24;4;0;96
;02:1,01 a 1,50;0;0;30;68;93;62;26;3;0;282;0;0;34;48;117;82;25;0;0;306;0;0;64;116;210;144;51;3;0;588
;03:1,51 a 2,00;0;0;72;108;265;188;109;14;0;756;0;0;57;137;259;177;72;2;0;704;0;0;129;245;524;365;181;16;0;1.460
;04:2,01 a 3,00;0;0;20;56;169;110;80;7;0;442;0;0;13;69;171;129;51;2;0;435;0;0;33;125;340;239;131;9;0;877
;05:3,01 a 4,00;0;0;17;35;92;67;48;10;0;269;0;0;15;26;94;61;38;3;0;237;0;0;32;61;186;128;86;13;0;506
;06:4,01 a 5,00;0;0;6;13;49;34;25;1;0;128;0;0;11;20;57;44;11;1;0;144;0;0;17;33;106;78;36;2;0;272
;07:5,01 a 7,00;0;0;10;23;65;61;40;2;0;201;0;0;16;20;57;62;27;2;0;184;0;0;26;43;122;123;67;4;0;385
;08:7,01 a 10,00;0;0;4;16;58;41;27;2;0;148;0;0;6;14;56;51;29;2;0;158;0;0;10;30;114;92;56;4;0;306
;09:10,01 a 15,00;0;0;4;1;31;33;24;6;0;99;0;0;6;8;25;24;11;1;0;75;0;0;10;9;56;57;35;7;0;174
;10:15,01 a 20,00;0;0;0;2;9;8;3;1;0;23;0;0;0;3;10;6;4;0;0;23;0;0;0;5;19;14;7;1;0;46
;11:Mais de 20,00;0;0;0;0;17;27;49;4;0;97;0;0;0;0;8;23;16;2;0;49;0;0;0;0;25;50;65;6;0;146
;{ñ class};0;0;2;4;13;10;14;3;0;46;0;0;0;3;15;6;2;1;0;27;0;0;2;7;28;16;16;4;0;73
172100:Palmas - TO;Total;0;0;138;255;847;583;417;57;0;2.297;0;0;115;353;850;551;343;17;0;2.229;0;0;253;608;1.697;1.134;760;74;0;4.526
;00:Até 0,50;0;0;0;1;5;2;0;0;0;8;0;0;1;1;0;2;0;0;0;4;0;0;1;2;5;4;0;0;0;12
;01:0,51 a 1,00;0;0;8;1;3;4;3;0;0;19;0;0;2;6;6;5;1;0;0;20;0;0;10;7;9;9;4;0;0;39
;02:1,01 a 1,50;0;0;34;33;48;37;10;3;0;165;0;0;27;43;62;18;9;1;0;160;0;0;61;76;110;55;19;4;0;325
;03:1,51 a 2,00;0;0;40;50;108;52;21;7;0;278;0;0;39;75;94;62;29;0;0;299;0;0;79;125;202;114;50;7;0;577
;04:2,01 a 3,00;0;0;27;48;107;58;36;4;0;280;0;0;22;64;135;62;30;2;0;315;0;0;49;112;242;120;66;6;0;595
;05:3,01 a 4,00;0;0;5;29;111;58;27;5;0;235;0;0;8;35;123;63;26;1;0;256;0;0;13;64;234;121;53;6;0;491
;06:4,01 a 5,00;0;0;10;28;83;43;25;1;0;190;0;0;6;23;72;43;23;2;0;169;0;0;16;51;155;86;48;3;0;359
;07:5,01 a 7,00;0;0;1;22;118;71;29;4;0;245;0;0;2;30;96;54;38;1;0;221;0;0;3;52;214;125;67;5;0;466
;08:7,01 a 10,00;0;0;10;28;115;55;25;2;0;235;0;0;4;58;158;54;28;1;0;303;0;0;14;86;273;109;53;3;0;538
;09:10,01 a 15,00;0;0;1;3;47;49;45;4;0;149;0;0;0;9;23;53;36;3;0;124;0;0;1;12;70;102;81;7;0;273
;10:15,01 a 20,00;0;0;0;8;61;53;63;7;0;192;0;0;0;4;41;48;36;3;0;132;0;0;0;12;102;101;99;10;0;324
;11:Mais de 20,00;0;0;0;0;24;87;116;18;0;245;0;0;0;0;15;78;84;2;0;179;0;0;0;0;39;165;200;20;0;424
;{ñ class};0;0;2;4;17;14;17;2;0;56;0;0;4;5;25;9;3;1;0;47;0;0;6;9;42;23;20;3;0;103
211130:São Luiz - MA;Total;0;0;341;1.573;7.219;7.771;9.602;2.249;1;28.756;0;0;234;1.050;5.176;7.583;15.367;3.101;0;32.511;0;0;575;2.623;12.395;15.354;24.969;5.350;1;61.267
;00:Até 0,50;0;0;1;1;1;1;3;1;0;8;0;0;1;0;0;1;2;1;0;5;0;0;2;1;1;2;5;2;0;13
;01:0,51 a 1,00;0;0;9;11;43;27;51;19;0;160;0;0;11;26;72;55;70;12;0;246;0;0;20;37;115;82;121;31;0;406
;02:1,01 a 1,50;0;0;129;174;378;301;351;90;0;1.423;0;0;92;218;608;482;430;76;0;1.906;0;0;221;392;986;783;781;166;0;3.329
;03:1,51 a 2,00;0;0;53;147;342;371;905;291;0;2.109;0;0;47;152;436;554;1.575;290;0;3.054;0;0;100;299;778;925;2.480;581;0;5.163
;04:2,01 a 3,00;0;0;47;158;471;493;1.402;418;0;2.989;0;0;30;163;565;697;2.626;622;0;4.703;0;0;77;321;1.036;1.190;4.028;1.040;0;7.692
;05:3,01 a 4,00;0;0;16;74;1.010;2.129;2.410;560;0;6.199;0;0;18;84;1.209;2.335;2.817;496;0;6.959;0;0;34;158;2.219;4.464;5.227;1.056;0;13.158
;06:4,01 a 5,00;0;0;43;515;1.278;648;1.244;269;0;3.997;0;0;13;136;478;1.334;4.881;1.070;0;7.912;0;0;56;651;1.756;1.982;6.125;1.339;0;11.909
;07:5,01 a 7,00;0;0;31;394;2.578;1.785;995;96;0;5.879;0;0;10;204;1.260;1.208;1.224;129;0;4.035;0;0;41;598;3.838;2.993;2.219;225;0;9.914
;08:7,01 a 10,00;0;0;5;40;448;1.068;1.273;325;0;3.159;0;0;3;26;286;560;1.244;262;0;2.381;0;0;8;66;734;1.628;2.517;587;0;5.540
;09:10,01 a 15,00;0;0;0;21;299;336;412;84;1;1.153;0;0;0;8;105;125;262;102;0;602;0;0;0;29;404;461;674;186;1;1.755
;10:15,01 a 20,00;0;0;0;1;102;209;169;28;0;509;0;0;0;3;32;67;83;28;0;213;0;0;0;4;134;276;252;56;0;722
;11:Mais de 20,00;0;0;0;23;218;355;327;59;0;982;0;0;1;7;73;122;118;13;0;334;0;0;1;30;291;477;445;72;0;1.316
;{ñ class};0;0;7;14;51;48;60;9;0;189;0;0;8;23;52;43;35;0;0;161;0;0;15;37;103;91;95;9;0;350
221100:Terezina - PI;Total;0;0;427;859;2.576;1.730;2.265;337;13;8.207;0;0;420;1.003;3.005;2.262;2.308;285;16;9.299;0;0;847;1.862;5.581;3.992;4.573;622;29;17.506
;00:Até 0,50;0;0;0;0;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;3
;01:0,51 a 1,00;0;0;28;40;80;59;71;12;0;290;0;0;45;60;112;84;111;17;4;433;0;0;73;100;192;143;182;29;4;723
;02:1,01 a 1,50;0;0;170;202;421;260;232;36;3;1.324;0;0;152;268;549;388;280;35;2;1.674;0;0;322;470;970;648;512;71;5;2.998
;03:1,51 a 2,00;0;0;45;118;310;201;149;27;2;852;0;0;58;143;356;255;170;14;2;998;0;0;103;261;666;456;319;41;4;1.850
;04:2,01 a 3,00;0;0;85;170;467;316;296;44;5;1.383;0;0;63;163;560;423;295;43;2;1.549;0;0;148;333;1.027;739;591;87;7;2.932
;05:3,01 a 4,00;0;0;44;101;257;169;212;29;1;813;0;0;43;100;317;217;168;26;5;876;0;0;87;201;574;386;380;55;6;1.689
;06:4,01 a 5,00;0;0;17;79;216;112;147;21;1;593;0;0;17;117;268;166;152;17;1;738;0;0;34;196;484;278;299;38;2;1.331
;07:5,01 a 7,00;0;0;12;52;212;179;270;29;0;754;0;0;20;72;336;294;260;42;0;1.024;0;0;32;124;548;473;530;71;0;1.778
;08:7,01 a 10,00;0;0;14;64;261;139;220;43;1;742;0;0;12;43;273;210;312;30;0;880;0;0;26;107;534;349;532;73;1;1.622
;09:10,01 a 15,00;0;0;3;12;183;118;349;32;0;697;0;0;1;13;129;95;245;28;0;511;0;0;4;25;312;213;594;60;0;1.208
;10:15,01 a 20,00;0;0;0;2;53;48;133;17;0;253;0;0;0;4;27;29;213;17;0;290;0;0;0;6;80;77;346;34;0;543
;11:Mais de 20,00;0;0;0;1;76;100;162;41;0;380;0;0;0;1;30;75;92;14;0;212;0;0;0;2;106;175;254;55;0;592
;{ñ class};0;0;9;18;40;27;23;6;0;123;0;0;9;19;48;26;10;2;0;114;0;0;18;37;88;53;33;8;0;237
