CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;1;189;284;669;782;463;36;0;2.424;0;3;171;280;512;446;259;14;0;1.685;0;4;360;564;1.181;1.228;722;50;0;4.109
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
;01:0,51 a 1,00;0;1;6;8;7;12;2;0;0;36;0;0;1;6;7;2;2;2;0;20;0;1;7;14;14;14;4;2;0;56
;02:1,01 a 1,50;0;0;60;42;82;54;37;7;0;282;0;2;55;56;85;51;22;1;0;272;0;2;115;98;167;105;59;8;0;554
;03:1,51 a 2,00;0;0;33;43;63;57;27;1;0;224;0;0;35;45;79;32;9;0;0;200;0;0;68;88;142;89;36;1;0;424
;04:2,01 a 3,00;0;0;42;62;132;120;56;3;0;415;0;0;45;67;105;59;31;3;0;310;0;0;87;129;237;179;87;6;0;725
;05:3,01 a 4,00;0;0;13;37;88;76;33;5;0;252;0;0;14;29;63;36;31;1;0;174;0;0;27;66;151;112;64;6;0;426
;06:4,01 a 5,00;0;0;11;12;58;57;34;3;0;175;0;0;5;15;25;33;22;2;0;102;0;0;16;27;83;90;56;5;0;277
;07:5,01 a 7,00;0;0;9;28;46;80;50;4;0;217;0;0;9;25;31;41;26;0;0;132;0;0;18;53;77;121;76;4;0;349
;08:7,01 a 10,00;0;0;7;13;38;81;58;4;0;201;0;0;6;10;37;67;29;1;0;150;0;0;13;23;75;148;87;5;0;351
