CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;1;208;401;1.008;818;800;87;0;3.323;0;0;260;434;942;635;512;40;0;2.823;0;1;468;835;1.950;1.453;1.312;127;0;6.146
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;2
;01:0,51 a 1,00;0;0;5;4;9;11;9;1;0;39;0;0;5;6;21;9;4;0;0;45;0;0;10;10;30;20;13;1;0;84
;02:1,01 a 1,50;0;0;54;48;93;58;42;1;0;296;0;0;64;61;95;85;36;3;0;344;0;0;118;109;188;143;78;4;0;640
;03:1,51 a 2,00;0;0;36;67;86;63;42;3;0;297;0;0;54;76;139;53;36;0;0;358;0;0;90;143;225;116;78;3;0;655
;04:2,01 a 3,00;0;1;68;116;243;154;106;12;0;700;0;0;84;127;255;145;71;3;0;685;0;1;152;243;498;299;177;15;0;1.385
;05:3,01 a 4,00;0;0;26;61;131;88;59;10;0;375;0;0;26;66;141;68;32;7;0;340;0;0;52;127;272;156;91;17;0;715
;06:4,01 a 5,00;0;0;7;35;68;55;44;2;0;211;0;0;14;29;71;34;9;3;0;160;0;0;21;64;139;89;53;5;0;371
;07:5,01 a 7,00;0;0;3;41;99;95;96;12;0;346;0;0;8;38;96;71;63;8;0;284;0;0;11;79;195;166;159;20;0;630
;08:7,01 a 10,00;0;0;4;15;93;85;117;22;0;336;0;0;3;20;49;70;93;7;0;242;0;0;7;35;142;155;210;29;0;578
;09:10,01 a 15,00;0;0;1;7;59;71;67;6;0;211;0;0;2;6;30;36;70;1;0;145;0;0;3;13;89;107;137;7;0;356
;10:15,01 a 20,00;0;0;2;5;47;24;47;3;0;128;0;0;0;1;7;12;29;0;0;49;0;0;2;6;54;36;76;3;0;177
;11:Mais de 20,00;0;0;1;2;76;110;159;15;0;363;0;0;0;3;37;49;69;7;0;165;0;0;1;5;113;159;228;22;0;528
;{ñ class};0;0;1;0;4;4;12;0;0;21;0;0;0;0;1;2;0;1;0;4;0;0;1;0;5;6;12;1;0;25
120040:Rio Branco - AC;Total;0;0;170;326;922;632;408;54;0;2.512;0;0;115;391;869;584;292;18;0;2.269;0;0;285;717;1.791;1.216;700;72;0;4.781
;01:0,51 a 1,00;0;0;0;1;1;0;2;0;0;4;0;0;0;0;2;0;2;0;0;4;0;0;0;1;3;0;4;0;0;8
;02:1,01 a 1,50;0;0;51;26;68;21;20;4;0;190;0;0;14;36;53;27;5;3;0;138;0;0;65;62;121;48;25;7;0;328
;03:1,51 a 2,00;0;0;21;23;61;35;10;2;0;152;0;0;12;29;61;17;10;0;0;129;0;0;33;52;122;52;20;2;0;281
;04:2,01 a 3,00;0;0;52;102;203;98;55;8;0;518;0;0;42;104;162;67;21;0;0;396;0;0;94;206;365;165;76;8;0;914
;05:3,01 a 4,00;0;0;26;56;127;72;63;2;0;346;0;0;29;86;160;63;32;1;0;371;0;0;55;142;287;135;95;3;0;717
;06:4,01 a 5,00;0;0;8;27;54;36;12;0;0;137;0;0;8;40;73;30;11;3;0;165;0;0;16;67;127;66;23;3;0;302
;07:5,01 a 7,00;0;0;7;45;131;97;55;6;0;341;0;0;7;50;132;93;58;1;0;341;0;0;14;95;263;190;113;7;0;682
;08:7,01 a 10,00;0;0;5;32;148;138;85;10;0;418;0;0;2;37;146;195;91;5;0;476;0;0;7;69;294;333;176;15;0;894
;09:10,01 a 15,00;0;0;0;5;44;39;26;3;0;117;0;0;1;6;33;30;16;1;0;87;0;0;1;11;77;69;42;4;0;204
;10:15,01 a 20,00;0;0;0;3;34;30;17;8;0;92;0;0;0;1;15;15;19;1;0;51;0;0;0;4;49;45;36;9;0;143
;11:Mais de 20,00;0;0;0;6;43;65;60;10;0;184;0;0;0;2;28;37;25;3;0;95;0;0;0;8;71;102;85;13;0;279
;{ñ class};0;0;0;0;8;1;3;1;0;13;0;0;0;0;4;10;2;0;0;16;0;0;0;0;12;11;5;1;0;29
130260:Manaus - AM;Total;0;4;424;1.114;3.106;2.511;2.038;252;0;9.449;0;2;447;1.206;3.154;2.087;1.263;108;0;8.267;0;6;871;2.320;6.260;4.598;3.301;360;0;17.716
;00:Até 0,50;0;2;3;1;0;4;0;1;0;11;0;1;0;0;4;2;8;0;0;15;0;3;3;1;4;6;8;1;0;26
;01:0,51 a 1,00;0;0;2;3;8;10;16;11;0;50;0;0;3;2;7;9;14;4;0;39;0;0;5;5;15;19;30;15;0;89
;02:1,01 a 1,50;0;1;113;108;169;115;60;7;0;573;0;1;109;114;214;120;50;2;0;610;0;2;222;222;383;235;110;9;0;1.183
;03:1,51 a 2,00;0;1;92;125;255;144;96;4;0;717;0;0;89;173;318;143;63;3;0;789;0;1;181;298;573;287;159;7;0;1.506
;04:2,01 a 3,00;0;0;87;224;432;307;196;20;0;1.266;0;0;95;234;545;252;135;8;0;1.269;0;0;182;458;977;559;331;28;0;2.535
;05:3,01 a 4,00;0;0;49;139;363;245;175;12;0;983;0;0;61;194;439;245;128;11;0;1.078;0;0;110;333;802;490;303;23;0;2.061
;06:4,01 a 5,00;0;0;34;146;285;196;159;16;0;836;0;0;39;157;363;226;109;12;0;906;0;0;73;303;648;422;268;28;0;1.742
;07:5,01 a 7,00;0;0;26;133;385;296;244;37;0;1.121;0;0;25;172;450;302;166;13;0;1.128;0;0;51;305;835;598;410;50;0;2.249
;08:7,01 a 10,00;0;0;11;105;393;264;235;44;0;1.052;0;0;19;92;340;262;151;15;0;879;0;0;30;197;733;526;386;59;0;1.931
;09:10,01 a 15,00;0;0;5;90;379;286;195;29;0;984;0;0;5;46;251;191;112;17;0;622;0;0;10;136;630;477;307;46;0;1.606
;10:15,01 a 20,00;0;0;1;27;206;220;148;17;0;619;0;0;1;14;139;149;86;3;0;392;0;0;2;41;345;369;234;20;0;1.011
;11:Mais de 20,00;0;0;0;11;221;420;497;49;0;1.198;0;0;0;3;74;182;235;19;0;513;0;0;0;14;295;602;732;68;0;1.711
;{ñ class};0;0;1;2;10;4;17;5;0;39;0;0;1;5;10;4;6;1;0;27;0;0;2;7;20;8;23;6;0;66
140010:Boa Vista - RR;Total;0;6;284;400;860;591;433;52;0;2.626;0;2;314;539;1.171;617;375;18;0;3.036;0;8;598;939;2.031;1.208;808;70;0;5.662
;00:Até 0,50;0;6;1;0;0;0;1;0;0;8;0;1;2;0;0;0;1;0;0;4;0;7;3;0;0;0;2;0;0;12
;01:0,51 a 1,00;0;0;12;15;29;22;11;2;0;91;0;0;20;18;44;21;18;2;0;123;0;0;32;33;73;43;29;4;0;214
;02:1,01 a 1,50;0;0;107;92;139;75;56;8;0;477;0;1;108;143;281;153;80;1;0;767;0;1;215;235;420;228;136;9;0;1.244
;03:1,51 a 2,00;0;0;28;47;86;48;43;4;0;256;0;0;48;49;119;42;31;0;0;289;0;0;76;96;205;90;74;4;0;545
;04:2,01 a 3,00;0;0;62;95;193;123;60;7;0;540;0;0;61;123;310;113;75;3;0;685;0;0;123;218;503;236;135;10;0;1.225
;05:3,01 a 4,00;0;0;26;46;92;55;44;1;0;264;0;0;31;56;97;60;34;3;0;281;0;0;57;102;189;115;78;4;0;545
;06:4,01 a 5,00;0;0;17;25;82;63;36;4;0;227;0;0;20;56;99;61;36;1;0;273;0;0;37;81;181;124;72;5;0;500
;07:5,01 a 7,00;0;0;21;42;107;76;57;6;0;309;0;0;15;55;101;57;21;2;0;251;0;0;36;97;208;133;78;8;0;560
