CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;2;117;189;655;628;313;44;0;1.948;0;2;121;159;410;385;126;17;0;1.220;0;4;238;348;1.065;1.013;439;61;0;3.168
;00:Até 0,50;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;01:0,51 a 1,00;0;0;1;3;5;12;6;3;0;30;0;0;4;7;4;4;3;0;0;22;0;0;5;10;9;16;9;3;0;52
;02:1,01 a 1,50;0;0;33;23;46;23;12;4;0;141;0;1;20;24;31;21;3;1;0;101;0;1;53;47;77;44;15;5;0;242
;03:1,51 a 2,00;0;0;18;21;48;22;11;3;0;123;0;0;19;18;28;20;4;2;0;91;0;0;37;39;76;42;15;5;0;214
;04:2,01 a 3,00;0;0;16;40;87;46;31;3;0;223;0;1;13;33;62;40;13;2;0;164;0;1;29;73;149;86;44;5;0;387
;05:3,01 a 4,00;0;0;13;16;84;66;28;7;0;214;0;0;19;21;49;36;16;3;0;144;0;0;32;37;133;102;44;10;0;358
;06:4,01 a 5,00;0;0;5;23;66;49;32;1;0;176;0;0;7;8;38;34;14;1;0;102;0;0;12;31;104;83;46;2;0;278
;07:5,01 a 7,00;0;1;6;6;52;56;29;9;0;159;0;0;6;15;34;45;12;3;0;115;0;1;12;21;86;101;41;12;0;274
;08:7,01 a 10,00;0;0;1;9;48;72;39;3;0;172;0;0;3;6;42;37;13;0;0;101;0;0;4;15;90;109;52;3;0;273
;09:10,01 a 15,00;0;0;3;10;57;56;26;4;0;156;0;0;6;7;28;27;6;0;0;74;0;0;9;17;85;83;32;4;0;230
;10:15,01 a 20,00;0;0;4;9;34;50;15;1;0;113;0;0;7;2;22;32;8;1;0;72;0;0;11;11;56;82;23;2;0;185
;11:Mais de 20,00;0;0;17;29;127;176;84;6;0;439;0;0;17;18;72;89;34;4;0;234;0;0;34;47;199;265;118;10;0;673
;{ñ class};0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
120040:Rio Branco - AC;Total;1;0;254;383;537;279;130;11;0;1.595;2;4;434;477;447;161;56;2;0;1.583;3;4;688;860;984;440;186;13;0;3.178
;01:0,51 a 1,00;0;0;0;0;0;2;0;0;0;2;0;0;1;1;3;0;0;0;0;5;0;0;1;1;3;2;0;0;0;7
;02:1,01 a 1,50;0;0;50;31;34;6;5;0;0;126;0;1;51;26;24;6;2;0;0;110;0;1;101;57;58;12;7;0;0;236
;03:1,51 a 2,00;0;0;34;32;36;21;9;0;0;132;0;0;30;15;17;1;1;0;0;64;0;0;64;47;53;22;10;0;0;196
;04:2,01 a 3,00;0;0;120;132;90;24;4;0;0;370;1;1;282;251;135;18;9;0;0;697;1;1;402;383;225;42;13;0;0;1.067
;05:3,01 a 4,00;1;0;27;52;50;23;8;2;0;163;0;1;24;52;43;9;0;1;0;130;1;1;51;104;93;32;8;3;0;293
;06:4,01 a 5,00;0;0;10;29;57;14;6;4;0;120;0;0;19;35;41;11;6;0;0;112;0;0;29;64;98;25;12;4;0;232
;07:5,01 a 7,00;0;0;6;29;51;31;27;1;0;145;1;1;16;35;47;27;4;0;0;131;1;1;22;64;98;58;31;1;0;276
;08:7,01 a 10,00;0;0;4;30;70;42;15;0;0;161;0;0;10;33;44;24;9;0;0;120;0;0;14;63;114;66;24;0;0;281
;09:10,01 a 15,00;0;0;3;20;53;25;17;2;0;120;0;0;0;11;47;31;9;1;0;99;0;0;3;31;100;56;26;3;0;219
;10:15,01 a 20,00;0;0;0;7;21;21;8;0;0;57;0;0;0;8;13;9;4;0;0;34;0;0;0;15;34;30;12;0;0;91
;11:Mais de 20,00;0;0;0;21;75;70;31;2;0;199;0;0;1;10;33;25;12;0;0;81;0;0;1;31;108;95;43;2;0;280
130260:Manaus - AM;Total;0;0;535;1.058;1.925;1.764;1.062;79;0;6.423;0;1;203;398;767;634;205;8;0;2.216;0;1;738;1.456;2.692;2.398;1.267;87;0;8.639
;01:0,51 a 1,00;0;0;1;1;1;3;2;0;0;8;0;0;1;3;0;0;0;0;0;4;0;0;2;4;1;3;2;0;0;12
;02:1,01 a 1,50;0;0;307;472;353;34;20;2;0;1.188;0;0;45;32;64;28;4;0;0;173;0;0;352;504;417;62;24;2;0;1.361
;03:1,51 a 2,00;0;0;43;81;80;42;32;2;0;280;0;0;44;40;49;19;9;0;0;161;0;0;87;121;129;61;41;2;0;441
;04:2,01 a 3,00;0;0;51;93;148;85;56;1;0;434;0;1;41;104;107;51;10;0;0;314;0;1;92;197;255;136;66;1;0;748
;05:3,01 a 4,00;0;0;35;72;135;104;66;8;0;420;0;0;26;46;77;45;3;1;0;198;0;0;61;118;212;149;69;9;0;618
;06:4,01 a 5,00;0;0;24;49;141;102;53;9;0;378;0;0;17;40;62;32;14;1;0;166;0;0;41;89;203;134;67;10;0;544
;07:5,01 a 7,00;0;0;25;70;191;165;86;5;0;542;0;0;15;41;88;38;15;0;0;197;0;0;40;111;279;203;101;5;0;739
;08:7,01 a 10,00;0;0;30;93;244;295;240;18;0;920;0;0;9;43;90;110;33;0;0;285;0;0;39;136;334;405;273;18;0;1.205
;09:10,01 a 15,00;0;0;14;62;209;228;120;10;0;643;0;0;2;26;100;75;16;0;0;219;0;0;16;88;309;303;136;10;0;862
;10:15,01 a 20,00;0;0;4;26;114;116;64;2;0;326;0;0;0;15;36;52;19;0;0;122;0;0;4;41;150;168;83;2;0;448
;11:Mais de 20,00;0;0;1;39;309;586;321;22;0;1.278;0;0;3;8;94;181;82;6;0;374;0;0;4;47;403;767;403;28;0;1.652
;{ñ class};0;0;0;0;0;4;2;0;0;6;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;7;2;0;0;9
140010:Boa Vista - RR;Total;0;1;47;80;197;143;107;13;0;588;0;0;63;89;170;111;35;4;0;472;0;1;110;169;367;254;142;17;0;1.060
;01:0,51 a 1,00;0;0;8;6;6;8;1;1;0;30;0;0;11;12;14;12;0;0;0;49;0;0;19;18;20;20;1;1;0;79
;02:1,01 a 1,50;0;0;5;10;7;6;3;0;0;31;0;0;12;9;26;19;3;0;0;69;0;0;17;19;33;25;6;0;0;100
;03:1,51 a 2,00;0;1;5;7;9;4;5;2;0;33;0;0;4;6;9;6;3;0;0;28;0;1;9;13;18;10;8;2;0;61
;04:2,01 a 3,00;0;0;7;15;19;10;4;2;0;57;0;0;11;9;14;12;2;0;0;48;0;0;18;24;33;22;6;2;0;105
;05:3,01 a 4,00;0;0;6;12;16;10;9;1;0;54;0;0;8;16;14;7;0;1;0;46;0;0;14;28;30;17;9;2;0;100
;06:4,01 a 5,00;0;0;5;5;23;19;16;0;0;68;0;0;11;11;26;9;4;1;0;62;0;0;16;16;49;28;20;1;0;130
;07:5,01 a 7,00;0;0;5;13;23;13;10;1;0;65;0;0;1;10;25;14;7;1;0;58;0;0;6;23;48;27;17;2;0;123
;08:7,01 a 10,00;0;0;3;4;24;15;11;3;0;60;0;0;3;7;17;15;6;1;0;49;0;0;6;11;41;30;17;4;0;109
;09:10,01 a 15,00;0;0;3;2;21;18;12;0;0;56;0;0;1;6;16;7;4;0;0;34;0;0;4;8;37;25;16;0;0;90
;10:15,01 a 20,00;0;0;0;1;8;4;6;0;0;19;0;0;0;1;4;4;1;0;0;10;0;0;0;2;12;8;7;0;0;29
;11:Mais de 20,00;0;0;0;5;41;35;30;3;0;114;0;0;1;2;5;6;5;0;0;19;0;0;1;7;46;41;35;3;0;133
;{ñ class};0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
150140:Belém - PA;Total;0;2;298;576;1.877;1.732;1.255;178;0;5.918;0;6;244;500;1.720;1.679;900;92;0;5.141;0;8;542;1.076;3.597;3.411;2.155;270;0;11.059
;00:Até 0,50;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;3
;01:0,51 a 1,00;0;0;21;20;17;18;3;1;0;80;0;0;8;5;19;9;5;0;0;46;0;0;29;25;36;27;8;1;0;126
;02:1,01 a 1,50;0;1;108;86;116;47;59;4;0;421;0;3;56;41;96;62;21;0;0;279;0;4;164;127;212;109;80;4;0;700
;03:1,51 a 2,00;0;0;35;63;135;83;63;6;0;385;0;0;35;66;111;66;27;8;0;313;0;0;70;129;246;149;90;14;0;698
;04:2,01 a 3,00;0;1;43;81;163;139;100;7;0;534;0;0;49;65;188;134;63;3;0;502;0;1;92;146;351;273;163;10;0;1.036
;05:3,01 a 4,00;0;0;19;53;178;154;94;12;0;510;0;0;22;73;192;162;58;3;0;510;0;0;41;126;370;316;152;15;0;1.020
;06:4,01 a 5,00;0;0;15;38;167;116;68;6;0;410;0;0;7;30;143;123;51;2;0;356;0;0;22;68;310;239;119;8;0;766
;07:5,01 a 7,00;0;0;35;94;330;256;187;20;0;922;0;0;40;79;336;299;150;11;0;915;0;0;75;173;666;555;337;31;0;1.837
;08:7,01 a 10,00;0;0;9;55;200;235;181;23;0;703;0;0;17;55;209;226;123;6;0;636;0;0;26;110;409;461;304;29;0;1.339
;09:10,01 a 15,00;0;0;9;40;211;210;190;27;0;687;0;0;6;29;181;227;141;10;0;594;0;0;15;69;392;437;331;37;0;1.281
;10:15,01 a 20,00;0;0;2;6;100;129;65;13;0;315;0;0;2;9;66;124;70;6;0;277;0;0;4;15;166;253;135;19;0;592
;11:Mais de 20,00;0;0;2;38;260;342;245;59;0;946;0;0;2;47;178;247;191;43;0;708;0;0;4;85;438;589;436;102;0;1.654
;{ñ class};0;0;0;1;0;3;0;0;0;4;0;1;0;1;1;0;0;0;0;3;0;1;0;2;1;3;0;0;0;7
160030:Macapá - AP;Total;0;3;55;86;229;154;78;7;0;612;0;0;55;65;167;92;26;2;0;407;0;3;110;151;396;246;104;9;0;1.019
;00:Até 0,50;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;01:0,51 a 1,00;0;0;2;0;0;0;0;0;0;2;0;0;4;3;4;2;2;0;0;15;0;0;6;3;4;2;2;0;0;17
;02:1,01 a 1,50;0;1;12;12;12;4;5;1;0;47;0;0;7;7;6;5;3;0;0;28;0;1;19;19;18;9;8;1;0;75
;03:1,51 a 2,00;0;1;9;7;9;5;4;1;0;36;0;0;13;4;5;5;1;0;0;28;0;1;22;11;14;10;5;1;0;64
;04:2,01 a 3,00;0;0;10;17;21;9;9;1;0;67;0;0;6;14;17;9;1;1;0;48;0;0;16;31;38;18;10;2;0;115
;05:3,01 a 4,00;0;0;6;14;29;21;6;1;0;77;0;0;7;6;33;9;4;0;0;59;0;0;13;20;62;30;10;1;0;136
;06:4,01 a 5,00;0;0;3;3;17;8;3;1;0;35;0;0;1;6;18;5;3;0;0;33;0;0;4;9;35;13;6;1;0;68
;07:5,01 a 7,00;0;0;5;7;34;16;7;1;0;70;0;0;7;6;12;15;5;0;0;45;0;0;12;13;46;31;12;1;0;115
;08:7,01 a 10,00;0;0;4;10;30;19;7;0;0;70;0;0;9;8;23;14;2;0;0;56;0;0;13;18;53;33;9;0;0;126
;09:10,01 a 15,00;0;0;3;6;20;15;8;0;0;52;0;0;0;2;19;9;2;1;0;33;0;0;3;8;39;24;10;1;0;85
;10:15,01 a 20,00;0;0;0;2;9;3;4;0;0;18;0;0;0;2;11;3;1;0;0;17;0;0;0;4;20;6;5;0;0;35
;11:Mais de 20,00;0;0;1;8;48;54;25;1;0;137;0;0;1;7;19;16;2;0;0;45;0;0;2;15;67;70;27;1;0;182
172100:Palmas - TO;Total;0;1;115;208;432;339;183;30;0;1.308;0;1;126;246;473;233;78;27;0;1.184;0;2;241;454;905;572;261;57;0;2.492
;01:0,51 a 1,00;0;1;4;1;0;2;0;0;0;8;0;0;3;1;1;2;0;0;0;7;0;1;7;2;1;4;0;0;0;15
;02:1,01 a 1,50;0;0;21;23;17;7;5;0;0;73;0;1;27;16;18;17;6;0;0;85;0;1;48;39;35;24;11;0;0;158
;03:1,51 a 2,00;0;0;17;21;22;22;7;0;0;89;0;0;7;11;13;7;2;0;0;40;0;0;24;32;35;29;9;0;0;129
;04:2,01 a 3,00;0;0;16;34;52;30;13;4;0;149;0;0;21;26;51;24;7;1;0;130;0;0;37;60;103;54;20;5;0;279
;05:3,01 a 4,00;0;0;32;36;51;26;22;2;0;169;0;0;47;72;97;36;14;6;0;272;0;0;79;108;148;62;36;8;0;441
;06:4,01 a 5,00;0;0;14;33;73;41;18;13;0;192;0;0;10;78;162;62;21;16;0;349;0;0;24;111;235;103;39;29;0;541
;07:5,01 a 7,00;0;0;10;31;80;54;28;3;0;206;0;0;6;15;37;16;6;0;0;80;0;0;16;46;117;70;34;3;0;286
