CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;0;241;432;1.112;884;786;105;0;3.560;0;1;289;486;1.132;851;469;27;0;3.255;0;1;530;918;2.244;1.735;1.255;132;0;6.815
;00:Até 0,50;0;0;2;0;1;3;3;0;0;9;0;0;0;1;3;0;1;0;0;5;0;0;2;1;4;3;4;0;0;14
;01:0,51 a 1,00;0;0;23;24;33;30;29;4;0;143;0;0;29;15;52;32;23;2;0;153;0;0;52;39;85;62;52;6;0;296
;02:1,01 a 1,50;0;0;78;95;144;126;80;13;0;536;0;1;105;108;190;138;77;2;0;621;0;1;183;203;334;264;157;15;0;1.157
;03:1,51 a 2,00;0;0;52;75;137;94;61;6;0;425;0;0;33;73;151;108;33;1;0;399;0;0;85;148;288;202;94;7;0;824
;04:2,01 a 3,00;0;0;32;73;214;145;83;12;0;559;0;0;46;90;174;132;76;1;0;519;0;0;78;163;388;277;159;13;0;1.078
;05:3,01 a 4,00;0;0;14;36;120;99;66;10;0;345;0;0;25;49;133;95;32;2;0;336;0;0;39;85;253;194;98;12;0;681
;06:4,01 a 5,00;0;0;11;34;77;58;49;7;0;236;0;0;13;27;77;50;24;3;0;194;0;0;24;61;154;108;73;10;0;430
;07:5,01 a 7,00;0;0;25;61;153;109;101;16;0;465;0;0;31;99;213;114;65;7;0;529;0;0;56;160;366;223;166;23;0;994
;08:7,01 a 10,00;0;0;0;14;72;49;77;7;0;219;0;0;1;8;51;52;36;3;0;151;0;0;1;22;123;101;113;10;0;370
;09:10,01 a 15,00;0;0;1;3;56;46;43;1;0;150;0;0;2;3;25;34;31;2;0;97;0;0;3;6;81;80;74;3;0;247
;10:15,01 a 20,00;0;0;0;7;35;27;25;6;0;100;0;0;0;2;17;26;14;1;0;60;0;0;0;9;52;53;39;7;0;160
;11:Mais de 20,00;0;0;1;1;36;75;146;18;0;277;0;0;0;3;17;57;43;1;0;121;0;0;1;4;53;132;189;19;0;398
;{ñ class};0;0;2;9;34;23;23;5;0;96;0;0;4;8;29;13;14;2;0;70;0;0;6;17;63;36;37;7;0;166
120040:Rio Branco - AC;Total;0;0;171;289;929;882;506;89;0;2.866;0;0;157;345;893;758;481;50;0;2.684;0;0;328;634;1.822;1.640;987;139;0;5.550
;00:Até 0,50;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;01:0,51 a 1,00;0;0;2;7;11;7;3;0;0;30;0;0;3;9;14;11;4;0;0;41;0;0;5;16;25;18;7;0;0;71
;02:1,01 a 1,50;0;0;42;43;93;64;29;4;0;275;0;0;42;69;104;69;24;0;0;308;0;0;84;112;197;133;53;4;0;583
;03:1,51 a 2,00;0;0;61;64;152;99;50;4;0;430;0;0;39;71;120;86;28;2;0;346;0;0;100;135;272;185;78;6;0;776
;04:2,01 a 3,00;0;0;28;60;158;110;38;9;0;403;0;0;36;81;143;80;31;4;0;375;0;0;64;141;301;190;69;13;0;778
;05:3,01 a 4,00;0;0;16;29;81;89;39;6;0;260;0;0;20;28;104;73;28;1;0;254;0;0;36;57;185;162;67;7;0;514
;06:4,01 a 5,00;0;0;12;33;101;65;53;10;0;274;0;0;7;35;88;56;39;1;0;226;0;0;19;68;189;121;92;11;0;500
;07:5,01 a 7,00;0;0;3;29;119;116;54;11;0;332;0;0;7;29;130;102;72;6;0;346;0;0;10;58;249;218;126;17;0;678
;08:7,01 a 10,00;0;0;1;12;91;117;64;11;0;296;0;0;0;11;96;145;79;10;0;341;0;0;1;23;187;262;143;21;0;637
;09:10,01 a 15,00;0;0;3;6;74;131;83;24;0;321;0;0;1;3;61;94;133;17;0;309;0;0;4;9;135;225;216;41;0;630
;10:15,01 a 20,00;0;0;0;3;28;47;38;5;0;121;0;0;0;0;15;24;23;5;0;67;0;0;0;3;43;71;61;10;0;188
;11:Mais de 20,00;0;0;0;0;10;26;45;1;0;82;0;0;0;0;1;10;17;4;0;32;0;0;0;0;11;36;62;5;0;114
;{ñ class};0;0;3;3;11;11;9;4;0;41;0;0;2;9;17;8;3;0;0;39;0;0;5;12;28;19;12;4;0;80
130260:Manaus - AM;Total;0;3;281;807;2.479;2.478;1.779;229;0;8.056;0;0;277;845;2.592;2.085;1.211;124;0;7.134;0;3;558;1.652;5.071;4.563;2.990;353;0;15.190
;00:Até 0,50;0;3;3;2;4;2;0;0;0;14;0;0;0;2;2;1;2;1;0;8;0;3;3;4;6;3;2;1;0;22
;01:0,51 a 1,00;0;0;24;27;37;22;17;6;0;133;0;0;18;30;34;31;14;1;0;128;0;0;42;57;71;53;31;7;0;261
;02:1,01 a 1,50;0;0;90;125;225;173;85;10;0;708;0;0;98;155;267;154;91;5;0;770;0;0;188;280;492;327;176;15;0;1.478
;03:1,51 a 2,00;0;0;44;115;215;198;117;11;0;700;0;0;55;105;304;186;89;6;0;745;0;0;99;220;519;384;206;17;0;1.445
;04:2,01 a 3,00;0;0;56;156;355;250;199;11;0;1.027;0;0;50;188;445;309;131;10;0;1.133;0;0;106;344;800;559;330;21;0;2.160
;05:3,01 a 4,00;0;0;26;94;280;223;134;18;0;775;0;0;23;114;333;249;125;13;0;857;0;0;49;208;613;472;259;31;0;1.632
;06:4,01 a 5,00;0;0;22;101;250;199;115;21;0;708;0;0;9;88;304;237;109;14;0;761;0;0;31;189;554;436;224;35;0;1.469
;07:5,01 a 7,00;0;0;4;77;263;212;141;20;0;717;0;0;7;67;299;208;110;11;0;702;0;0;11;144;562;420;251;31;0;1.419
;08:7,01 a 10,00;0;0;5;37;228;231;135;28;0;664;0;0;7;46;236;184;116;5;0;594;0;0;12;83;464;415;251;33;0;1.258
;09:10,01 a 15,00;0;0;1;23;283;332;196;23;0;858;0;0;2;22;167;190;107;12;0;500;0;0;3;45;450;522;303;35;0;1.358
;10:15,01 a 20,00;0;0;1;19;157;279;235;25;0;716;0;0;0;6;85;200;159;12;0;462;0;0;1;25;242;479;394;37;0;1.178
;11:Mais de 20,00;0;0;0;2;130;291;326;43;0;792;0;0;0;5;54;94;127;28;0;308;0;0;0;7;184;385;453;71;0;1.100
;{ñ class};0;0;5;29;52;66;79;13;0;244;0;0;8;17;62;42;31;6;0;166;0;0;13;46;114;108;110;19;0;410
140010:Boa Vista - RR;Total;0;0;245;419;1.063;674;474;55;0;2.930;0;0;314;474;1.102;719;417;32;0;3.058;0;0;559;893;2.165;1.393;891;87;0;5.988
