CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;1;205;364;908;757;653;58;0;2.946;0;1;256;396;767;550;411;25;0;2.406;0;2;461;760;1.675;1.307;1.064;83;0;5.352
;01:0,51 a 1,00;0;0;5;6;20;21;13;0;0;65;0;0;2;6;14;5;12;0;0;39;0;0;7;12;34;26;25;0;0;104
;02:1,01 a 1,50;0;1;43;44;100;70;48;10;0;316;0;0;85;80;122;85;33;4;0;409;0;1;128;124;222;155;81;14;0;725
;03:1,51 a 2,00;0;0;42;59;116;75;44;4;0;340;0;1;58;77;129;62;38;2;0;367;0;1;100;136;245;137;82;6;0;707
;04:2,01 a 3,00;0;0;49;88;164;87;65;10;0;463;0;0;56;109;152;80;34;4;0;435;0;0;105;197;316;167;99;14;0;898
;05:3,01 a 4,00;0;0;22;51;107;66;34;3;0;283;0;0;26;38;103;58;26;3;0;254;0;0;48;89;210;124;60;6;0;537
;06:4,01 a 5,00;0;0;14;36;67;54;40;3;0;214;0;0;11;35;74;29;34;5;0;188;0;0;25;71;141;83;74;8;0;402
;07:5,01 a 7,00;0;0;14;31;90;88;99;10;0;332;0;0;9;34;62;64;46;2;0;217;0;0;23;65;152;152;145;12;0;549
;08:7,01 a 10,00;0;0;8;27;70;75;78;6;0;264;0;0;5;11;49;67;64;2;0;198;0;0;13;38;119;142;142;8;0;462
;09:10,01 a 15,00;0;0;7;12;63;73;63;5;0;223;0;0;3;6;21;41;60;0;0;131;0;0;10;18;84;114;123;5;0;354
;10:15,01 a 20,00;0;0;1;4;27;33;32;1;0;98;0;0;0;0;6;17;9;0;0;32;0;0;1;4;33;50;41;1;0;130
;11:Mais de 20,00;0;0;0;5;81;112;131;6;0;335;0;0;1;0;34;42;53;3;0;133;0;0;1;5;115;154;184;9;0;468
;{ñ class};0;0;0;1;3;3;6;0;0;13;0;0;0;0;1;0;2;0;0;3;0;0;0;1;4;3;8;0;0;16
120040:Rio Branco - AC;Total;1;1;178;357;924;650;397;44;0;2.552;0;1;184;397;822;586;333;25;0;2.348;1;2;362;754;1.746;1.236;730;69;0;4.900
;01:0,51 a 1,00;0;0;0;6;6;1;3;1;0;17;0;1;2;1;4;1;0;0;0;9;0;1;2;7;10;2;3;1;0;26
;02:1,01 a 1,50;0;1;42;35;61;29;13;3;0;184;0;0;34;34;47;21;1;2;0;139;0;1;76;69;108;50;14;5;0;323
;03:1,51 a 2,00;0;0;19;35;71;34;18;1;0;178;0;0;21;31;60;10;5;0;0;127;0;0;40;66;131;44;23;1;0;305
;04:2,01 a 3,00;0;0;31;64;105;53;27;0;0;280;0;0;31;66;106;37;7;0;0;247;0;0;62;130;211;90;34;0;0;527
;05:3,01 a 4,00;1;0;45;72;155;57;45;2;0;377;0;0;48;94;128;55;27;1;0;353;1;0;93;166;283;112;72;3;0;730
;06:4,01 a 5,00;0;0;22;48;104;73;48;5;0;300;0;0;24;73;112;64;50;4;0;327;0;0;46;121;216;137;98;9;0;627
;07:5,01 a 7,00;0;0;11;35;130;101;59;3;0;339;0;0;13;51;144;137;87;6;0;438;0;0;24;86;274;238;146;9;0;777
;08:7,01 a 10,00;0;0;5;37;116;106;63;6;0;333;0;0;6;28;121;133;76;6;0;370;0;0;11;65;237;239;139;12;0;703
;09:10,01 a 15,00;0;0;1;14;94;88;46;11;0;254;0;0;4;17;57;77;34;3;0;192;0;0;5;31;151;165;80;14;0;446
;10:15,01 a 20,00;0;0;1;5;21;21;14;4;0;66;0;0;0;0;7;14;18;1;0;40;0;0;1;5;28;35;32;5;0;106
;11:Mais de 20,00;0;0;0;6;60;87;59;8;0;220;0;0;1;1;32;36;27;2;0;99;0;0;1;7;92;123;86;10;0;319
;{ñ class};0;0;1;0;1;0;2;0;0;4;0;0;0;1;4;1;1;0;0;7;0;0;1;1;5;1;3;0;0;11
130260:Manaus - AM;Total;0;3;395;841;2.597;2.247;1.818;178;0;8.079;0;0;393;1.044;2.501;1.793;1.003;75;0;6.809;0;3;788;1.885;5.098;4.040;2.821;253;0;14.888
;00:Até 0,50;0;0;0;0;4;9;17;2;0;32;0;0;0;0;1;7;8;0;0;16;0;0;0;0;5;16;25;2;0;48
;01:0,51 a 1,00;0;1;3;6;13;13;20;12;0;68;0;0;4;3;19;28;16;4;0;74;0;1;7;9;32;41;36;16;0;142
;02:1,01 a 1,50;0;2;98;93;138;103;53;4;0;491;0;0;83;127;204;115;47;2;0;578;0;2;181;220;342;218;100;6;0;1.069
;03:1,51 a 2,00;0;0;81;105;241;156;85;8;0;676;0;0;88;145;247;131;60;4;0;675;0;0;169;250;488;287;145;12;0;1.351
;04:2,01 a 3,00;0;0;70;158;329;217;136;9;0;919;0;0;97;217;380;213;88;5;0;1.000;0;0;167;375;709;430;224;14;0;1.919
;05:3,01 a 4,00;0;0;48;104;290;202;131;8;0;783;0;0;40;135;297;182;79;6;0;739;0;0;88;239;587;384;210;14;0;1.522
;06:4,01 a 5,00;0;0;42;68;216;129;119;9;0;583;0;0;35;117;239;142;63;8;0;604;0;0;77;185;455;271;182;17;0;1.187
;07:5,01 a 7,00;0;0;23;117;329;250;220;22;0;961;0;0;22;125;338;229;115;7;0;836;0;0;45;242;667;479;335;29;0;1.797
;08:7,01 a 10,00;0;0;17;72;271;241;193;25;0;819;0;0;9;72;248;209;129;9;0;676;0;0;26;144;519;450;322;34;0;1.495
;09:10,01 a 15,00;0;0;7;76;317;271;207;25;0;903;0;0;11;74;275;183;104;9;0;656;0;0;18;150;592;454;311;34;0;1.559
;10:15,01 a 20,00;0;0;3;15;173;231;206;13;0;641;0;0;3;16;143;143;110;5;0;420;0;0;6;31;316;374;316;18;0;1.061
;11:Mais de 20,00;0;0;0;26;267;415;421;38;0;1.167;0;0;1;9;103;210;180;15;0;518;0;0;1;35;370;625;601;53;0;1.685
;{ñ class};0;0;3;1;9;10;10;3;0;36;0;0;0;4;7;1;4;1;0;17;0;0;3;5;16;11;14;4;0;53
140010:Boa Vista - RR;Total;0;1;291;375;756;573;424;55;3;2.478;0;0;385;539;983;610;396;39;1;2.953;0;1;676;914;1.739;1.183;820;94;4;5.431
