CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;08:7,01 a 10,00;0;0;23;137;380;296;233;21;0;1.090;0;0;20;125;374;289;163;10;0;981;0;0;43;262;754;585;396;31;0;2.071
;09:10,01 a 15,00;0;0;7;101;422;302;218;28;0;1.078;0;0;14;88;338;235;141;14;0;830;0;0;21;189;760;537;359;42;0;1.908
;10:15,01 a 20,00;0;0;2;27;226;265;198;17;0;735;0;0;0;23;138;171;93;5;0;430;0;0;2;50;364;436;291;22;0;1.165
;11:Mais de 20,00;0;0;1;27;317;484;518;42;0;1.389;0;0;0;14;159;260;191;13;0;637;0;0;1;41;476;744;709;55;0;2.026
;{ñ class};0;0;0;5;12;11;8;1;0;37;0;0;0;8;4;6;5;0;0;23;0;0;0;13;16;17;13;1;0;60
140010:Boa Vista - RR;Total;0;1;268;365;728;553;398;61;0;2.374;0;3;410;554;1.003;642;352;32;0;2.996;0;4;678;919;1.731;1.195;750;93;0;5.370
;01:0,51 a 1,00;0;1;5;7;15;14;8;7;0;57;0;0;5;14;16;28;32;3;0;98;0;1;10;21;31;42;40;10;0;155
;02:1,01 a 1,50;0;0;92;96;157;112;75;15;0;547;0;2;134;155;241;129;62;9;0;732;0;2;226;251;398;241;137;24;0;1.279
;03:1,51 a 2,00;0;0;46;54;117;82;51;4;0;354;0;0;67;75;125;68;34;5;0;374;0;0;113;129;242;150;85;9;0;728
;04:2,01 a 3,00;0;0;49;66;136;81;45;5;0;382;0;0;72;122;197;98;41;1;0;531;0;0;121;188;333;179;86;6;0;913
;05:3,01 a 4,00;0;0;24;52;66;48;32;3;0;225;0;1;41;58;131;83;51;3;0;368;0;1;65;110;197;131;83;6;0;593
;06:4,01 a 5,00;0;0;7;13;44;28;23;2;0;117;0;0;18;40;42;41;21;0;0;162;0;0;25;53;86;69;44;2;0;279
;07:5,01 a 7,00;0;0;11;14;48;52;36;3;0;164;0;0;12;26;68;54;25;1;0;186;0;0;23;40;116;106;61;4;0;350
