CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;0;187;328;885;754;699;81;0;2.934;0;2;199;382;851;601;423;24;0;2.482;0;2;386;710;1.736;1.355;1.122;105;0;5.416
;00:Até 0,50;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;2
;01:0,51 a 1,00;0;0;32;30;43;44;26;5;0;180;0;1;32;38;71;39;16;2;0;199;0;1;64;68;114;83;42;7;0;379
;02:1,01 a 1,50;0;0;41;48;121;84;55;9;0;358;0;1;71;81;135;79;45;4;0;416;0;1;112;129;256;163;100;13;0;774
;03:1,51 a 2,00;0;0;42;65;98;77;60;3;0;345;0;0;38;66;115;69;22;1;0;311;0;0;80;131;213;146;82;4;0;656
;04:2,01 a 3,00;0;0;32;65;159;112;72;10;0;450;0;0;30;82;165;96;50;4;0;427;0;0;62;147;324;208;122;14;0;877
;05:3,01 a 4,00;0;0;18;40;109;74;54;7;0;302;0;0;15;42;114;77;29;2;0;279;0;0;33;82;223;151;83;9;0;581
;06:4,01 a 5,00;0;0;7;26;68;70;35;5;0;211;0;0;6;38;75;51;44;3;0;217;0;0;13;64;143;121;79;8;0;428
;07:5,01 a 7,00;0;0;6;29;102;98;97;9;0;341;0;0;3;18;78;51;45;3;0;198;0;0;9;47;180;149;142;12;0;539
;08:7,01 a 10,00;0;0;8;13;68;61;120;19;0;289;0;0;3;14;40;58;95;3;0;213;0;0;11;27;108;119;215;22;0;502
;09:10,01 a 15,00;0;0;0;9;42;37;51;4;0;143;0;0;0;1;16;26;31;1;0;75;0;0;0;10;58;63;82;5;0;218
;10:15,01 a 20,00;0;0;0;0;11;12;21;0;0;44;0;0;0;0;1;6;16;0;0;23;0;0;0;0;12;18;37;0;0;67
;11:Mais de 20,00;0;0;1;2;63;82;100;9;0;257;0;0;0;0;39;43;26;0;0;108;0;0;1;2;102;125;126;9;0;365
;{ñ class};0;0;0;1;1;3;7;1;0;13;0;0;1;2;2;6;3;1;0;15;0;0;1;3;3;9;10;2;0;28
120040:Rio Branco - AC;Total;0;1;146;328;978;704;518;71;0;2.746;0;1;152;378;920;686;432;35;0;2.604;0;2;298;706;1.898;1.390;950;106;0;5.350
;00:Até 0,50;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;2;0;0;1;0;0;0;0;3
;01:0,51 a 1,00;0;0;2;2;3;1;3;0;0;11;0;0;1;1;2;3;0;0;0;7;0;0;3;3;5;4;3;0;0;18
;02:1,01 a 1,50;0;0;38;46;101;36;26;3;0;250;0;0;42;46;83;33;18;1;0;223;0;0;80;92;184;69;44;4;0;473
;03:1,51 a 2,00;0;0;13;33;73;35;17;2;0;173;0;0;27;34;67;25;10;0;0;163;0;0;40;67;140;60;27;2;0;336
;04:2,01 a 3,00;0;0;62;121;258;184;93;19;0;737;0;0;55;164;261;122;53;2;0;657;0;0;117;285;519;306;146;21;0;1.394
;05:3,01 a 4,00;0;0;21;44;156;77;59;5;0;362;0;0;13;54;154;100;38;4;0;363;0;0;34;98;310;177;97;9;0;725
;06:4,01 a 5,00;0;0;0;19;52;53;30;2;0;156;0;0;5;19;68;34;29;2;0;157;0;0;5;38;120;87;59;4;0;313
;07:5,01 a 7,00;0;0;7;37;137;112;99;9;0;401;0;0;7;47;149;181;116;8;0;508;0;0;14;84;286;293;215;17;0;909
;08:7,01 a 10,00;0;0;2;14;87;76;59;12;0;250;0;0;0;9;66;87;67;7;0;236;0;0;2;23;153;163;126;19;0;486
;09:10,01 a 15,00;0;0;0;9;45;45;38;8;0;145;0;0;2;2;23;51;54;1;0;133;0;0;2;11;68;96;92;9;0;278
;10:15,01 a 20,00;0;0;1;2;24;43;41;9;0;120;0;0;0;1;18;22;23;6;0;70;0;0;1;3;42;65;64;15;0;190
;11:Mais de 20,00;0;0;0;1;32;42;50;2;0;127;0;0;0;1;26;18;23;4;0;72;0;0;0;2;58;60;73;6;0;199
;{ñ class};0;0;0;0;10;0;3;0;0;13;0;0;0;0;2;10;1;0;0;13;0;0;0;0;12;10;4;0;0;26
130260:Manaus - AM;Total;0;1;386;865;2.980;2.437;1.994;220;0;8.883;0;1;386;1.021;3.195;2.251;1.320;111;0;8.285;0;2;772;1.886;6.175;4.688;3.314;331;0;17.168
;00:Até 0,50;0;0;0;0;0;3;3;2;0;8;0;0;1;0;1;0;7;1;0;10;0;0;1;0;1;3;10;3;0;18
;01:0,51 a 1,00;0;0;4;3;10;13;13;4;0;47;0;0;5;12;19;12;10;1;0;59;0;0;9;15;29;25;23;5;0;106
;02:1,01 a 1,50;0;0;126;120;190;128;87;16;0;667;0;1;114;132;280;156;85;1;0;769;0;1;240;252;470;284;172;17;0;1.436
;03:1,51 a 2,00;0;0;84;146;263;194;117;5;0;809;0;0;89;155;389;180;94;4;0;911;0;0;173;301;652;374;211;9;0;1.720
;04:2,01 a 3,00;0;0;70;180;460;318;251;21;0;1.300;0;0;88;238;575;309;147;12;0;1.369;0;0;158;418;1.035;627;398;33;0;2.669
;05:3,01 a 4,00;0;0;59;115;388;274;199;15;0;1.050;0;0;46;180;496;329;145;19;0;1.215;0;0;105;295;884;603;344;34;0;2.265
;06:4,01 a 5,00;0;0;16;73;252;181;102;12;0;636;0;0;19;108;333;202;106;10;0;778;0;0;35;181;585;383;208;22;0;1.414
;07:5,01 a 7,00;0;0;21;93;369;252;234;33;0;1.002;0;0;19;94;394;246;157;10;0;920;0;0;40;187;763;498;391;43;0;1.922
;08:7,01 a 10,00;0;1;3;61;326;210;191;28;0;820;0;0;4;56;300;267;151;9;0;787;0;1;7;117;626;477;342;37;0;1.607
;09:10,01 a 15,00;0;0;3;58;378;306;201;19;0;965;0;0;1;33;228;220;114;14;0;610;0;0;4;91;606;526;315;33;0;1.575
;10:15,01 a 20,00;0;0;0;13;172;278;189;23;0;675;0;0;0;7;104;213;129;5;0;458;0;0;0;20;276;491;318;28;0;1.133
;11:Mais de 20,00;0;0;0;2;160;270;393;40;0;865;0;0;0;2;58;107;172;25;0;364;0;0;0;4;218;377;565;65;0;1.229
;{ñ class};0;0;0;1;12;10;14;2;0;39;0;0;0;4;18;10;3;0;0;35;0;0;0;5;30;20;17;2;0;74
140010:Boa Vista - RR;Total;1;3;230;395;967;770;527;73;0;2.966;0;4;286;457;1.160;655;379;25;0;2.966;1;7;516;852;2.127;1.425;906;98;0;5.932
;01:0,51 a 1,00;1;3;16;8;22;13;7;2;0;72;0;3;16;8;15;11;5;1;0;59;1;6;32;16;37;24;12;3;0;131
;02:1,01 a 1,50;0;0;63;69;117;73;50;8;0;380;0;0;80;74;170;69;36;1;0;430;0;0;143;143;287;142;86;9;0;810
;03:1,51 a 2,00;0;0;25;59;107;77;34;4;0;306;0;0;42;57;128;51;21;1;0;300;0;0;67;116;235;128;55;5;0;606
;04:2,01 a 3,00;0;0;50;83;170;149;82;7;0;541;0;0;58;114;249;131;95;4;0;651;0;0;108;197;419;280;177;11;0;1.192
;05:3,01 a 4,00;0;0;24;62;195;153;101;12;0;547;0;0;38;78;237;136;50;4;0;543;0;0;62;140;432;289;151;16;0;1.090
;06:4,01 a 5,00;0;0;24;44;109;90;63;6;0;336;0;0;28;59;132;92;46;7;0;364;0;0;52;103;241;182;109;13;0;700
;07:5,01 a 7,00;0;0;22;41;101;76;76;14;0;330;0;0;21;48;117;64;62;2;0;314;0;0;43;89;218;140;138;16;0;644
;08:7,01 a 10,00;0;0;4;17;52;44;33;7;0;157;0;1;3;16;63;46;29;1;0;159;0;1;7;33;115;90;62;8;0;316
;09:10,01 a 15,00;0;0;1;4;44;33;19;4;0;105;0;0;0;3;30;26;14;0;0;73;0;0;1;7;74;59;33;4;0;178
;10:15,01 a 20,00;0;0;0;2;20;21;10;2;0;55;0;0;0;0;10;10;4;0;0;24;0;0;0;2;30;31;14;2;0;79
;11:Mais de 20,00;0;0;0;3;29;40;51;7;0;130;0;0;0;0;8;17;17;3;0;45;0;0;0;3;37;57;68;10;0;175
;{ñ class};0;0;1;3;1;1;1;0;0;7;0;0;0;0;1;2;0;1;0;4;0;0;1;3;2;3;1;1;0;11
150140:Belém - PA;Total;0;0;301;895;3.670;3.397;2.599;452;0;11.314;0;0;311;1.063;3.643;2.971;2.690;288;0;10.966;0;0;612;1.958;7.313;6.368;5.289;740;0;22.280
;00:Até 0,50;0;0;0;0;0;1;1;0;0;2;0;0;0;2;1;0;1;0;0;4;0;0;0;2;1;1;2;0;0;6
;01:0,51 a 1,00;0;0;28;23;55;37;32;2;0;177;0;0;30;30;60;36;31;1;0;188;0;0;58;53;115;73;63;3;0;365
;02:1,01 a 1,50;0;0;90;131;307;296;178;22;0;1.024;0;0;79;154;381;228;203;15;0;1.060;0;0;169;285;688;524;381;37;0;2.084
;03:1,51 a 2,00;0;0;48;115;255;225;171;25;0;839;0;0;49;110;284;188;115;13;0;759;0;0;97;225;539;413;286;38;0;1.598
;04:2,01 a 3,00;0;0;63;202;541;381;306;46;0;1.539;0;0;72;214;554;397;271;22;0;1.530;0;0;135;416;1.095;778;577;68;0;3.069
;05:3,01 a 4,00;0;0;43;137;586;435;272;30;0;1.503;0;0;37;191;627;475;290;28;0;1.648;0;0;80;328;1.213;910;562;58;0;3.151
;06:4,01 a 5,00;0;0;11;90;592;439;262;48;0;1.442;0;0;15;135;605;483;321;28;0;1.587;0;0;26;225;1.197;922;583;76;0;3.029
;07:5,01 a 7,00;0;0;10;106;473;561;397;85;0;1.632;0;0;25;125;575;466;466;60;0;1.717;0;0;35;231;1.048;1.027;863;145;0;3.349
;08:7,01 a 10,00;0;0;3;57;319;256;262;52;0;949;0;0;1;70;284;276;309;37;0;977;0;0;4;127;603;532;571;89;0;1.926
;09:10,01 a 15,00;0;0;3;12;284;354;282;55;0;990;0;0;2;15;107;179;328;35;0;666;0;0;5;27;391;533;610;90;0;1.656
;10:15,01 a 20,00;0;0;2;7;85;179;152;40;0;465;0;0;1;7;56;74;148;19;0;305;0;0;3;14;141;253;300;59;0;770
;11:Mais de 20,00;0;0;0;11;170;227;268;43;0;719;0;0;0;7;105;155;204;29;0;500;0;0;0;18;275;382;472;72;0;1.219
;{ñ class};0;0;0;4;3;6;16;4;0;33;0;0;0;3;4;14;3;1;0;25;0;0;0;7;7;20;19;5;0;58
160030:Macapá - AP;Total;1;5;163;289;859;583;417;29;0;2.346;3;3;182;357;941;587;299;18;0;2.390;4;8;345;646;1.800;1.170;716;47;0;4.736
;00:Até 0,50;1;5;0;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;0;6;4;8;0;0;0;0;0;0;0;12
;01:0,51 a 1,00;0;0;26;26;73;56;38;3;0;222;0;0;20;34;70;55;35;3;0;217;0;0;46;60;143;111;73;6;0;439
;02:1,01 a 1,50;0;0;53;46;134;77;50;2;0;362;0;0;55;62;121;82;38;4;0;362;0;0;108;108;255;159;88;6;0;724
;03:1,51 a 2,00;0;0;42;94;224;130;77;6;0;573;0;0;50;104;280;153;67;2;0;656;0;0;92;198;504;283;144;8;0;1.229
;04:2,01 a 3,00;0;0;16;51;157;93;73;2;0;392;0;0;26;78;194;121;60;4;0;483;0;0;42;129;351;214;133;6;0;875
;05:3,01 a 4,00;0;0;15;32;95;64;38;1;0;245;0;0;16;28;113;48;32;0;0;237;0;0;31;60;208;112;70;1;0;482
;06:4,01 a 5,00;0;0;4;13;55;45;20;3;0;140;0;0;5;24;54;35;17;1;0;136;0;0;9;37;109;80;37;4;0;276
;07:5,01 a 7,00;0;0;1;14;34;30;40;4;0;123;0;0;6;15;41;28;11;1;0;102;0;0;7;29;75;58;51;5;0;225
;08:7,01 a 10,00;0;0;4;9;42;35;22;1;0;113;0;0;3;8;37;25;15;2;0;90;0;0;7;17;79;60;37;3;0;203
;09:10,01 a 15,00;0;0;2;3;13;21;8;1;0;48;0;0;1;3;13;11;12;0;0;40;0;0;3;6;26;32;20;1;0;88
;10:15,01 a 20,00;0;0;0;0;3;6;6;0;0;15;0;0;0;1;4;2;3;0;0;10;0;0;0;1;7;8;9;0;0;25
;11:Mais de 20,00;0;0;0;1;29;26;45;6;0;107;0;0;0;0;13;22;9;1;0;45;0;0;0;1;42;48;54;7;0;152
;{ñ class};0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;6;0;0;0;0;1;5;0;0;0;6
172100:Palmas - TO;Total;0;0;119;288;771;497;341;33;0;2.049;0;0;123;290;690;350;227;4;0;1.684;0;0;242;578;1.461;847;568;37;0;3.733
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1
;01:0,51 a 1,00;0;0;1;0;2;0;1;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;1;0;6;0;1;0;0;8
;02:1,01 a 1,50;0;0;27;21;45;21;10;0;0;124;0;0;32;20;33;17;3;0;0;105;0;0;59;41;78;38;13;0;0;229
;03:1,51 a 2,00;0;0;39;42;67;31;13;3;0;195;0;0;15;40;61;27;9;2;0;154;0;0;54;82;128;58;22;5;0;349
;04:2,01 a 3,00;0;0;25;68;134;69;25;3;0;324;0;0;26;57;122;46;14;0;0;265;0;0;51;125;256;115;39;3;0;589
;05:3,01 a 4,00;0;0;6;37;101;41;23;0;0;208;0;0;16;34;82;31;17;0;0;180;0;0;22;71;183;72;40;0;0;388
;06:4,01 a 5,00;0;0;4;36;100;48;30;2;0;220;0;0;13;33;82;42;29;1;0;200;0;0;17;69;182;90;59;3;0;420
;07:5,01 a 7,00;0;0;8;33;100;65;38;4;0;248;0;0;9;39;98;39;52;0;0;237;0;0;17;72;198;104;90;4;0;485
;08:7,01 a 10,00;0;0;6;37;101;55;44;3;0;246;0;0;12;62;137;59;31;0;0;301;0;0;18;99;238;114;75;3;0;547
;09:10,01 a 15,00;0;0;1;5;68;102;78;7;0;261;0;0;0;3;34;51;37;0;0;125;0;0;1;8;102;153;115;7;0;386
;10:15,01 a 20,00;0;0;2;8;41;29;18;4;0;102;0;0;0;1;30;18;8;0;0;57;0;0;2;9;71;47;26;4;0;159
;11:Mais de 20,00;0;0;0;1;12;34;58;4;0;109;0;0;0;0;7;20;23;0;0;50;0;0;0;1;19;54;81;4;0;159
;{ñ class};0;0;0;0;0;2;3;3;0;8;0;0;0;1;0;0;3;1;0;5;0;0;0;1;0;2;6;4;0;13
211130:São Luiz - MA;Total;0;0;328;763;2.042;1.458;1.098;156;0;5.845;0;1;246;785;2.345;1.535;1.115;116;0;6.143;0;1;574;1.548;4.387;2.993;2.213;272;0;11.988
;00:Até 0,50;0;0;2;0;1;0;0;0;0;3;0;0;0;0;0;0;2;0;0;2;0;0;2;0;1;0;2;0;0;5
;01:0,51 a 1,00;0;0;5;8;22;27;28;4;0;94;0;0;7;9;46;48;37;2;0;149;0;0;12;17;68;75;65;6;0;243
;02:1,01 a 1,50;0;0;125;134;267;173;118;18;0;835;0;0;99;161;405;257;137;18;0;1.077;0;0;224;295;672;430;255;36;0;1.912
;03:1,51 a 2,00;0;0;61;134;259;188;127;15;0;784;0;0;44;160;447;284;168;17;0;1.120;0;0;105;294;706;472;295;32;0;1.904
;04:2,01 a 3,00;0;0;82;159;362;204;145;17;0;969;0;1;44;153;378;223;158;10;0;967;0;1;126;312;740;427;303;27;0;1.936
;05:3,01 a 4,00;0;0;23;93;252;172;141;28;0;709;0;0;24;105;327;228;192;27;0;903;0;0;47;198;579;400;333;55;0;1.612
;06:4,01 a 5,00;0;0;12;83;160;82;55;5;0;397;0;0;17;107;215;91;78;4;0;512;0;0;29;190;375;173;133;9;0;909
;07:5,01 a 7,00;0;0;7;71;226;154;123;16;0;597;0;0;5;49;263;135;110;10;0;572;0;0;12;120;489;289;233;26;0;1.169
;08:7,01 a 10,00;0;0;6;46;142;87;76;10;0;367;0;0;3;24;110;84;88;10;0;319;0;0;9;70;252;171;164;20;0;686
;09:10,01 a 15,00;0;0;2;25;185;136;92;19;0;459;0;0;2;13;100;86;53;11;0;265;0;0;4;38;285;222;145;30;0;724
;10:15,01 a 20,00;0;0;0;6;69;49;43;2;0;169;0;0;0;3;17;30;28;2;0;80;0;0;0;9;86;79;71;4;0;249
;11:Mais de 20,00;0;0;2;3;92;175;136;21;0;429;0;0;0;1;28;64;54;5;0;152;0;0;2;4;120;239;190;26;0;581
;{ñ class};0;0;1;1;5;11;14;1;0;33;0;0;1;0;9;5;10;0;0;25;0;0;2;1;14;16;24;1;0;58
221100:Terezina - PI;Total;0;0;376;873;2.151;1.610;2.024;270;0;7.304;0;1;410;959;2.439;1.819;1.961;209;0;7.798;0;1;786;1.832;4.590;3.429;3.985;479;0;15.102
;00:Até 0,50;0;0;0;1;0;3;1;0;0;5;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;3;1;0;0;6
;01:0,51 a 1,00;0;0;19;29;43;23;22;10;0;146;0;0;13;36;74;45;53;8;0;229;0;0;32;65;117;68;75;18;0;375
;02:1,01 a 1,50;0;0;145;199;350;258;178;34;0;1.164;0;0;171;240;500;344;200;29;0;1.484;0;0;316;439;850;602;378;63;0;2.648
;03:1,51 a 2,00;0;0;75;148;334;238;186;21;0;1.002;0;0;85;196;424;293;190;22;0;1.210;0;0;160;344;758;531;376;43;0;2.212
;04:2,01 a 3,00;0;0;54;201;428;263;279;28;0;1.253;0;0;64;231;490;309;210;25;0;1.329;0;0;118;432;918;572;489;53;0;2.582
;05:3,01 a 4,00;0;0;32;93;216;174;202;27;0;744;0;0;26;93;262;180;174;27;0;762;0;0;58;186;478;354;376;54;0;1.506
;06:4,01 a 5,00;0;0;10;41;124;86;125;9;0;395;0;0;13;38;126;96;158;12;0;443;0;0;23;79;250;182;283;21;0;838
;07:5,01 a 7,00;0;0;31;75;206;152;293;38;0;795;0;1;33;61;188;201;293;16;0;793;0;1;64;136;394;353;586;54;0;1.588
;08:7,01 a 10,00;0;0;6;55;270;140;159;27;0;657;0;0;3;40;257;120;168;24;0;612;0;0;9;95;527;260;327;51;0;1.269
;09:10,01 a 15,00;0;0;2;23;77;143;361;32;0;638;0;0;2;19;58;130;355;30;0;594;0;0;4;42;135;273;716;62;0;1.232
;10:15,01 a 20,00;0;0;0;5;38;52;68;12;0;175;0;0;0;2;28;53;82;10;0;175;0;0;0;7;66;105;150;22;0;350
;11:Mais de 20,00;0;0;1;1;61;74;137;31;0;305;0;0;0;1;27;47;78;6;0;159;0;0;1;2;88;121;215;37;0;464
;{ñ class};0;0;1;2;4;4;13;1;0;25;0;0;0;2;4;1;0;0;0;7;0;0;1;4;8;5;13;1;0;32
230440:Fortaleza - CE;Total;0;4;1.957;7.781;21.068;16.240;14.971;2.733;1;64.755;0;2;1.734;5.633;15.548;14.010;23.029;5.772;0;65.728;0;6;3.691;13.414;36.616;30.250;38.000;8.505;1;130.483
;00:Até 0,50;0;1;52;129;251;108;32;2;0;575;0;0;51;157;269;118;75;2;0;672;0;1;103;286;520;226;107;4;0;1.247
;01:0,51 a 1,00;0;1;175;400;734;319;182;27;0;1.838;0;0;198;452;867;418;207;18;0;2.160;0;1;373;852;1.601;737;389;45;0;3.998
;02:1,01 a 1,50;0;2;509;904;2.030;1.209;2.053;606;1;7.314;0;2;609;1.222;3.458;4.319;5.763;1.573;0;16.946;0;4;1.118;2.126;5.488;5.528;7.816;2.179;1;24.260
;03:1,51 a 2,00;0;0;282;591;1.507;870;1.129;216;0;4.595;0;0;293;839;1.885;1.153;2.064;801;0;7.035;0;0;575;1.430;3.392;2.023;3.193;1.017;0;11.630
;04:2,01 a 3,00;0;0;277;928;2.056;1.228;1.681;347;0;6.517;0;0;295;1.077;2.532;2.013;4.145;1.382;0;11.444;0;0;572;2.005;4.588;3.241;5.826;1.729;0;17.961
;05:3,01 a 4,00;0;0;551;3.762;8.129;1.844;1.092;174;0;15.552;0;0;175;1.094;2.318;1.011;1.700;421;0;6.719;0;0;726;4.856;10.447;2.855;2.792;595;0;22.271
;06:4,01 a 5,00;0;0;39;311;2.192;5.691;2.249;152;0;10.634;0;0;34;301;1.113;836;1.393;346;0;4.023;0;0;73;612;3.305;6.527;3.642;498;0;14.657
;07:5,01 a 7,00;0;0;28;315;1.257;1.617;2.178;339;0;5.734;0;0;22;217;1.197;1.688;3.836;708;0;7.668;0;0;50;532;2.454;3.305;6.014;1.047;0;13.402
;08:7,01 a 10,00;0;0;10;184;920;1.059;1.262;320;0;3.755;0;0;10;98;690;979;1.643;199;0;3.619;0;0;20;282;1.610;2.038;2.905;519;0;7.374
;09:10,01 a 15,00;0;0;4;108;883;852;886;230;0;2.963;0;0;3;43;567;544;840;164;0;2.161;0;0;7;151;1.450;1.396;1.726;394;0;5.124
;10:15,01 a 20,00;0;0;3;48;389;513;655;125;0;1.733;0;0;5;20;181;329;475;67;0;1.077;0;0;8;68;570;842;1.130;192;0;2.810
;11:Mais de 20,00;0;0;0;23;566;866;1.518;189;0;3.162;0;0;1;22;301;509;841;88;0;1.762;0;0;1;45;867;1.375;2.359;277;0;4.924
;{ñ class};0;0;27;78;154;64;54;6;0;383;0;0;38;91;170;93;47;3;0;442;0;0;65;169;324;157;101;9;0;825
240810:Natal - RN;Total;0;2;279;810;2.904;2.761;3.667;429;0;10.852;0;2;302;1.043;4.161;4.025;4.395;442;0;14.370;0;4;581;1.853;7.065;6.786;8.062;871;0;25.222
