,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
295,0,1,6936.0,1110.0,307.0,475.0,138.0,173.0,884.0,33.0,0.0,6.0,3.0,10.0,20.0,31.0,60.0,2.0,3.0,31.0,0.0,0.0,0.0,0.0,1302.0,2529.0,1502.0,736.0,60.0,32.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,627.0,423.0,4102.0,201.0,326.0,9.0,2.0
304,1,0,4247.0,27.0,11.0,22.0,9.0,103.0,3943.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1060.0,1885.0,1014.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,2488.0,38.0,1335.0,35.0,5.0
305,1,1,3523.0,29.0,39.0,24.0,11.0,92.0,3128.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,974.0,1346.0,900.0,89.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,12.0,2132.0,75.0,986.0,29.0,3.0
306,1,0,1667.0,14.0,10.0,59.0,12.0,66.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,317.0,554.0,536.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,679.0,23.0,828.0,28.0,4.0
307,1,1,1819.0,23.0,30.0,30.0,16.0,77.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,491.0,669.0,557.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,998.0,37.0,865.0,25.0,8.0
308,1,0,428.0,9.0,5.0,6.0,5.0,12.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,84.0,136.0,194.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,105.0,10.0,282.0,7.0,3.0
309,1,1,756.0,11.0,11.0,7.0,4.0,17.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,147.0,236.0,322.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,271.0,16.0,440.0,7.0,5.0
310,3,0,506.0,14.0,1.0,2.0,1.0,4.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,95.0,180.0,195.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,185.0,6.0,302.0,5.0,7.0
311,3,1,999.0,29.0,2.0,2.0,3.0,5.0,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,224.0,331.0,376.0,51.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,339.0,8.0,604.0,11.0,18.0
312,0,0,752.0,49.0,36.0,182.0,49.0,140.0,21.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,107.0,59.0,40.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,258.0,277.0,35.0,88.0,4.0,0.0
