,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
359,3,1,4224.0,189.0,75.0,33.0,13.0,121.0,2065.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,897.0,1377.0,1585.0,175.0,5.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,38.0,21.0,492.0,111.0,3410.0,122.0,59.0
360,0,0,1391.0,137.0,20.0,248.0,53.0,169.0,122.0,3.0,0.0,19.0,0.0,1.0,8.0,8.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,121.0,111.0,139.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,403.0,598.0,30.0,129.0,4.0,0.0
361,0,1,1011.0,68.0,27.0,193.0,31.0,172.0,101.0,7.0,0.0,21.0,1.0,1.0,8.0,7.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,113.0,72.0,95.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,353.0,347.0,28.0,161.0,3.0,0.0
362,0,0,5682.0,865.0,72.0,1166.0,225.0,1069.0,528.0,20.0,0.0,83.0,16.0,4.0,39.0,59.0,117.0,8.0,18.0,187.0,4.0,0.0,0.0,0.0,882.0,1468.0,1090.0,780.0,58.0,34.0,1.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,473.0,769.0,3178.0,216.0,807.0,26.0,3.0
363,0,1,5626.0,827.0,151.0,913.0,101.0,599.0,654.0,101.0,0.0,140.0,10.0,4.0,27.0,48.0,25.0,18.0,25.0,49.0,8.0,0.0,0.0,0.0,873.0,1291.0,871.0,689.0,62.0,50.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,595.0,726.0,2714.0,138.0,682.0,19.0,2.0
364,0,0,55658.0,10305.0,680.0,8089.0,4851.0,2762.0,4213.0,67.0,0.0,189.0,60.0,49.0,116.0,322.0,275.0,37.0,91.0,992.0,11.0,0.0,0.0,0.0,10499.0,16124.0,11013.0,6298.0,288.0,369.0,2.0,0.0,0.0,4.0,28.0,0.0,0.0,1.0,3578.0,4101.0,35880.0,1804.0,3047.0,42.0,7.0
365,0,1,62758.0,13583.0,1821.0,8351.0,1515.0,1331.0,2831.0,369.0,0.0,254.0,79.0,31.0,83.0,182.0,215.0,109.0,239.0,417.0,30.0,0.0,0.0,0.0,12529.0,18993.0,11637.0,6500.0,421.0,766.0,15.0,0.0,0.0,5.0,49.0,0.0,0.0,0.0,7535.0,6600.0,37343.0,1125.0,1633.0,33.0,5.0
366,0,0,14797.0,1603.0,257.0,1421.0,2203.0,765.0,5155.0,15.0,0.0,22.0,10.0,28.0,59.0,113.0,77.0,10.0,13.0,112.0,1.0,0.0,0.0,0.0,2308.0,4726.0,3428.0,2832.0,231.0,80.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,359.0,410.0,9013.0,744.0,2730.0,44.0,7.0
367,0,1,24670.0,6696.0,1182.0,2359.0,841.0,562.0,3454.0,119.0,0.0,55.0,18.0,23.0,49.0,91.0,83.0,31.0,78.0,95.0,6.0,0.0,0.0,0.0,4435.0,8693.0,5710.0,4061.0,313.0,239.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,2456.0,2094.0,14834.0,682.0,1575.0,27.0,4.0
376,1,0,3578.0,150.0,43.0,119.0,108.0,883.0,1923.0,5.0,0.0,0.0,0.0,8.0,4.0,12.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,214.0,958.0,1009.0,1329.0,94.0,16.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,15.0,11.0,533.0,67.0,2782.0,77.0,16.0
377,1,1,4891.0,262.0,129.0,120.0,31.0,882.0,2618.0,8.0,0.0,5.0,1.0,12.0,6.0,11.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,315.0,1265.0,1529.0,1544.0,185.0,16.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,339.0,120.0,1568.0,143.0,2401.0,99.0,11.0
378,1,0,3188.0,92.0,21.0,166.0,30.0,937.0,1724.0,1.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,825.0,1028.0,1158.0,90.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,3.0,325.0,41.0,2619.0,82.0,40.0
379,1,1,4913.0,169.0,70.0,182.0,31.0,1075.0,2392.0,2.0,0.0,2.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,228.0,1391.0,1343.0,1553.0,191.0,8.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,87.0,53.0,931.0,129.0,3343.0,128.0,46.0
380,1,0,1504.0,28.0,5.0,31.0,4.0,385.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,264.0,473.0,621.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,101.0,26.0,1303.0,18.0,21.0
381,1,1,2438.0,54.0,24.0,26.0,10.0,406.0,1422.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,512.0,754.0,972.0,86.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,16.0,11.0,340.0,65.0,1908.0,34.0,40.0
382,3,0,1241.0,11.0,1.0,10.0,3.0,203.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,264.0,447.0,497.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,27.0,1125.0,12.0,9.0
383,3,1,2876.0,39.0,24.0,24.0,7.0,340.0,1951.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,466.0,1017.0,1262.0,128.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,7.0,249.0,73.0,2434.0,101.0,25.0
384,0,0,416.0,7.0,8.0,321.0,5.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,208.0,65.0,3.0,25.0,0.0,0.0
385,0,1,453.0,9.0,10.0,234.0,2.0,18.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,194.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,182.0,59.0,7.0,18.0,1.0,0.0
386,0,0,3379.0,394.0,32.0,349.0,73.0,173.0,1622.0,10.0,0.0,7.0,3.0,4.0,7.0,121.0,37.0,1.0,2.0,19.0,2.0,0.0,0.0,0.0,446.0,875.0,597.0,380.0,21.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,994.0,25.0,255.0,237.0,1705.0,75.0,143.0,4.0,1.0
387,0,1,3084.0,208.0,51.0,269.0,18.0,100.0,1489.0,66.0,0.0,7.0,1.0,1.0,4.0,115.0,13.0,2.0,6.0,7.0,1.0,0.0,0.0,0.0,394.0,615.0,474.0,413.0,74.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,839.0,47.0,277.0,279.0,1314.0,59.0,89.0,2.0,0.0
388,0,0,15866.0,1496.0,144.0,2130.0,990.0,614.0,6621.0,22.0,0.0,46.0,18.0,19.0,62.0,54.0,114.0,6.0,16.0,83.0,3.0,0.0,0.0,0.0,2805.0,4818.0,3041.0,1575.0,48.0,113.0,1.0,0.0,0.0,0.0,4.0,0.0,1934.0,172.0,1358.0,614.0,11515.0,528.0,779.0,7.0,1.0
389,0,1,14708.0,1246.0,437.0,1200.0,167.0,330.0,4096.0,115.0,0.0,31.0,9.0,10.0,34.0,44.0,69.0,12.0,34.0,31.0,4.0,0.0,0.0,0.0,2864.0,3607.0,1841.0,1280.0,143.0,178.0,1.0,0.0,1.0,0.0,3.0,0.0,1492.0,276.0,1430.0,1070.0,9714.0,317.0,340.0,5.0,1.0
390,0,0,6362.0,432.0,81.0,418.0,484.0,260.0,3105.0,5.0,0.0,7.0,2.0,25.0,30.0,16.0,60.0,3.0,2.0,16.0,0.0,0.0,0.0,0.0,1167.0,1953.0,1248.0,745.0,26.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,858.0,21.0,169.0,117.0,4151.0,310.0,873.0,4.0,1.0
391,0,1,8921.0,1329.0,356.0,460.0,118.0,197.0,1985.0,42.0,0.0,10.0,3.0,13.0,27.0,27.0,42.0,9.0,12.0,10.0,1.0,0.0,0.0,0.0,1804.0,2990.0,1528.0,841.0,82.0,114.0,1.0,0.0,0.0,0.0,3.0,0.0,415.0,18.0,792.0,493.0,5905.0,239.0,426.0,6.0,2.0
400,1,0,2699.0,24.0,16.0,34.0,8.0,417.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1011.0,896.0,393.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,12.0,5.0,4.0,434.0,41.0,2024.0,104.0,14.0
401,1,1,3826.0,45.0,52.0,55.0,8.0,399.0,2907.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,1257.0,1585.0,594.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,9.0,30.0,11.0,1398.0,56.0,1804.0,98.0,13.0
402,1,0,1943.0,15.0,8.0,44.0,6.0,288.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,512.0,783.0,487.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,1.0,178.0,25.0,1396.0,69.0,37.0
403,1,1,2845.0,31.0,36.0,50.0,4.0,332.0,2128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,738.0,1128.0,686.0,51.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,6.0,14.0,5.0,651.0,43.0,1605.0,110.0,35.0
404,1,0,685.0,10.0,1.0,7.0,2.0,93.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,213.0,281.0,150.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,31.0,6.0,590.0,24.0,13.0
405,1,1,1204.0,21.0,7.0,11.0,2.0,124.0,972.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,337.0,445.0,311.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,2.0,178.0,16.0,952.0,29.0,16.0
406,3,0,771.0,15.0,0.0,2.0,1.0,14.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,107.0,298.0,302.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,68.0,4.0,673.0,8.0,14.0
407,3,1,1665.0,28.0,3.0,6.0,2.0,33.0,1504.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,206.0,558.0,725.0,98.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,30.0,0.0,4.0,1.0,144.0,16.0,1345.0,23.0,26.0
408,0,0,1544.0,571.0,88.0,400.0,58.0,82.0,11.0,1.0,0.0,39.0,8.0,3.0,10.0,13.0,46.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,133.0,278.0,279.0,308.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,272.0,354.0,418.0,47.0,159.0,4.0,1.0
409,0,1,1336.0,247.0,102.0,334.0,17.0,115.0,8.0,1.0,0.0,37.0,4.0,4.0,65.0,12.0,14.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,106.0,219.0,163.0,153.0,33.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,161.0,402.0,335.0,43.0,178.0,6.0,1.0
410,0,0,14177.0,4711.0,339.0,4063.0,529.0,834.0,310.0,20.0,0.0,183.0,40.0,30.0,97.0,473.0,189.0,13.0,10.0,94.0,4.0,0.0,0.0,0.0,1457.0,2610.0,2037.0,2005.0,214.0,85.0,1.0,0.0,0.0,14.0,2.0,0.0,195.0,0.0,2162.0,2496.0,5602.0,547.0,924.0,26.0,4.0
411,0,1,8041.0,1699.0,500.0,1912.0,153.0,518.0,174.0,19.0,0.0,137.0,33.0,21.0,125.0,393.0,65.0,11.0,7.0,33.0,1.0,0.0,0.0,0.0,768.0,1133.0,773.0,707.0,121.0,116.0,0.0,0.0,0.0,27.0,1.0,0.0,98.0,0.0,1011.0,2117.0,2527.0,302.0,643.0,26.0,7.0
412,0,0,76226.0,16201.0,1452.0,15238.0,3400.0,4144.0,10713.0,113.0,3.0,463.0,163.0,132.0,195.0,1466.0,855.0,94.0,123.0,963.0,16.0,2.0,0.0,0.0,11725.0,19641.0,14877.0,11999.0,591.0,334.0,5.0,1.0,0.0,6.0,17.0,100.0,6750.0,0.0,11120.0,7172.0,43421.0,3619.0,6555.0,64.0,10.0
413,0,1,50126.0,12961.0,3547.0,7819.0,549.0,1025.0,2379.0,325.0,1.0,426.0,82.0,92.0,74.0,353.0,287.0,125.0,192.0,365.0,13.0,1.0,0.0,0.0,9112.0,11803.0,7627.0,6383.0,742.0,910.0,2.0,1.0,1.0,12.0,19.0,116.0,1094.0,0.0,8899.0,6111.0,26230.0,1926.0,2121.0,65.0,14.0
414,0,0,64504.0,8783.0,1726.0,8220.0,6543.0,2982.0,15872.0,55.0,4.0,311.0,66.0,213.0,271.0,832.0,583.0,50.0,53.0,421.0,10.0,2.0,0.0,0.0,10263.0,18566.0,15272.0,10367.0,552.0,284.0,2.0,0.0,0.0,6.0,12.0,1.0,2849.0,1.0,5711.0,3688.0,30706.0,4517.0,16189.0,106.0,13.0
415,0,1,68112.0,14816.0,6866.0,6915.0,1586.0,1143.0,3943.0,314.0,1.0,542.0,87.0,125.0,98.0,360.0,338.0,177.0,203.0,340.0,7.0,1.0,0.0,0.0,11990.0,19012.0,12884.0,10902.0,979.0,1105.0,3.0,5.0,1.0,11.0,14.0,7.0,879.0,0.0,11635.0,6523.0,33013.0,2874.0,4522.0,72.0,13.0
424,1,0,18059.0,1079.0,403.0,1049.0,3538.0,1267.0,7699.0,15.0,0.0,26.0,0.0,121.0,61.0,122.0,60.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,1528.0,5958.0,5656.0,4451.0,285.0,34.0,0.0,0.0,0.0,2.0,3.0,5.0,18.0,0.0,177.0,194.0,3360.0,1351.0,12967.0,473.0,177.0
425,1,1,21543.0,2462.0,1159.0,1264.0,1147.0,1025.0,9728.0,43.0,0.0,100.0,1.0,110.0,62.0,98.0,57.0,25.0,3.0,12.0,0.0,2.0,0.0,0.0,1789.0,6938.0,7366.0,5576.0,521.0,62.0,0.0,0.0,0.0,23.0,3.0,3.0,19.0,0.0,1203.0,1046.0,6257.0,2022.0,10767.0,333.0,116.0
426,1,0,13374.0,623.0,211.0,638.0,1907.0,1043.0,6872.0,13.0,0.0,18.0,0.0,56.0,24.0,46.0,29.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,600.0,3417.0,4613.0,4338.0,272.0,11.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,69.0,74.0,1416.0,629.0,10356.0,589.0,226.0
427,1,1,17871.0,1694.0,788.0,846.0,918.0,1014.0,8792.0,38.0,0.0,73.0,0.0,66.0,36.0,49.0,34.0,6.0,1.0,3.0,0.0,3.0,0.0,0.0,1016.0,4958.0,6067.0,5791.0,474.0,35.0,0.0,0.0,0.0,23.0,1.0,1.0,13.0,0.0,493.0,454.0,3591.0,1289.0,12145.0,438.0,200.0
428,1,0,5634.0,198.0,58.0,126.0,836.0,598.0,3306.0,2.0,0.0,3.0,0.0,11.0,3.0,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,1400.0,1893.0,2054.0,110.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,13.0,310.0,181.0,4782.0,195.0,149.0
429,1,1,8626.0,611.0,252.0,251.0,520.0,576.0,4317.0,16.0,0.0,31.0,0.0,20.0,13.0,19.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,2057.0,2808.0,3293.0,304.0,15.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,96.0,93.0,1274.0,509.0,6359.0,196.0,150.0
430,3,0,5893.0,150.0,41.0,65.0,722.0,492.0,3844.0,3.0,0.0,2.0,0.0,3.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1123.0,1982.0,2325.0,181.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,5.0,5.0,81.0,102.0,5393.0,150.0,185.0
431,3,1,11124.0,599.0,296.0,249.0,891.0,706.0,5805.0,26.0,0.0,85.0,0.0,29.0,3.0,27.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,171.0,1883.0,3398.0,4929.0,670.0,36.0,0.0,0.0,0.0,147.0,3.0,0.0,0.0,0.0,101.0,73.0,559.0,365.0,9451.0,288.0,289.0
432,0,0,481.0,15.0,24.0,79.0,3.0,25.0,52.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,46.0,36.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,163.0,102.0,6.0,38.0,0.0,0.0
433,0,1,469.0,20.0,22.0,52.0,3.0,19.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,25.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,162.0,107.0,9.0,23.0,0.0,0.0
434,0,0,2510.0,172.0,64.0,277.0,100.0,233.0,577.0,32.0,0.0,13.0,1.0,9.0,14.0,29.0,50.0,2.0,2.0,10.0,3.0,0.0,0.0,0.0,309.0,708.0,538.0,344.0,33.0,12.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,161.0,274.0,1612.0,57.0,196.0,3.0,0.0
435,0,1,2285.0,180.0,62.0,153.0,31.0,122.0,583.0,90.0,0.0,10.0,1.0,4.0,5.0,24.0,14.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,221.0,570.0,425.0,311.0,36.0,9.0,0.0,0.0,1.0,19.0,2.0,0.0,0.0,0.0,205.0,252.0,1305.0,35.0,120.0,4.0,0.0
436,0,0,21184.0,1438.0,379.0,3116.0,1494.0,889.0,6145.0,133.0,0.0,74.0,25.0,61.0,88.0,107.0,170.0,8.0,23.0,169.0,9.0,0.0,0.0,0.0,3628.0,5876.0,3942.0,2723.0,296.0,129.0,1.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,1598.0,1377.0,15117.0,607.0,752.0,10.0,1.0
437,0,1,17800.0,1629.0,761.0,1499.0,284.0,392.0,3366.0,351.0,1.0,61.0,18.0,19.0,50.0,80.0,84.0,14.0,63.0,54.0,12.0,0.0,0.0,0.0,3334.0,4384.0,2594.0,1868.0,233.0,103.0,2.0,0.0,1.0,10.0,24.0,0.0,0.0,0.0,1868.0,1777.0,11134.0,305.0,403.0,9.0,1.0
438,0,0,12762.0,870.0,186.0,1235.0,812.0,371.0,5442.0,29.0,0.0,19.0,4.0,28.0,57.0,46.0,75.0,2.0,5.0,34.0,3.0,0.0,0.0,0.0,1711.0,3911.0,2883.0,1805.0,138.0,78.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,507.0,493.0,8193.0,445.0,1550.0,10.0,2.0
439,0,1,15829.0,3400.0,876.0,818.0,250.0,278.0,2687.0,257.0,0.0,18.0,6.0,14.0,40.0,37.0,69.0,6.0,19.0,25.0,5.0,0.0,0.0,0.0,2598.0,5224.0,3287.0,1980.0,159.0,84.0,1.0,0.0,1.0,8.0,28.0,0.0,0.0,0.0,1744.0,1313.0,10163.0,318.0,686.0,10.0,2.0
448,1,0,2519.0,24.0,27.0,77.0,27.0,347.0,1761.0,0.0,0.0,0.0,0.0,10.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,672.0,690.0,768.0,30.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,9.0,743.0,61.0,1633.0,63.0,9.0
449,1,1,3955.0,61.0,90.0,69.0,7.0,313.0,2558.0,1.0,0.0,0.0,0.0,6.0,1.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,1086.0,1356.0,1451.0,126.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,252.0,60.0,1733.0,80.0,1754.0,52.0,7.0
450,1,0,1737.0,19.0,10.0,161.0,12.0,217.0,1065.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,455.0,481.0,586.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,367.0,19.0,1185.0,50.0,11.0
451,1,1,3037.0,46.0,51.0,84.0,18.0,219.0,1868.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,885.0,899.0,955.0,86.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,35.0,1033.0,54.0,1688.0,44.0,16.0
452,1,0,628.0,7.0,3.0,17.0,2.0,70.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,151.0,195.0,238.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,132.0,4.0,467.0,10.0,5.0
453,1,1,1376.0,22.0,16.0,17.0,2.0,76.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,360.0,487.0,557.0,44.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,8.0,479.0,22.0,907.0,20.0,10.0
454,3,0,661.0,14.0,1.0,4.0,1.0,30.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,149.0,201.0,227.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,75.0,3.0,478.0,7.0,9.0
455,3,1,1932.0,42.0,8.0,13.0,3.0,37.0,1333.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,367.0,553.0,731.0,63.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,7.0,465.0,15.0,1171.0,28.0,24.0
456,0,0,2980.0,226.0,77.0,325.0,423.0,282.0,406.0,8.0,0.0,23.0,1.0,4.0,0.0,135.0,45.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,100.0,183.0,235.0,315.0,52.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,364.0,1544.0,62.0,316.0,11.0,1.0
457,0,1,2548.0,193.0,108.0,471.0,177.0,269.0,214.0,11.0,0.0,30.0,1.0,7.0,112.0,173.0,17.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,98.0,194.0,201.0,251.0,36.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,86.0,387.0,966.0,54.0,255.0,10.0,3.0
458,0,0,13311.0,4783.0,414.0,2505.0,313.0,1189.0,1490.0,42.0,2.0,113.0,19.0,11.0,24.0,229.0,82.0,14.0,9.0,861.0,9.0,1.0,0.0,0.0,2335.0,3020.0,1938.0,1477.0,116.0,56.0,2.0,0.0,0.0,11.0,25.0,0.0,34.0,0.0,702.0,969.0,8092.0,515.0,1587.0,85.0,10.0
459,0,1,9745.0,2323.0,814.0,1661.0,120.0,860.0,1407.0,195.0,2.0,148.0,18.0,12.0,158.0,201.0,63.0,22.0,23.0,200.0,6.0,0.0,0.0,0.0,1443.0,2078.0,1561.0,1428.0,126.0,63.0,1.0,1.0,0.0,11.0,29.0,0.0,15.0,0.0,1207.0,1111.0,4945.0,290.0,1082.0,84.0,15.0
460,0,0,102844.0,19322.0,2235.0,14838.0,11865.0,6057.0,14249.0,256.0,4.0,459.0,143.0,143.0,250.0,1293.0,711.0,171.0,176.0,1839.0,7.0,1.0,0.0,0.0,19484.0,31470.0,21428.0,10471.0,483.0,685.0,12.0,5.0,0.0,10.0,130.0,201.0,517.0,0.0,6964.0,5726.0,71971.0,4194.0,6873.0,142.0,20.0
461,0,1,123848.0,31012.0,6396.0,14956.0,4179.0,3147.0,6501.0,733.0,9.0,821.0,134.0,103.0,351.0,773.0,750.0,331.0,367.0,495.0,10.0,1.0,0.0,0.0,22869.0,37468.0,25489.0,15050.0,914.0,879.0,6.0,8.0,1.0,10.0,283.0,316.0,113.0,0.0,16586.0,10572.0,71554.0,2693.0,3404.0,148.0,30.0
462,0,0,46116.0,5175.0,769.0,2914.0,7653.0,2562.0,15617.0,46.0,0.0,123.0,41.0,103.0,148.0,458.0,198.0,60.0,31.0,189.0,1.0,2.0,0.0,0.0,6715.0,15627.0,11865.0,7816.0,727.0,231.0,1.0,1.0,0.0,6.0,62.0,13.0,556.0,0.0,1128.0,1031.0,24914.0,2691.0,14523.0,149.0,21.0
