capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
fortaleza___ce,"04:2,01_a_3,00",30241,F,2020
fortaleza___ce,"05:3,01_a_4,00",20356,F,2020
fortaleza___ce,"06:4,01_a_5,00",12840,F,2020
fortaleza___ce,"07:5,01_a_7,00",15342,F,2020
fortaleza___ce,"08:7,01_a_10,00",11305,F,2020
fortaleza___ce,"09:10,01_a_15,00",6341,F,2020
fortaleza___ce,"10:15,01_a_20,00",3093,F,2020
fortaleza___ce,"11:mais_de_20,00",2722,F,2020
natal___rn,"00:ate_0,50",2274,F,2020
natal___rn,"01:0,51_a_1,00",17598,F,2020
natal___rn,"02:1,01_a_1,50",39272,F,2020
natal___rn,"03:1,51_a_2,00",13428,F,2020
natal___rn,"04:2,01_a_3,00",16278,F,2020
natal___rn,"05:3,01_a_4,00",9976,F,2020
natal___rn,"06:4,01_a_5,00",5978,F,2020
natal___rn,"07:5,01_a_7,00",5735,F,2020
natal___rn,"08:7,01_a_10,00",3101,F,2020
natal___rn,"09:10,01_a_15,00",2931,F,2020
natal___rn,"10:15,01_a_20,00",1488,F,2020
natal___rn,"11:mais_de_20,00",924,F,2020
joao_pessoa___pb,"00:ate_0,50",1105,F,2020
joao_pessoa___pb,"01:0,51_a_1,00",20002,F,2020
joao_pessoa___pb,"02:1,01_a_1,50",38894,F,2020
joao_pessoa___pb,"03:1,51_a_2,00",13519,F,2020
joao_pessoa___pb,"04:2,01_a_3,00",15478,F,2020
joao_pessoa___pb,"05:3,01_a_4,00",7673,F,2020
joao_pessoa___pb,"06:4,01_a_5,00",4543,F,2020
joao_pessoa___pb,"07:5,01_a_7,00",4375,F,2020
joao_pessoa___pb,"08:7,01_a_10,00",2998,F,2020
joao_pessoa___pb,"09:10,01_a_15,00",2423,F,2020
joao_pessoa___pb,"10:15,01_a_20,00",1323,F,2020
joao_pessoa___pb,"11:mais_de_20,00",833,F,2020
recife___pe,"00:ate_0,50",3869,F,2020
recife___pe,"01:0,51_a_1,00",30814,F,2020
recife___pe,"02:1,01_a_1,50",90146,F,2020
recife___pe,"03:1,51_a_2,00",40219,F,2020
recife___pe,"04:2,01_a_3,00",31519,F,2020
recife___pe,"05:3,01_a_4,00",20980,F,2020
recife___pe,"06:4,01_a_5,00",13652,F,2020
recife___pe,"07:5,01_a_7,00",15613,F,2020
recife___pe,"08:7,01_a_10,00",12692,F,2020
recife___pe,"09:10,01_a_15,00",8063,F,2020
recife___pe,"10:15,01_a_20,00",3049,F,2020
recife___pe,"11:mais_de_20,00",2974,F,2020
maceio___al,"00:ate_0,50",1425,F,2020
maceio___al,"01:0,51_a_1,00",19160,F,2020
maceio___al,"02:1,01_a_1,50",33783,F,2020
maceio___al,"03:1,51_a_2,00",14466,F,2020
maceio___al,"04:2,01_a_3,00",10757,F,2020
maceio___al,"05:3,01_a_4,00",6818,F,2020
maceio___al,"06:4,01_a_5,00",4515,F,2020
maceio___al,"07:5,01_a_7,00",4490,F,2020
maceio___al,"08:7,01_a_10,00",2867,F,2020
maceio___al,"09:10,01_a_15,00",1774,F,2020
maceio___al,"10:15,01_a_20,00",675,F,2020
maceio___al,"11:mais_de_20,00",783,F,2020
aracaju___se,"00:ate_0,50",1778,F,2020
aracaju___se,"01:0,51_a_1,00",14589,F,2020
aracaju___se,"02:1,01_a_1,50",31440,F,2020
aracaju___se,"03:1,51_a_2,00",10769,F,2020
aracaju___se,"04:2,01_a_3,00",8928,F,2020
aracaju___se,"05:3,01_a_4,00",4967,F,2020
aracaju___se,"06:4,01_a_5,00",6536,F,2020
aracaju___se,"07:5,01_a_7,00",5152,F,2020
aracaju___se,"08:7,01_a_10,00",2639,F,2020
aracaju___se,"09:10,01_a_15,00",1494,F,2020
aracaju___se,"10:15,01_a_20,00",637,F,2020
aracaju___se,"11:mais_de_20,00",830,F,2020
salvador___ba,"00:ate_0,50",4275,F,2020
salvador___ba,"01:0,51_a_1,00",53705,F,2020
salvador___ba,"02:1,01_a_1,50",90106,F,2020
salvador___ba,"03:1,51_a_2,00",37703,F,2020
salvador___ba,"04:2,01_a_3,00",37278,F,2020
salvador___ba,"05:3,01_a_4,00",23226,F,2020
salvador___ba,"06:4,01_a_5,00",17990,F,2020
salvador___ba,"07:5,01_a_7,00",21152,F,2020
salvador___ba,"08:7,01_a_10,00",17903,F,2020
salvador___ba,"09:10,01_a_15,00",10723,F,2020
salvador___ba,"10:15,01_a_20,00",3950,F,2020
salvador___ba,"11:mais_de_20,00",4040,F,2020
belo_horizonte___mg,"00:ate_0,50",7651,F,2020
belo_horizonte___mg,"01:0,51_a_1,00",52632,F,2020
belo_horizonte___mg,"02:1,01_a_1,50",158527,F,2020
belo_horizonte___mg,"03:1,51_a_2,00",68479,F,2020
belo_horizonte___mg,"04:2,01_a_3,00",105782,F,2020
belo_horizonte___mg,"05:3,01_a_4,00",45622,F,2020
belo_horizonte___mg,"06:4,01_a_5,00",34232,F,2020
belo_horizonte___mg,"07:5,01_a_7,00",31019,F,2020
belo_horizonte___mg,"08:7,01_a_10,00",21078,F,2020
belo_horizonte___mg,"09:10,01_a_15,00",13252,F,2020
belo_horizonte___mg,"10:15,01_a_20,00",6443,F,2020
belo_horizonte___mg,"11:mais_de_20,00",7308,F,2020
vitoria___es,"00:ate_0,50",1356,F,2020
vitoria___es,"01:0,51_a_1,00",7256,F,2020
vitoria___es,"02:1,01_a_1,50",24436,F,2020
vitoria___es,"03:1,51_a_2,00",12817,F,2020
vitoria___es,"04:2,01_a_3,00",18643,F,2020
vitoria___es,"05:3,01_a_4,00",11300,F,2020
vitoria___es,"06:4,01_a_5,00",6544,F,2020
vitoria___es,"07:5,01_a_7,00",6872,F,2020
vitoria___es,"08:7,01_a_10,00",4085,F,2020
vitoria___es,"09:10,01_a_15,00",3076,F,2020
vitoria___es,"10:15,01_a_20,00",1239,F,2020
vitoria___es,"11:mais_de_20,00",1109,F,2020
rio_de_janeiro___rj,"00:ate_0,50",7062,F,2020
rio_de_janeiro___rj,"01:0,51_a_1,00",77380,F,2020
rio_de_janeiro___rj,"02:1,01_a_1,50",236379,F,2020
rio_de_janeiro___rj,"03:1,51_a_2,00",122494,F,2020
rio_de_janeiro___rj,"04:2,01_a_3,00",116883,F,2020
rio_de_janeiro___rj,"05:3,01_a_4,00",67391,F,2020
rio_de_janeiro___rj,"06:4,01_a_5,00",46474,F,2020
rio_de_janeiro___rj,"07:5,01_a_7,00",60846,F,2020
rio_de_janeiro___rj,"08:7,01_a_10,00",47927,F,2020
rio_de_janeiro___rj,"09:10,01_a_15,00",33416,F,2020
rio_de_janeiro___rj,"10:15,01_a_20,00",13802,F,2020
rio_de_janeiro___rj,"11:mais_de_20,00",14058,F,2020
sao_paulo___sp,"00:ate_0,50",21905,F,2020
sao_paulo___sp,"01:0,51_a_1,00",223730,F,2020
sao_paulo___sp,"02:1,01_a_1,50",717408,F,2020
sao_paulo___sp,"03:1,51_a_2,00",455225,F,2020
sao_paulo___sp,"04:2,01_a_3,00",416103,F,2020
sao_paulo___sp,"05:3,01_a_4,00",236699,F,2020
sao_paulo___sp,"06:4,01_a_5,00",146513,F,2020
sao_paulo___sp,"07:5,01_a_7,00",172481,F,2020
sao_paulo___sp,"08:7,01_a_10,00",126829,F,2020
sao_paulo___sp,"09:10,01_a_15,00",79096,F,2020
sao_paulo___sp,"10:15,01_a_20,00",30968,F,2020
sao_paulo___sp,"11:mais_de_20,00",31618,F,2020
curitiba___pr,"00:ate_0,50",2455,F,2020
curitiba___pr,"01:0,51_a_1,00",30971,F,2020
curitiba___pr,"02:1,01_a_1,50",106176,F,2020
curitiba___pr,"03:1,51_a_2,00",59688,F,2020
curitiba___pr,"04:2,01_a_3,00",61874,F,2020
curitiba___pr,"05:3,01_a_4,00",46426,F,2020
curitiba___pr,"06:4,01_a_5,00",27815,F,2020
curitiba___pr,"07:5,01_a_7,00",34881,F,2020
curitiba___pr,"08:7,01_a_10,00",17601,F,2020
curitiba___pr,"09:10,01_a_15,00",9888,F,2020
curitiba___pr,"10:15,01_a_20,00",3915,F,2020
curitiba___pr,"11:mais_de_20,00",3888,F,2020
florianopolis___sc,"00:ate_0,50",1523,F,2020
florianopolis___sc,"01:0,51_a_1,00",9957,F,2020
florianopolis___sc,"02:1,01_a_1,50",28882,F,2020
florianopolis___sc,"03:1,51_a_2,00",22524,F,2020
florianopolis___sc,"04:2,01_a_3,00",22120,F,2020
florianopolis___sc,"05:3,01_a_4,00",14154,F,2020
florianopolis___sc,"06:4,01_a_5,00",10670,F,2020
florianopolis___sc,"07:5,01_a_7,00",15291,F,2020
florianopolis___sc,"08:7,01_a_10,00",9937,F,2020
florianopolis___sc,"09:10,01_a_15,00",6327,F,2020
florianopolis___sc,"10:15,01_a_20,00",2245,F,2020
florianopolis___sc,"11:mais_de_20,00",1761,F,2020
porto_alegre___rs,"00:ate_0,50",2401,F,2020
porto_alegre___rs,"01:0,51_a_1,00",21214,F,2020
porto_alegre___rs,"02:1,01_a_1,50",70932,F,2020
porto_alegre___rs,"03:1,51_a_2,00",56277,F,2020
porto_alegre___rs,"04:2,01_a_3,00",55027,F,2020
porto_alegre___rs,"05:3,01_a_4,00",30081,F,2020
porto_alegre___rs,"06:4,01_a_5,00",18321,F,2020
porto_alegre___rs,"07:5,01_a_7,00",20735,F,2020
porto_alegre___rs,"08:7,01_a_10,00",16876,F,2020
porto_alegre___rs,"09:10,01_a_15,00",13040,F,2020
porto_alegre___rs,"10:15,01_a_20,00",4831,F,2020
porto_alegre___rs,"11:mais_de_20,00",4759,F,2020
campo_grande___ms,"00:ate_0,50",1478,F,2020
campo_grande___ms,"01:0,51_a_1,00",11149,F,2020
campo_grande___ms,"02:1,01_a_1,50",37784,F,2020
campo_grande___ms,"03:1,51_a_2,00",18457,F,2020
campo_grande___ms,"04:2,01_a_3,00",16349,F,2020
campo_grande___ms,"05:3,01_a_4,00",10163,F,2020
campo_grande___ms,"06:4,01_a_5,00",8585,F,2020
campo_grande___ms,"07:5,01_a_7,00",8230,F,2020
campo_grande___ms,"08:7,01_a_10,00",4713,F,2020
campo_grande___ms,"09:10,01_a_15,00",3587,F,2020
campo_grande___ms,"10:15,01_a_20,00",1192,F,2020
campo_grande___ms,"11:mais_de_20,00",1049,F,2020
cuiaba___mt,"00:ate_0,50",924,F,2020
