;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
110020:Porto Velho - RO;Total;301;3.812;2.531;7.659;10.055;7.185;57.403;1.828;14.396;238;82;105.490;68;846;632;2.152;3.870;3.655;49.155;2.231;20.391;262;48;83.310;369;4.658;3.163;9.811;13.925;10.840;106.558;4.059;34.787;500;130;188.800
;00:Até 0,50;0;11;4;191;124;187;101;11;22;1;0;652;0;3;2;128;90;207;84;2;40;1;0;557;0;14;6;319;214;394;185;13;62;2;0;1.209
;01:0,51 a 1,00;12;65;41;175;152;272;593;38;106;8;3;1.465;4;24;31;135;135;319;813;65;196;6;0;1.728;16;89;72;310;287;591;1.406;103;302;14;3;3.193
;02:1,01 a 1,50;99;555;519;1.095;1.868;1.878;11.171;305;403;8;1;17.902;34;286;276;895;1.704;1.870;17.639;607;733;11;3;24.058;133;841;795;1.990;3.572;3.748;28.810;912;1.136;19;4;41.960
;03:1,51 a 2,00;82;794;538;1.642;2.407;1.927;10.319;326;662;9;3;18.709;27;189;117;408;762;786;10.383;469;1.232;11;1;14.385;109;983;655;2.050;3.169;2.713;20.702;795;1.894;20;4;33.094
;04:2,01 a 3,00;68;1.061;639;1.926;2.452;1.582;12.999;397;1.918;21;4;23.067;1;194;135;250;436;293;8.335;545;4.772;19;4;14.984;69;1.255;774;2.176;2.888;1.875;21.334;942;6.690;40;8;38.051
;05:3,01 a 4,00;20;538;272;937;1.048;622;7.998;239;2.115;12;3;13.804;0;24;21;63;159;79;6.583;243;4.832;20;1;12.025;20;562;293;1.000;1.207;701;14.581;482;6.947;32;4;25.829
;06:4,01 a 5,00;3;174;129;469;438;284;4.830;185;1.098;11;3;7.624;1;10;20;63;77;23;1.727;93;2.107;22;5;4.148;4;184;149;532;515;307;6.557;278;3.205;33;8;11.772
;07:5,01 a 7,00;9;343;136;646;856;214;4.364;131;1.551;27;5;8.282;0;94;5;149;370;27;1.939;102;2.083;40;1;4.810;9;437;141;795;1.226;241;6.303;233;3.634;67;6;13.092
;08:7,01 a 10,00;2;101;72;262;376;76;2.285;89;1.906;58;4;5.231;0;8;1;14;46;10;772;67;1.742;63;9;2.732;2;109;73;276;422;86;3.057;156;3.648;121;13;7.963
;09:10,01 a 15,00;0;22;32;79;104;47;1.055;54;1.936;44;16;3.389;0;2;0;8;30;4;389;19;1.355;50;10;1.867;0;24;32;87;134;51;1.444;73;3.291;94;26;5.256
;10:15,01 a 20,00;0;5;13;24;38;10;653;28;1.153;18;5;1.947;0;0;0;0;7;1;190;5;630;12;3;848;0;5;13;24;45;11;843;33;1.783;30;8;2.795
;11:Mais de 20,00;0;0;15;4;9;8;508;14;1.449;21;32;2.060;0;0;1;0;1;1;75;5;600;6;10;699;0;0;16;4;10;9;583;19;2.049;27;42;2.759
;{ñ class};6;143;121;209;183;78;527;11;77;0;3;1.358;1;12;23;39;53;35;226;9;69;1;1;469;7;155;144;248;236;113;753;20;146;1;4;1.827
120040:Rio Branco - AC;Total;297;2.726;1.376;2.406;4.767;2.998;30.357;1.619;10.724;123;64;57.457;31;1.322;390;1.499;3.368;1.667;21.278;1.875;15.430;114;26;47.000;328;4.048;1.766;3.905;8.135;4.665;51.635;3.494;26.154;237;90;104.457
;00:Até 0,50;0;2;0;14;10;136;36;3;9;0;0;210;0;1;1;10;10;126;50;7;6;0;0;211;0;3;1;24;20;262;86;10;15;0;0;421
;01:0,51 a 1,00;30;122;109;54;107;177;679;19;52;3;0;1.352;3;21;18;26;78;153;634;35;71;3;1;1.043;33;143;127;80;185;330;1.313;54;123;6;1;2.395
;02:1,01 a 1,50;154;888;547;699;1.380;1.276;10.253;261;270;5;1;15.734;24;396;241;508;1.163;900;9.101;464;487;4;1;13.289;178;1.284;788;1.207;2.543;2.176;19.354;725;757;9;2;29.023
;03:1,51 a 2,00;72;624;336;542;981;605;6.427;215;414;5;1;10.222;1;349;87;331;605;212;4.072;336;625;2;0;6.620;73;973;423;873;1.586;817;10.499;551;1.039;7;1;16.842
