capital,faixa_remuneracao_media_sm,analfabeto,ate_5a_incompleto,5a_completo_fundamental,6a_a_9a_fundamental,fundamental_completo,medio_incompleto,medio_completo,superior_incompleto,superior_completo,mestrado,doutorado,sexo,ano
Porto Velho - RO,"00:ate_0,50",0,1,3,90,19,135,115,6,24,0,0,F,2010
Porto Velho - RO,"01:0,51_a_1,00",7,18,40,76,333,234,2.185,54,126,0,0,F,2010
Porto Velho - RO,"02:1,01_a_1,50",84,240,332,1.179,1.937,1.753,14.012,568,531,4,0,F,2010
Porto Velho - RO,"03:1,51_a_2,00",33,160,199,406,739,574,8.566,491,1.935,9,2,F,2010
Porto Velho - RO,"04:2,01_a_3,00",38,228,187,261,551,329,5.959,482,2.333,14,3,F,2010
Porto Velho - RO,"05:3,01_a_4,00",0,25,27,60,142,83,6.569,226,3.866,8,3,F,2010
Porto Velho - RO,"06:4,01_a_5,00",0,30,6,74,110,17,1.904,114,1.457,13,0,F,2010
Porto Velho - RO,"07:5,01_a_7,00",3,131,7,193,410,20,1.479,105,1.374,12,1,F,2010
Porto Velho - RO,"08:7,01_a_10,00",0,9,2,21,69,10,815,61,1.636,15,4,F,2010
Porto Velho - RO,"09:10,01_a_15,00",0,7,0,16,42,3,442,38,1.150,27,7,F,2010
Porto Velho - RO,"10:15,01_a_20,00",0,0,1,1,7,1,127,8,419,7,2,F,2010
Porto Velho - RO,"11:mais_de_20,00",0,0,2,1,5,0,217,8,566,4,9,F,2010
Rio Branco - AC,"00:ate_0,50",0,0,2,4,3,68,18,3,5,0,0,F,2010
Rio Branco - AC,"01:0,51_a_1,00",9,93,48,72,225,153,652,20,30,1,0,F,2010
Rio Branco - AC,"02:1,01_a_1,50",68,769,296,806,1.476,756,6.760,375,370,1,0,F,2010
Rio Branco - AC,"03:1,51_a_2,00",10,386,40,363,605,179,3.917,314,424,4,0,F,2010
Rio Branco - AC,"04:2,01_a_3,00",0,503,13,481,1.079,190,3.293,456,1.530,4,2,F,2010
Rio Branco - AC,"05:3,01_a_4,00",0,165,4,110,403,66,1.460,283,2.804,4,1,F,2010
Rio Branco - AC,"06:4,01_a_5,00",0,65,5,31,249,57,935,138,3.184,4,4,F,2010
Rio Branco - AC,"07:5,01_a_7,00",0,34,8,20,152,31,671,139,2.707,9,7,F,2010
Rio Branco - AC,"08:7,01_a_10,00",0,7,1,5,40,23,293,48,1.180,11,3,F,2010
Rio Branco - AC,"09:10,01_a_15,00",0,6,0,4,15,22,159,14,763,8,4,F,2010
Rio Branco - AC,"10:15,01_a_20,00",0,0,0,0,1,0,38,6,352,12,0,F,2010
Rio Branco - AC,"11:mais_de_20,00",0,2,0,0,2,0,16,2,406,1,11,F,2010
Manaus - AM,"00:ate_0,50",0,2,3,85,42,687,151,13,32,2,0,F,2010
Manaus - AM,"01:0,51_a_1,00",8,366,131,383,745,1.292,2.829,353,308,15,3,F,2010
Manaus - AM,"02:1,01_a_1,50",86,1.181,1.562,3.286,7.630,6.045,44.864,1.939,1.431,30,5,F,2010
Manaus - AM,"03:1,51_a_2,00",15,212,222,574,1.177,1.162,20.978,2.042,2.493,27,9,F,2010
Manaus - AM,"04:2,01_a_3,00",5,1.050,756,875,1.991,1.323,26.082,3.036,17.656,74,15,F,2010
Manaus - AM,"05:3,01_a_4,00",2,393,76,151,399,208,6.163,1.384,5.079,72,10,F,2010
Manaus - AM,"06:4,01_a_5,00",1,24,20,46,164,106,2.748,840,3.417,56,16,F,2010
Manaus - AM,"07:5,01_a_7,00",0,18,10,39,143,82,2.957,832,4.689,105,20,F,2010
Manaus - AM,"08:7,01_a_10,00",0,8,11,13,55,46,1.402,464,6.873,90,25,F,2010
Manaus - AM,"09:10,01_a_15,00",0,5,5,5,41,31,775,234,3.407,110,22,F,2010
Manaus - AM,"10:15,01_a_20,00",0,1,1,3,2,5,184,63,1.153,12,5,F,2010
Manaus - AM,"11:mais_de_20,00",0,0,0,0,2,2,109,40,1.508,30,18,F,2010
Boa Vista - RR,"00:ate_0,50",0,2,1,5,5,17,8,0,3,0,0,F,2010
Boa Vista - RR,"01:0,51_a_1,00",6,32,60,54,545,154,825,40,167,5,0,F,2010
Boa Vista - RR,"02:1,01_a_1,50",47,180,450,408,2.520,564,6.625,358,774,11,0,F,2010
Boa Vista - RR,"03:1,51_a_2,00",0,23,15,42,364,88,1.437,203,263,4,2,F,2010
Boa Vista - RR,"04:2,01_a_3,00",0,8,37,49,410,57,1.954,201,807,39,2,F,2010
Boa Vista - RR,"05:3,01_a_4,00",0,37,8,153,139,30,618,87,973,29,3,F,2010
Boa Vista - RR,"06:4,01_a_5,00",0,35,7,112,82,8,532,64,1.816,7,1,F,2010
Boa Vista - RR,"07:5,01_a_7,00",0,75,2,325,492,18,1.700,94,2.684,14,0,F,2010
Boa Vista - RR,"08:7,01_a_10,00",0,2,2,10,17,4,304,28,1.408,9,6,F,2010
Boa Vista - RR,"09:10,01_a_15,00",0,2,0,11,11,2,110,18,653,1,1,F,2010
Boa Vista - RR,"10:15,01_a_20,00",0,0,2,5,1,0,11,5,227,3,0,F,2010
Boa Vista - RR,"11:mais_de_20,00",0,0,0,0,2,1,60,2,300,5,4,F,2010
Belém - PA,"00:ate_0,50",0,5,3,110,79,456,303,10,104,1,0,F,2010
Belém - PA,"01:0,51_a_1,00",12,57,71,324,2.381,751,5.693,274,639,21,4,F,2010
Belém - PA,"02:1,01_a_1,50",131,366,472,4.082,6.509,4.333,35.018,1.734,2.235,24,15,F,2010
Belém - PA,"03:1,51_a_2,00",5,52,87,514,1.201,843,12.584,1.108,2.521,24,7,F,2010
Belém - PA,"04:2,01_a_3,00",6,20,37,488,945,588,10.175,1.153,6.612,153,7,F,2010
Belém - PA,"05:3,01_a_4,00",1,7,15,123,394,454,5.146,734,5.797,89,10,F,2010
Belém - PA,"06:4,01_a_5,00",0,8,10,45,138,90,2.502,499,6.273,120,3,F,2010
Belém - PA,"07:5,01_a_7,00",0,10,8,68,184,81,2.598,480,10.029,299,6,F,2010
Belém - PA,"08:7,01_a_10,00",0,3,4,11,55,29,1.130,219,6.183,407,12,F,2010
Belém - PA,"09:10,01_a_15,00",0,1,0,4,20,8,485,92,3.439,136,37,F,2010
Belém - PA,"10:15,01_a_20,00",0,0,0,0,3,3,88,24,1.472,45,10,F,2010
Belém - PA,"11:mais_de_20,00",0,0,0,0,1,2,135,31,2.445,21,33,F,2010
Macapá - AP,"00:ate_0,50",0,0,1,10,14,135,102,3,6,0,0,F,2010
Macapá - AP,"01:0,51_a_1,00",2,15,16,56,190,179,1.233,69,88,1,1,F,2010
Macapá - AP,"02:1,01_a_1,50",20,79,82,338,945,651,7.043,388,384,7,0,F,2010
Macapá - AP,"03:1,51_a_2,00",31,51,67,276,735,291,3.236,273,325,2,1,F,2010
Macapá - AP,"04:2,01_a_3,00",2,0,8,15,58,53,2.449,231,535,7,0,F,2010
Macapá - AP,"05:3,01_a_4,00",0,12,0,31,100,16,1.566,99,588,9,0,F,2010
Macapá - AP,"06:4,01_a_5,00",0,19,1,28,188,3,2.635,76,499,6,0,F,2010
Macapá - AP,"07:5,01_a_7,00",1,27,1,134,365,5,4.644,50,1.436,6,0,F,2010
Macapá - AP,"08:7,01_a_10,00",0,9,0,33,66,2,3.849,39,884,7,1,F,2010
Macapá - AP,"09:10,01_a_15,00",0,0,0,1,7,1,691,26,688,7,3,F,2010
Macapá - AP,"10:15,01_a_20,00",0,0,0,0,0,0,130,14,282,2,0,F,2010
Macapá - AP,"11:mais_de_20,00",0,0,0,0,7,2,236,10,270,3,6,F,2010
Palmas - TO,"00:ate_0,50",0,1,2,6,4,34,31,3,39,0,1,F,2010
Palmas - TO,"01:0,51_a_1,00",13,366,29,56,1.099,217,1.569,68,199,1,1,F,2010
Palmas - TO,"02:1,01_a_1,50",222,936,83,263,2.623,710,8.765,398,592,5,1,F,2010
Palmas - TO,"03:1,51_a_2,00",945,13,8,26,404,126,3.774,275,923,0,0,F,2010
Palmas - TO,"04:2,01_a_3,00",21,9,7,11,255,50,3.929,256,2.650,3,1,F,2010
Palmas - TO,"05:3,01_a_4,00",0,3,2,3,96,19,2.152,125,3.469,1,1,F,2010
Palmas - TO,"06:4,01_a_5,00",1,0,5,2,29,13,3.364,76,2.105,5,0,F,2010
Palmas - TO,"07:5,01_a_7,00",0,0,0,1,31,10,2.034,80,5.012,8,0,F,2010
Palmas - TO,"08:7,01_a_10,00",0,0,0,0,9,10,620,51,1.869,3,2,F,2010
Palmas - TO,"09:10,01_a_15,00",0,0,1,0,2,4,125,37,994,16,1,F,2010
Palmas - TO,"10:15,01_a_20,00",0,0,0,0,0,1,10,10,460,5,3,F,2010
Palmas - TO,"11:mais_de_20,00",0,0,0,0,0,0,70,5,521,3,2,F,2010
São Luiz - MA,"00:ate_0,50",0,0,3,13,6,57,74,6,58,1,0,F,2010
São Luiz - MA,"01:0,51_a_1,00",13,53,51,134,474,358,5.279,119,286,6,0,F,2010
São Luiz - MA,"02:1,01_a_1,50",63,248,406,874,12.378,1.478,35.720,1.061,1.423,26,3,F,2010
São Luiz - MA,"03:1,51_a_2,00",6,29,41,64,4.836,155,7.926,416,1.038,18,2,F,2010
São Luiz - MA,"04:2,01_a_3,00",1,16,14,20,3.692,53,8.113,497,2.087,22,0,F,2010
São Luiz - MA,"05:3,01_a_4,00",0,2,3,7,10.555,14,4.276,238,2.247,11,2,F,2010
São Luiz - MA,"06:4,01_a_5,00",0,3,4,10,4.084,9,1.790,137,1.249,11,4,F,2010
São Luiz - MA,"07:5,01_a_7,00",0,0,1,18,1.900,7,2.910,132,2.251,31,5,F,2010
São Luiz - MA,"08:7,01_a_10,00",0,0,0,6,2.286,3,872,84,1.909,42,6,F,2010
São Luiz - MA,"09:10,01_a_15,00",0,0,1,0,852,1,566,45,1.104,38,5,F,2010
São Luiz - MA,"10:15,01_a_20,00",0,0,0,0,404,1,72,8,514,20,9,F,2010
São Luiz - MA,"11:mais_de_20,00",0,0,0,0,349,0,74,4,864,6,4,F,2010
Terezina - PI,"00:ate_0,50",2,15,7,31,47,157,114,16,92,0,0,F,2010
Terezina - PI,"01:0,51_a_1,00",31,174,131,405,458,648,2.068,466,587,5,0,F,2010
Terezina - PI,"02:1,01_a_1,50",174,1.545,660,1.997,4.192,3.322,24.567,4.303,2.250,11,1,F,2010
Terezina - PI,"03:1,51_a_2,00",17,187,78,128,398,280,6.023,1.067,3.426,5,1,F,2010
Terezina - PI,"04:2,01_a_3,00",16,122,128,29,332,112,5.837,2.087,4.738,18,1,F,2010
Terezina - PI,"05:3,01_a_4,00",0,25,12,12,107,29,1.632,1.259,10.175,12,3,F,2010
Terezina - PI,"06:4,01_a_5,00",0,5,2,6,22,8,792,136,2.653,19,4,F,2010
Terezina - PI,"07:5,01_a_7,00",0,9,1,8,27,12,1.153,112,2.679,11,1,F,2010
Terezina - PI,"08:7,01_a_10,00",0,1,2,3,17,9,958,68,1.694,34,7,F,2010
Terezina - PI,"09:10,01_a_15,00",0,5,0,0,3,3,626,31,1.261,39,3,F,2010
Terezina - PI,"10:15,01_a_20,00",0,0,1,0,1,1,107,14,542,14,2,F,2010
Terezina - PI,"11:mais_de_20,00",0,0,0,0,1,0,197,4,577,6,16,F,2010
Fortaleza - CE,"00:ate_0,50",12,32,90,123,184,355,701,81,355,8,1,F,2010
Fortaleza - CE,"01:0,51_a_1,00",51,303,246,1.015,2.582,2.758,12.424,903,2.246,29,5,F,2010
Fortaleza - CE,"02:1,01_a_1,50",241,2.382,2.889,9.328,19.940,12.134,98.110,5.739,8.396,86,9,F,2010
Fortaleza - CE,"03:1,51_a_2,00",12,607,152,1.032,1.334,1.112,15.251,2.939,5.844,811,5,F,2010
Fortaleza - CE,"04:2,01_a_3,00",2,229,55,546,625,672,10.679,3.322,13.234,2.577,19,F,2010
Fortaleza - CE,"05:3,01_a_4,00",0,87,18,181,271,226,4.077,1.553,6.834,2.066,63,F,2010
Fortaleza - CE,"06:4,01_a_5,00",1,55,9,102,130,91,1.852,664,5.189,2.148,53,F,2010
Fortaleza - CE,"07:5,01_a_7,00",0,68,6,149,291,125,3.255,992,9.720,2.402,51,F,2010
Fortaleza - CE,"08:7,01_a_10,00",0,21,2,21,130,30,1.423,362,5.744,1.109,42,F,2010
Fortaleza - CE,"09:10,01_a_15,00",0,5,1,20,50,10,511,235,4.078,890,59,F,2010
Fortaleza - CE,"10:15,01_a_20,00",0,0,2,7,32,7,124,104,1.992,378,52,F,2010
Fortaleza - CE,"11:mais_de_20,00",0,0,0,0,34,5,137,71,2.782,210,30,F,2010
Natal - RN,"00:ate_0,50",4,36,18,57,31,197,283,22,94,4,0,F,2010
Natal - RN,"01:0,51_a_1,00",24,177,113,458,752,875,3.438,216,574,12,1,F,2010
Natal - RN,"02:1,01_a_1,50",127,880,1.742,6.307,5.528,5.379,36.067,1.695,2.433,20,6,F,2010
Natal - RN,"03:1,51_a_2,00",4,63,629,1.673,445,451,8.191,735,1.901,12,3,F,2010
Natal - RN,"04:2,01_a_3,00",1,27,296,1.407,194,245,11.840,862,9.130,30,13,F,2010
Natal - RN,"05:3,01_a_4,00",0,15,135,704,45,93,3.464,328,5.034,21,6,F,2010
Natal - RN,"06:4,01_a_5,00",0,12,25,146,28,28,1.097,186,2.841,21,2,F,2010
Natal - RN,"07:5,01_a_7,00",0,7,17,84,74,23,1.125,223,3.032,43,6,F,2010
Natal - RN,"08:7,01_a_10,00",1,1,6,18,18,13,684,109,2.936,45,12,F,2010
Natal - RN,"09:10,01_a_15,00",0,2,2,8,10,7,419,140,2.619,60,19,F,2010
Natal - RN,"10:15,01_a_20,00",0,0,2,0,3,2,127,45,1.297,10,18,F,2010
Natal - RN,"11:mais_de_20,00",0,0,2,0,1,0,83,27,1.352,5,3,F,2010
João Pessoa - PB,"00:ate_0,50",1,14,17,15,21,16,156,11,235,10,0,F,2010
João Pessoa - PB,"01:0,51_a_1,00",47,131,2.761,324,1.001,458,4.037,217,10.506,18,3,F,2010
João Pessoa - PB,"02:1,01_a_1,50",134,1.185,3.778,1.600,3.065,2.382,22.590,1.578,8.704,24,0,F,2010
João Pessoa - PB,"03:1,51_a_2,00",52,253,1.593,189,565,314,4.652,601,3.136,22,0,F,2010
João Pessoa - PB,"04:2,01_a_3,00",4,108,1.214,40,266,137,5.815,573,8.163,139,18,F,2010
João Pessoa - PB,"05:3,01_a_4,00",0,19,350,19,84,59,1.676,226,6.345,56,20,F,2010
João Pessoa - PB,"06:4,01_a_5,00",0,7,218,33,43,18,632,126,2.715,53,6,F,2010
João Pessoa - PB,"07:5,01_a_7,00",0,5,121,75,369,24,974,122,3.182,64,13,F,2010
João Pessoa - PB,"08:7,01_a_10,00",0,1,47,5,114,5,612,73,2.360,29,7,F,2010
João Pessoa - PB,"09:10,01_a_15,00",0,0,18,0,70,2,85,37,1.998,22,14,F,2010
João Pessoa - PB,"10:15,01_a_20,00",0,0,3,2,39,0,48,7,852,2,4,F,2010
João Pessoa - PB,"11:mais_de_20,00",0,0,1,0,13,0,59,4,1.276,5,0,F,2010
Recife - PE,"00:ate_0,50",2,21,19,49,74,134,414,39,224,8,0,F,2010
Recife - PE,"01:0,51_a_1,00",30,192,512,612,1.754,1.469,10.555,515,1.328,56,4,F,2010
Recife - PE,"02:1,01_a_1,50",147,948,1.757,3.525,15.593,5.861,66.713,4.022,4.159,106,13,F,2010
Recife - PE,"03:1,51_a_2,00",25,171,343,536,19.156,1.031,18.671,2.481,4.177,91,17,F,2010
Recife - PE,"04:2,01_a_3,00",14,76,207,185,13.198,636,10.899,2.836,10.603,152,18,F,2010
Recife - PE,"05:3,01_a_4,00",3,21,59,49,8.714,228,4.633,1.275,7.893,125,7,F,2010
Recife - PE,"06:4,01_a_5,00",0,8,9,30,4.521,89,2.018,851,5.797,118,15,F,2010
Recife - PE,"07:5,01_a_7,00",0,8,16,37,2.540,132,2.416,847,8.152,180,43,F,2010
Recife - PE,"08:7,01_a_10,00",0,4,7,20,850,104,1.198,485,7.278,234,22,F,2010
Recife - PE,"09:10,01_a_15,00",0,1,5,16,102,106,647,281,5.563,159,56,F,2010
Recife - PE,"10:15,01_a_20,00",0,1,7,2,10,19,116,128,2.129,56,29,F,2010
Recife - PE,"11:mais_de_20,00",0,0,1,0,365,29,100,156,2.587,57,28,F,2010
Maceió - AL,"00:ate_0,50",1,9,2,24,24,52,117,24,69,4,0,F,2010
Maceió - AL,"01:0,51_a_1,00",17,79,106,256,557,626,1.905,171,458,13,0,F,2010
Maceió - AL,"02:1,01_a_1,50",117,959,1.094,2.110,4.421,3.536,22.323,1.813,1.985,18,4,F,2010
Maceió - AL,"03:1,51_a_2,00",7,206,190,358,706,565,6.035,862,1.778,20,4,F,2010
Maceió - AL,"04:2,01_a_3,00",1,109,71,192,484,873,4.171,1.351,5.649,29,5,F,2010
Maceió - AL,"05:3,01_a_4,00",0,80,43,52,130,154,1.215,469,2.650,19,3,F,2010
Maceió - AL,"06:4,01_a_5,00",0,26,12,17,73,234,709,279,2.929,15,6,F,2010
Maceió - AL,"07:5,01_a_7,00",0,24,6,36,190,143,1.264,556,4.461,25,1,F,2010
Maceió - AL,"08:7,01_a_10,00",0,9,5,6,52,53,562,250,2.345,37,6,F,2010
Maceió - AL,"09:10,01_a_15,00",0,0,0,1,17,11,160,66,1.231,25,9,F,2010
Maceió - AL,"10:15,01_a_20,00",0,0,0,0,2,1,39,14,503,7,0,F,2010
Maceió - AL,"11:mais_de_20,00",0,2,0,2,0,0,40,16,778,5,0,F,2010
Aracaju - SE,"00:ate_0,50",0,10,11,45,47,143,445,35,140,2,0,F,2010
Aracaju - SE,"01:0,51_a_1,00",13,127,103,279,557,640,3.058,247,656,10,2,F,2010
Aracaju - SE,"02:1,01_a_1,50",98,437,468,1.972,3.389,3.101,21.293,1.347,1.905,18,5,F,2010
Aracaju - SE,"03:1,51_a_2,00",1,41,38,1.126,817,482,5.443,765,1.319,13,3,F,2010
Aracaju - SE,"04:2,01_a_3,00",2,19,15,482,1.028,365,4.176,848,2.736,29,7,F,2010
Aracaju - SE,"05:3,01_a_4,00",0,10,18,111,212,130,1.629,388,2.915,46,3,F,2010
Aracaju - SE,"06:4,01_a_5,00",1,6,12,77,63,61,977,227,3.396,142,13,F,2010
Aracaju - SE,"07:5,01_a_7,00",0,9,2,78,47,51,1.112,260,5.530,167,7,F,2010
Aracaju - SE,"08:7,01_a_10,00",0,1,1,43,20,21,536,170,4.036,96,10,F,2010
Aracaju - SE,"09:10,01_a_15,00",0,4,3,14,15,5,449,100,1.685,81,23,F,2010
Aracaju - SE,"10:15,01_a_20,00",0,0,1,0,3,3,120,24,598,14,17,F,2010
Aracaju - SE,"11:mais_de_20,00",0,0,0,1,0,1,45,9,1.070,6,13,F,2010
Salvador - BA,"00:ate_0,50",0,14,23,126,72,702,621,27,146,2,1,F,2010
Salvador - BA,"01:0,51_a_1,00",27,147,163,446,893,1.548,9.546,450,931,24,4,F,2010
Salvador - BA,"02:1,01_a_1,50",199,1.159,1.595,5.903,7.477,6.758,90.973,4.411,3.980,47,6,F,2010
Salvador - BA,"03:1,51_a_2,00",16,310,316,668,1.141,1.130,25.737,3.294,7.175,57,9,F,2010
Salvador - BA,"04:2,01_a_3,00",4,147,333,658,1.294,1.217,24.039,3.587,11.004,165,19,F,2010
Salvador - BA,"05:3,01_a_4,00",2,40,59,118,369,542,13.245,2.031,10.486,236,27,F,2010
Salvador - BA,"06:4,01_a_5,00",0,25,36,69,172,217,9.410,1.771,11.605,150,45,F,2010
Salvador - BA,"07:5,01_a_7,00",1,50,30,162,305,373,10.111,1.857,20.475,327,39,F,2010
Salvador - BA,"08:7,01_a_10,00",0,21,14,55,86,67,3.535,579,12.163,381,87,F,2010
Salvador - BA,"09:10,01_a_15,00",0,9,3,17,29,26,1.370,232,6.456,293,84,F,2010
Salvador - BA,"10:15,01_a_20,00",0,4,2,3,6,14,399,83,3.195,91,67,F,2010
Salvador - BA,"11:mais_de_20,00",0,3,0,1,13,10,272,47,4.173,55,31,F,2010
Belo Horizonte - MG,"00:ate_0,50",35,233,371,565,723,1.390,922,74,520,2,1,F,2010
Belo Horizonte - MG,"01:0,51_a_1,00",147,996,2.009,3.928,4.337,4.909,15.378,999,2.409,24,5,F,2010
Belo Horizonte - MG,"02:1,01_a_1,50",855,5.717,16.805,22.992,38.066,20.793,115.018,5.203,7.546,61,9,F,2010
Belo Horizonte - MG,"03:1,51_a_2,00",78,519,1.465,2.397,5.580,3.211,47.440,6.116,19.812,65,18,F,2010
Belo Horizonte - MG,"04:2,01_a_3,00",37,306,809,1.097,3.139,1.744,38.793,7.612,45.068,139,20,F,2010
Belo Horizonte - MG,"05:3,01_a_4,00",2,45,161,217,1.025,553,14.923,3.285,31.988,319,26,F,2010
Belo Horizonte - MG,"06:4,01_a_5,00",2,9,55,124,424,186,7.282,1.464,21.847,514,18,F,2010
Belo Horizonte - MG,"07:5,01_a_7,00",1,14,276,185,500,216,6.646,1.226,23.713,1.572,39,F,2010
Belo Horizonte - MG,"08:7,01_a_10,00",0,7,51,26,126,80,3.483,652,15.781,784,56,F,2010
Belo Horizonte - MG,"09:10,01_a_15,00",0,2,3,20,81,42,1.799,326,11.756,1.153,77,F,2010
Belo Horizonte - MG,"10:15,01_a_20,00",0,5,2,0,13,5,322,78,6.213,490,55,F,2010
Belo Horizonte - MG,"11:mais_de_20,00",0,5,1,1,11,2,275,72,8.279,249,180,F,2010
Vitória - ES,"00:ate_0,50",0,5,12,115,201,633,72,10,47,2,0,F,2010
Vitória - ES,"01:0,51_a_1,00",9,53,68,284,796,562,913,60,224,3,0,F,2010
Vitória - ES,"02:1,01_a_1,50",81,787,989,2.686,5.656,3.216,19.704,1.212,1.339,17,0,F,2010
Vitória - ES,"03:1,51_a_2,00",19,313,510,239,846,666,8.642,1.264,1.647,16,2,F,2010
Vitória - ES,"04:2,01_a_3,00",11,193,317,79,384,447,7.611,1.545,3.704,34,0,F,2010
Vitória - ES,"05:3,01_a_4,00",0,31,43,41,99,102,2.378,811,6.970,75,3,F,2010
Vitória - ES,"06:4,01_a_5,00",0,31,6,37,54,43,1.307,572,5.807,88,5,F,2010
Vitória - ES,"07:5,01_a_7,00",0,106,9,54,104,39,1.374,403,5.789,116,9,F,2010
Vitória - ES,"08:7,01_a_10,00",0,34,8,19,25,29,698,189,4.453,110,9,F,2010
Vitória - ES,"09:10,01_a_15,00",0,18,9,2,24,10,459,139,3.691,90,10,F,2010
Vitória - ES,"10:15,01_a_20,00",0,4,0,1,1,1,86,43,1.461,59,3,F,2010
Vitória - ES,"11:mais_de_20,00",0,0,0,1,1,0,58,14,1.517,128,3,F,2010
Rio de Janeiro - RJ,"00:ate_0,50",2,36,29,125,132,321,603,115,1.363,8,3,F,2010
Rio de Janeiro - RJ,"01:0,51_a_1,00",45,345,692,1.716,3.754,5.328,15.276,1.004,3.773,65,6,F,2010
Rio de Janeiro - RJ,"02:1,01_a_1,50",559,11.364,14.729,26.686,58.531,31.263,167.194,10.590,14.545,147,23,F,2010
Rio de Janeiro - RJ,"03:1,51_a_2,00",105,1.322,3.247,7.463,12.328,7.957,83.073,9.413,14.355,147,43,F,2010
Rio de Janeiro - RJ,"04:2,01_a_3,00",21,410,1.343,2.352,5.656,5.021,50.819,20.172,25.910,260,63,F,2010
Rio de Janeiro - RJ,"05:3,01_a_4,00",3,120,320,657,3.423,5.312,25.036,13.698,31.264,240,49,F,2010
Rio de Janeiro - RJ,"06:4,01_a_5,00",2,67,149,409,1.593,3.717,17.654,9.118,22.819,223,59,F,2010
Rio de Janeiro - RJ,"07:5,01_a_7,00",1,69,137,469,2.112,1.596,19.855,6.777,36.646,361,110,F,2010
Rio de Janeiro - RJ,"08:7,01_a_10,00",1,36,71,135,607,660,8.086,3.798,32.713,378,144,F,2010
Rio de Janeiro - RJ,"09:10,01_a_15,00",0,15,17,76,321,127,4.275,1.621,29.291,481,127,F,2010
Rio de Janeiro - RJ,"10:15,01_a_20,00",0,5,8,35,77,41,979,486,13.487,307,106,F,2010
Rio de Janeiro - RJ,"11:mais_de_20,00",0,4,12,36,126,65,970,545,17.851,328,155,F,2010
São Paulo - SP,"00:ate_0,50",10,85,91,1.812,4.304,1.104,3.989,554,3.394,11,3,F,2010
São Paulo - SP,"01:0,51_a_1,00",159,1.457,3.164,4.604,9.842,10.700,45.493,2.839,10.167,110,88,F,2010
São Paulo - SP,"02:1,01_a_1,50",1.059,9.077,18.337,32.800,60.505,41.146,249.670,16.261,26.459,265,82,F,2010
São Paulo - SP,"03:1,51_a_2,00",528,4.446,11.967,22.146,51.729,32.414,260.867,23.976,37.953,327,71,F,2010
São Paulo - SP,"04:2,01_a_3,00",174,2.130,5.969,10.223,24.681,14.427,173.685,35.937,86.260,642,145,F,2010
São Paulo - SP,"05:3,01_a_4,00",24,539,2.116,2.181,7.151,4.279,73.701,21.002,108.708,617,164,F,2010
São Paulo - SP,"06:4,01_a_5,00",7,174,574,824,3.211,2.571,42.121,12.987,91.247,552,171,F,2010
São Paulo - SP,"07:5,01_a_7,00",4,128,335,681,2.741,1.889,39.963,12.512,117.872,949,373,F,2010
São Paulo - SP,"08:7,01_a_10,00",1,48,105,170,925,694,23.618,6.904,84.976,1.150,515,F,2010
São Paulo - SP,"09:10,01_a_15,00",0,24,37,73,255,251,10.133,3.458,62.622,1.241,816,F,2010
São Paulo - SP,"10:15,01_a_20,00",0,3,15,16,75,79,2.557,1.002,25.985,694,842,F,2010
São Paulo - SP,"11:mais_de_20,00",0,3,6,18,63,77,2.379,781,29.521,834,1.597,F,2010
Curitiba - PR,"00:ate_0,50",7,35,72,158,394,124,368,33,208,6,3,F,2010
Curitiba - PR,"01:0,51_a_1,00",40,314,591,1.333,2.616,2.303,3.924,255,937,33,11,F,2010
Curitiba - PR,"02:1,01_a_1,50",334,2.608,4.517,8.933,19.829,12.707,56.877,3.264,3.900,51,26,F,2010
Curitiba - PR,"03:1,51_a_2,00",74,686,1.200,2.433,5.736,4.814,38.923,3.794,7.319,127,27,F,2010
Curitiba - PR,"04:2,01_a_3,00",32,313,515,881,2.533,2.112,31.100,5.707,27.167,536,116,F,2010
Curitiba - PR,"05:3,01_a_4,00",2,128,249,309,812,646,11.102,2.527,27.189,583,90,F,2010
Curitiba - PR,"06:4,01_a_5,00",10,170,245,226,402,333,5.852,1.286,17.642,368,64,F,2010
Curitiba - PR,"07:5,01_a_7,00",3,75,127,162,356,302,5.277,1.207,20.231,496,115,F,2010
Curitiba - PR,"08:7,01_a_10,00",0,14,38,65,138,119,2.296,689,13.473,373,101,F,2010
Curitiba - PR,"09:10,01_a_15,00",2,4,4,13,74,32,866,269,7.821,290,132,F,2010
Curitiba - PR,"10:15,01_a_20,00",0,1,1,2,9,6,145,69,3.753,146,78,F,2010
Curitiba - PR,"11:mais_de_20,00",0,1,0,0,2,1,127,27,4.319,104,28,F,2010
Florianópolis - SC,"00:ate_0,50",1,4,4,31,60,68,72,15,63,3,1,F,2010
Florianópolis - SC,"01:0,51_a_1,00",17,118,145,461,763,550,1.548,187,745,8,5,F,2010
Florianópolis - SC,"02:1,01_a_1,50",62,473,588,1.781,3.671,1.912,11.968,1.224,1.641,11,3,F,2010
Florianópolis - SC,"03:1,51_a_2,00",35,139,315,766,2.065,1.801,13.868,1.541,2.894,18,10,F,2010
Florianópolis - SC,"04:2,01_a_3,00",16,56,130,349,830,557,7.258,1.591,7.336,40,10,F,2010
Florianópolis - SC,"05:3,01_a_4,00",1,22,77,93,155,119,2.320,763,10.623,60,10,F,2010
Florianópolis - SC,"06:4,01_a_5,00",5,6,18,44,87,44,1.075,403,9.798,67,15,F,2010
Florianópolis - SC,"07:5,01_a_7,00",1,18,7,66,131,41,1.216,310,8.495,120,25,F,2010
