;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:0,51 a 1,00;14;172;137;527;1.005;2.034;2.370;139;244;16;8;6.666;2;92;124;349;670;1.683;3.226;246;363;14;6;6.775;16;264;261;876;1.675;3.717;5.596;385;607;30;14;13.441
;02:1,01 a 1,50;318;2.680;1.971;6.895;10.511;9.132;47.609;1.212;981;29;6;81.344;60;1.130;1.393;3.626;7.764;6.189;53.198;2.395;1.948;39;5;77.747;378;3.810;3.364;10.521;18.275;15.321;100.807;3.607;2.929;68;11;159.091
;03:1,51 a 2,00;163;1.967;1.482;4.315;7.256;4.610;39.026;1.380;1.827;35;14;62.075;5;451;365;1.102;1.746;1.356;24.906;1.891;3.019;35;12;34.888;168;2.418;1.847;5.417;9.002;5.966;63.932;3.271;4.846;70;26;96.963
;04:2,01 a 3,00;82;2.316;1.422;3.511;6.944;3.456;39.364;2.105;8.016;80;25;67.321;3;966;482;713;1.506;914;23.712;2.694;16.096;94;28;47.208;85;3.282;1.904;4.224;8.450;4.370;63.076;4.799;24.112;174;53;114.529
;05:3,01 a 4,00;27;590;479;1.222;2.527;1.290;17.745;1.462;3.841;91;11;29.285;1;139;89;150;374;338;6.753;1.400;6.731;81;13;16.069;28;729;568;1.372;2.901;1.628;24.498;2.862;10.572;172;24;45.354
;06:4,01 a 5,00;9;188;161;649;1.431;474;9.260;1.071;3.401;64;15;16.723;1;39;15;33;140;76;3.486;797;5.773;90;20;10.470;10;227;176;682;1.571;550;12.746;1.868;9.174;154;35;27.193
;07:5,01 a 7,00;2;141;102;408;1.080;361;8.363;1.258;4.364;119;31;16.229;0;21;10;32;116;67;3.004;786;5.562;129;36;9.763;2;162;112;440;1.196;428;11.367;2.044;9.926;248;67;25.992
;08:7,01 a 10,00;0;62;57;185;676;219;4.425;913;5.569;129;37;12.272;0;6;9;2;63;38;1.295;396;6.493;157;28;8.487;0;68;66;187;739;257;5.720;1.309;12.062;286;65;20.759
;09:10,01 a 15,00;0;36;11;42;195;104;1.794;478;5.342;141;44;8.187;0;4;3;6;45;12;665;194;3.996;139;41;5.105;0;40;14;48;240;116;2.459;672;9.338;280;85;13.292
;10:15,01 a 20,00;1;10;7;11;85;20;705;161;2.275;53;15;3.343;0;1;0;1;9;8;198;45;1.336;19;11;1.628;1;11;7;12;94;28;903;206;3.611;72;26;4.971
;11:Mais de 20,00;0;9;6;21;31;18;390;111;3.452;138;42;4.218;0;0;0;5;2;2;120;31;1.504;38;21;1.723;0;9;6;26;33;20;510;142;4.956;176;63;5.941
;{ñ class};13;137;80;249;389;171;1.475;38;212;42;12;2.818;1;31;19;92;134;80;914;53;206;30;8;1.568;14;168;99;341;523;251;2.389;91;418;72;20;4.386
140010:Boa Vista - RR;Total;116;819;742;1.911;6.287;1.866;20.893;1.124;8.159;274;49;42.240;11;432;258;1.192;4.368;1.098;20.898;1.472;12.547;289;29;42.594;127;1.251;1.000;3.103;10.655;2.964;41.791;2.596;20.706;563;78;84.834
;00:Até 0,50;0;0;0;18;3;81;27;3;4;0;0;136;0;0;0;11;3;79;13;4;5;0;0;115;0;0;0;29;6;160;40;7;9;0;0;251
;01:0,51 a 1,00;6;59;61;95;382;229;1.329;53;104;4;0;2.322;0;121;89;176;613;293;3.219;111;211;5;0;4.838;6;180;150;271;995;522;4.548;164;315;9;0;7.160
;02:1,01 a 1,50;54;276;173;501;2.617;859;8.412;290;531;13;1;13.727;9;156;100;338;2.258;523;9.020;492;1.060;20;0;13.976;63;432;273;839;4.875;1.382;17.432;782;1.591;33;1;27.703
;03:1,51 a 2,00;39;193;106;310;1.216;338;3.828;213;366;30;1;6.640;1;7;18;50;555;87;2.164;277;549;48;1;3.757;40;200;124;360;1.771;425;5.992;490;915;78;2;10.397
;04:2,01 a 3,00;14;86;161;283;913;210;2.604;182;1.175;21;5;5.654;0;7;29;29;256;53;2.756;237;1.928;24;0;5.319;14;93;190;312;1.169;263;5.360;419;3.103;45;5;10.973
;05:3,01 a 4,00;0;72;107;209;355;75;1.210;113;875;17;3;3.036;0;62;7;218;145;29;918;142;1.420;34;0;2.975;0;134;114;427;500;104;2.128;255;2.295;51;3;6.011
;06:4,01 a 5,00;0;12;53;55;95;32;703;82;971;18;2;2.023;0;2;1;17;36;13;577;77;1.763;20;0;2.506;0;14;54;72;131;45;1.280;159;2.734;38;2;4.529
;07:5,01 a 7,00;0;89;35;350;535;17;1.749;96;1.521;16;0;4.408;0;67;6;296;476;5;1.818;80;3.040;26;3;5.817;0;156;41;646;1.011;22;3.567;176;4.561;42;3;10.225
;08:7,01 a 10,00;0;6;14;44;63;9;542;50;872;66;2;1.668;0;0;2;30;7;4;202;38;1.304;49;0;1.636;0;6;16;74;70;13;744;88;2.176;115;2;3.304
;09:10,01 a 15,00;0;1;10;11;47;3;288;27;796;31;18;1.232;0;1;2;12;10;2;94;10;742;38;15;926;0;2;12;23;57;5;382;37;1.538;69;33;2.158
;10:15,01 a 20,00;0;2;0;6;8;0;72;7;364;13;2;474;0;0;1;7;1;2;43;2;235;11;0;302;0;2;1;13;9;2;115;9;599;24;2;776
;11:Mais de 20,00;0;0;7;8;4;0;53;7;575;44;15;713;0;0;0;1;0;0;24;1;275;14;10;325;0;0;7;9;4;0;77;8;850;58;25;1.038
;{ñ class};3;23;15;21;49;13;76;1;5;1;0;207;1;9;3;7;8;8;50;1;15;0;0;102;4;32;18;28;57;21;126;2;20;1;0;309
150140:Belém - PA;Total;682;5.039;5.781;16.122;35.687;19.010;105.379;5.735;40.498;1.026;252;235.211;60;622;1.398;3.867;12.046;7.832;84.575;6.428;55.618;2.091;194;174.731;742;5.661;7.179;19.989;47.733;26.842;189.954;12.163;96.116;3.117;446;409.942
;00:Até 0,50;0;7;95;101;66;536;257;22;181;3;1;1.269;0;13;135;65;41;525;406;17;125;6;0;1.333;0;20;230;166;107;1.061;663;39;306;9;1;2.602
;01:0,51 a 1,00;34;291;404;501;1.446;1.202;3.748;139;502;18;10;8.295;1;57;172;182;1.165;847;4.141;211;494;23;7;7.300;35;348;576;683;2.611;2.049;7.889;350;996;41;17;15.595
;02:1,01 a 1,50;349;2.438;2.520;7.074;14.977;9.195;40.515;1.259;1.515;44;11;79.897;49;449;919;2.459;7.890;4.724;42.461;1.964;2.902;53;11;63.881;398;2.887;3.439;9.533;22.867;13.919;82.976;3.223;4.417;97;22;143.778
;03:1,51 a 2,00;154;1.222;1.370;3.804;7.828;3.699;21.174;915;1.600;38;12;41.816;3;47;81;500;1.327;797;14.247;1.212;2.401;39;11;20.665;157;1.269;1.451;4.304;9.155;4.496;35.421;2.127;4.001;77;23;62.481
;04:2,01 a 3,00;105;568;651;2.508;6.162;2.547;20.236;1.084;2.940;115;10;36.926;3;23;40;360;843;524;10.648;1.106;4.893;296;15;18.751;108;591;691;2.868;7.005;3.071;30.884;2.190;7.833;411;25;55.677
;05:3,01 a 4,00;17;142;221;705;1.914;749;6.294;559;3.961;74;12;14.648;0;6;13;124;321;147;3.768;530;8.164;151;19;13.243;17;148;234;829;2.235;896;10.062;1.089;12.125;225;31;27.891
;06:4,01 a 5,00;5;60;70;336;704;300;3.316;465;3.741;112;10;9.119;0;3;5;57;130;82;3.187;467;6.635;207;10;10.783;5;63;75;393;834;382;6.503;932;10.376;319;20;19.902
;07:5,01 a 7,00;2;95;53;419;1.169;322;5.121;648;7.094;198;16;15.137;0;10;2;44;150;80;3.326;511;10.883;418;14;15.438;2;105;55;463;1.319;402;8.447;1.159;17.977;616;30;30.575
;08:7,01 a 10,00;0;81;32;248;686;195;2.420;344;7.692;210;17;11.925;0;0;1;16;43;21;1.271;254;9.419;670;13;11.708;0;81;33;264;729;216;3.691;598;17.111;880;30;23.633
;09:10,01 a 15,00;0;6;12;94;228;60;987;156;5.483;81;65;7.172;0;0;0;8;23;5;455;86;5.429;146;43;6.195;0;6;12;102;251;65;1.442;242;10.912;227;108;13.367
;10:15,01 a 20,00;0;2;4;5;32;9;373;53;2.324;63;17;2.882;0;0;0;2;0;2;90;20;1.804;52;11;1.981;0;2;4;7;32;11;463;73;4.128;115;28;4.863
;11:Mais de 20,00;0;1;15;9;15;9;265;69;3.305;65;70;3.823;0;0;0;0;2;0;84;25;2.298;26;40;2.475;0;1;15;9;17;9;349;94;5.603;91;110;6.298
;{ñ class};16;126;334;318;460;187;673;22;160;5;1;2.302;4;14;30;50;111;78;491;25;171;4;0;978;20;140;364;368;571;265;1.164;47;331;9;1;3.280
160030:Macapá - AP;Total;183;1.133;990;2.658;4.560;3.639;34.104;1.296;5.808;115;36;54.522;17;264;221;907;2.618;1.585;29.963;1.314;7.594;105;17;44.605;200;1.397;1.211;3.565;7.178;5.224;64.067;2.610;13.402;220;53;99.127
;00:Até 0,50;0;0;3;29;14;198;106;12;15;1;0;378;0;0;0;10;7;202;88;9;11;1;1;329;0;0;3;39;21;400;194;21;26;2;1;707
;01:0,51 a 1,00;18;121;67;156;315;346;1.531;50;95;5;2;2.706;1;18;28;70;178;223;1.497;66;121;6;0;2.208;19;139;95;226;493;569;3.028;116;216;11;2;4.914
;02:1,01 a 1,50;114;579;523;1.203;2.016;1.781;8.938;272;255;7;6;15.694;9;188;163;567;1.455;864;7.833;409;543;7;1;12.039;123;767;686;1.770;3.471;2.645;16.771;681;798;14;7;27.733
;03:1,51 a 2,00;32;232;230;443;825;618;5.851;214;302;10;2;8.759;3;9;20;49;254;213;4.274;294;545;5;1;5.667;35;241;250;492;1.079;831;10.125;508;847;15;3;14.426
;04:2,01 a 3,00;17;67;102;302;550;496;3.991;231;428;10;3;6.197;4;1;7;11;57;51;2.001;221;655;12;1;3.021;21;68;109;313;607;547;5.992;452;1.083;22;4;9.218
;05:3,01 a 4,00;1;29;20;117;239;92;1.918;122;463;8;1;3.010;0;24;0;76;271;8;1.916;105;632;12;2;3.046;1;53;20;193;510;100;3.834;227;1.095;20;3;6.056
;06:4,01 a 5,00;0;10;12;21;59;48;3.019;127;804;5;1;4.106;0;0;1;5;15;5;2.863;79;1.291;6;0;4.265;0;10;13;26;74;53;5.882;206;2.095;11;1;8.371
;07:5,01 a 7,00;0;77;7;340;436;16;4.565;109;1.113;12;1;6.676;0;24;1;113;340;6;5.366;63;1.799;12;0;7.724;0;101;8;453;776;22;9.931;172;2.912;24;1;14.400
;08:7,01 a 10,00;0;7;7;20;39;10;2.423;89;679;26;1;3.301;0;0;0;2;7;6;3.059;29;794;25;1;3.923;0;7;7;22;46;16;5.482;118;1.473;51;2;7.224
;09:10,01 a 15,00;0;1;4;7;9;11;998;43;733;12;1;1.819;0;0;0;2;10;0;679;22;697;11;3;1.424;0;1;4;9;19;11;1.677;65;1.430;23;4;3.243
;10:15,01 a 20,00;0;1;6;2;23;5;316;16;381;6;4;760;0;0;0;0;6;1;162;8;239;3;0;419;0;1;6;2;29;6;478;24;620;9;4;1.179
;11:Mais de 20,00;0;1;1;4;4;2;380;8;507;10;14;931;0;0;0;0;1;2;188;8;247;2;7;455;0;1;1;4;5;4;568;16;754;12;21;1.386
;{ñ class};1;8;8;14;31;16;68;3;33;3;0;185;0;0;1;2;17;4;37;1;20;3;0;85;1;8;9;16;48;20;105;4;53;6;0;270
172100:Palmas - TO;Total;145;2.335;600;1.891;5.068;3.079;31.783;1.438;12.232;214;59;58.844;7;2.309;108;342;2.177;1.424;28.000;1.508;18.899;167;42;54.983;152;4.644;708;2.233;7.245;4.503;59.783;2.946;31.131;381;101;113.827
;00:Até 0,50;1;1;0;24;5;100;22;3;17;0;0;173;0;1;0;9;13;91;31;3;15;0;0;163;1;2;0;33;18;191;53;6;32;0;0;336
;01:0,51 a 1,00;17;313;51;193;395;429;1.041;46;70;2;0;2.557;0;481;9;58;371;339;1.266;75;86;4;1;2.690;17;794;60;251;766;768;2.307;121;156;6;1;5.247
;02:1,01 a 1,50;65;1.265;215;701;2.015;1.327;8.581;297;234;7;1;14.708;7;1.126;78;235;1.525;776;9.143;456;556;9;2;13.913;72;2.391;293;936;3.540;2.103;17.724;753;790;16;3;28.621
;03:1,51 a 2,00;45;482;166;484;1.332;625;6.313;223;364;2;1;10.037;0;487;9;25;132;136;4.572;284;685;1;0;6.331;45;969;175;509;1.464;761;10.885;507;1.049;3;1;16.368
;04:2,01 a 3,00;13;190;100;314;878;402;5.579;319;867;15;0;8.677;0;200;1;6;60;45;5.117;292;1.602;13;2;7.338;13;390;101;320;938;447;10.696;611;2.469;28;2;16.015
;05:3,01 a 4,00;2;43;30;66;202;102;2.170;158;741;12;2;3.528;0;6;2;5;18;10;1.418;115;1.319;10;0;2.903;2;49;32;71;220;112;3.588;273;2.060;22;2;6.431
;06:4,01 a 5,00;0;8;7;32;54;36;1.282;112;1.751;9;1;3.292;0;2;0;3;14;9;3.179;75;4.365;4;1;7.652;0;10;7;35;68;45;4.461;187;6.116;13;2;10.944
;07:5,01 a 7,00;0;7;9;23;88;19;3.752;134;2.622;22;3;6.679;0;1;5;0;17;6;2.216;88;5.671;18;2;8.024;0;8;14;23;105;25;5.968;222;8.293;40;5;14.703
;08:7,01 a 10,00;0;1;6;6;24;9;1.932;60;1.501;66;2;3.607;0;0;0;0;18;6;590;54;1.931;55;5;2.659;0;1;6;6;42;15;2.522;114;3.432;121;7;6.266
;09:10,01 a 15,00;0;0;0;6;22;9;638;52;1.580;55;17;2.379;0;0;1;0;2;1;281;40;1.369;33;10;1.737;0;0;1;6;24;10;919;92;2.949;88;27;4.116
;10:15,01 a 20,00;0;0;0;0;4;1;89;15;1.007;15;19;1.150;0;0;0;0;0;0;31;10;585;12;10;648;0;0;0;0;4;1;120;25;1.592;27;29;1.798
;11:Mais de 20,00;0;0;2;2;4;3;283;17;1.455;9;13;1.788;0;0;0;0;0;0;81;14;699;8;8;810;0;0;2;2;4;3;364;31;2.154;17;21;2.598
;{ñ class};2;25;14;40;45;17;101;2;23;0;0;269;0;5;3;1;7;5;75;2;16;0;1;115;2;30;17;41;52;22;176;4;39;0;1;384
211130:São Luiz - MA;Total;575;3.764;3.739;8.299;35.995;9.800;103.734;3.570;32.546;502;94;202.618;42;558;933;1.369;19.728;2.792;70.123;4.024;45.588;574;72;145.803;617;4.322;4.672;9.668;55.723;12.592;173.857;7.594;78.134;1.076;166;348.421
;00:Até 0,50;2;56;21;12;28;62;139;10;63;1;0;394;1;2;0;5;12;71;124;8;80;0;0;303;3;58;21;17;40;133;263;18;143;1;0;697
;01:0,51 a 1,00;46;244;244;594;1.071;1.018;4.493;140;366;17;1;8.234;1;78;128;173;463;505;5.016;226;581;14;1;7.186;47;322;372;767;1.534;1.523;9.509;366;947;31;2;15.420
;02:1,01 a 1,50;317;1.471;1.518;3.630;10.102;4.672;44.406;843;1.151;52;2;68.164;31;332;546;964;6.962;1.791;42.560;1.251;2.384;35;1;56.857;348;1.803;2.064;4.594;17.064;6.463;86.966;2.094;3.535;87;3;125.021
;03:1,51 a 2,00;134;973;858;1.841;5.966;1.871;20.660;593;2.012;34;3;34.945;8;85;127;121;3.621;230;9.228;803;3.990;26;0;18.239;142;1.058;985;1.962;9.587;2.101;29.888;1.396;6.002;60;3;53.184
;04:2,01 a 3,00;38;558;571;1.155;6.202;1.342;15.958;701;4.475;65;7;31.072;0;31;45;50;4.778;102;6.267;853;5.234;63;6;17.429;38;589;616;1.205;10.980;1.444;22.225;1.554;9.709;128;13;48.501
;05:3,01 a 4,00;7;155;132;354;2.858;333;6.134;391;8.068;47;10;18.489;0;11;27;10;952;30;2.591;327;14.939;55;12;18.954;7;166;159;364;3.810;363;8.725;718;23.007;102;22;37.443
;06:4,01 a 5,00;2;52;69;141;4.409;124;2.846;265;3.076;35;8;11.027;0;5;21;9;611;10;1.282;194;5.823;52;8;8.015;2;57;90;150;5.020;134;4.128;459;8.899;87;16;19.042
;07:5,01 a 7,00;5;71;45;206;2.295;140;4.251;268;3.920;54;11;11.266;0;5;10;8;668;8;1.868;203;5.284;103;10;8.167;5;76;55;214;2.963;148;6.119;471;9.204;157;21;19.433
;08:7,01 a 10,00;3;57;39;148;889;80;2.400;172;3.136;62;11;6.997;0;1;4;4;496;10;479;90;3.827;86;7;5.004;3;58;43;152;1.385;90;2.879;262;6.963;148;18;12.001
;09:10,01 a 15,00;0;9;32;45;1.194;40;1.000;111;2.879;63;5;5.378;0;0;2;0;692;0;274;50;1.836;72;7;2.933;0;9;34;45;1.886;40;1.274;161;4.715;135;12;8.311
;10:15,01 a 20,00;0;2;7;5;286;6;366;36;1.288;48;23;2.067;0;0;0;0;143;0;50;5;668;57;15;938;0;2;7;5;429;6;416;41;1.956;105;38;3.005
;11:Mais de 20,00;0;1;3;1;377;6;198;22;2.018;23;10;2.659;0;0;0;0;261;0;20;2;866;9;5;1.163;0;1;3;1;638;6;218;24;2.884;32;15;3.822
;{ñ class};21;115;200;167;318;106;883;18;94;1;3;1.926;1;8;23;25;69;35;364;12;76;2;0;615;22;123;223;192;387;141;1.247;30;170;3;3;2.541
221100:Terezina - PI;Total;1.286;12.822;7.727;13.371;18.274;13.471;61.711;7.116;24.348;263;100;160.489;58;1.313;1.528;2.520;4.623;5.235;49.389;12.063;35.161;287;56;112.233;1.344;14.135;9.255;15.891;22.897;18.706;111.100;19.179;59.509;550;156;272.722
;00:Até 0,50;16;46;22;55;64;169;116;31;221;2;1;743;0;10;4;26;28;148;103;33;123;3;1;479;16;56;26;81;92;317;219;64;344;5;2;1.222
;01:0,51 a 1,00;210;1.372;995;1.571;1.307;1.149;2.114;258;648;17;2;9.643;5;72;65;152;236;525;1.712;586;593;8;3;3.957;215;1.444;1.060;1.723;1.543;1.674;3.826;844;1.241;25;5;13.600
;02:1,01 a 1,50;657;5.519;4.480;7.627;10.075;8.108;30.473;3.497;1.697;23;4;72.160;42;936;1.320;2.079;3.405;4.022;29.241;7.095;3.161;22;1;51.324;699;6.455;5.800;9.706;13.480;12.130;59.714;10.592;4.858;45;5;123.484
;03:1,51 a 2,00;182;1.797;1.232;1.962;2.901;2.193;10.310;898;2.792;13;2;24.282;3;144;97;175;407;290;7.484;1.237;4.347;17;2;14.203;185;1.941;1.329;2.137;3.308;2.483;17.794;2.135;7.139;30;4;38.485
;04:2,01 a 3,00;114;2.479;608;1.139;2.177;1.086;7.169;1.132;3.034;23;5;18.966;1;81;19;44;364;144;5.894;1.387;5.040;35;4;13.013;115;2.560;627;1.183;2.541;1.230;13.063;2.519;8.074;58;9;31.979
;05:3,01 a 4,00;47;1.040;115;230;641;320;3.350;620;4.289;23;6;10.681;2;41;5;10;62;38;1.668;1.322;10.568;36;0;13.752;49;1.081;120;240;703;358;5.018;1.942;14.857;59;6;24.433
;06:4,01 a 5,00;43;163;64;111;310;132;1.264;198;1.545;14;5;3.849;0;7;2;10;24;19;745;156;2.984;20;2;3.969;43;170;66;121;334;151;2.009;354;4.529;34;7;7.818
;07:5,01 a 7,00;2;127;43;254;366;96;2.651;188;2.640;28;8;6.403;0;3;4;5;41;8;1.054;120;2.969;41;4;4.249;2;130;47;259;407;104;3.705;308;5.609;69;12;10.652
;08:7,01 a 10,00;0;82;29;192;201;60;2.398;129;2.317;47;9;5.464;1;2;0;2;15;11;849;65;2.179;52;9;3.185;1;84;29;194;216;71;3.247;194;4.496;99;18;8.649
;09:10,01 a 15,00;0;23;11;43;53;34;907;89;2.621;35;11;3.827;0;3;0;1;10;0;324;37;1.901;34;9;2.319;0;26;11;44;63;34;1.231;126;4.522;69;20;6.146
;10:15,01 a 20,00;0;10;0;2;8;9;346;42;1.138;12;8;1.575;0;0;0;0;1;1;75;8;619;7;5;716;0;10;0;2;9;10;421;50;1.757;19;13;2.291
;11:Mais de 20,00;0;1;3;0;1;4;184;11;1.300;19;38;1.561;0;0;0;0;1;0;60;4;602;5;16;688;0;1;3;0;2;4;244;15;1.902;24;54;2.249
;{ñ class};15;163;125;185;170;111;429;23;106;7;1;1.335;4;14;12;16;29;29;180;13;75;7;0;379;19;177;137;201;199;140;609;36;181;14;1;1.714
