;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;08:7,01 a 10,00;0;78;17;76;168;21;478;50;793;0;2;1.683;0;35;10;22;73;14;507;29;1.120;1;0;1.811;0;113;27;98;241;35;985;79;1.913;1;2;3.494
;09:10,01 a 15,00;0;17;8;9;52;15;315;28;736;0;0;1.180;0;22;0;8;48;9;321;16;925;2;0;1.351;0;39;8;17;100;24;636;44;1.661;2;0;2.531
;10:15,01 a 20,00;0;2;1;4;34;4;86;19;468;7;3;628;0;2;0;0;1;0;29;5;275;1;2;315;0;4;1;4;35;4;115;24;743;8;5;943
;11:Mais de 20,00;0;0;0;1;13;3;131;19;698;7;13;885;0;0;0;0;0;1;14;3;357;0;6;381;0;0;0;1;13;4;145;22;1.055;7;19;1.266
;{ñ class};13;38;37;55;67;18;73;2;6;0;0;309;1;16;10;21;10;3;26;2;3;0;0;92;14;54;47;76;77;21;99;4;9;0;0;401
130260:Manaus - AM;Total;756;6.518;6.338;17.379;28.639;19.833;128.561;8.499;26.827;453;161;243.964;160;3.574;3.013;5.504;11.082;9.560;93.253;8.828;35.009;392;100;170.475;916;10.092;9.351;22.883;39.721;29.393;221.814;17.327;61.836;845;261;414.439
;00:Até 0,50;2;7;1;69;29;552;145;16;23;0;0;844;1;5;0;38;19;412;144;8;33;1;0;661;3;12;1;107;48;964;289;24;56;1;0;1.505
;01:0,51 a 1,00;16;134;160;450;675;1.293;1.910;68;303;11;2;5.022;9;75;55;206;362;893;1.938;108;283;9;4;3.942;25;209;215;656;1.037;2.186;3.848;176;586;20;6;8.964
;02:1,01 a 1,50;293;1.481;1.714;5.344;7.937;7.201;27.627;719;564;13;8;52.901;101;1.273;1.174;2.922;6.164;4.849;32.183;1.209;998;22;5;50.900;394;2.754;2.888;8.266;14.101;12.050;59.810;1.928;1.562;35;13;103.801
;03:1,51 a 2,00;209;1.259;1.557;3.926;5.167;4.045;27.335;681;602;22;3;44.806;29;382;779;961;1.469;1.364;18.358;1.068;884;23;3;25.320;238;1.641;2.336;4.887;6.636;5.409;45.693;1.749;1.486;45;6;70.126
;04:2,01 a 3,00;152;1.723;1.753;3.643;6.043;3.767;32.151;1.538;3.842;56;12;54.680;14;1.399;872;997;2.082;1.419;22.274;2.210;7.836;40;12;39.155;166;3.122;2.625;4.640;8.125;5.186;54.425;3.748;11.678;96;24;93.835
;05:3,01 a 4,00;39;1.099;585;1.752;3.014;1.244;14.659;1.226;2.464;37;5;26.124;3;287;86;187;369;277;8.205;1.439;4.537;42;5;15.437;42;1.386;671;1.939;3.383;1.521;22.864;2.665;7.001;79;10;41.561
;06:4,01 a 5,00;6;365;235;1.166;2.686;717;8.486;972;1.950;34;14;16.631;0;58;16;80;242;126;3.340;867;3.477;31;6;8.243;6;423;251;1.246;2.928;843;11.826;1.839;5.427;65;20;24.874
;07:5,01 a 7,00;14;182;150;558;1.425;436;7.640;1.268;3.580;43;21;15.317;0;41;10;42;113;96;3.613;997;5.963;48;21;10.944;14;223;160;600;1.538;532;11.253;2.265;9.543;91;42;26.261
;08:7,01 a 10,00;7;122;81;232;879;293;4.483;949;4.342;51;24;11.463;0;29;9;15;94;44;1.591;526;5.448;55;9;7.820;7;151;90;247;973;337;6.074;1.475;9.790;106;33;19.283
;09:10,01 a 15,00;4;39;18;56;310;135;2.156;577;3.371;68;19;6.753;0;2;1;7;32;21;654;238;2.759;73;13;3.800;4;41;19;63;342;156;2.810;815;6.130;141;32;10.553
;10:15,01 a 20,00;1;20;1;22;140;28;710;238;2.236;36;16;3.448;0;2;0;4;47;10;199;60;1.191;26;5;1.544;1;22;1;26;187;38;909;298;3.427;62;21;4.992
;11:Mais de 20,00;3;28;16;21;131;36;707;229;3.425;65;31;4.692;0;0;1;3;29;9;252;76;1.486;15;11;1.882;3;28;17;24;160;45;959;305;4.911;80;42;6.574
;{ñ class};10;59;67;140;203;86;552;18;125;17;6;1.283;3;21;10;42;60;40;502;22;114;7;6;827;13;80;77;182;263;126;1.054;40;239;24;12;2.110
140010:Boa Vista - RR;Total;145;920;829;2.500;3.737;2.110;9.092;613;2.683;46;29;22.704;60;499;693;1.217;2.322;1.271;8.523;815;3.041;33;7;18.481;205;1.419;1.522;3.717;6.059;3.381;17.615;1.428;5.724;79;36;41.185
;00:Até 0,50;0;1;1;1;1;16;9;2;0;0;0;31;0;0;0;1;0;11;3;0;0;0;0;15;0;1;1;2;1;27;12;2;0;0;0;46
;01:0,51 a 1,00;20;47;185;184;167;91;281;18;23;0;0;1.016;8;30;112;110;250;102;355;43;12;0;0;1.022;28;77;297;294;417;193;636;61;35;0;0;2.038
;02:1,01 a 1,50;74;298;338;765;1.466;804;3.583;121;99;2;0;7.550;42;197;521;374;1.204;549;3.897;219;132;3;0;7.138;116;495;859;1.139;2.670;1.353;7.480;340;231;5;0;14.688
;03:1,51 a 2,00;26;141;117;265;408;408;1.227;55;98;1;0;2.746;5;39;44;56;81;89;808;97;131;0;0;1.350;31;180;161;321;489;497;2.035;152;229;1;0;4.096
;04:2,01 a 3,00;14;170;123;410;537;294;1.084;88;189;3;0;2.912;4;42;7;32;36;113;656;122;341;2;0;1.355;18;212;130;442;573;407;1.740;210;530;5;0;4.267
;05:3,01 a 4,00;3;46;23;105;179;213;474;62;239;2;0;1.346;0;14;4;31;30;205;280;68;248;1;0;881;3;60;27;136;209;418;754;130;487;3;0;2.227
;06:4,01 a 5,00;2;67;12;228;185;188;496;67;156;7;5;1.413;0;74;1;256;167;139;447;93;221;4;1;1.403;2;141;13;484;352;327;943;160;377;11;6;2.816
;07:5,01 a 7,00;0;112;12;420;552;65;1.006;81;316;2;2;2.568;0;92;2;341;527;45;1.514;90;421;4;0;3.036;0;204;14;761;1.079;110;2.520;171;737;6;2;5.604
;08:7,01 a 10,00;0;11;2;70;125;17;400;55;549;7;2;1.238;0;2;0;10;16;10;396;40;884;7;0;1.365;0;13;2;80;141;27;796;95;1.433;14;2;2.603
;09:10,01 a 15,00;0;3;1;12;40;4;217;27;356;6;5;671;0;2;0;2;2;4;71;28;349;7;1;466;0;5;1;14;42;8;288;55;705;13;6;1.137
;10:15,01 a 20,00;0;3;0;5;21;1;106;13;261;8;0;418;0;0;0;0;0;1;12;7;147;5;1;173;0;3;0;5;21;2;118;20;408;13;1;591
;11:Mais de 20,00;0;6;1;12;17;0;177;21;397;7;15;653;0;0;1;0;6;0;65;5;155;0;4;236;0;6;2;12;23;0;242;26;552;7;19;889
;{ñ class};6;15;14;23;39;9;32;3;0;1;0;142;1;7;1;4;3;3;19;3;0;0;0;41;7;22;15;27;42;12;51;6;0;1;0;183
150140:Belém - PA;Total;787;4.863;6.020;18.546;34.270;19.779;74.945;5.492;29.553;550;175;194.980;149;972;863;7.281;11.282;7.959;62.828;5.772;38.780;810;115;136.811;936;5.835;6.883;25.827;45.552;27.738;137.773;11.264;68.333;1.360;290;331.791
;00:Até 0,50;2;9;266;132;76;368;149;18;141;0;0;1.161;0;1;5;75;65;299;206;13;77;1;0;742;2;10;271;207;141;667;355;31;218;1;0;1.903
;01:0,51 a 1,00;63;338;677;903;1.497;1.126;3.108;191;418;10;1;8.332;14;58;61;1.227;988;797;3.754;207;386;8;2;7.502;77;396;738;2.130;2.485;1.923;6.862;398;804;18;3;15.834
;02:1,01 a 1,50;366;2.070;2.037;7.563;12.043;7.336;22.731;791;830;14;11;55.792;109;587;546;4.416;6.564;4.282;25.386;1.217;1.660;29;7;44.803;475;2.657;2.583;11.979;18.607;11.618;48.117;2.008;2.490;43;18;100.595
;03:1,51 a 2,00;224;1.114;1.323;4.490;6.979;3.485;13.647;654;992;17;15;32.940;13;210;140;621;1.471;947;10.360;929;1.831;24;7;16.553;237;1.324;1.463;5.111;8.450;4.432;24.007;1.583;2.823;41;22;49.493
;04:2,01 a 3,00;99;602;769;2.509;5.441;2.872;14.128;1.022;2.618;50;5;30.115;12;40;47;526;1.013;778;9.907;1.256;4.868;180;4;18.631;111;642;816;3.035;6.454;3.650;24.035;2.278;7.486;230;9;48.746
;05:3,01 a 4,00;14;199;225;1.144;3.801;2.750;8.179;686;2.638;37;14;19.687;0;15;19;152;534;508;5.940;855;4.253;59;17;12.352;14;214;244;1.296;4.335;3.258;14.119;1.541;6.891;96;31;32.039
;06:4,01 a 5,00;3;162;112;752;1.784;687;4.611;560;3.248;74;6;11.999;0;13;8;99;238;116;2.844;498;5.164;92;6;9.078;3;175;120;851;2.022;803;7.455;1.058;8.412;166;12;21.077
;07:5,01 a 7,00;2;185;107;473;1.182;444;3.788;627;6.020;69;6;12.903;0;21;5;75;213;118;2.367;397;8.397;139;9;11.741;2;206;112;548;1.395;562;6.155;1.024;14.417;208;15;24.644
;08:7,01 a 10,00;1;59;29;212;730;291;2.228;432;4.546;97;13;8.638;0;2;3;15;57;39;1.115;200;5.746;140;12;7.329;1;61;32;227;787;330;3.343;632;10.292;237;25;15.967
;09:10,01 a 15,00;0;10;9;55;259;193;1.123;279;3.237;73;20;5.258;0;2;0;4;19;15;401;106;2.923;70;18;3.558;0;12;9;59;278;208;1.524;385;6.160;143;38;8.816
;10:15,01 a 20,00;0;2;4;5;61;55;479;111;2.013;40;27;2.797;0;0;0;0;3;0;108;35;1.481;38;15;1.680;0;2;4;5;64;55;587;146;3.494;78;42;4.477
;11:Mais de 20,00;0;0;1;5;21;19;408;94;2.733;55;52;3.388;0;0;0;0;1;0;114;23;1.898;25;18;2.079;0;0;1;5;22;19;522;117;4.631;80;70;5.467
;{ñ class};13;113;461;303;396;153;366;27;119;14;5;1.970;1;23;29;71;116;60;326;36;96;5;0;763;14;136;490;374;512;213;692;63;215;19;5;2.733
160030:Macapá - AP;Total;207;854;1.070;2.648;4.720;2.575;22.237;881;3.264;56;14;38.526;74;272;194;901;2.673;1.133;22.242;970;3.741;55;7;32.262;281;1.126;1.264;3.549;7.393;3.708;44.479;1.851;7.005;111;21;70.788
;00:Até 0,50;0;0;0;9;1;93;18;6;2;0;0;129;0;0;0;6;3;67;26;3;6;0;0;111;0;0;0;15;4;160;44;9;8;0;0;240
;01:0,51 a 1,00;30;51;88;155;264;335;945;43;38;3;0;1.952;8;16;18;54;121;176;937;54;51;4;0;1.439;38;67;106;209;385;511;1.882;97;89;7;0;3.391
;02:1,01 a 1,50;128;361;487;971;1.615;1.035;4.425;173;113;2;0;9.310;58;165;138;494;1.437;666;5.010;289;189;2;1;8.449;186;526;625;1.465;3.052;1.701;9.435;462;302;4;1;17.759
;03:1,51 a 2,00;29;186;266;509;1.037;603;2.614;117;105;6;1;5.473;5;15;27;67;245;134;1.854;190;173;3;0;2.713;34;201;293;576;1.282;737;4.468;307;278;9;1;8.186
;04:2,01 a 3,00;16;97;148;319;758;345;2.576;174;235;6;0;4.674;1;8;4;21;83;53;1.602;180;366;3;2;2.323;17;105;152;340;841;398;4.178;354;601;9;2;6.997
;05:3,01 a 4,00;2;23;35;120;247;77;1.816;116;249;6;0;2.691;0;3;0;7;23;9;1.316;95;328;8;0;1.789;2;26;35;127;270;86;3.132;211;577;14;0;4.480
;06:4,01 a 5,00;0;28;12;144;190;28;1.178;58;232;2;0;1.872;1;28;3;62;290;9;1.529;41;337;4;0;2.304;1;56;15;206;480;37;2.707;99;569;6;0;4.176
;07:5,01 a 7,00;0;88;15;341;441;30;4.725;96;616;1;0;6.353;0;26;1;150;374;8;6.147;62;752;1;0;7.521;0;114;16;491;815;38;10.872;158;1.368;2;0;13.874
;08:7,01 a 10,00;0;15;7;47;89;7;2.132;57;600;6;2;2.962;0;9;3;36;75;4;2.488;41;690;8;2;3.356;0;24;10;83;164;11;4.620;98;1.290;14;4;6.318
;09:10,01 a 15,00;0;0;1;6;15;11;960;25;412;3;1;1.434;0;0;0;0;3;1;974;12;542;3;1;1.536;0;0;1;6;18;12;1.934;37;954;6;2;2.970
;10:15,01 a 20,00;0;1;0;1;3;2;263;10;312;14;2;608;0;0;0;1;1;0;91;1;162;15;1;272;0;1;0;2;4;2;354;11;474;29;3;880
;11:Mais de 20,00;0;0;0;4;30;0;551;5;330;7;8;935;0;0;0;0;8;0;256;1;135;2;0;402;0;0;0;4;38;0;807;6;465;9;8;1.337
;{ñ class};2;4;11;22;30;9;34;1;20;0;0;133;1;2;0;3;10;6;12;1;10;2;0;47;3;6;11;25;40;15;46;2;30;2;0;180
172100:Palmas - TO;Total;112;532;616;3.982;7.330;2.281;22.028;783;10.213;54;17;47.948;22;133;149;3.309;4.821;829;23.221;914;14.882;37;7;48.324;134;665;765;7.291;12.151;3.110;45.249;1.697;25.095;91;24;96.272
;00:Até 0,50;0;0;0;3;4;1;7;2;14;0;0;31;0;0;0;1;1;4;6;2;25;0;0;39;0;0;0;4;5;5;13;4;39;0;0;70
;01:0,51 a 1,00;8;15;19;91;133;99;337;21;72;0;0;795;0;8;11;79;104;80;482;44;160;0;0;968;8;23;30;170;237;179;819;65;232;0;0;1.763
;02:1,01 a 1,50;74;261;260;2.068;3.109;1.122;5.106;117;174;3;0;12.294;20;96;86;3.030;3.151;577;6.213;212;386;2;0;13.773;94;357;346;5.098;6.260;1.699;11.319;329;560;5;0;26.067
;03:1,51 a 2,00;18;115;163;774;1.547;463;3.425;103;194;2;0;6.804;1;14;22;134;576;94;3.926;187;519;1;1;5.475;19;129;185;908;2.123;557;7.351;290;713;3;1;12.279
;04:2,01 a 3,00;6;72;115;620;1.293;356;4.349;169;649;5;1;7.635;0;7;23;37;517;24;5.349;206;1.801;0;0;7.964;6;79;138;657;1.810;380;9.698;375;2.450;5;1;15.599
;05:3,01 a 4,00;1;33;34;195;355;129;2.008;93;1.095;1;0;3.944;0;3;1;7;180;22;1.499;95;2.566;3;0;4.376;1;36;35;202;535;151;3.507;188;3.661;4;0;8.320
;06:4,01 a 5,00;1;14;9;122;501;45;3.586;66;1.106;1;0;5.451;0;3;5;14;128;9;2.273;49;1.231;2;0;3.714;1;17;14;136;629;54;5.859;115;2.337;3;0;9.165
;07:5,01 a 7,00;0;6;6;46;176;33;1.647;68;2.687;2;1;4.672;0;2;1;5;124;10;2.759;53;4.848;3;0;7.805;0;8;7;51;300;43;4.406;121;7.535;5;1;12.477
;08:7,01 a 10,00;0;5;2;33;144;19;895;65;1.514;4;2;2.683;0;0;0;0;34;6;516;39;1.828;4;0;2.427;0;5;2;33;178;25;1.411;104;3.342;8;2;5.110
;09:10,01 a 15,00;0;0;3;2;17;7;234;43;1.134;16;9;1.465;0;0;0;0;3;2;87;23;866;13;6;1.000;0;0;3;2;20;9;321;66;2.000;29;15;2.465
;10:15,01 a 20,00;0;1;0;5;16;2;338;12;776;7;3;1.160;0;0;0;0;0;0;76;2;324;6;0;408;0;1;0;5;16;2;414;14;1.100;13;3;1.568
;11:Mais de 20,00;0;0;0;1;4;0;70;23;783;11;1;893;0;0;0;0;0;0;22;1;313;2;0;338;0;0;0;1;4;0;92;24;1.096;13;1;1.231
;{ñ class};4;10;5;22;31;5;26;1;15;2;0;121;1;0;0;2;3;1;13;1;15;1;0;37;5;10;5;24;34;6;39;2;30;3;0;158
211130:São Luiz - MA;Total;497;5.149;5.522;6.059;15.530;7.091;74.693;3.639;17.662;668;59;136.569;50;1.426;1.903;884;4.961;2.016;53.598;4.983;27.967;856;116;98.760;547;6.575;7.425;6.943;20.491;9.107;128.291;8.622;45.629;1.524;175;235.329
;00:Até 0,50;26;158;42;16;19;52;75;7;45;1;0;441;3;3;3;0;12;32;59;15;48;0;0;175;29;161;45;16;31;84;134;22;93;1;0;616
;01:0,51 a 1,00;31;304;188;244;366;323;1.722;71;194;1;0;3.444;6;27;23;62;154;231;1.774;99;235;3;0;2.614;37;331;211;306;520;554;3.496;170;429;4;0;6.058
;02:1,01 a 1,50;273;2.371;2.183;2.634;6.916;3.481;29.173;670;821;165;1;48.688;35;1.144;1.348;631;3.164;1.383;27.201;1.187;1.567;306;1;37.967;308;3.515;3.531;3.265;10.080;4.864;56.374;1.857;2.388;471;2;86.655
;03:1,51 a 2,00;106;766;745;1.218;2.992;1.230;13.270;410;627;36;0;21.400;4;130;195;70;597;156;7.527;956;2.306;99;0;12.040;110;896;940;1.288;3.589;1.386;20.797;1.366;2.933;135;0;33.440
;04:2,01 a 3,00;29;753;1.277;923;2.498;1.120;11.185;558;1.276;120;13;19.752;1;103;207;54;460;117;9.197;1.480;5.127;88;83;16.917;30;856;1.484;977;2.958;1.237;20.382;2.038;6.403;208;96;36.669
;05:3,01 a 4,00;15;174;235;290;927;319;4.618;452;2.998;49;1;10.078;0;4;43;14;147;36;2.727;495;4.379;59;3;7.907;15;178;278;304;1.074;355;7.345;947;7.377;108;4;17.985
;06:4,01 a 5,00;7;381;570;347;901;294;5.779;465;2.454;105;6;11.309;0;5;26;31;134;19;1.753;254;5.142;96;2;7.462;7;386;596;378;1.035;313;7.532;719;7.596;201;8;18.771
;07:5,01 a 7,00;0;158;152;225;495;124;4.452;418;1.983;35;4;8.046;0;1;22;10;182;15;1.925;219;3.649;51;6;6.080;0;159;174;235;677;139;6.377;637;5.632;86;10;14.126
;08:7,01 a 10,00;0;18;47;47;154;55;2.179;261;1.987;49;12;4.809;0;1;10;0;28;12;649;143;2.416;71;5;3.335;0;19;57;47;182;67;2.828;404;4.403;120;17;8.144
;09:10,01 a 15,00;0;8;21;19;65;15;1.058;167;2.107;49;6;3.515;0;1;11;0;31;0;341;72;1.650;50;7;2.163;0;9;32;19;96;15;1.399;239;3.757;99;13;5.678
;10:15,01 a 20,00;0;5;7;4;35;14;423;72;1.223;33;5;1.821;0;0;5;0;13;0;116;27;539;21;4;725;0;5;12;4;48;14;539;99;1.762;54;9;2.546
;11:Mais de 20,00;0;0;12;4;12;5;388;77;1.872;22;11;2.403;0;0;6;0;3;0;140;30;853;8;5;1.045;0;0;18;4;15;5;528;107;2.725;30;16;3.448
;{ñ class};10;53;43;88;150;59;371;11;75;3;0;863;1;7;4;12;36;15;189;6;56;4;0;330;11;60;47;100;186;74;560;17;131;7;0;1.193
221100:Terezina - PI;Total;1.351;9.988;5.726;8.979;13.952;9.293;36.107;4.804;20.215;112;50;110.577;163;901;1.337;1.814;4.641;3.705;31.914;10.564;28.424;142;28;83.633;1.514;10.889;7.063;10.793;18.593;12.998;68.021;15.368;48.639;254;78;194.210
;00:Até 0,50;48;72;27;41;47;141;78;33;184;0;0;671;4;7;18;41;44;91;92;18;76;0;0;391;52;79;45;82;91;232;170;51;260;0;0;1.062
;01:0,51 a 1,00;183;694;493;861;1.008;785;1.455;180;537;3;0;6.199;12;76;84;214;410;528;1.688;239;495;0;0;3.746;195;770;577;1.075;1.418;1.313;3.143;419;1.032;3;0;9.945
;02:1,01 a 1,50;620;3.877;3.314;5.193;7.187;5.560;15.422;2.256;3.281;7;1;46.718;130;452;924;1.418;3.575;2.669;16.256;3.284;5.196;3;2;33.909;750;4.329;4.238;6.611;10.762;8.229;31.678;5.540;8.477;10;3;80.627
;03:1,51 a 2,00;153;1.050;1.171;1.312;2.104;1.291;6.179;580;1.312;5;0;15.157;8;58;245;67;189;197;4.757;1.023;2.887;3;0;9.434;161;1.108;1.416;1.379;2.293;1.488;10.936;1.603;4.199;8;0;24.591
;04:2,01 a 3,00;75;837;460;809;1.529;923;4.993;691;3.304;7;1;13.629;4;47;46;26;116;110;4.409;2.291;5.630;8;0;12.687;79;884;506;835;1.645;1.033;9.402;2.982;8.934;15;1;26.316
;05:3,01 a 4,00;187;2.562;107;195;1.018;285;2.844;450;2.409;10;4;10.071;2;74;4;13;89;51;1.962;3.310;7.208;20;0;12.733;189;2.636;111;208;1.107;336;4.806;3.760;9.617;30;4;22.804
;06:4,01 a 5,00;30;254;38;263;405;84;1.406;159;1.334;3;3;3.979;1;53;4;6;60;9;1.019;163;2.007;10;2;3.334;31;307;42;269;465;93;2.425;322;3.341;13;5;7.313
;07:5,01 a 7,00;25;452;39;120;369;91;1.226;143;2.591;11;2;5.069;0;106;5;9;99;24;777;101;1.781;14;1;2.917;25;558;44;129;468;115;2.003;244;4.372;25;3;7.986
;08:7,01 a 10,00;2;90;24;90;166;52;1.099;144;1.934;16;6;3.623;0;15;0;4;34;9;533;61;1.227;27;4;1.914;2;105;24;94;200;61;1.632;205;3.161;43;10;5.537
;09:10,01 a 15,00;0;35;12;24;40;32;778;95;1.151;16;2;2.185;0;5;2;0;2;3;270;32;805;34;5;1.158;0;40;14;24;42;35;1.048;127;1.956;50;7;3.343
;10:15,01 a 20,00;0;5;0;1;4;8;311;28;855;10;14;1.236;0;1;0;1;1;0;66;21;477;17;10;594;0;6;0;2;5;8;377;49;1.332;27;24;1.830
;11:Mais de 20,00;0;1;1;0;5;5;207;27;1.224;22;17;1.509;0;0;0;0;1;1;34;8;589;5;4;642;0;1;1;0;6;6;241;35;1.813;27;21;2.151
;{ñ class};28;59;40;70;70;36;109;18;99;2;0;531;2;7;5;15;21;13;51;13;46;1;0;174;30;66;45;85;91;49;160;31;145;3;0;705
230440:Fortaleza - CE;Total;3.088;14.157;11.469;25.995;60.671;27.089;124.610;12.843;39.923;551;120;320.516;294;3.366;4.612;10.411;26.585;15.992;105.484;14.544;58.190;416;65;239.959;3.382;17.523;16.081;36.406;87.256;43.081;230.094;27.387;98.113;967;185;560.475
;00:Até 0,50;46;14;30;85;300;229;498;64;246;0;0;1.512;7;9;62;43;212;200;496;52;187;2;0;1.270;53;23;92;128;512;429;994;116;433;2;0;2.782
