;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
110020:Porto Velho - RO;Total;233;1.504;2.508;5.809;9.534;4.596;37.564;1.631;8.306;167;32;71.884;88;585;987;1.991;3.888;1.997;36.245;1.708;10.827;153;26;58.495;321;2.089;3.495;7.800;13.422;6.593;73.809;3.339;19.133;320;58;130.379
;00:Até 0,50;0;3;4;11;10;24;20;0;3;0;0;75;1;2;1;6;11;17;22;2;11;0;0;73;1;5;5;17;21;41;42;2;14;0;0;148
;01:0,51 a 1,00;27;42;55;194;435;227;2.048;30;69;4;0;3.131;21;29;74;118;388;209;4.143;39;100;3;1;5.125;48;71;129;312;823;436;6.191;69;169;7;1;8.256
;02:1,01 a 1,50;122;345;553;2.169;3.288;1.862;8.326;272;188;7;0;17.132;46;142;281;962;1.598;1.125;10.841;488;300;4;0;15.787;168;487;834;3.131;4.886;2.987;19.167;760;488;11;0;32.919
;03:1,51 a 2,00;48;324;727;1.433;1.986;1.138;5.489;236;359;9;0;11.749;6;45;122;228;445;316;4.820;318;657;8;2;6.967;54;369;849;1.661;2.431;1.454;10.309;554;1.016;17;2;18.716
;04:2,01 a 3,00;23;181;411;809;1.634;680;7.201;396;1.149;20;3;12.507;7;56;261;178;509;169;6.332;368;2.683;24;2;10.589;30;237;672;987;2.143;849;13.533;764;3.832;44;5;23.096
;05:3,01 a 4,00;4;194;365;340;661;289;2.887;206;798;10;0;5.754;3;75;154;84;162;63;5.206;154;1.584;15;1;7.501;7;269;519;424;823;352;8.093;360;2.382;25;1;13.255
;06:4,01 a 5,00;2;59;131;177;348;116;4.138;89;689;12;0;5.761;2;52;68;94;153;33;1.468;90;1.052;18;0;3.030;4;111;199;271;501;149;5.606;179;1.741;30;0;8.791
;07:5,01 a 7,00;1;233;82;373;652;97;3.117;153;868;16;1;5.593;0;161;20;260;491;35;1.525;109;1.198;24;0;3.823;1;394;102;633;1.143;132;4.642;262;2.066;40;1;9.416
