;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
;10:15,01 a 20,00;0;0;3;0;2;1;45;1;542;19;9;622;0;0;0;0;0;0;13;4;320;6;5;348;0;0;3;0;2;1;58;5;862;25;14;970
;11:Mais de 20,00;0;0;3;0;2;0;39;5;633;29;34;745;0;0;0;0;0;0;5;1;253;18;11;288;0;0;3;0;2;0;44;6;886;47;45;1.033
;{ñ class};5;52;23;35;75;65;338;12;31;2;0;638;2;12;11;12;25;12;164;5;46;2;1;292;7;64;34;47;100;77;502;17;77;4;1;930
130260:Manaus - AM;Total;367;4.075;2.592;9.504;20.660;14.380;169.606;9.615;47.180;1.776;802;280.557;144;1.636;1.227;3.856;8.794;7.423;109.694;8.518;64.034;1.557;1.023;207.906;511;5.711;3.819;13.360;29.454;21.803;279.300;18.133;111.214;3.333;1.825;488.463
;00:Até 0,50;1;8;4;121;60;1.327;760;99;54;6;1;2.441;1;4;2;79;26;1.093;703;75;61;8;1;2.053;2;12;6;200;86;2.420;1.463;174;115;14;2;4.494
;01:0,51 a 1,00;17;60;39;213;481;1.056;3.483;171;297;38;10;5.865;11;45;30;193;345;863;3.475;234;481;27;11;5.715;28;105;69;406;826;1.919;6.958;405;778;65;21;11.580
;02:1,01 a 1,50;189;1.292;900;3.926;7.811;5.902;55.151;1.779;2.119;44;12;79.125;105;739;642;2.300;5.282;3.778;51.928;2.775;4.337;76;19;71.981;294;2.031;1.542;6.226;13.093;9.680;107.079;4.554;6.456;120;31;151.106
;03:1,51 a 2,00;85;1.221;770;2.311;4.731;2.821;42.665;1.583;5.446;56;53;61.742;10;574;429;785;2.022;1.026;25.172;1.673;8.865;95;39;40.690;95;1.795;1.199;3.096;6.753;3.847;67.837;3.256;14.311;151;92;102.432
;04:2,01 a 3,00;45;1.077;519;1.647;4.223;1.904;32.958;1.965;7.504;174;65;52.081;3;189;80;327;659;364;16.692;1.699;13.453;184;141;33.791;48;1.266;599;1.974;4.882;2.268;49.650;3.664;20.957;358;206;85.872
;05:3,01 a 4,00;11;185;162;452;1.247;500;10.734;1.166;5.801;173;76;20.507;1;24;12;50;146;114;4.192;767;9.531;176;141;15.154;12;209;174;502;1.393;614;14.926;1.933;15.332;349;217;35.661
