;IBGE Subsetor;Faixa Remun Média (SM)
Sexo Trabalhador; 01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total
01:Masculino;151;2.608;14.270;13.111;22.503;13.379;8.944;10.249;7.340;6.924;3.640;9.434;173;112.726;256;13.101;63.814;46.248;57.311;24.407;13.507;12.388;7.619;4.244;1.782;2.796;502;247.975;667;5.047;33.975;71.499;110.581;66.543;44.445;55.096;43.363;24.109;7.899;8.848;990;473.062;409;1.404;10.228;26.434;56.058;42.975;32.442;38.848;25.818;17.430;6.959;10.034;384;269.423;167;624;5.377;16.043;31.093;18.689;11.572;13.009;10.031;7.679;4.038;6.804;191;125.317;340;1.554;7.525;14.846;42.659;38.707;36.559;42.518;43.521;34.194;14.867;18.488;695;296.473;241;10.360;91.563;105.819;84.811;26.254;10.888;8.803;4.329;2.049;703;1.105;586;347.511;622;4.971;23.183;26.074;49.649;30.188;20.433;25.099;19.715;12.602;5.078;6.854;462;224.930;171;2.658;22.271;30.001;46.685;20.785;11.309;13.947;12.773;8.069;2.419;3.602;303;174.993;453;5.632;38.988;45.384;92.030;50.158;31.648;38.646;31.047;26.849;16.143;28.843;889;406.710;317;7.091;69.847;59.691;65.367;32.581;17.546;14.330;7.626;3.853;1.410;2.014;386;282.059;110;2.041;53.384;32.160;26.530;7.911;3.556;3.717;2.667;1.559;694;727;187;135.243;1.994;36.325;167.684;181.003;214.962;94.876;52.015;49.134;27.154;14.434;5.688;8.397;2.096;855.762;296;2.298;21.331;26.618;38.471;23.635;19.037;31.661;35.793;33.362;14.255;19.511;417;266.685;1.090;17.274;184.156;196.821;310.918;109.030;52.877;45.440;26.522;14.448;5.139;7.128;2.955;973.798;3.660;106.723;726.752;640.181;620.212;200.874;95.072;83.690;45.586;20.394;7.571;11.235;3.513;2.565.463;541;12.320;112.542;124.931;151.308;62.727;33.366;33.014;21.698;14.965;6.813;13.210;885;588.320;79;938;5.935;7.024;12.122;16.281;20.386;43.417;46.377;55.018;36.342;58.247;992;303.158;2.704;43.415;324.187;350.728;537.939;252.162;118.723;102.761;68.416;49.135;25.439;48.143;4.022;1.927.774;1.243;16.884;97.686;148.861;346.411;232.501;156.848;111.351;44.804;31.666;14.751;24.844;2.883;1.230.733;10.319;75.082;376.465;260.571;254.173;92.709;48.164;50.726;35.536;25.868;10.700;14.803;13.548;1.268.664;516;3.861;33.074;33.778;55.402;32.932;19.723;35.473;19.285;12.426;4.716;6.255;337;257.778;3.625;18.124;40.815;38.623;54.845;37.059;26.689;36.514;32.332;29.873;14.648;23.175;1.451;357.773;6.791;119.027;350.668;267.751;455.095;356.180;317.053;427.562;274.530;173.813;94.016;151.771;4.052;2.998.309;1.949;126.171;400.692;220.182;183.595;55.726;23.860;16.294;8.485;5.320;2.212;2.491;2.634;1.049.611;0;3;27;352;177;49;28;28;20;3;7;694;38.711;635.533;3.276.415;2.984.409;3.921.082;1.939.446;1.226.711;1.343.715;902.395;630.303;307.925;488.766;45.533;17.740.944
02:Feminino;34;441;1.926;1.373;1.486;816;540;838;756;929;443;480;18;10.080;69;1.675;7.900;5.967;7.449;2.474;1.422;1.384;975;690;251;253;65;30.574;81;1.296;6.601;12.720;14.968;6.891;3.793;3.954;2.824;1.962;749;595;131;56.565;91;448;3.538;7.642;11.363;6.669;3.757;3.732;2.786;2.160;862;776;50;43.874;38;330;4.780;13.188;22.694;7.337;3.483;3.292;2.143;1.650;711;768;165;60.579;62;293;1.523;3.214;7.845;5.157;3.792;4.051;3.321;2.868;1.626;1.298;106;35.156;101;2.485;21.692;21.781;12.367;2.880;1.326;1.151;674;372;124;194;99;65.246;244;2.586;13.350;13.038;20.468;9.403;5.539;6.305;4.878;3.430;1.525;1.974;159;82.899;56;2.018;19.597;18.339;17.251;5.909;2.797;2.571;1.862;1.352;486;522;182;72.942;114;2.531;27.678;25.956;43.976;15.062;8.141;9.145;7.609;7.213;4.240;5.036;286;156.987;348;17.695;190.705;126.364;79.579;16.573;6.133;4.623;2.790;1.269;361;342;856;447.638;61;2.361;71.943;39.855;16.384;2.845;1.129;1.058;629;239;74;51;252;136.881;716;15.688;101.628;96.679;67.423;16.840;8.546;8.408;5.281;3.037;1.030;1.104;980;327.360;194;1.017;6.813;6.001;6.063;3.532;3.344;6.243;7.227;6.256;2.721;2.893;79;52.383;157;3.059;18.297;12.944;17.265;6.839;3.803;4.340;3.859;2.149;818;794;129;74.453;3.892;91.062;630.177;474.842;345.715;89.412;41.819;35.491;18.606;7.495;2.247;2.692;2.627;1.746.077;555;6.738;53.876;52.991;47.893;18.238;10.178;10.519;7.396;5.336;2.260;3.274;365;219.619;128;1.359;8.673;11.005;19.800;22.655;23.707;49.501;47.374;45.383;22.255;20.673;907;273.420;4.034;43.112;219.428;193.078;180.018;64.797;36.572;38.306;28.959;23.109;10.960;13.878;2.623;858.874;501;5.835;32.405;34.798;60.539;24.861;14.797;17.346;13.728;9.980;4.555;4.702;772;224.819;7.690;97.934;528.841;276.899;201.868;71.026;39.541;44.082;29.665;17.682;6.730;6.319;3.730;1.332.007;1.637;20.418;156.144;149.397;182.776;86.821;48.501;57.734;35.414;19.673;6.232;4.722;1.096;770.565;5.258;38.744;105.439;77.966;96.125;56.958;38.037;49.310;40.392;32.312;14.485;16.331;1.644;573.001;25.793;267.032;705.533;455.874;719.794;445.139;327.501;463.066;276.729;151.843;60.217;85.229;9.914;3.993.664;1.378;26.315;77.815;27.277;13.758;3.522;2.087;2.065;1.478;1.062;294;231;779;158.061;1;3;25;195;23;4;7;1;0;0;0;259;53.232;652.473;3.016.305;2.159.213;2.215.062;992.679;640.289;828.522;547.356;349.451;146.256;175.131;28.014;11.803.983
Total;185;3.049;16.196;14.484;23.989;14.195;9.484;11.087;8.096;7.853;4.083;9.914;191;122.806;325;14.776;71.714;52.215;64.760;26.881;14.929;13.772;8.594;4.934;2.033;3.049;567;278.549;748;6.343;40.576;84.219;125.549;73.434;48.238;59.050;46.187;26.071;8.648;9.443;1.121;529.627;500;1.852;13.766;34.076;67.421;49.644;36.199;42.580;28.604;19.590;7.821;10.810;434;313.297;205;954;10.157;29.231;53.787;26.026;15.055;16.301;12.174;9.329;4.749;7.572;356;185.896;402;1.847;9.048;18.060;50.504;43.864;40.351;46.569;46.842;37.062;16.493;19.786;801;331.629;342;12.845;113.255;127.600;97.178;29.134;12.214;9.954;5.003;2.421;827;1.299;685;412.757;866;7.557;36.533;39.112;70.117;39.591;25.972;31.404;24.593;16.032;6.603;8.828;621;307.829;227;4.676;41.868;48.340;63.936;26.694;14.106;16.518;14.635;9.421;2.905;4.124;485;247.935;567;8.163;66.666;71.340;136.006;65.220;39.789;47.791;38.656;34.062;20.383;33.879;1.175;563.697;665;24.786;260.552;186.055;144.946;49.154;23.679;18.953;10.416;5.122;1.771;2.356;1.242;729.697;171;4.402;125.327;72.015;42.914;10.756;4.685;4.775;3.296;1.798;768;778;439;272.124;2.710;52.013;269.312;277.682;282.385;111.716;60.561;57.542;32.435;17.471;6.718;9.501;3.076;1.183.122;490;3.315;28.144;32.619;44.534;27.167;22.381;37.904;43.020;39.618;16.976;22.404;496;319.068;1.247;20.333;202.453;209.765;328.183;115.869;56.680;49.780;30.381;16.597;5.957;7.922;3.084;1.048.251;7.552;197.785;1.356.929;1.115.023;965.927;290.286;136.891;119.181;64.192;27.889;9.818;13.927;6.140;4.311.540;1.096;19.058;166.418;177.922;199.201;80.965;43.544;43.533;29.094;20.301;9.073;16.484;1.250;807.939;207;2.297;14.608;18.029;31.922;38.936;44.093;92.918;93.751;100.401;58.597;78.920;1.899;576.578;6.738;86.527;543.615;543.806;717.957;316.959;155.295;141.067;97.375;72.244;36.399;62.021;6.645;2.786.648;1.744;22.719;130.091;183.659;406.950;257.362;171.645;128.697;58.532;41.646;19.306;29.546;3.655;1.455.552;18.009;173.016;905.306;537.470;456.041;163.735;87.705;94.808;65.201;43.550;17.430;21.122;17.278;2.600.671;2.153;24.279;189.218;183.175;238.178;119.753;68.224;93.207;54.699;32.099;10.948;10.977;1.433;1.028.343;8.883;56.868;146.254;116.589;150.970;94.017;64.726;85.824;72.724;62.185;29.133;39.506;3.095;930.774;32.584;386.059;1.056.201;723.625;1.174.889;801.319;644.554;890.628;551.259;325.656;154.233;237.000;13.966;6.991.973;3.327;152.486;478.507;247.459;197.353;59.248;25.947;18.359;9.963;6.382;2.506;2.722;3.413;1.207.672;1;6;52;547;200;53;35;29;20;3;7;953;91.943;1.288.006;6.292.720;5.143.622;6.136.144;2.932.125;1.867.000;2.172.237;1.449.751;979.754;454.181;663.897;73.547;29.544.927

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2003
Vínculo Ativo 31/12;igual a;Sim
