;IBGE Subsetor;Faixa Remun Média (SM)
Sexo Trabalhador; 01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;03:Indústria Metalúrgica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;04:Indústria Mecânica;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;05:Elétrico e Comunic;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;06:Material de Transporte;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;07:Madeira e Mobiliário;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;08:Papel e Gráf;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;09:Borracha, Fumo, Couros;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;10:Indústria Química;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;11:Indústria Têxtil;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;12:Indústria Calçados;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;14:Serviço Utilidade Pública;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;15:Construção Civil;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;16:Comércio Varejista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;17:Comércio Atacadista;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;18:Instituição Financeira;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;19:Adm Técnica Profissional;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;20:Transporte e Comunicações;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;21:Aloj Comunic;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;22:Médicos Odontológicos Vet;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;23:Ensino;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;24:Administração Pública;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;25:Agricultura;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total;00:Até 0,50;01:0,51 a 1,00;02:1,01 a 1,50;03:1,51 a 2,00;04:2,01 a 3,00;05:3,01 a 4,00;06:4,01 a 5,00;07:5,01 a 7,00;08:7,01 a 10,00;09:10,01 a 15,00;10:15,01 a 20,00;11:Mais de 20,00;{ñ class};Total
01:Masculino;134;2.199;12.639;12.456;21.460;13.815;9.317;11.307;8.636;6.813;4.504;8.923;1.113;113.316;193;13.379;62.312;42.111;61.349;26.404;14.560;13.769;8.329;4.619;1.830;2.847;427;252.129;567;4.631;29.513;62.661;107.222;65.738;44.037;55.838;44.061;25.072;8.091;9.469;697;457.597;324;1.401;8.215;22.409;52.865;41.707;31.861;39.579;26.597;17.707;7.101;10.582;392;260.740;139;588;4.482;12.627;29.539;20.129;12.369;13.801;11.002;8.383;4.279;7.817;154;125.309;341;1.504;6.477;13.179;38.114;35.717;35.629;39.727;41.139;36.286;14.656;20.293;474;283.536;206;10.853;87.984;103.143;89.299;28.742;12.241;9.692;5.113;2.219;763;1.045;506;351.806;676;5.368;20.108;23.148;47.211;30.928;21.080;27.201;21.707;14.262;5.763;8.598;370;226.420;127;2.198;19.360;26.658;45.354;21.567;11.237;13.021;13.361;8.311;2.512;3.824;251;167.781;367;4.967;32.230;40.586;89.129;51.312;31.820;39.539;31.770;27.092;16.549;28.031;599;393.991;356;6.231;62.299;56.602;68.273;35.699;19.748;16.770;8.734;4.654;1.656;2.273;241;283.536;117;1.728;47.428;32.000;28.345;8.517;3.555;4.019;2.805;1.637;694;839;174;131.858;2.152;34.103;147.624;160.668;208.129;92.841;50.901;51.432;29.079;15.401;5.981;8.427;2.275;809.013;293;2.362;17.579;19.193;39.396;23.214;18.261;31.124;35.571;35.421;15.871;22.042;410;260.737;1.098;18.570;180.254;190.979;339.893;122.711;59.563;52.570;29.870;16.553;6.103;8.267;2.985;1.029.416;3.135;93.999;609.037;569.897;647.401;221.064;101.561;93.309;51.335;22.463;8.640;12.339;2.733;2.436.913;418;10.646;90.713;107.574;150.083;64.752;33.955;34.318;22.424;14.832;7.137;13.643;676;551.171;66;933;4.527;6.142;10.702;16.852;18.535;41.265;44.895;53.532;36.114;68.751;270;302.584;2.476;39.958;259.303;307.355;524.854;273.649;129.296;119.194;75.757;56.672;28.235;57.347;3.902;1.877.998;686;13.643;77.371;124.132;322.452;236.690;173.549;145.001;54.632;37.205;18.041;31.065;2.079;1.236.546;7.725;64.518;327.427;254.646;272.581;102.783;52.587;55.028;37.896;27.387;11.616;16.510;11.962;1.242.666;430;3.289;27.588;29.386;51.371;32.816;20.937;36.735;19.396;14.602;5.219;7.423;228;249.420;4.428;17.995;34.080;33.144;51.211;35.358;25.791;36.215;31.681;29.402;14.714;26.090;1.193;341.302;6.193;103.275;283.856;236.508;390.536;337.652;269.818;463.086;324.075;206.977;93.651;167.491;3.513;2.886.631;1.932;112.465;367.614;210.147;181.803;55.347;23.581;17.609;8.739;5.624;2.399;3.034;2.641;992.935;34.579;570.803;2.820.020;2.697.351;3.868.572;1.996.004;1.225.789;1.461.149;988.604;693.126;322.119;546.970;40.265;17.265.351
02:Feminino;29;398;1.548;1.182;1.373;710;520;842;744;996;504;537;102;9.485;47;1.593;7.148;5.369;7.928;2.904;1.443;1.512;1.077;734;297;267;38;30.357;76;1.093;5.336;10.572;15.816;6.758;3.925;4.219;2.994;2.067;773;618;67;54.314;63;424;2.506;6.345;11.403;6.845;3.828;3.860;2.821;2.220;853;898;70;42.136;145;310;3.514;9.545;22.627;7.832;3.780;3.365;2.132;1.696;823;833;154;56.756;34;263;1.301;2.959;7.257;4.959;3.608;3.635;3.151;2.645;1.672;1.310;84;32.878;86;2.478;19.234;20.270;13.794;3.267;1.450;1.191;720;379;96;112;121;63.198;173;2.236;11.526;11.377;19.404;9.884;6.019;6.763;5.284;4.033;1.771;2.519;131;81.120;60;1.972;16.892;17.083;19.102;6.486;2.941;2.589;1.857;1.279;502;543;135;71.441;82;2.181;23.419;25.107;44.945;16.018;8.543;9.365;7.570;6.940;4.098;4.950;190;153.408;344;16.097;168.625;128.593;97.111;20.050;6.926;5.170;3.125;1.503;397;392;690;449.023;76;2.194;62.923;41.352;17.617;3.030;1.174;1.090;610;298;69;54;192;130.679;614;13.872;85.910;83.833;70.488;17.865;8.490;8.456;5.145;2.858;1.075;1.135;1.007;300.748;216;787;4.969;4.272;6.642;3.297;3.194;6.154;7.231;6.490;2.924;3.355;98;49.629;154;2.934;15.840;12.937;18.998;7.963;4.415;5.113;4.045;2.522;946;942;125;76.934;3.010;76.788;519.010;437.474;380.766;97.488;45.194;38.676;20.796;8.059;2.583;2.864;1.938;1.634.646;353;5.782;42.659;45.794;51.158;18.774;10.049;10.882;7.432;5.029;2.281;3.293;317;203.803;132;1.381;6.203;9.750;16.904;23.001;22.554;45.698;47.731;46.259;24.065;25.783;194;269.655;3.285;41.417;170.481;167.576;184.333;71.520;37.782;42.223;32.049;25.468;12.219;17.113;1.955;807.421;200;5.423;27.929;35.938;63.556;30.686;20.560;20.408;14.641;11.494;4.952;6.136;371;242.294;5.745;89.640;458.068;287.435;223.928;77.774;43.416;46.397;31.875;19.522;7.340;7.231;2.972;1.301.343;1.422;18.927;131.473;138.003;184.150;94.358;53.028;61.013;38.296;23.497;7.171;6.023;868;758.229;5.576;35.836;86.334;71.561;96.668;56.408;39.144;50.901;41.330;33.549;15.487;18.906;1.394;553.094;23.054;226.437;601.962;426.581;663.840;467.906;315.472;479.400;334.662;189.353;66.461;97.567;7.976;3.900.671;1.099;22.281;68.269;27.278;14.800;3.375;1.943;2.237;1.532;1.147;401;339;599;145.300;46.075;572.744;2.543.079;2.028.186;2.254.608;1.059.158;649.398;861.159;618.850;400.037;159.760;203.720;21.788;11.418.562
Total;163;2.597;14.187;13.638;22.833;14.525;9.837;12.149;9.380;7.809;5.008;9.460;1.215;122.801;240;14.972;69.460;47.480;69.277;29.308;16.003;15.281;9.406;5.353;2.127;3.114;465;282.486;643;5.724;34.849;73.233;123.038;72.496;47.962;60.057;47.055;27.139;8.864;10.087;764;511.911;387;1.825;10.721;28.754;64.268;48.552;35.689;43.439;29.418;19.927;7.954;11.480;462;302.876;284;898;7.996;22.172;52.166;27.961;16.149;17.166;13.134;10.079;5.102;8.650;308;182.065;375;1.767;7.778;16.138;45.371;40.676;39.237;43.362;44.290;38.931;16.328;21.603;558;316.414;292;13.331;107.218;123.413;103.093;32.009;13.691;10.883;5.833;2.598;859;1.157;627;415.004;849;7.604;31.634;34.525;66.615;40.812;27.099;33.964;26.991;18.295;7.534;11.117;501;307.540;187;4.170;36.252;43.741;64.456;28.053;14.178;15.610;15.218;9.590;3.014;4.367;386;239.222;449;7.148;55.649;65.693;134.074;67.330;40.363;48.904;39.340;34.032;20.647;32.981;789;547.399;700;22.328;230.924;185.195;165.384;55.749;26.674;21.940;11.859;6.157;2.053;2.665;931;732.559;193;3.922;110.351;73.352;45.962;11.547;4.729;5.109;3.415;1.935;763;893;366;262.537;2.766;47.975;233.534;244.501;278.617;110.706;59.391;59.888;34.224;18.259;7.056;9.562;3.282;1.109.761;509;3.149;22.548;23.465;46.038;26.511;21.455;37.278;42.802;41.911;18.795;25.397;508;310.366;1.252;21.504;196.094;203.916;358.891;130.674;63.978;57.683;33.915;19.075;7.049;9.209;3.110;1.106.350;6.145;170.787;1.128.047;1.007.371;1.028.167;318.552;146.755;131.985;72.131;30.522;11.223;15.203;4.671;4.071.559;771;16.428;133.372;153.368;201.241;83.526;44.004;45.200;29.856;19.861;9.418;16.936;993;754.974;198;2.314;10.730;15.892;27.606;39.853;41.089;86.963;92.626;99.791;60.179;94.534;464;572.239;5.761;81.375;429.784;474.931;709.187;345.169;167.078;161.417;107.806;82.140;40.454;74.460;5.857;2.685.419;886;19.066;105.300;160.070;386.008;267.376;194.109;165.409;69.273;48.699;22.993;37.201;2.450;1.478.840;13.470;154.158;785.495;542.081;496.509;180.557;96.003;101.425;69.771;46.909;18.956;23.741;14.934;2.544.009;1.852;22.216;159.061;167.389;235.521;127.174;73.965;97.748;57.692;38.099;12.390;13.446;1.096;1.007.649;10.004;53.831;120.414;104.705;147.879;91.766;64.935;87.116;73.011;62.951;30.201;44.996;2.587;894.396;29.247;329.712;885.818;663.089;1.054.376;805.558;585.290;942.486;658.737;396.330;160.112;265.058;11.489;6.787.302;3.031;134.746;435.883;237.425;196.603;58.722;25.524;19.846;10.271;6.771;2.800;3.373;3.240;1.138.235;80.654;1.143.547;5.363.099;4.725.537;6.123.180;3.055.162;1.875.187;2.322.308;1.607.454;1.093.163;481.879;750.690;62.053;28.683.913

Seleções vigentes
Variável;Critério;Valor
Ano;igual a;2002
Vínculo Ativo 31/12;igual a;Sim
