sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
m,13.845,9.669,35.347,32.796,9.996,47.820,5.452,17.643,12.550,38.509,7.417,1.936,38.382,33.309,42.366,64.002,45.652,61.166,124.456,79.367,41.119,31.798,61.595,453.647,17.317,"07:5,01 a 7,00",2018
f,2.039,1.598,3.745,4.505,2.305,5.631,1.025,4.765,2.589,13.438,3.930,559,9.777,7.296,6.381,39.301,19.787,70.298,69.906,24.361,34.764,76.822,77.614,521.727,2.739,"07:5,01 a 7,00",2018
m,10.107,2.740,9.247,13.614,4.870,22.098,1.102,6.246,3.378,23.789,1.427,494,10.082,22.381,11.222,16.010,22.192,50.276,70.589,28.234,20.543,18.448,56.836,213.927,4.024,"09:10,01 a 15,00",2018
f,1.915,589,1.503,1.855,882,3.046,197,1.952,859,8.885,720,118,3.010,5.641,2.499,7.629,8.864,35.218,32.050,8.561,18.447,25.240,56.580,176.048,825,"09:10,01 a 15,00",2018
m,656,893,1.826,1.479,657,1.024,856,621,803,1.636,1.753,1.031,6.589,1.512,6.929,20.402,6.076,644,12.957,8.689,25.954,2.875,15.079,7.984,2.794,"00:Até 0,50",2019
f,460,468,905,607,522,410,581,500,587,1.156,2.219,1.050,6.542,1.495,3.974,23.874,5.542,1.141,16.417,7.290,29.905,6.325,19.802,15.406,2.415,"00:Até 0,50",2019
m,8.443,851,2.571,4.324,1.840,6.212,316,1.951,1.144,12.088,473,126,3.908,7.796,2.612,5.202,9.651,24.489,27.600,11.815,5.233,6.340,26.950,95.652,1.238,"10:15,01 a 20,00",2019
f,1.391,184,386,522,286,798,51,724,298,4.038,188,37,1.228,1.734,432,2.047,3.905,12.640,12.419,2.793,3.262,6.826,23.755,61.206,263,"10:15,01 a 20,00",2019
m,15.824,10.192,36.700,33.884,9.720,35.547,7.060,15.797,12.511,37.973,8.723,1.950,44.456,25.596,50.463,78.079,45.262,41.587,109.346,100.134,38.945,27.557,48.495,326.020,23.553,"06:4,01 a 5,00",2019
f,1.611,1.529,3.689,4.231,2.312,4.228,1.212,4.015,2.536,10.990,4.655,618,10.651,5.271,6.087,53.938,18.892,54.352,64.376,18.921,33.772,80.173,66.357,455.900,2.353,"06:4,01 a 5,00",2019
m,44.364,66.764,145.558,116.566,40.487,99.737,66.636,53.207,46.725,147.648,58.601,13.214,276.606,77.167,400.521,629.023,236.233,37.517,732.225,614.371,260.732,104.743,108.179,569.016,237.584,"04:2,01 a 3,00",2019
f,4.237,8.118,18.778,23.226,17.111,17.274,12.158,16.405,14.607,44.017,43.421,5.258,78.339,15.211,28.682,383.445,80.085,71.704,300.464,85.858,219.916,335.157,200.339,1.046.410,19.645,"04:2,01 a 3,00",2019
m,2.656,12.640,8.837,6.272,1.892,3.910,8.610,5.679,4.084,8.170,12.603,10.115,32.575,3.523,40.254,176.347,25.494,4.106,102.085,40.080,119.972,12.778,55.168,141.788,89.000,"01:0,51 a 1,00",2019
f,1.327,2.801,3.694,3.231,1.502,2.002,3.505,4.252,3.316,6.200,21.669,12.499,31.625,2.485,12.575,191.249,20.775,8.372,178.523,27.568,184.469,46.553,98.812,226.617,26.098,"01:0,51 a 1,00",2019
m,28.095,23.462,69.500,63.768,17.946,56.691,18.542,27.023,22.353,71.643,20.739,4.336,104.666,42.835,133.773,188.543,92.053,47.552,228.661,272.831,89.174,57.784,63.259,418.536,70.016,"05:3,01 a 4,00",2019
f,2.547,3.240,7.197,7.957,4.798,7.332,2.932,7.033,5.045,17.514,10.945,1.551,24.294,7.325,12.090,117.986,35.365,71.694,119.488,37.276,73.477,158.426,100.733,675.604,5.485,"05:3,01 a 4,00",2019
m,10.062,4.883,16.372,18.926,6.651,29.890,2.141,10.354,5.978,28.241,2.828,836,19.522,27.398,19.538,28.464,29.953,62.309,92.447,41.532,29.298,19.242,52.006,296.606,6.720,"08:7,01 a 10,00",2019
f,2.399,955,2.411,2.978,1.523,4.001,439,3.115,1.514,12.488,1.510,215,5.717,6.574,4.038,14.943,13.871,54.944,47.353,15.632,25.046,39.326,60.392,295.471,1.235,"08:7,01 a 10,00",2019
m,14.889,84.862,72.785,42.739,18.722,21.888,91.583,39.137,36.407,83.256,120.143,69.624,335.043,42.427,367.224,1.618.677,307.689,19.574,857.112,358.878,667.607,106.163,124.914,519.520,451.603,"02:1,01 a 1,50",2019
f,2.956,13.783,19.207,16.762,17.561,8.378,30.478,26.041,30.290,55.156,271.468,87.043,298.587,14.238,60.586,1.701.874,173.645,50.528,916.024,155.001,1.128.388,438.640,362.673,974.478,124.101,"02:1,01 a 1,50",2019
m,13.310,985,2.502,4.183,1.633,4.616,390,1.997,1.219,18.943,578,137,4.861,7.601,2.603,5.554,12.605,30.375,35.229,14.283,6.173,6.464,17.855,119.959,1.269,"11:Mais de 20,00",2019
f,1.593,129,275,376,215,473,33,611,293,4.850,159,13,1.133,1.368,336,1.828,4.124,11.117,13.148,2.079,2.777,5.552,11.400,70.566,149,"11:Mais de 20,00",2019
m,24.205,72.241,118.853,81.081,36.708,52.051,95.572,45.376,47.349,127.584,66.318,27.512,329.440,53.273,456.379,1.071.266,267.674,19.077,776.121,439.976,412.186,104.229,87.963,436.000,281.234,"03:1,51 a 2,00",2019
f,2.805,10.590,24.101,25.044,27.432,14.743,25.432,22.604,24.759,67.335,101.440,17.748,190.538,9.173,34.983,879.972,118.235,44.634,388.624,98.667,442.773,406.537,180.435,743.659,42.956,"03:1,51 a 2,00",2019
m,13.601,9.180,33.307,30.813,10.305,44.740,5.010,16.424,11.615,37.855,7.011,1.689,37.593,31.743,38.117,60.917,45.059,63.167,119.724,72.309,38.532,29.325,57.693,436.741,16.041,"07:5,01 a 7,00",2019
f,2.402,1.493,3.560,4.453,2.364,5.112,966,4.784,2.481,13.583,3.659,491,9.901,6.979,5.550,37.831,19.895,72.427,68.286,23.627,33.085,70.123,75.397,514.535,2.491,"07:5,01 a 7,00",2019
m,10.773,2.523,8.520,12.621,5.286,19.626,945,5.928,3.195,23.450,1.466,399,10.513,20.260,8.962,15.072,21.939,53.541,66.733,27.189,16.128,14.078,53.224,196.942,3.612,"09:10,01 a 15,00",2019
f,2.184,615,1.451,1.821,998,2.805,162,1.949,878,8.664,656,108,3.303,5.188,1.818,6.673,9.376,36.494,30.211,8.695,13.023,18.725,53.110,166.952,692,"09:10,01 a 15,00",2019
m,542,955,1.595,1.056,770,1.207,829,810,750,1.454,1.455,1.136,5.879,861,5.883,16.671,4.725,623,8.030,7.362,23.701,2.430,14.547,9.137,2.504,"00:Até 0,50",2017
f,313,498,698,519,537,515,582,608,460,1.088,2.228,1.220,5.527,872,3.309,18.454,4.305,1.063,12.706,6.311,26.855,5.192,18.571,15.415,2.387,"00:Até 0,50",2017
m,8.330,921,2.769,4.753,2.040,7.501,338,2.116,1.276,12.813,552,144,3.691,8.742,3.738,5.305,9.745,23.674,27.283,11.941,7.448,7.115,26.214,92.699,1.344,"10:15,01 a 20,00",2017
f,1.368,154,369,526,299,858,39,837,256,4.166,189,34,909,1.901,802,2.112,3.703,12.282,11.130,2.827,5.102,7.922,23.498,58.080,282,"10:15,01 a 20,00",2017
m,15.735,10.857,38.325,35.009,9.731,37.573,7.506,16.876,13.381,39.412,9.379,2.224,50.037,25.761,54.753,82.987,45.849,41.776,110.419,98.386,40.288,27.690,49.654,345.696,25.467,"06:4,01 a 5,00",2017
f,1.616,1.640,3.729,4.363,2.353,4.302,1.318,4.510,2.449,10.652,4.941,697,10.498,5.282,6.470,53.872,18.283,53.861,60.569,19.260,34.944,77.682,64.478,455.196,2.412,"06:4,01 a 5,00",2017
m,41.410,69.801,143.221,112.703,39.366,94.095,69.298,55.722,48.481,146.503,62.057,14.807,280.307,75.411,403.714,663.030,237.861,34.183,758.620,616.038,272.215,101.591,108.315,583.864,243.901,"04:2,01 a 3,00",2017
f,3.908,8.661,19.221,23.422,16.803,16.785,12.392,17.471,14.203,44.453,46.677,5.782,77.846,14.182,28.844,387.144,79.641,63.629,285.124,87.129,222.206,318.022,184.384,1.019.684,19.910,"04:2,01 a 3,00",2017
m,2.635,12.708,7.990,4.907,1.765,3.223,8.489,5.708,4.170,7.692,11.390,4.143,29.125,3.898,36.479,156.432,20.602,3.252,78.904,36.260,111.408,10.273,54.508,198.966,90.601,"01:0,51 a 1,00",2017
f,1.219,2.764,3.338,2.958,1.296,1.504,3.351,4.045,3.326,5.563,21.609,4.766,23.823,2.521,11.507,165.372,17.190,6.358,144.675,24.166,167.412,38.227,97.104,239.247,26.440,"01:0,51 a 1,00",2017
m,28.253,25.211,70.263,64.289,18.032,57.027,19.603,28.101,21.529,75.769,22.022,4.469,113.948,42.103,137.533,201.029,91.973,47.486,231.353,277.795,89.233,56.800,65.462,441.835,72.421,"05:3,01 a 4,00",2017
f,2.390,3.331,7.220,8.087,4.547,6.985,2.992,7.495,5.003,17.351,11.433,1.732,23.687,6.995,12.759,119.518,34.300,69.587,110.833,36.963,75.038,149.258,98.196,678.388,5.690,"05:3,01 a 4,00",2017
m,9.998,5.330,17.877,19.818,6.923,32.141,2.320,10.976,6.297,28.933,3.143,888,19.819,29.502,23.956,28.976,29.517,55.292,88.909,45.190,28.654,21.658,58.015,298.912,7.723,"08:7,01 a 10,00",2017
f,2.272,963,2.532,2.968,1.540,4.258,491,3.318,1.423,12.195,1.689,237,5.326,7.085,4.828,14.971,13.289,48.190,44.632,16.030,23.307,42.476,65.182,289.025,1.519,"08:7,01 a 10,00",2017
m,15.863,92.948,73.474,40.700,19.473,19.738,99.378,41.578,38.544,82.140,128.204,75.019,324.325,36.915,383.165,1.707.766,307.225,18.143,787.806,356.307,713.879,96.428,127.180,581.912,470.208,"02:1,01 a 1,50",2017
f,3.165,15.428,20.215,18.430,20.033,7.987,33.166,28.992,33.675,58.001,306.845,99.431,292.698,14.529,66.601,1.815.016,178.121,44.688,906.372,156.802,1.229.640,431.427,359.758,1.120.422,132.909,"02:1,01 a 1,50",2017
m,12.888,1.057,2.796,4.849,1.835,5.371,433,2.172,1.389,19.415,647,177,4.661,9.564,3.657,5.934,13.313,28.117,34.828,14.866,6.540,7.081,19.593,116.664,1.428,"11:Mais de 20,00",2017
f,1.524,116,283,385,209,502,29,670,241,4.770,174,20,927,1.638,499,1.968,4.013,9.883,11.765,2.086,2.801,6.185,12.272,67.221,136,"11:Mais de 20,00",2017
m,23.422,73.783,116.466,73.631,33.567,47.769,96.643,48.029,47.880,121.612,67.153,29.542,319.240,50.495,480.930,1.081.911,259.125,17.267,728.174,435.587,422.248,98.774,85.983,476.970,289.535,"03:1,51 a 2,00",2017
f,2.576,10.802,25.439,25.831,27.343,13.983,25.036,24.402,25.308,68.577,104.511,20.690,182.152,10.439,36.374,865.053,115.522,38.042,359.416,98.611,429.846,390.969,169.389,736.887,44.444,"03:1,51 a 2,00",2017
m,13.616,9.605,35.326,32.108,10.067,48.318,5.516,17.723,12.643,38.258,7.649,1.945,39.278,33.061,43.692,63.558,44.521,60.931,116.430,76.326,40.358,30.484,61.780,443.478,17.684,"07:5,01 a 7,00",2017
f,1.998,1.507,3.798,4.665,2.412,5.458,1.042,5.082,2.478,13.007,4.031,539,9.813,7.196,6.567,38.311,19.220,68.685,63.635,24.535,34.838,72.023,76.108,499.666,2.747,"07:5,01 a 7,00",2017
m,10.563,2.773,9.342,13.796,5.625,21.954,1.131,6.494,3.546,24.224,1.528,459,10.384,21.999,12.059,15.641,21.846,49.698,64.715,29.747,22.129,17.745,57.219,203.548,4.032,"09:10,01 a 15,00",2017
f,1.997,595,1.476,1.893,1.081,3.152,164,2.236,817,8.856,695,126,3.020,5.469,2.612,7.229,9.269,35.544,28.729,9.131,21.525,22.818,57.331,164.530,855,"09:10,01 a 15,00",2017
m,151,256,667,409,167,340,241,622,171,453,317,110,1.994,296,1.090,3.660,541,79,2.704,1.243,10.319,516,3.625,6.791,1.949,"00:Até 0,50",2003
f,34,69,81,91,38,62,101,244,56,114,348,61,716,194,157,3.892,555,128,4.034,501,7.690,1.637,5.258,25.793,1.378,"00:Até 0,50",2003
m,3.640,1.782,7.899,6.959,4.038,14.867,703,5.078,2.419,16.143,1.410,694,5.688,14.255,5.139,7.571,6.813,36.342,25.439,14.751,10.700,4.716,14.648,94.016,2.212,"10:15,01 a 20,00",2003
f,443,251,749,862,711,1.626,124,1.525,486,4.240,361,74,1.030,2.721,818,2.247,2.260,22.255,10.960,4.555,6.730,6.232,14.485,60.217,294,"10:15,01 a 20,00",2003
m,8.944,13.507,44.445,32.442,11.572,36.559,10.888,20.433,11.309,31.648,17.546,3.556,52.015,19.037,52.877,95.072,33.366,20.386,118.723,156.848,48.164,19.723,26.689,317.053,23.860,"06:4,01 a 5,00",2003
f,540,1.422,3.793,3.757,3.483,3.792,1.326,5.539,2.797,8.141,6.133,1.129,8.546,3.344,3.803,41.819,10.178,23.707,36.572,14.797,39.541,48.501,38.037,327.501,2.087,"06:4,01 a 5,00",2003
m,22.503,57.311,110.581,56.058,31.093,42.659,84.811,49.649,46.685,92.030,65.367,26.530,214.962,38.471,310.918,620.212,151.308,12.122,537.939,346.411,254.173,55.402,54.845,455.095,183.595,"04:2,01 a 3,00",2003
f,1.486,7.449,14.968,11.363,22.694,7.845,12.367,20.468,17.251,43.976,79.579,16.384,67.423,6.063,17.265,345.715,47.893,19.800,180.018,60.539,201.868,182.776,96.125,719.794,13.758,"04:2,01 a 3,00",2003
m,2.608,13.101,5.047,1.404,624,1.554,10.360,4.971,2.658,5.632,7.091,2.041,36.325,2.298,17.274,106.723,12.320,938,43.415,16.884,75.082,3.861,18.124,119.027,126.171,"01:0,51 a 1,00",2003
f,441,1.675,1.296,448,330,293,2.485,2.586,2.018,2.531,17.695,2.361,15.688,1.017,3.059,91.062,6.738,1.359,43.112,5.835,97.934,20.418,38.744,267.032,26.315,"01:0,51 a 1,00",2003
m,13.379,24.407,66.543,42.975,18.689,38.707,26.254,30.188,20.785,50.158,32.581,7.911,94.876,23.635,109.030,200.874,62.727,16.281,252.162,232.501,92.709,32.932,37.059,356.180,55.726,"05:3,01 a 4,00",2003
f,816,2.474,6.891,6.669,7.337,5.157,2.880,9.403,5.909,15.062,16.573,2.845,16.840,3.532,6.839,89.412,18.238,22.655,64.797,24.861,71.026,86.821,56.958,445.139,3.522,"05:3,01 a 4,00",2003
m,7.340,7.619,43.363,25.818,10.031,43.521,4.329,19.715,12.773,31.047,7.626,2.667,27.154,35.793,26.522,45.586,21.698,46.377,68.416,44.804,35.536,19.285,32.332,274.530,8.485,"08:7,01 a 10,00",2003
f,756,975,2.824,2.786,2.143,3.321,674,4.878,1.862,7.609,2.790,629,5.281,7.227,3.859,18.606,7.396,47.374,28.959,13.728,29.665,35.414,40.392,276.729,1.478,"08:7,01 a 10,00",2003
m,14.270,63.814,33.975,10.228,5.377,7.525,91.563,23.183,22.271,38.988,69.847,53.384,167.684,21.331,184.156,726.752,112.542,5.935,324.187,97.686,376.465,33.074,40.815,350.668,400.692,"02:1,01 a 1,50",2003
f,1.926,7.900,6.601,3.538,4.780,1.523,21.692,13.350,19.597,27.678,190.705,71.943,101.628,6.813,18.297,630.177,53.876,8.673,219.428,32.405,528.841,156.144,105.439,705.533,77.815,"02:1,01 a 1,50",2003
m,9.434,2.796,8.848,10.034,6.804,18.488,1.105,6.854,3.602,28.843,2.014,727,8.397,19.511,7.128,11.235,13.210,58.247,48.143,24.844,14.803,6.255,23.175,151.771,2.491,"11:Mais de 20,00",2003
f,480,253,595,776,768,1.298,194,1.974,522,5.036,342,51,1.104,2.893,794,2.692,3.274,20.673,13.878,4.702,6.319,4.722,16.331,85.229,231,"11:Mais de 20,00",2003
m,13.111,46.248,71.499,26.434,16.043,14.846,105.819,26.074,30.001,45.384,59.691,32.160,181.003,26.618,196.821,640.181,124.931,7.024,350.728,148.861,260.571,33.778,38.623,267.751,220.182,"03:1,51 a 2,00",2003
f,1.373,5.967,12.720,7.642,13.188,3.214,21.781,13.038,18.339,25.956,126.364,39.855,96.679,6.001,12.944,474.842,52.991,11.005,193.078,34.798,276.899,149.397,77.966,455.874,27.277,"03:1,51 a 2,00",2003
m,10.249,12.388,55.096,38.848,13.009,42.518,8.803,25.099,13.947,38.646,14.330,3.717,49.134,31.661,45.440,83.690,33.014,43.417,102.761,111.351,50.726,35.473,36.514,427.562,16.294,"07:5,01 a 7,00",2003
f,838,1.384,3.954,3.732,3.292,4.051,1.151,6.305,2.571,9.145,4.623,1.058,8.408,6.243,4.340,35.491,10.519,49.501,38.306,17.346,44.082,57.734,49.310,463.066,2.065,"07:5,01 a 7,00",2003
m,6.924,4.244,24.109,17.430,7.679,34.194,2.049,12.602,8.069,26.849,3.853,1.559,14.434,33.362,14.448,20.394,14.965,55.018,49.135,31.666,25.868,12.426,29.873,173.813,5.320,"09:10,01 a 15,00",2003
f,929,690,1.962,2.160,1.650,2.868,372,3.430,1.352,7.213,1.269,239,3.037,6.256,2.149,7.495,5.336,45.383,23.109,9.980,17.682,19.673,32.312,151.843,1.062,"09:10,01 a 15,00",2003
m,134,193,567,324,139,341,206,676,127,367,356,117,2.152,293,1.098,3.135,418,66,2.476,686,7.725,430,4.428,6.193,1.932,"00:Até 0,50",2002
f,29,47,76,63,145,34,86,173,60,82,344,76,614,216,154,3.010,353,132,3.285,200,5.745,1.422,5.576,23.054,1.099,"00:Até 0,50",2002
m,4.504,1.830,8.091,7.101,4.279,14.656,763,5.763,2.512,16.549,1.656,694,5.981,15.871,6.103,8.640,7.137,36.114,28.235,18.041,11.616,5.219,14.714,93.651,2.399,"10:15,01 a 20,00",2002
f,504,297,773,853,823,1.672,96,1.771,502,4.098,397,69,1.075,2.924,946,2.583,2.281,24.065,12.219,4.952,7.340,7.171,15.487,66.461,401,"10:15,01 a 20,00",2002
m,9.317,14.560,44.037,31.861,12.369,35.629,12.241,21.080,11.237,31.820,19.748,3.555,50.901,18.261,59.563,101.561,33.955,18.535,129.296,173.549,52.587,20.937,25.791,269.818,23.581,"06:4,01 a 5,00",2002
f,520,1.443,3.925,3.828,3.780,3.608,1.450,6.019,2.941,8.543,6.926,1.174,8.490,3.194,4.415,45.194,10.049,22.554,37.782,20.560,43.416,53.028,39.144,315.472,1.943,"06:4,01 a 5,00",2002
m,21.460,61.349,107.222,52.865,29.539,38.114,89.299,47.211,45.354,89.129,68.273,28.345,208.129,39.396,339.893,647.401,150.083,10.702,524.854,322.452,272.581,51.371,51.211,390.536,181.803,"04:2,01 a 3,00",2002
f,1.373,7.928,15.816,11.403,22.627,7.257,13.794,19.404,19.102,44.945,97.111,17.617,70.488,6.642,18.998,380.766,51.158,16.904,184.333,63.556,223.928,184.150,96.668,663.840,14.800,"04:2,01 a 3,00",2002
m,2.199,13.379,4.631,1.401,588,1.504,10.853,5.368,2.198,4.967,6.231,1.728,34.103,2.362,18.570,93.999,10.646,933,39.958,13.643,64.518,3.289,17.995,103.275,112.465,"01:0,51 a 1,00",2002
f,398,1.593,1.093,424,310,263,2.478,2.236,1.972,2.181,16.097,2.194,13.872,787,2.934,76.788,5.782,1.381,41.417,5.423,89.640,18.927,35.836,226.437,22.281,"01:0,51 a 1,00",2002
m,13.815,26.404,65.738,41.707,20.129,35.717,28.742,30.928,21.567,51.312,35.699,8.517,92.841,23.214,122.711,221.064,64.752,16.852,273.649,236.690,102.783,32.816,35.358,337.652,55.347,"05:3,01 a 4,00",2002
f,710,2.904,6.758,6.845,7.832,4.959,3.267,9.884,6.486,16.018,20.050,3.030,17.865,3.297,7.963,97.488,18.774,23.001,71.520,30.686,77.774,94.358,56.408,467.906,3.375,"05:3,01 a 4,00",2002
m,8.636,8.329,44.061,26.597,11.002,41.139,5.113,21.707,13.361,31.770,8.734,2.805,29.079,35.571,29.870,51.335,22.424,44.895,75.757,54.632,37.896,19.396,31.681,324.075,8.739,"08:7,01 a 10,00",2002
f,744,1.077,2.994,2.821,2.132,3.151,720,5.284,1.857,7.570,3.125,610,5.145,7.231,4.045,20.796,7.432,47.731,32.049,14.641,31.875,38.296,41.330,334.662,1.532,"08:7,01 a 10,00",2002
m,12.639,62.312,29.513,8.215,4.482,6.477,87.984,20.108,19.360,32.230,62.299,47.428,147.624,17.579,180.254,609.037,90.713,4.527,259.303,77.371,327.427,27.588,34.080,283.856,367.614,"02:1,01 a 1,50",2002
f,1.548,7.148,5.336,2.506,3.514,1.301,19.234,11.526,16.892,23.419,168.625,62.923,85.910,4.969,15.840,519.010,42.659,6.203,170.481,27.929,458.068,131.473,86.334,601.962,68.269,"02:1,01 a 1,50",2002
m,8.923,2.847,9.469,10.582,7.817,20.293,1.045,8.598,3.824,28.031,2.273,839,8.427,22.042,8.267,12.339,13.643,68.751,57.347,31.065,16.510,7.423,26.090,167.491,3.034,"11:Mais de 20,00",2002
f,537,267,618,898,833,1.310,112,2.519,543,4.950,392,54,1.135,3.355,942,2.864,3.293,25.783,17.113,6.136,7.231,6.023,18.906,97.567,339,"11:Mais de 20,00",2002
m,12.456,42.111,62.661,22.409,12.627,13.179,103.143,23.148,26.658,40.586,56.602,32.000,160.668,19.193,190.979,569.897,107.574,6.142,307.355,124.132,254.646,29.386,33.144,236.508,210.147,"03:1,51 a 2,00",2002
f,1.182,5.369,10.572,6.345,9.545,2.959,20.270,11.377,17.083,25.107,128.593,41.352,83.833,4.272,12.937,437.474,45.794,9.750,167.576,35.938,287.435,138.003,71.561,426.581,27.278,"03:1,51 a 2,00",2002
m,11.307,13.769,55.838,39.579,13.801,39.727,9.692,27.201,13.021,39.539,16.770,4.019,51.432,31.124,52.570,93.309,34.318,41.265,119.194,145.001,55.028,36.735,36.215,463.086,17.609,"07:5,01 a 7,00",2002
f,842,1.512,4.219,3.860,3.365,3.635,1.191,6.763,2.589,9.365,5.170,1.090,8.456,6.154,5.113,38.676,10.882,45.698,42.223,20.408,46.397,61.013,50.901,479.400,2.237,"07:5,01 a 7,00",2002
m,6.813,4.619,25.072,17.707,8.383,36.286,2.219,14.262,8.311,27.092,4.654,1.637,15.401,35.421,16.553,22.463,14.832,53.532,56.672,37.205,27.387,14.602,29.402,206.977,5.624,"09:10,01 a 15,00",2002
f,996,734,2.067,2.220,1.696,2.645,379,4.033,1.279,6.940,1.503,298,2.858,6.490,2.522,8.059,5.029,46.259,25.468,11.494,19.522,23.497,33.549,189.353,1.147,"09:10,01 a 15,00",2002
m,572,753,1.495,1.305,700,1.024,755,829,848,1.396,1.263,1.087,5.176,768,6.828,16.243,4.686,599,7.556,7.049,20.552,2.179,16.029,7.432,2.148,"00:Até 0,50",2016
f,296,479,812,589,507,421,561,573,623,940,1.762,1.166,4.721,615,3.879,17.831,4.148,1.005,11.965,5.967,23.861,4.689,20.273,14.852,2.248,"00:Até 0,50",2016
m,8.873,991,3.107,4.714,2.554,8.674,360,2.312,1.417,14.247,592,167,3.917,9.151,5.213,5.679,9.507,25.082,26.354,12.924,7.294,7.248,25.261,89.466,1.311,"10:15,01 a 20,00",2016
f,1.551,172,396,539,379,1.103,53,863,288,4.536,208,39,1.026,2.010,1.060,2.174,3.674,13.143,11.060,3.075,4.919,8.023,22.338,59.930,229,"10:15,01 a 20,00",2016
m,16.195,11.438,39.281,35.905,10.101,38.549,8.016,17.629,13.780,39.362,9.520,2.354,50.347,26.286,61.069,85.669,46.234,42.637,110.377,101.631,40.948,26.996,49.227,332.777,25.013,"06:4,01 a 5,00",2016
f,1.721,1.711,3.811,4.633,2.385,4.411,1.361,4.837,2.604,10.741,5.142,747,10.486,5.273,7.414,52.957,18.714,56.093,59.816,19.663,35.984,74.572,64.294,448.832,2.353,"06:4,01 a 5,00",2016
m,41.247,73.004,144.209,112.815,39.634,90.781,70.580,56.862,49.165,142.979,62.127,15.309,280.175,72.260,436.519,684.413,240.066,32.330,776.169,620.754,265.394,98.800,108.080,559.733,236.756,"04:2,01 a 3,00",2016
f,4.096,9.445,19.520,23.505,16.153,16.048,12.485,18.023,14.758,43.057,46.769,6.049,75.863,13.946,31.227,393.701,80.087,60.972,283.735,89.795,223.986,305.256,177.949,991.036,19.859,"04:2,01 a 3,00",2016
m,2.550,14.439,8.253,4.842,1.740,3.320,8.981,5.920,4.065,7.428,11.907,5.162,29.151,3.377,40.224,161.763,20.545,3.487,75.068,34.834,108.121,9.788,54.371,180.501,90.071,"01:0,51 a 1,00",2016
f,1.236,2.980,3.410,2.648,1.378,1.387,3.467,4.027,3.290,5.351,24.302,5.888,24.354,2.123,12.803,169.152,18.095,6.663,137.497,25.711,169.033,37.072,96.899,223.935,26.969,"01:0,51 a 1,00",2016
m,29.116,26.048,72.419,66.545,18.308,59.776,20.469,28.795,23.001,74.883,21.826,4.560,113.909,43.882,151.167,208.557,93.750,48.567,237.001,286.000,88.209,55.213,66.041,418.604,72.014,"05:3,01 a 4,00",2016
f,2.484,3.597,7.461,7.984,4.691,7.005,3.165,7.702,5.099,16.747,11.525,1.763,23.164,7.423,14.086,118.482,34.357,69.876,109.428,37.312,75.331,144.449,96.245,673.940,5.557,"05:3,01 a 4,00",2016
m,10.984,5.496,18.543,20.598,7.557,32.922,2.449,11.722,6.719,29.897,3.203,992,20.081,31.319,28.943,29.795,30.140,54.627,87.020,46.742,30.040,21.615,56.005,306.054,7.786,"08:7,01 a 10,00",2016
f,2.412,1.089,2.730,3.308,1.737,4.560,544,3.671,1.576,12.617,1.776,254,5.724,7.398,6.069,15.068,13.255,48.472,44.133,16.328,26.284,41.847,63.156,293.668,1.551,"08:7,01 a 10,00",2016
m,17.031,99.918,74.531,39.645,18.472,20.210,99.195,41.675,38.550,80.873,123.018,74.246,307.364,35.253,403.300,1.685.061,300.262,17.893,758.800,347.801,721.965,91.232,124.535,505.171,462.459,"02:1,01 a 1,50",2016
f,3.486,16.794,21.515,19.641,20.065,7.529,35.190,31.352,34.858,60.226,312.639,103.032,291.536,15.379,66.589,1.831.535,173.563,45.377,894.605,159.499,1.278.354,428.245,358.079,1.033.679,134.327,"02:1,01 a 1,50",2016
m,15.008,1.191,3.210,5.128,2.254,6.254,478,2.640,1.495,21.407,720,172,5.253,10.676,5.049,6.284,13.899,28.849,34.761,15.790,6.731,7.150,18.754,116.750,1.377,"11:Mais de 20,00",2016
f,1.678,125,341,471,259,579,40,772,251,5.088,200,30,1.076,1.765,696,2.108,4.064,10.268,11.684,2.300,2.863,6.186,11.678,67.031,129,"11:Mais de 20,00",2016
m,23.287,77.047,112.511,71.713,32.619,43.508,95.488,47.929,47.811,119.696,65.369,29.739,305.214,50.791,514.565,1.076.793,255.625,16.746,707.485,431.738,416.903,94.956,83.673,436.795,279.991,"03:1,51 a 2,00",2016
f,2.629,11.206,25.970,26.986,27.237,13.720,24.710,24.995,26.143,68.992,104.385,21.355,177.178,10.588,37.820,871.245,114.434,37.911,351.507,99.587,427.350,382.332,162.849,706.734,44.433,"03:1,51 a 2,00",2016
m,14.465,10.304,35.952,33.239,10.863,48.208,5.884,18.656,13.300,39.238,7.898,1.996,39.478,34.361,50.683,66.318,45.184,62.995,117.235,79.880,41.567,28.242,61.691,437.282,17.607,"07:5,01 a 7,00",2016
f,2.118,1.751,3.989,4.849,2.641,5.473,1.142,5.366,2.650,12.968,4.417,574,10.080,7.421,8.075,38.151,19.339,70.278,63.800,25.899,36.346,69.952,75.658,497.130,2.656,"07:5,01 a 7,00",2016
