sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
m,8.517,811,2.416,4.410,1.578,4.722,330,1.807,1.030,11.631,462,134,3.974,7.843,2.220,5.878,9.709,25.961,32.010,10.835,4.586,6.420,25.333,93.283,1.221,"10:15,01 a 20,00",2021
f,1.383,196,376,575,286,620,56,647,302,3.875,168,41,1.339,1.833,445,2.377,4.145,13.333,14.398,2.614,2.880,6.919,21.642,61.712,208,"10:15,01 a 20,00",2021
m,17.616,11.252,37.910,36.605,10.371,33.049,7.344,15.326,12.441,39.689,8.001,1.830,43.683,25.486,56.464,77.003,45.866,41.229,117.851,87.520,32.845,32.808,42.780,344.912,26.407,"06:4,01 a 5,00",2021
f,2.048,1.655,4.010,4.721,2.626,3.841,1.326,4.017,2.555,11.864,4.123,645,10.898,5.610,7.080,54.332,20.378,54.317,72.472,19.850,30.451,98.159,62.499,470.161,2.879,"06:4,01 a 5,00",2021
m,47.258,72.182,153.947,133.186,42.241,99.174,69.178,51.658,46.965,156.629,56.364,11.533,277.615,83.044,430.170,572.968,235.384,41.056,708.408,587.086,208.947,119.879,97.980,593.003,241.510,"04:2,01 a 3,00",2021
f,5.255,9.294,20.654,26.037,17.152,17.688,13.892,15.914,14.549,47.466,40.673,4.657,80.202,15.208,35.315,351.468,83.094,76.988,311.436,79.727,183.113,380.315,192.232,1.063.563,22.122,"04:2,01 a 3,00",2021
m,3.933,23.045,17.580,13.584,4.106,5.862,17.271,8.930,7.882,15.560,27.036,15.017,65.015,8.667,112.150,334.456,55.440,6.697,233.911,82.899,191.600,21.438,70.881,165.028,124.398,"01:0,51 a 1,00",2021
f,2.185,4.332,5.729,5.583,3.014,3.352,6.259,6.661,6.805,11.366,48.388,17.849,66.292,4.755,21.273,374.516,38.701,15.012,331.876,50.268,304.103,85.278,143.251,255.046,40.558,"01:0,51 a 1,00",2021
m,29.813,26.702,72.413,71.297,19.223,57.020,19.848,26.550,21.654,75.448,19.099,3.799,103.100,43.300,150.373,177.185,93.930,47.954,231.051,224.906,71.977,65.290,58.467,442.752,73.019,"05:3,01 a 4,00",2021
f,3.013,3.475,8.052,9.449,5.103,7.112,3.381,6.854,5.051,19.627,10.047,1.469,24.750,7.350,14.746,115.820,37.262,71.527,131.268,35.613,63.808,187.722,96.206,725.498,6.494,"05:3,01 a 4,00",2021
m,11.312,5.245,16.444,19.934,6.682,26.173,2.188,10.016,5.571,28.371,2.592,781,19.552,26.238,20.408,29.798,31.726,67.956,107.747,39.760,20.237,22.369,40.849,285.695,7.225,"08:7,01 a 10,00",2021
f,3.234,1.032,2.458,3.269,1.537,3.537,464,3.010,1.583,12.904,1.416,227,6.264,6.644,4.335,15.862,15.090,58.748,56.507,12.962,15.855,48.483,52.066,287.734,1.408,"08:7,01 a 10,00",2021
m,18.956,99.424,94.850,62.437,25.929,28.577,106.005,41.025,43.602,99.377,121.075,73.063,352.678,52.680,473.497,1.703.809,354.678,21.492,1.025.814,426.524,634.063,127.960,124.436,523.965,441.124,"02:1,01 a 1,50",2021
f,3.861,16.185,25.163,23.918,23.023,12.286,38.936,26.644,34.483,67.130,267.048,88.153,326.867,17.464,76.597,1.759.823,200.174,55.693,1.033.568,170.984,1.025.247,519.856,331.593,966.364,128.254,"02:1,01 a 1,50",2021
m,10.808,944,3.369,4.107,1.444,3.758,399,1.944,1.158,15.035,496,125,4.997,7.900,2.175,6.553,12.306,30.856,40.260,12.506,5.142,5.502,10.844,100.811,1.253,"11:Mais de 20,00",2021
f,1.444,140,397,437,200,455,50,629,318,4.449,136,20,1.234,1.510,301,2.193,4.415,11.791,15.505,2.210,2.350,4.438,6.721,57.083,146,"11:Mais de 20,00",2021
m,26.621,77.154,132.558,96.178,39.487,62.425,96.660,44.812,48.738,133.162,64.781,24.625,317.033,58.781,482.684,982.567,270.241,20.897,821.388,456.976,320.827,116.142,84.958,434.474,281.699,"03:1,51 a 2,00",2021
f,4.384,11.891,26.936,31.186,30.029,18.415,28.789,22.261,25.294,70.071,92.612,14.584,184.780,10.870,39.407,768.527,119.261,48.488,410.168,95.873,331.061,433.342,166.048,759.052,45.636,"03:1,51 a 2,00",2021
m,15.344,10.171,32.169,33.347,10.510,40.908,5.206,15.858,10.772,39.315,6.316,1.554,37.385,30.346,40.517,60.454,45.559,62.795,132.255,68.937,31.780,32.638,50.070,415.232,17.958,"07:5,01 a 7,00",2021
f,2.777,1.617,3.752,4.851,2.377,4.782,1.013,4.672,2.490,14.509,3.318,464,10.168,7.230,6.217,37.459,21.099,71.792,78.386,20.383,29.104,82.145,70.473,508.545,2.787,"07:5,01 a 7,00",2021
m,12.291,2.558,8.233,12.708,4.788,16.818,1.011,6.055,3.014,22.881,1.293,362,10.570,19.948,8.717,17.085,23.263,58.020,80.611,25.658,12.569,17.288,40.780,193.863,3.484,"09:10,01 a 15,00",2021
f,2.766,585,1.365,1.981,866,2.402,188,1.805,815,8.843,607,115,3.519,5.255,1.830,7.515,10.082,38.108,36.301,7.882,8.587,24.267,42.034,156.239,644,"09:10,01 a 15,00",2021
m,759,1.547,3.174,2.376,775,1.250,1.671,1.039,1.314,2.230,2.228,1.192,10.279,1.634,12.899,34.623,8.958,830,25.889,12.273,29.350,4.004,17.654,9.501,6.296,"00:Até 0,50",2020
f,430,694,1.347,856,694,647,823,713,797,1.610,2.919,1.244,9.724,1.376,4.075,39.153,6.956,1.546,30.256,7.367,38.302,11.058,24.314,17.536,3.684,"00:Até 0,50",2020
m,8.248,725,2.197,3.861,1.500,4.766,307,1.750,990,11.291,405,99,3.940,7.721,2.349,4.922,9.268,23.054,27.493,10.707,4.628,6.213,23.378,101.197,1.480,"10:15,01 a 20,00",2020
f,1.335,179,326,514,274,683,33,651,259,3.940,159,33,1.252,1.719,430,1.837,3.802,11.937,12.261,2.516,2.736,6.582,20.492,62.282,289,"10:15,01 a 20,00",2020
m,15.961,9.823,33.683,31.290,9.408,33.221,6.136,14.638,11.236,37.149,6.842,1.418,42.925,25.115,47.853,71.067,44.190,38.230,106.317,79.306,29.658,29.866,42.619,336.712,23.972,"06:4,01 a 5,00",2020
f,1.813,1.463,3.328,4.108,2.332,3.958,1.096,3.745,2.314,10.997,3.401,467,10.205,5.231,5.838,48.481,18.595,48.985,62.084,18.358,28.427,84.728,61.234,464.123,2.559,"06:4,01 a 5,00",2020
m,44.273,64.283,137.550,114.970,39.037,94.315,59.853,47.485,42.288,146.565,47.884,8.673,264.852,79.217,379.324,527.966,217.250,35.332,663.698,536.238,186.227,111.006,88.732,596.997,227.464,"04:2,01 a 3,00",2020
f,4.420,7.784,17.480,22.032,15.665,15.268,11.402,13.973,12.071,43.060,31.108,3.389,72.755,15.540,29.049,305.850,73.875,67.953,272.583,72.451,154.756,346.274,156.157,1.014.539,19.374,"04:2,01 a 3,00",2020
m,4.168,24.075,20.835,14.106,4.962,7.313,21.125,13.312,11.175,18.283,40.289,33.348,75.667,6.255,111.431,409.556,63.023,6.129,242.353,112.021,249.077,23.157,90.035,105.563,118.061,"01:0,51 a 1,00",2020
f,1.700,4.289,6.544,5.323,3.591,3.207,7.453,9.603,8.782,12.966,79.052,38.650,72.522,3.193,21.854,477.055,44.236,13.836,347.537,57.712,388.972,102.715,228.946,184.455,35.463,"01:0,51 a 1,00",2020
m,27.541,22.342,64.371,60.128,17.086,53.989,16.688,24.805,20.414,70.051,16.052,2.982,100.955,42.684,126.620,166.265,86.959,42.629,212.312,197.208,63.309,59.298,56.777,438.499,68.687,"05:3,01 a 4,00",2020
f,2.658,2.973,6.848,7.786,4.561,6.560,2.687,6.225,4.302,17.488,8.288,1.153,22.721,7.232,12.266,104.156,33.775,59.153,112.399,32.733,58.848,166.493,90.350,684.959,5.727,"05:3,01 a 4,00",2020
m,10.376,4.599,14.656,17.631,6.241,25.604,1.930,9.796,5.015,27.548,2.278,644,19.201,26.487,17.995,26.687,29.708,58.923,92.780,38.079,19.969,20.381,43.670,304.592,7.033,"08:7,01 a 10,00",2020
f,2.728,906,2.203,2.926,1.427,3.818,391,2.969,1.374,12.168,1.180,189,5.813,6.500,3.871,13.183,13.666,49.724,47.199,12.359,15.657,41.056,54.022,295.116,1.437,"08:7,01 a 10,00",2020
m,17.412,91.329,93.505,61.135,28.445,32.781,103.421,41.858,42.369,102.778,110.456,52.557,356.250,48.077,444.864,1.604.198,330.100,19.668,931.595,424.520,586.710,118.562,115.330,483.063,433.617,"02:1,01 a 1,50",2020
f,3.389,14.822,23.859,21.564,23.978,12.306,35.712,25.538,32.171,66.666,225.882,56.596,295.590,14.631,63.328,1.606.717,177.291,50.594,894.255,151.669,900.456,466.356,277.461,876.628,115.886,"02:1,01 a 1,50",2020
m,10.752,896,3.240,3.733,1.389,3.953,368,1.832,1.061,15.495,452,117,4.865,7.719,2.132,5.280,11.753,28.143,34.569,11.554,5.428,5.626,13.680,113.600,1.284,"11:Mais de 20,00",2020
f,1.391,124,344,352,184,440,39,584,257,4.424,118,13,1.160,1.429,298,1.719,4.046,10.570,12.990,1.956,2.394,4.651,8.567,63.076,151,"11:Mais de 20,00",2020
m,24.733,69.704,118.735,84.809,36.541,62.166,88.172,40.497,43.368,126.844,57.090,17.736,307.258,54.100,433.946,904.837,247.612,19.305,756.375,450.812,291.140,106.834,79.237,405.206,270.348,"03:1,51 a 2,00",2020
f,3.508,9.772,22.247,24.664,25.878,15.882,23.564,18.357,20.009,63.006,70.570,8.485,165.357,8.796,33.171,664.256,102.944,44.127,355.270,83.664,291.720,395.112,156.226,718.767,40.522,"03:1,51 a 2,00",2020
m,13.909,8.640,28.664,29.012,9.814,39.546,4.367,14.981,9.300,37.283,5.252,1.325,36.597,30.613,34.608,55.242,42.994,57.163,117.342,64.654,29.850,32.312,51.299,429.779,16.410,"07:5,01 a 7,00",2020
f,2.502,1.419,3.346,4.231,2.271,4.753,834,4.344,2.233,13.772,2.793,355,9.575,6.935,5.274,32.738,19.140,63.123,65.492,19.264,26.378,73.481,68.955,508.032,2.715,"07:5,01 a 7,00",2020
m,12.042,2.284,7.421,11.525,4.674,15.989,871,5.837,2.734,21.688,1.181,302,10.296,20.030,8.051,14.495,22.239,50.452,67.771,25.376,12.198,13.770,42.053,216.653,3.861,"09:10,01 a 15,00",2020
f,2.436,526,1.202,1.685,842,2.391,153,1.749,764,8.158,509,100,3.287,5.239,1.684,5.838,9.535,32.953,30.012,7.739,8.519,18.559,43.346,166.424,774,"09:10,01 a 15,00",2020
m,309,396,957,718,277,496,384,634,354,668,645,160,2.521,402,3.506,7.242,1.297,214,4.416,2.685,13.614,623,8.943,8.847,2.469,"00:Até 0,50",2008
f,128,154,407,284,135,145,237,403,194,384,1.051,148,1.575,174,924,8.659,1.150,386,8.064,1.589,13.231,1.981,11.441,24.251,1.815,"00:Até 0,50",2008
m,10.196,1.272,6.423,7.587,4.008,16.305,592,3.926,2.025,14.997,960,276,5.232,11.009,8.443,6.973,8.454,29.158,24.276,15.159,8.315,4.649,25.539,84.806,1.375,"10:15,01 a 20,00",2008
f,2.392,214,772,969,655,1.915,69,1.367,455,4.224,278,19,1.169,2.204,1.203,2.278,2.937,15.948,10.516,4.074,4.953,4.781,21.793,59.261,227,"10:15,01 a 20,00",2008
m,15.939,11.453,54.415,45.102,12.862,54.201,8.759,20.114,12.811,33.134,13.317,2.640,53.804,23.398,72.023,87.101,38.273,34.166,94.513,105.694,39.027,21.559,37.231,316.328,21.299,"06:4,01 a 5,00",2008
f,1.323,1.347,4.299,4.535,3.195,4.970,1.224,5.533,2.630,8.175,4.779,796,9.105,4.560,5.820,38.532,12.526,42.985,41.657,16.588,34.663,51.692,48.261,401.626,2.036,"06:4,01 a 5,00",2008
m,28.786,62.995,163.369,103.931,46.867,91.051,72.465,60.842,51.248,109.199,72.018,18.696,282.906,45.334,443.692,587.744,179.359,26.646,598.923,470.447,218.692,68.403,75.535,543.979,199.794,"04:2,01 a 3,00",2008
