capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
palmas___to,"00:ate_0,50",5,265,327,54,76,77,25,0,F,2022
palmas___to,"01:0,51_a_1,00",1,135,1525,879,2083,2253,1594,52,F,2022
palmas___to,"02:1,01_a_1,50",0,51,4565,3637,5694,3913,1715,94,F,2022
palmas___to,"03:1,51_a_2,00",0,3,940,1260,2347,1786,811,39,F,2022
palmas___to,"04:2,01_a_3,00",0,0,641,1709,3696,3342,1992,90,F,2022
palmas___to,"05:3,01_a_4,00",0,1,220,1008,3055,2961,1454,55,F,2022
palmas___to,"06:4,01_a_5,00",0,0,30,215,1228,2052,1400,67,F,2022
palmas___to,"07:5,01_a_7,00",0,1,38,168,1348,2237,1605,87,F,2022
palmas___to,"08:7,01_a_10,00",0,0,27,89,720,1362,681,32,F,2022
palmas___to,"09:10,01_a_15,00",0,0,18,41,425,986,687,43,F,2022
palmas___to,"10:15,01_a_20,00",0,0,12,17,141,369,343,13,F,2022
palmas___to,"11:mais_de_20,00",0,0,9,24,127,302,397,32,F,2022
sao_luiz___ma,"00:ate_0,50",5,57,601,159,264,151,55,5,F,2022
sao_luiz___ma,"01:0,51_a_1,00",1,92,3017,1780,2880,2045,1189,86,F,2022
sao_luiz___ma,"02:1,01_a_1,50",1,8,7685,9918,20070,16145,9753,925,F,2022
sao_luiz___ma,"03:1,51_a_2,00",0,1,1520,3290,8466,6508,4681,736,F,2022
sao_luiz___ma,"04:2,01_a_3,00",0,0,700,2801,7542,5531,4754,978,F,2022
sao_luiz___ma,"05:3,01_a_4,00",0,0,206,1206,4183,4632,4118,870,F,2022
sao_luiz___ma,"06:4,01_a_5,00",0,0,95,582,2118,1959,4860,1406,F,2022
sao_luiz___ma,"07:5,01_a_7,00",0,0,109,372,2314,2221,2037,374,F,2022
sao_luiz___ma,"08:7,01_a_10,00",0,0,83,284,1124,1301,1790,460,F,2022
sao_luiz___ma,"09:10,01_a_15,00",0,0,79,155,722,725,684,260,F,2022
sao_luiz___ma,"10:15,01_a_20,00",0,0,51,93,387,382,367,78,F,2022
sao_luiz___ma,"11:mais_de_20,00",0,0,15,102,392,409,381,98,F,2022
terezina___pi,"00:ate_0,50",4,248,786,104,187,128,68,5,F,2022
terezina___pi,"01:0,51_a_1,00",6,97,2529,1667,2258,1458,659,38,F,2022
terezina___pi,"02:1,01_a_1,50",0,2,6191,7620,14979,11802,7348,651,F,2022
terezina___pi,"03:1,51_a_2,00",0,2,637,1672,4209,3276,2824,474,F,2022
terezina___pi,"04:2,01_a_3,00",0,1,275,1106,4005,3282,3296,779,F,2022
terezina___pi,"05:3,01_a_4,00",0,2,106,598,2600,3719,3697,532,F,2022
terezina___pi,"06:4,01_a_5,00",0,1,62,271,1079,1114,1279,270,F,2022
terezina___pi,"07:5,01_a_7,00",0,0,74,204,1668,1507,1229,271,F,2022
terezina___pi,"08:7,01_a_10,00",0,0,181,251,1126,1109,1137,259,F,2022
terezina___pi,"09:10,01_a_15,00",0,0,141,216,835,936,956,219,F,2022
terezina___pi,"10:15,01_a_20,00",0,0,22,63,204,257,435,121,F,2022
terezina___pi,"11:mais_de_20,00",0,0,21,75,252,316,295,81,F,2022
fortaleza___ce,"00:ate_0,50",3,152,1878,600,1260,848,386,27,F,2022
fortaleza___ce,"01:0,51_a_1,00",3,182,9435,5493,8375,5550,3207,989,F,2022
