;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;6;283;7.837;9.938;16.896;15.387;8.348;619;1;59.315;3;177;5.276;6.840;14.585;16.215;9.124;422;0;52.642;9;460;13.113;16.778;31.481;31.602;17.472;1.041;1;111.957
;00:Até 0,50;2;34;15;7;14;9;7;1;0;89;0;23;14;8;18;14;4;0;0;81;2;57;29;15;32;23;11;1;0;170
;01:0,51 a 1,00;4;113;371;209;293;201;128;15;0;1.334;0;103;240;153;239;200;124;10;0;1.069;4;216;611;362;532;401;252;25;0;2.403
;02:1,01 a 1,50;0;124;3.938;2.954;3.525;2.089;1.228;118;0;13.976;2;45;2.931;2.453;3.916;3.280;2.107;105;0;14.839;2;169;6.869;5.407;7.441;5.369;3.335;223;0;28.815
;03:1,51 a 2,00;0;9;1.788;2.299;3.222;1.899;1.063;114;0;10.394;0;4;977;1.152;1.916;1.756;1.076;62;0;6.943;0;13;2.765;3.451;5.138;3.655;2.139;176;0;17.337
;04:2,01 a 3,00;0;2;878;1.490;2.768;2.011;1.000;83;1;8.233;1;1;558;1.019;2.312;2.200;1.279;42;0;7.412;1;3;1.436;2.509;5.080;4.211;2.279;125;1;15.645
;05:3,01 a 4,00;0;0;456;1.191;1.891;1.246;575;32;0;5.391;0;0;283;1.021;3.069;2.603;979;30;0;7.985;0;0;739;2.212;4.960;3.849;1.554;62;0;13.376
;06:4,01 a 5,00;0;0;149;892;1.297;1.143;700;70;0;4.251;0;0;117;473;1.394;2.191;1.222;62;0;5.459;0;0;266;1.365;2.691;3.334;1.922;132;0;9.710
;07:5,01 a 7,00;0;0;100;287;1.659;2.567;1.113;84;0;5.810;0;0;73;216;544;1.380;1.092;78;0;3.383;0;0;173;503;2.203;3.947;2.205;162;0;9.193
