;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;25;620;11.428;14.413;29.659;18.750;16.794;1.779;5;93.473;31;492;8.444;10.844;23.929;18.971;16.826;1.528;1;81.066;56;1.112;19.872;25.257;53.588;37.721;33.620;3.307;6;174.539
;00:Até 0,50;15;283;71;15;37;19;45;9;1;495;21;234;76;21;46;38;42;2;1;481;36;517;147;36;83;57;87;11;2;976
;01:0,51 a 1,00;10;209;365;184;344;214;178;14;1;1.519;10;179;409;224;425;284;174;13;0;1.718;20;388;774;408;769;498;352;27;1;3.237
;02:1,01 a 1,50;0;115;5.035;2.935;4.335;2.574;1.901;287;1;17.183;0;73;4.769;3.717;6.193;4.395;3.410;428;0;22.985;0;188;9.804;6.652;10.528;6.969;5.311;715;1;40.168
;03:1,51 a 2,00;0;6;2.883;3.080;5.224;2.922;2.148;253;0;16.516;0;6;1.848;2.273;4.440;2.883;2.317;270;0;14.037;0;12;4.731;5.353;9.664;5.805;4.465;523;0;30.553
;04:2,01 a 3,00;0;5;1.948;3.514;7.364;4.181;3.014;298;1;20.325;0;0;788;2.023;5.113;3.671;2.935;346;0;14.876;0;5;2.736;5.537;12.477;7.852;5.949;644;1;35.201
;05:3,01 a 4,00;0;1;516;1.320;2.947;2.356;1.975;155;1;9.271;0;0;227;976;3.262;4.167;3.301;160;0;12.093;0;1;743;2.296;6.209;6.523;5.276;315;1;21.364
;06:4,01 a 5,00;0;0;247;1.570;4.058;1.407;922;81;0;8.285;0;0;124;620;1.395;909;857;78;0;3.983;0;0;371;2.190;5.453;2.316;1.779;159;0;12.268
;07:5,01 a 7,00;0;0;183;745;2.058;1.894;2.028;255;0;7.163;0;0;114;474;1.193;911;1.507;129;0;4.328;0;0;297;1.219;3.251;2.805;3.535;384;0;11.491
;08:7,01 a 10,00;0;0;51;453;1.190;1.137;1.632;156;0;4.619;0;0;40;255;759;675;867;30;0;2.626;0;0;91;708;1.949;1.812;2.499;186;0;7.245
;09:10,01 a 15,00;0;0;30;287;885;794;955;86;0;3.037;0;0;18;134;552;465;674;38;0;1.881;0;0;48;421;1.437;1.259;1.629;124;0;4.918
;10:15,01 a 20,00;0;0;22;88;412;490;684;44;0;1.740;0;0;10;41;208;195;323;7;0;784;0;0;32;129;620;685;1.007;51;0;2.524
;11:Mais de 20,00;0;0;20;73;442;430;821;69;0;1.855;0;0;9;53;174;198;261;10;0;705;0;0;29;126;616;628;1.082;79;0;2.560
;{ñ class};0;1;57;149;363;332;491;72;0;1.465;0;0;12;33;169;180;158;17;0;569;0;1;69;182;532;512;649;89;0;2.034
120040:Rio Branco - AC;Total;12;326;7.583;8.706;17.931;11.385;8.537;944;1;55.425;11;248;5.360;6.525;15.104;12.506;9.301;772;0;49.827;23;574;12.943;15.231;33.035;23.891;17.838;1.716;1;105.252
;00:Até 0,50;5;163;86;2;12;2;0;1;0;271;5;119;80;8;5;10;0;0;0;227;10;282;166;10;17;12;0;1;0;498
;01:0,51 a 1,00;7;113;513;236;346;163;87;8;0;1.473;6;106;521;262;353;176;53;1;0;1.478;13;219;1.034;498;699;339;140;9;0;2.951
;02:1,01 a 1,50;0;45;4.374;2.996;4.205;2.073;1.137;99;0;14.929;0;19;3.267;2.711;4.621;2.646;1.138;62;0;14.464;0;64;7.641;5.707;8.826;4.719;2.275;161;0;29.393
;03:1,51 a 2,00;0;2;1.408;1.874;3.330;1.703;1.055;129;1;9.502;0;2;769;1.039;2.110;1.342;1.356;204;0;6.822;0;4;2.177;2.913;5.440;3.045;2.411;333;1;16.324
;04:2,01 a 3,00;0;0;652;1.425;3.383;2.026;1.569;208;0;9.263;0;2;401;1.009;2.846;2.281;1.968;190;0;8.697;0;2;1.053;2.434;6.229;4.307;3.537;398;0;17.960
;05:3,01 a 4,00;0;0;384;1.320;2.804;1.291;928;82;0;6.809;0;0;181;639;1.852;1.732;1.236;78;0;5.718;0;0;565;1.959;4.656;3.023;2.164;160;0;12.527
;06:4,01 a 5,00;0;0;70;269;1.344;1.478;788;58;0;4.007;0;0;49;266;1.042;1.767;1.215;101;0;4.440;0;0;119;535;2.386;3.245;2.003;159;0;8.447
;07:5,01 a 7,00;0;0;52;239;759;1.010;1.173;98;0;3.331;0;0;49;291;926;1.187;1.125;74;0;3.652;0;0;101;530;1.685;2.197;2.298;172;0;6.983
;08:7,01 a 10,00;0;0;17;151;674;607;524;80;0;2.053;0;0;19;180;681;601;472;23;0;1.976;0;0;36;331;1.355;1.208;996;103;0;4.029
;09:10,01 a 15,00;0;0;9;90;517;401;466;51;0;1.534;0;0;12;70;374;369;361;20;0;1.206;0;0;21;160;891;770;827;71;0;2.740
;10:15,01 a 20,00;0;0;0;31;159;173;289;51;0;703;0;0;4;17;97;125;148;11;0;402;0;0;4;48;256;298;437;62;0;1.105
;11:Mais de 20,00;0;0;1;29;206;255;335;50;0;876;0;0;1;12;101;153;136;7;0;410;0;0;2;41;307;408;471;57;0;1.286
;{ñ class};0;3;17;44;192;203;186;29;0;674;0;0;7;21;96;117;93;1;0;335;0;3;24;65;288;320;279;30;0;1.009
130260:Manaus - AM;Total;34;2.513;42.265;45.889;96.487;62.018;41.576;3.974;0;294.756;21;1.767;28.787;30.912;70.946;52.449;35.425;2.855;0;223.162;55;4.280;71.052;76.801;167.433;114.467;77.001;6.829;0;517.918
;00:Até 0,50;17;1.375;928;53;115;68;45;6;0;2.607;12;1.031;788;52;123;80;54;12;0;2.152;29;2.406;1.716;105;238;148;99;18;0;4.759
;01:0,51 a 1,00;15;854;1.983;740;1.105;640;420;41;0;5.798;9;568;1.909;830;1.730;1.042;514;24;0;6.626;24;1.422;3.892;1.570;2.835;1.682;934;65;0;12.424
;02:1,01 a 1,50;1;260;22.590;15.002;21.312;10.837;6.175;525;0;76.702;0;146;17.698;13.463;24.121;14.758;7.055;328;0;77.569;1;406;40.288;28.465;45.433;25.595;13.230;853;0;154.271
;03:1,51 a 2,00;0;11;9.348;10.928;20.521;11.384;6.376;530;0;59.098;0;18;4.951;6.084;13.310;8.863;5.573;544;0;39.343;0;29;14.299;17.012;33.831;20.247;11.949;1.074;0;98.441
;04:2,01 a 3,00;1;10;4.983;9.118;22.589;15.007;9.947;829;0;62.484;0;3;2.107;4.409;12.719;11.690;9.302;861;0;41.091;1;13;7.090;13.527;35.308;26.697;19.249;1.690;0;103.575
;05:3,01 a 4,00;0;0;1.104;3.183;8.736;5.934;3.884;347;0;23.188;0;0;574;1.942;4.885;3.914;2.772;182;0;14.269;0;0;1.678;5.125;13.621;9.848;6.656;529;0;37.457
;06:4,01 a 5,00;0;0;551;2.818;6.913;3.634;2.465;224;0;16.605;0;1;285;1.562;4.586;3.337;2.170;135;0;12.076;0;1;836;4.380;11.499;6.971;4.635;359;0;28.681
;07:5,01 a 7,00;0;0;443;2.010;6.077;4.490;3.049;307;0;16.376;0;0;312;1.354;3.819;3.187;2.463;244;0;11.379;0;0;755;3.364;9.896;7.677;5.512;551;0;27.755
;08:7,01 a 10,00;0;0;144;973;3.998;4.378;2.895;395;0;12.783;0;0;69;687;2.839;2.543;2.180;215;0;8.533;0;0;213;1.660;6.837;6.921;5.075;610;0;21.316
;09:10,01 a 15,00;0;0;53;612;2.391;2.275;2.242;315;0;7.888;0;0;27;252;1.298;1.234;1.505;166;0;4.482;0;0;80;864;3.689;3.509;3.747;481;0;12.370
;10:15,01 a 20,00;0;0;3;127;968;1.029;1.007;112;0;3.246;0;0;2;63;497;552;528;29;0;1.671;0;0;5;190;1.465;1.581;1.535;141;0;4.917
;11:Mais de 20,00;0;0;2;80;830;1.275;1.854;183;0;4.224;0;0;1;33;318;487;788;83;0;1.710;0;0;3;113;1.148;1.762;2.642;266;0;5.934
;{ñ class};0;3;133;245;932;1.067;1.217;160;0;3.757;0;0;64;181;701;762;521;32;0;2.261;0;3;197;426;1.633;1.829;1.738;192;0;6.018
140010:Boa Vista - RR;Total;8;289;6.527;6.681;13.813;8.953;6.326;659;1;43.257;7;241;5.621;6.115;14.331;9.810;6.530;491;0;43.146;15;530;12.148;12.796;28.144;18.763;12.856;1.150;1;86.403
;00:Até 0,50;5;119;87;2;12;6;2;0;0;233;2;109;93;4;7;7;6;0;0;228;7;228;180;6;19;13;8;0;0;461
;01:0,51 a 1,00;3;119;521;259;348;191;75;7;0;1.523;5;101;521;269;469;266;89;3;0;1.723;8;220;1.042;528;817;457;164;10;0;3.246
;02:1,01 a 1,50;0;48;3.908;2.649;3.977;1.904;1.001;77;1;13.565;0;26;3.436;2.441;4.552;2.646;1.161;34;0;14.296;0;74;7.344;5.090;8.529;4.550;2.162;111;1;27.861
;03:1,51 a 2,00;0;2;1.022;1.387;2.455;1.108;550;39;0;6.563;0;2;751;981;1.772;862;403;15;0;4.786;0;4;1.773;2.368;4.227;1.970;953;54;0;11.349
;04:2,01 a 3,00;0;0;584;1.070;2.587;1.399;731;50;0;6.421;0;2;436;944;2.382;1.202;540;29;0;5.535;0;2;1.020;2.014;4.969;2.601;1.271;79;0;11.956
