;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;1;289;9.333;11.159;17.717;15.997;9.311;686;0;64.493;6;182;5.486;7.157;14.833;16.407;9.847;483;1;54.402;7;471;14.819;18.316;32.550;32.404;19.158;1.169;1;118.895
;00:Até 0,50;1;35;19;12;13;31;6;1;0;118;4;23;13;5;19;21;5;2;0;92;5;58;32;17;32;52;11;3;0;210
;01:0,51 a 1,00;0;124;506;404;796;581;357;36;0;2.804;2;88;376;458;1.240;1.379;965;63;0;4.571;2;212;882;862;2.036;1.960;1.322;99;0;7.375
;02:1,01 a 1,50;0;119;4.490;3.247;3.680;2.422;1.630;191;0;15.779;0;68;2.957;2.508;3.707;3.161;2.251;120;0;14.772;0;187;7.447;5.755;7.387;5.583;3.881;311;0;30.551
;03:1,51 a 2,00;0;9;1.997;2.414;3.461;1.912;988;75;0;10.856;0;3;1.061;1.236;2.101;1.661;926;30;0;7.018;0;12;3.058;3.650;5.562;3.573;1.914;105;0;17.874
;04:2,01 a 3,00;0;2;1.592;2.289;3.262;2.040;947;66;0;10.198;0;0;636;1.308;3.144;2.558;1.212;45;1;8.904;0;2;2.228;3.597;6.406;4.598;2.159;111;1;19.102
;05:3,01 a 4,00;0;0;370;1.089;1.701;1.386;699;44;0;5.289;0;0;216;681;2.450;3.033;1.174;31;0;7.585;0;0;586;1.770;4.151;4.419;1.873;75;0;12.874
;06:4,01 a 5,00;0;0;150;808;1.770;1.229;442;31;0;4.430;0;0;108;369;587;972;701;48;0;2.785;0;0;258;1.177;2.357;2.201;1.143;79;0;7.215
;07:5,01 a 7,00;0;0;96;259;916;2.414;1.501;110;0;5.296;0;0;58;215;462;1.112;1.326;107;0;3.280;0;0;154;474;1.378;3.526;2.827;217;0;8.576
