;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;57;828;14.280;17.597;32.016;20.367;18.541;1.796;8;105.490;34;626;9.328;11.847;23.955;19.021;17.026;1.472;1;83.310;91;1.454;23.608;29.444;55.971;39.388;35.567;3.268;9;188.800
;00:Até 0,50;30;359;105;18;60;29;43;8;0;652;25;272;106;29;49;40;34;1;1;557;55;631;211;47;109;69;77;9;1;1.209
;01:0,51 a 1,00;27;266;376;193;259;194;136;11;3;1.465;8;237;418;270;402;258;124;11;0;1.728;35;503;794;463;661;452;260;22;3;3.193
;02:1,01 a 1,50;0;176;5.561;3.185;4.323;2.518;1.854;284;1;17.902;1;101;5.205;4.126;6.315;4.554;3.370;386;0;24.058;1;277;10.766;7.311;10.638;7.072;5.224;670;1;41.960
;03:1,51 a 2,00;0;15;3.747;3.620;5.740;3.149;2.219;219;0;18.709;0;12;1.998;2.346;4.700;2.958;2.163;208;0;14.385;0;27;5.745;5.966;10.440;6.107;4.382;427;0;33.094
;04:2,01 a 3,00;0;6;2.753;4.530;7.907;4.444;3.143;282;2;23.067;0;3;978;2.295;4.976;3.585;2.824;323;0;14.984;0;9;3.731;6.825;12.883;8.029;5.967;605;2;38.051
;05:3,01 a 4,00;0;2;1.009;2.892;5.177;2.620;1.965;138;1;13.804;0;0;289;1.167;3.401;4.042;2.995;131;0;12.025;0;2;1.298;4.059;8.578;6.662;4.960;269;1;25.829
;06:4,01 a 5,00;0;1;343;1.167;2.844;2.031;1.155;83;0;7.624;0;0;144;614;1.343;983;979;85;0;4.148;0;1;487;1.781;4.187;3.014;2.134;168;0;11.772
;07:5,01 a 7,00;0;0;222;947;2.318;1.738;2.734;322;1;8.282;0;0;125;506;1.147;916;1.929;187;0;4.810;0;0;347;1.453;3.465;2.654;4.663;509;1;13.092
;08:7,01 a 10,00;0;0;69;449;1.270;1.359;1.922;162;0;5.231;0;0;32;245;702;690;1.023;40;0;2.732;0;0;101;694;1.972;2.049;2.945;202;0;7.963
;09:10,01 a 15,00;0;0;28;306;922;899;1.139;95;0;3.389;0;0;11;126;455;447;784;44;0;1.867;0;0;39;432;1.377;1.346;1.923;139;0;5.256
;10:15,01 a 20,00;0;0;11;77;437;490;873;59;0;1.947;0;0;4;44;178;210;394;18;0;848;0;0;15;121;615;700;1.267;77;0;2.795
;11:Mais de 20,00;0;0;8;86;430;554;906;76;0;2.060;0;0;3;45;149;199;279;24;0;699;0;0;11;131;579;753;1.185;100;0;2.759
;{ñ class};0;3;48;127;329;342;452;57;0;1.358;0;1;15;34;138;139;128;14;0;469;0;4;63;161;467;481;580;71;0;1.827
120040:Rio Branco - AC;Total;19;332;8.308;9.469;18.250;11.660;8.515;904;0;57.457;12;289;4.950;6.371;13.663;11.760;9.217;738;0;47.000;31;621;13.258;15.840;31.913;23.420;17.732;1.642;0;104.457
;00:Até 0,50;9;140;43;5;9;3;1;0;0;210;7;136;51;1;8;3;5;0;0;211;16;276;94;6;17;6;6;0;0;421
;01:0,51 a 1,00;10;133;399;215;293;176;119;7;0;1.352;5;107;232;165;322;150;59;3;0;1.043;15;240;631;380;615;326;178;10;0;2.395
;02:1,01 a 1,50;0;52;4.795;3.220;4.335;2.057;1.167;108;0;15.734;0;39;3.041;2.649;4.336;2.250;944;30;0;13.289;0;91;7.836;5.869;8.671;4.307;2.111;138;0;29.023
;03:1,51 a 2,00;0;4;1.636;2.069;3.620;1.761;1.018;114;0;10.222;0;4;903;1.084;2.113;1.195;1.137;184;0;6.620;0;8;2.539;3.153;5.733;2.956;2.155;298;0;16.842
;04:2,01 a 3,00;0;1;815;1.596;3.430;2.079;1.475;189;0;9.585;0;2;388;892;2.045;1.859;2.056;214;0;7.456;0;3;1.203;2.488;5.475;3.938;3.531;403;0;17.041
;05:3,01 a 4,00;0;1;443;1.405;2.543;1.167;909;98;0;6.566;0;0;205;670;1.488;1.486;1.154;74;0;5.077;0;1;648;2.075;4.031;2.653;2.063;172;0;11.643
;06:4,01 a 5,00;0;0;84;328;1.435;1.420;782;56;0;4.105;0;0;50;314;1.116;1.905;1.279;89;0;4.753;0;0;134;642;2.551;3.325;2.061;145;0;8.858
;07:5,01 a 7,00;0;0;52;280;838;1.349;1.173;121;0;3.813;0;0;43;317;950;1.503;1.374;86;0;4.273;0;0;95;597;1.788;2.852;2.547;207;0;8.086
;08:7,01 a 10,00;0;0;18;156;653;642;635;64;0;2.168;0;0;26;174;662;692;561;26;0;2.141;0;0;44;330;1.315;1.334;1.196;90;0;4.309
;09:10,01 a 15,00;0;0;5;92;452;390;436;36;0;1.411;0;0;4;61;307;321;299;13;0;1.005;0;0;9;153;759;711;735;49;0;2.416
;10:15,01 a 20,00;0;0;1;37;205;176;271;38;0;728;0;0;0;18;112;138;146;9;0;423;0;0;1;55;317;314;417;47;0;1.151
;11:Mais de 20,00;0;0;3;30;247;266;370;50;0;966;0;0;0;12;121;156;137;8;0;434;0;0;3;42;368;422;507;58;0;1.400
;{ñ class};0;1;14;36;190;174;159;23;0;597;0;1;7;14;83;102;66;2;0;275;0;2;21;50;273;276;225;25;0;872
130260:Manaus - AM;Total;29;2.572;49.211;53.190;103.252;63.789;42.058;3.706;0;317.807;27;2.053;33.283;34.925;73.908;51.524;34.189;2.611;0;232.520;56;4.625;82.494;88.115;177.160;115.313;76.247;6.317;0;550.327
;00:Até 0,50;17;1.267;800;33;97;56;25;4;0;2.299;19;989;656;27;77;46;40;0;0;1.854;36;2.256;1.456;60;174;102;65;4;0;4.153
;01:0,51 a 1,00;12;921;2.480;747;1.167;588;418;44;0;6.377;6;788;2.106;843;1.537;875;462;20;0;6.637;18;1.709;4.586;1.590;2.704;1.463;880;64;0;13.014
;02:1,01 a 1,50;0;353;24.871;15.965;21.904;10.766;6.058;466;0;80.383;2;239;19.559;14.392;24.851;13.984;6.513;297;0;79.837;2;592;44.430;30.357;46.755;24.750;12.571;763;0;160.220
;03:1,51 a 2,00;0;17;11.891;13.316;21.307;10.381;5.898;430;0;63.240;0;27;6.577;7.523;13.324;7.171;4.056;376;0;39.054;0;44;18.468;20.839;34.631;17.552;9.954;806;0;102.294
;04:2,01 a 3,00;0;9;6.038;10.965;25.165;16.060;10.172;804;0;69.213;0;3;2.680;5.188;13.885;12.614;10.031;909;0;45.310;0;12;8.718;16.153;39.050;28.674;20.203;1.713;0;114.523
;05:3,01 a 4,00;0;2;1.375;4.177;10.322;6.627;4.324;355;0;27.182;0;2;775;2.214;5.113;3.812;2.696;190;0;14.802;0;4;2.150;6.391;15.435;10.439;7.020;545;0;41.984
;06:4,01 a 5,00;0;0;812;3.391;7.320;3.911;2.447;202;0;18.083;0;0;389;1.908;4.886;3.589;2.126;126;0;13.024;0;0;1.201;5.299;12.206;7.500;4.573;328;0;31.107
;07:5,01 a 7,00;0;0;547;2.205;6.502;5.302;3.412;292;0;18.260;0;0;348;1.572;4.300;3.647;2.681;207;0;12.755;0;0;895;3.777;10.802;8.949;6.093;499;0;31.015
;08:7,01 a 10,00;0;0;198;1.148;4.187;4.378;3.107;385;0;13.403;0;0;96;739;3.089;2.684;2.217;205;0;9.030;0;0;294;1.887;7.276;7.062;5.324;590;0;22.433
;09:10,01 a 15,00;0;0;73;755;2.529;2.394;2.265;300;0;8.316;0;0;32;283;1.446;1.325;1.574;143;0;4.803;0;0;105;1.038;3.975;3.719;3.839;443;0;13.119
;10:15,01 a 20,00;0;0;7;149;1.026;1.035;1.029;105;0;3.351;0;0;3;61;486;589;587;35;0;1.761;0;0;10;210;1.512;1.624;1.616;140;0;5.112
;11:Mais de 20,00;0;0;10;115;897;1.377;1.895;194;0;4.488;0;0;3;43;326;505;790;70;0;1.737;0;0;13;158;1.223;1.882;2.685;264;0;6.225
;{ñ class};0;3;109;224;829;914;1.008;125;0;3.212;0;5;59;132;588;683;416;33;0;1.916;0;8;168;356;1.417;1.597;1.424;158;0;5.128
140010:Boa Vista - RR;Total;9;306;6.688;6.733;13.539;8.338;5.915;588;1;42.117;3;257;5.665;6.364;13.814;8.994;6.120;463;0;41.680;12;563;12.353;13.097;27.353;17.332;12.035;1.051;1;83.797
;00:Até 0,50;4;125;72;4;7;3;5;1;0;221;3;109;88;3;16;3;3;0;0;225;7;234;160;7;23;6;8;1;0;446
;01:0,51 a 1,00;5;139;489;268;414;174;74;9;1;1.573;0;99;497;252;531;288;124;10;0;1.801;5;238;986;520;945;462;198;19;1;3.374
;02:1,01 a 1,50;0;39;4.028;2.684;3.908;1.714;913;79;0;13.365;0;43;3.573;2.730;4.622;2.457;1.095;39;0;14.559;0;82;7.601;5.414;8.530;4.171;2.008;118;0;27.924
;03:1,51 a 2,00;0;1;927;1.338;2.468;1.076;586;42;0;6.438;0;5;641;794;1.413;685;339;16;0;3.893;0;6;1.568;2.132;3.881;1.761;925;58;0;10.331
;04:2,01 a 3,00;0;1;771;1.140;2.582;1.250;689;42;0;6.475;0;0;483;1.089;2.445;1.031;486;19;0;5.553;0;1;1.254;2.229;5.027;2.281;1.175;61;0;12.028
;05:3,01 a 4,00;0;0;177;416;1.066;686;455;65;0;2.865;0;0;170;480;1.265;858;593;82;0;3.448;0;0;347;896;2.331;1.544;1.048;147;0;6.313
