;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;67;806;19.055;21.024;33.961;22.534;16.750;1.278;13;115.488;59;610;10.515;11.918;22.732;18.731;14.250;934;6;79.755;126;1.416;29.570;32.942;56.693;41.265;31.000;2.212;19;195.243
;00:Até 0,50;37;214;59;13;22;21;55;6;2;429;37;190;57;13;30;36;54;8;0;425;74;404;116;26;52;57;109;14;2;854
;01:0,51 a 1,00;26;308;498;216;596;677;484;84;0;2.889;22;303;441;309;751;1.152;1.054;101;5;4.138;48;611;939;525;1.347;1.829;1.538;185;5;7.027
;02:1,01 a 1,50;2;250;5.562;3.154;4.336;2.454;1.702;233;6;17.699;0;100;5.699;4.144;6.026;3.942;2.664;202;0;22.777;2;350;11.261;7.298;10.362;6.396;4.366;435;6;40.476
;03:1,51 a 2,00;1;30;4.765;4.792;7.342;3.751;2.114;182;2;22.979;0;13;2.228;2.592;4.853;3.097;2.110;205;0;15.098;1;43;6.993;7.384;12.195;6.848;4.224;387;2;38.077
;04:2,01 a 3,00;1;2;4.588;4.880;6.814;3.986;2.565;160;0;22.996;0;1;1.154;2.009;4.034;3.057;1.904;94;0;12.253;1;3;5.742;6.889;10.848;7.043;4.469;254;0;35.249
;05:3,01 a 4,00;0;0;2.233;4.184;6.176;3.142;1.879;86;0;17.700;0;1;449;1.261;3.361;3.958;2.271;92;0;11.393;0;1;2.682;5.445;9.537;7.100;4.150;178;0;29.093
;06:4,01 a 5,00;0;1;599;1.299;2.366;1.884;982;60;0;7.191;0;0;206;522;973;784;676;55;0;3.216;0;1;805;1.821;3.339;2.668;1.658;115;0;10.407
;07:5,01 a 7,00;0;0;492;1.273;2.767;2.658;2.214;197;3;9.604;0;0;186;570;1.208;941;1.532;111;0;4.548;0;0;678;1.843;3.975;3.599;3.746;308;3;14.152
