;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;3;240;8.360;10.384;26.794;18.932;15.593;2.318;1;82.625;1;179;6.381;8.054;22.021;18.446;16.224;2.417;0;73.723;4;419;14.741;18.438;48.815;37.378;31.817;4.735;1;156.348
;00:Até 0,50;2;118;173;33;64;39;32;5;0;466;1;77;234;51;94;52;30;3;0;542;3;195;407;84;158;91;62;8;0;1.008
;01:0,51 a 1,00;1;94;950;586;833;522;323;32;0;3.341;0;82;1.032;688;1.123;723;366;30;0;4.044;1;176;1.982;1.274;1.956;1.245;689;62;0;7.385
;02:1,01 a 1,50;0;20;4.199;3.334;4.924;3.110;2.103;240;0;17.930;0;14;3.419;3.049;5.876;4.011;3.415;393;0;20.177;0;34;7.618;6.383;10.800;7.121;5.518;633;0;38.107
;03:1,51 a 2,00;0;2;1.499;2.231;5.013;3.287;1.783;151;0;13.966;0;1;845;1.410;3.785;2.843;1.673;133;0;10.690;0;3;2.344;3.641;8.798;6.130;3.456;284;0;24.656
;04:2,01 a 3,00;0;1;902;1.606;4.783;3.561;2.461;449;0;13.763;0;0;326;1.014;3.531;3.084;2.693;672;0;11.320;0;1;1.228;2.620;8.314;6.645;5.154;1.121;0;25.083
;05:3,01 a 4,00;0;0;176;1.036;4.207;2.317;2.021;318;1;10.076;0;0;119;699;3.077;3.915;3.417;509;0;11.736;0;0;295;1.735;7.284;6.232;5.438;827;1;21.812
;06:4,01 a 5,00;0;0;61;381;1.740;1.500;1.334;252;0;5.268;0;0;49;263;997;930;1.596;251;0;4.086;0;0;110;644;2.737;2.430;2.930;503;0;9.354
;07:5,01 a 7,00;0;0;83;389;1.693;1.448;1.901;254;0;5.768;0;0;69;299;1.192;945;1.025;146;0;3.676;0;0;152;688;2.885;2.393;2.926;400;0;9.444
;08:7,01 a 10,00;0;0;10;178;1.082;842;995;153;0;3.260;0;0;9;100;763;627;651;120;0;2.270;0;0;19;278;1.845;1.469;1.646;273;0;5.530
;09:10,01 a 15,00;0;0;11;156;862;732;742;176;0;2.679;0;0;12;90;540;415;527;85;0;1.669;0;0;23;246;1.402;1.147;1.269;261;0;4.348
;10:15,01 a 20,00;0;0;2;26;280;374;583;61;0;1.326;0;0;1;19;151;172;266;25;0;634;0;0;3;45;431;546;849;86;0;1.960
;11:Mais de 20,00;0;0;1;15;279;363;588;105;0;1.351;0;0;1;14;108;171;163;16;0;473;0;0;2;29;387;534;751;121;0;1.824
;{ñ class};0;5;293;413;1.034;837;727;122;0;3.431;0;5;265;358;784;558;402;34;0;2.406;0;10;558;771;1.818;1.395;1.129;156;0;5.837
120040:Rio Branco - AC;Total;6;208;6.036;7.009;16.823;12.558;8.710;1.169;0;52.519;1;150;4.470;5.852;14.620;12.770;8.884;780;0;47.527;7;358;10.506;12.861;31.443;25.328;17.594;1.949;0;100.046
;00:Até 0,50;3;110;186;21;31;23;18;0;0;392;1;79;156;18;35;17;5;1;0;312;4;189;342;39;66;40;23;1;0;704
;01:0,51 a 1,00;3;82;1.276;784;1.048;627;307;27;0;4.154;0;55;1.335;1.010;1.668;1.163;392;8;0;5.631;3;137;2.611;1.794;2.716;1.790;699;35;0;9.785
;02:1,01 a 1,50;0;8;2.896;2.583;4.135;2.447;1.396;129;0;13.594;0;4;1.839;1.968;3.421;2.186;934;64;0;10.416;0;12;4.735;4.551;7.556;4.633;2.330;193;0;24.010
;03:1,51 a 2,00;0;0;792;1.195;2.735;1.816;982;131;0;7.651;0;0;455;722;1.499;1.089;1.017;102;0;4.884;0;0;1.247;1.917;4.234;2.905;1.999;233;0;12.535
;04:2,01 a 3,00;0;0;312;1.005;2.693;2.018;1.326;176;0;7.530;0;0;294;1.077;3.296;2.921;2.174;208;0;9.970;0;0;606;2.082;5.989;4.939;3.500;384;0;17.500
;05:3,01 a 4,00;0;0;85;292;847;926;724;70;0;2.944;0;0;75;277;1.128;1.478;1.177;118;0;4.253;0;0;160;569;1.975;2.404;1.901;188;0;7.197
;06:4,01 a 5,00;0;0;75;233;691;614;612;56;0;2.281;0;0;35;173;655;936;843;60;0;2.702;0;0;110;406;1.346;1.550;1.455;116;0;4.983
;07:5,01 a 7,00;0;0;31;350;2.286;1.355;892;124;0;5.038;0;0;31;176;1.006;975;736;47;0;2.971;0;0;62;526;3.292;2.330;1.628;171;0;8.009
;08:7,01 a 10,00;0;0;10;111;840;1.001;721;71;0;2.754;0;0;15;118;833;783;529;38;0;2.316;0;0;25;229;1.673;1.784;1.250;109;0;5.070
;09:10,01 a 15,00;0;0;7;62;481;649;595;88;0;1.882;0;0;1;44;349;438;442;48;0;1.322;0;0;8;106;830;1.087;1.037;136;0;3.204
;10:15,01 a 20,00;0;0;2;12;136;221;233;47;0;651;0;0;1;4;77;124;130;22;0;358;0;0;3;16;213;345;363;69;0;1.009
;11:Mais de 20,00;0;0;0;10;150;258;240;46;0;704;0;0;0;3;41;105;104;13;0;266;0;0;0;13;191;363;344;59;0;970
;{ñ class};0;8;364;351;750;603;664;204;0;2.944;0;12;233;262;612;555;401;51;0;2.126;0;20;597;613;1.362;1.158;1.065;255;0;5.070
130260:Manaus - AM;Total;17;1.502;37.887;43.248;92.153;69.161;43.647;4.912;0;292.527;18;1.072;22.960;28.016;62.461;54.142;35.194;3.521;0;207.384;35;2.574;60.847;71.264;154.614;123.303;78.841;8.433;0;499.911
;00:Até 0,50;15;923;1.633;230;292;188;94;11;0;3.386;14;688;1.442;151;230;136;82;5;0;2.748;29;1.611;3.075;381;522;324;176;16;0;6.134
;01:0,51 a 1,00;2;506;5.496;3.206;4.305;2.604;1.332;104;0;17.555;3;349;4.164;2.615;4.105;3.361;1.738;90;0;16.425;5;855;9.660;5.821;8.410;5.965;3.070;194;0;33.980
;02:1,01 a 1,50;0;39;17.497;16.361;22.967;13.793;6.765;410;0;77.832;0;20;10.821;11.153;17.199;12.032;5.812;271;0;57.308;0;59;28.318;27.514;40.166;25.825;12.577;681;0;135.140
;03:1,51 a 2,00;0;3;7.002;9.815;18.941;13.175;7.424;749;0;57.109;0;0;3.608;5.763;11.900;9.609;6.090;705;0;37.675;0;3;10.610;15.578;30.841;22.784;13.514;1.454;0;94.784
;04:2,01 a 3,00;0;0;3.575;6.231;17.225;13.498;9.180;855;0;50.564;0;0;1.182;3.712;10.747;10.851;7.395;766;0;34.653;0;0;4.757;9.943;27.972;24.349;16.575;1.621;0;85.217
;05:3,01 a 4,00;0;0;543;2.029;6.451;5.447;3.589;409;0;18.468;0;0;349;1.432;4.235;4.002;3.154;335;0;13.507;0;0;892;3.461;10.686;9.449;6.743;744;0;31.975
;06:4,01 a 5,00;0;0;245;1.353;4.257;3.385;2.441;295;0;11.976;0;0;176;934;3.721;3.729;2.600;293;0;11.453;0;0;421;2.287;7.978;7.114;5.041;588;0;23.429
;07:5,01 a 7,00;0;0;212;1.406;6.661;3.729;2.694;375;0;15.077;0;0;150;829;4.025;3.453;2.523;316;0;11.296;0;0;362;2.235;10.686;7.182;5.217;691;0;26.373
;08:7,01 a 10,00;0;0;26;448;3.626;4.915;2.547;425;0;11.987;0;0;25;213;2.222;2.368;1.678;240;0;6.746;0;0;51;661;5.848;7.283;4.225;665;0;18.733
;09:10,01 a 15,00;0;0;21;297;2.099;2.861;1.978;252;0;7.508;0;0;7;105;1.284;1.507;1.326;139;0;4.368;0;0;28;402;3.383;4.368;3.304;391;0;11.876
;10:15,01 a 20,00;0;0;4;82;906;1.046;1.182;148;0;3.368;0;0;1;27;391;616;622;69;0;1.726;0;0;5;109;1.297;1.662;1.804;217;0;5.094
;11:Mais de 20,00;0;0;0;17;557;1.077;1.278;207;0;3.136;0;0;0;23;225;423;606;116;0;1.393;0;0;0;40;782;1.500;1.884;323;0;4.529
;{ñ class};0;31;1.633;1.773;3.866;3.443;3.143;672;0;14.561;1;15;1.035;1.059;2.177;2.055;1.568;176;0;8.086;1;46;2.668;2.832;6.043;5.498;4.711;848;0;22.647
140010:Boa Vista - RR;Total;14;252;6.123;6.836;14.072;10.439;7.014;896;0;45.646;8;188;5.044;6.086;13.893;11.694;7.729;706;0;45.348;22;440;11.167;12.922;27.965;22.133;14.743;1.602;0;90.994
;00:Até 0,50;10;159;172;38;39;18;10;1;0;447;8;138;199;34;42;22;5;1;0;449;18;297;371;72;81;40;15;2;0;896
;01:0,51 a 1,00;3;70;1.153;741;1.003;428;218;11;0;3.627;0;42;1.076;799;933;560;243;14;0;3.667;3;112;2.229;1.540;1.936;988;461;25;0;7.294
;02:1,01 a 1,50;0;6;3.192;2.889;4.447;2.508;1.176;89;0;14.307;0;4;2.630;2.554;4.177;2.941;1.461;54;0;13.821;0;10;5.822;5.443;8.624;5.449;2.637;143;0;28.128
;03:1,51 a 2,00;0;2;616;1.078;2.146;1.444;646;45;0;5.977;0;2;432;735;1.436;918;385;18;0;3.926;0;4;1.048;1.813;3.582;2.362;1.031;63;0;9.903
;04:2,01 a 3,00;0;0;535;847;2.131;1.607;861;105;0;6.086;0;0;313;936;2.712;2.133;1.039;82;0;7.215;0;0;848;1.783;4.843;3.740;1.900;187;0;13.301
;05:3,01 a 4,00;0;0;89;391;1.057;979;676;98;0;3.290;0;0;105;361;1.615;1.420;973;110;0;4.584;0;0;194;752;2.672;2.399;1.649;208;0;7.874
;06:4,01 a 5,00;0;0;53;175;700;610;877;184;0;2.599;0;0;77;237;969;1.033;1.277;194;0;3.787;0;0;130;412;1.669;1.643;2.154;378;0;6.386
;07:5,01 a 7,00;0;0;47;184;691;735;689;87;0;2.433;0;0;46;177;763;1.059;858;92;0;2.995;0;0;93;361;1.454;1.794;1.547;179;0;5.428
;08:7,01 a 10,00;0;0;15;79;563;818;573;83;0;2.131;0;0;11;73;539;860;684;68;0;2.235;0;0;26;152;1.102;1.678;1.257;151;0;4.366
;09:10,01 a 15,00;0;0;8;83;413;427;459;69;0;1.459;0;0;2;34;294;335;370;34;0;1.069;0;0;10;117;707;762;829;103;0;2.528
;10:15,01 a 20,00;0;0;1;7;137;217;281;28;0;671;0;0;0;3;106;98;149;14;0;370;0;0;1;10;243;315;430;42;0;1.041
;11:Mais de 20,00;0;0;0;10;73;244;270;36;0;633;0;0;0;2;34;112;131;10;0;289;0;0;0;12;107;356;401;46;0;922
;{ñ class};1;15;242;314;672;404;278;60;0;1.986;0;2;153;141;273;203;154;15;0;941;1;17;395;455;945;607;432;75;0;2.927
150140:Belém - PA;Total;8;542;18.849;26.894;71.177;60.397;46.638;7.469;1;231.975;5;447;11.166;17.718;48.951;43.887;38.211;6.354;0;166.739;13;989;30.015;44.612;120.128;104.284;84.849;13.823;1;398.714
;00:Até 0,50;4;310;1.043;271;379;234;95;7;0;2.343;3;259;1.005;236;435;282;105;3;0;2.328;7;569;2.048;507;814;516;200;10;0;4.671
;01:0,51 a 1,00;3;210;3.617;2.661;3.911;2.391;1.280;113;0;14.186;1;162;2.763;2.136;3.681;2.603;1.355;55;0;12.756;4;372;6.380;4.797;7.592;4.994;2.635;168;0;26.942
