;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;08:7,01 a 10,00;0;0;61;106;674;857;607;65;0;2.370;0;0;18;56;557;776;633;44;0;2.084;0;0;0;0;0;0;0;0;0;0;79;162;1.231;1.633;1.240;109;0;4.454
;09:10,01 a 15,00;0;0;59;82;381;616;514;92;0;1.744;0;0;32;28;251;415;347;36;0;1.109;0;0;0;0;0;0;0;0;0;0;91;110;632;1.031;861;128;0;2.853
;10:15,01 a 20,00;0;0;12;34;140;208;227;34;0;655;0;0;7;15;67;85;102;19;0;295;0;0;0;0;0;0;0;0;0;0;19;49;207;293;329;53;0;950
;11:Mais de 20,00;0;0;13;38;125;264;219;45;0;704;0;0;7;23;80;113;89;12;0;324;0;0;0;0;0;0;0;0;0;0;20;61;205;377;308;57;0;1.028
;{ñ class};1;6;486;777;1.381;1.130;786;151;0;4.718;0;7;331;424;886;757;466;34;0;2.905;0;0;0;0;0;0;0;0;1;13;817;1.201;2.267;1.887;1.252;185;0;7.623
130260:Manaus - AM;Total;39;1.626;45.080;49.497;98.229;83.316;53.082;6.078;0;336.947;17;1.182;29.314;33.460;69.281;65.130;42.995;4.430;0;245.809;0;0;1;0;0;0;0;1;56;2.808;74.394;82.957;167.511;148.446;96.077;10.508;0;582.757
;00:Até 0,50;26;879;1.786;252;451;341;205;5;0;3.945;13;620;1.644;189;305;284;154;19;0;3.228;0;0;0;0;0;0;0;0;39;1.499;3.430;441;756;625;359;24;0;7.173
;01:0,51 a 1,00;12;637;5.935;2.763;3.425;2.318;1.254;110;0;16.454;1;494;4.637;2.284;3.144;2.454;1.288;81;0;14.383;0;0;0;0;0;0;0;0;13;1.131;10.572;5.047;6.569;4.772;2.542;191;0;30.837
;02:1,01 a 1,50;0;57;20.929;18.448;24.692;17.479;9.493;574;0;91.672;0;23;14.302;13.884;21.007;16.928;8.702;461;0;75.307;0;0;0;0;0;0;0;0;0;80;35.231;32.332;45.699;34.407;18.195;1.035;0;166.979
;03:1,51 a 2,00;0;4;8.161;10.927;19.637;15.230;8.703;836;0;63.498;0;8;4.324;6.277;12.159;10.126;6.322;637;0;39.853;0;0;0;0;0;0;0;0;0;12;12.485;17.204;31.796;25.356;15.025;1.473;0;103.351
;04:2,01 a 3,00;0;3;4.262;7.328;18.568;16.990;11.044;1.036;0;59.231;0;6;1.744;4.135;11.458;13.218;9.770;1.014;0;41.345;0;0;0;0;0;0;0;0;0;9;6.006;11.463;30.026;30.208;20.814;2.050;0;100.576
