;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;04:2,01 a 3,00;0;0;723;1.676;3.692;3.008;1.512;166;0;10.777;0;0;641;1.709;3.696;3.342;1.992;90;0;11.470;0;0;0;0;0;0;0;0;0;0;1.364;3.385;7.388;6.350;3.504;256;0;22.247
;05:3,01 a 4,00;0;0;220;841;2.508;1.956;1.077;157;0;6.759;0;1;220;1.008;3.055;2.961;1.454;55;0;8.754;0;0;0;0;0;0;0;0;0;1;440;1.849;5.563;4.917;2.531;212;0;15.513
;06:4,01 a 5,00;0;0;45;285;1.252;1.292;946;97;0;3.917;0;0;30;215;1.228;2.052;1.400;67;0;4.992;0;0;0;0;0;0;0;0;0;0;75;500;2.480;3.344;2.346;164;0;8.909
;07:5,01 a 7,00;0;0;39;245;1.434;1.258;992;74;0;4.042;0;1;38;168;1.348;2.237;1.605;87;0;5.484;0;0;0;0;0;0;0;0;0;1;77;413;2.782;3.495;2.597;161;0;9.526
;08:7,01 a 10,00;0;0;39;129;1.142;1.829;714;72;0;3.925;0;0;27;89;720;1.362;681;32;0;2.911;0;0;0;0;0;0;0;0;0;0;66;218;1.862;3.191;1.395;104;0;6.836
;09:10,01 a 15,00;0;0;33;63;689;1.412;1.045;102;0;3.344;0;0;18;41;425;986;687;43;0;2.200;0;0;0;0;0;0;0;0;0;0;51;104;1.114;2.398;1.732;145;0;5.544
;10:15,01 a 20,00;0;0;8;21;265;648;659;72;0;1.673;0;0;12;17;141;369;343;13;0;895;0;0;0;0;0;0;0;0;0;0;20;38;406;1.017;1.002;85;0;2.568
;11:Mais de 20,00;0;0;8;33;199;461;725;128;0;1.554;0;0;9;24;127;302;397;32;0;891;0;0;0;0;0;0;0;0;0;0;17;57;326;763;1.122;160;0;2.445
;{ñ class};1;12;440;614;947;656;464;109;0;3.243;0;17;370;551;792;558;280;21;0;2.589;0;0;0;0;0;0;0;0;1;29;810;1.165;1.739;1.214;744;130;0;5.832
211130:São Luiz - MA;Total;11;207;20.595;28.309;67.712;52.476;39.076;6.587;0;214.973;9;180;14.877;22.253;54.000;44.673;36.638;6.460;0;179.090;0;0;0;0;0;0;0;0;20;387;35.472;50.562;121.712;97.149;75.714;13.047;0;394.063
;00:Até 0,50;5;51;607;183;263;140;84;10;0;1.343;5;57;601;159;264;151;55;5;0;1.297;0;0;0;0;0;0;0;0;10;108;1.208;342;527;291;139;15;0;2.640
;01:0,51 a 1,00;2;116;3.485;1.995;2.870;1.705;1.030;107;0;11.310;1;92;3.017;1.780;2.880;2.045;1.189;86;0;11.090;0;0;0;0;0;0;0;0;3;208;6.502;3.775;5.750;3.750;2.219;193;0;22.400
;02:1,01 a 1,50;1;8;11.026;12.033;19.777;13.701;8.585;819;0;65.950;1;8;7.685;9.918;20.070;16.145;9.753;925;0;64.505;0;0;0;0;0;0;0;0;2;16;18.711;21.951;39.847;29.846;18.338;1.744;0;130.455
;03:1,51 a 2,00;0;0;2.298;4.696;11.962;9.342;6.051;764;0;35.113;0;1;1.520;3.290;8.466;6.508;4.681;736;0;25.202;0;0;0;0;0;0;0;0;0;1;3.818;7.986;20.428;15.850;10.732;1.500;0;60.315
;04:2,01 a 3,00;0;0;1.119;3.504;10.620;8.111;5.705;993;0;30.052;0;0;700;2.801;7.542;5.531;4.754;978;0;22.306;0;0;0;0;0;0;0;0;0;0;1.819;6.305;18.162;13.642;10.459;1.971;0;52.358
;05:3,01 a 4,00;0;0;283;1.289;4.812;4.624;3.696;691;0;15.395;0;0;206;1.206;4.183;4.632;4.118;870;0;15.215;0;0;0;0;0;0;0;0;0;0;489;2.495;8.995;9.256;7.814;1.561;0;30.610
;06:4,01 a 5,00;0;0;292;1.399;5.330;2.620;2.526;645;0;12.812;0;0;95;582;2.118;1.959;4.860;1.406;0;11.020;0;0;0;0;0;0;0;0;0;0;387;1.981;7.448;4.579;7.386;2.051;0;23.832
;07:5,01 a 7,00;0;0;164;507;3.355;3.669;2.766;564;0;11.025;0;0;109;372;2.314;2.221;2.037;374;0;7.427;0;0;0;0;0;0;0;0;0;0;273;879;5.669;5.890;4.803;938;0;18.452
;08:7,01 a 10,00;0;0;142;454;1.966;2.113;2.478;439;0;7.592;0;0;83;284;1.124;1.301;1.790;460;0;5.042;0;0;0;0;0;0;0;0;0;0;225;738;3.090;3.414;4.268;899;0;12.634
;09:10,01 a 15,00;0;0;108;232;1.512;1.460;1.343;289;0;4.944;0;0;79;155;722;725;684;260;0;2.625;0;0;0;0;0;0;0;0;0;0;187;387;2.234;2.185;2.027;549;0;7.569
;10:15,01 a 20,00;0;0;59;135;616;665;734;206;0;2.415;0;0;51;93;387;382;367;78;0;1.358;0;0;0;0;0;0;0;0;0;0;110;228;1.003;1.047;1.101;284;0;3.773
;11:Mais de 20,00;0;0;22;134;759;893;895;220;0;2.923;0;0;15;102;392;409;381;98;0;1.397;0;0;0;0;0;0;0;0;0;0;37;236;1.151;1.302;1.276;318;0;4.320
;{ñ class};3;32;990;1.748;3.870;3.433;3.183;840;0;14.099;2;22;716;1.511;3.538;2.664;1.969;184;0;10.606;0;0;0;0;0;0;0;0;5;54;1.706;3.259;7.408;6.097;5.152;1.024;0;24.705
221100:Terezina - PI;Total;4;400;15.479;19.187;46.346;38.104;30.151;5.279;0;154.950;10;365;11.462;14.706;35.007;30.216;24.252;3.822;0;119.840;0;0;0;0;0;0;0;0;14;765;26.941;33.893;81.353;68.320;54.403;9.101;0;274.790
;00:Até 0,50;4;259;723;159;265;188;110;14;0;1.722;4;248;786;104;187;128;68;5;0;1.530;0;0;0;0;0;0;0;0;8;507;1.509;263;452;316;178;19;0;3.252
;01:0,51 a 1,00;0;116;3.113;2.023;2.785;1.758;953;78;0;10.826;6;97;2.529;1.667;2.258;1.458;659;38;0;8.712;0;0;0;0;0;0;0;0;6;213;5.642;3.690;5.043;3.216;1.612;116;0;19.538
;02:1,01 a 1,50;0;10;8.738;9.823;18.805;14.043;8.808;907;0;61.134;0;2;6.191;7.620;14.979;11.802;7.348;651;0;48.593;0;0;0;0;0;0;0;0;0;12;14.929;17.443;33.784;25.845;16.156;1.558;0;109.727
;03:1,51 a 2,00;0;2;1.105;2.571;7.347;6.003;4.242;525;0;21.795;0;2;637;1.672;4.209;3.276;2.824;474;0;13.094;0;0;0;0;0;0;0;0;0;4;1.742;4.243;11.556;9.279;7.066;999;0;34.889
;04:2,01 a 3,00;0;0;426;1.444;4.896;4.018;3.214;697;0;14.695;0;1;275;1.106;4.005;3.282;3.296;779;0;12.744;0;0;0;0;0;0;0;0;0;1;701;2.550;8.901;7.300;6.510;1.476;0;27.439
;05:3,01 a 4,00;0;1;143;740;3.509;3.410;3.073;404;0;11.280;0;2;106;598;2.600;3.719;3.697;532;0;11.254;0;0;0;0;0;0;0;0;0;3;249;1.338;6.109;7.129;6.770;936;0;22.534
;06:4,01 a 5,00;0;1;91;287;1.137;1.082;1.429;270;0;4.297;0;1;62;271;1.079;1.114;1.279;270;0;4.076;0;0;0;0;0;0;0;0;0;2;153;558;2.216;2.196;2.708;540;0;8.373
;07:5,01 a 7,00;0;0;90;229;1.192;1.028;1.186;327;0;4.052;0;0;74;204;1.668;1.507;1.229;271;0;4.953;0;0;0;0;0;0;0;0;0;0;164;433;2.860;2.535;2.415;598;0;9.005
;08:7,01 a 10,00;0;0;154;298;1.419;1.449;1.913;531;0;5.764;0;0;181;251;1.126;1.109;1.137;259;0;4.063;0;0;0;0;0;0;0;0;0;0;335;549;2.545;2.558;3.050;790;0;9.827
;09:10,01 a 15,00;0;0;136;222;1.298;1.467;1.590;559;0;5.272;0;0;141;216;835;936;956;219;0;3.303;0;0;0;0;0;0;0;0;0;0;277;438;2.133;2.403;2.546;778;0;8.575
;10:15,01 a 20,00;0;0;30;65;308;481;665;225;0;1.774;0;0;22;63;204;257;435;121;0;1.102;0;0;0;0;0;0;0;0;0;0;52;128;512;738;1.100;346;0;2.876
;11:Mais de 20,00;0;0;23;78;438;571;584;196;0;1.890;0;0;21;75;252;316;295;81;0;1.040;0;0;0;0;0;0;0;0;0;0;44;153;690;887;879;277;0;2.930
;{ñ class};0;11;707;1.248;2.947;2.606;2.384;546;0;10.449;0;12;437;859;1.605;1.312;1.029;122;0;5.376;0;0;0;0;0;0;0;0;0;23;1.144;2.107;4.552;3.918;3.413;668;0;15.825
230440:Fortaleza - CE;Total;12;468;49.716;64.021;140.487;112.632;86.534;11.921;1;465.792;6;397;40.236;51.658;107.666;84.676;65.678;12.716;0;363.033;0;0;2;0;0;0;0;2;18;865;89.952;115.679;248.155;197.308;152.212;24.637;1;828.827
;00:Até 0,50;6;166;1.779;657;1.255;834;405;26;0;5.128;3;152;1.878;600;1.260;848;386;27;0;5.154;0;0;0;0;0;0;0;0;9;318;3.657;1.257;2.515;1.682;791;53;0;10.282
;01:0,51 a 1,00;3;208;9.696;5.509;8.370;5.427;3.189;397;1;32.800;3;182;9.435;5.493;8.375;5.550;3.207;989;0;33.234;0;0;0;0;0;0;0;0;6;390;19.131;11.002;16.745;10.977;6.396;1.386;1;66.034
;02:1,01 a 1,50;0;58;26.399;29.445;49.712;37.522;27.516;2.083;0;172.735;0;34;20.786;24.927;43.327;32.635;20.347;1.347;0;143.403;0;0;0;0;0;0;0;0;0;92;47.185;54.372;93.039;70.157;47.863;3.430;0;316.138
;03:1,51 a 2,00;0;4;4.482;8.802;21.249;17.755;13.255;1.183;0;66.730;0;2;3.184;6.151;12.621;8.844;5.659;1.025;0;37.486;0;0;0;0;0;0;0;0;0;6;7.666;14.953;33.870;26.599;18.914;2.208;0;104.216
;04:2,01 a 3,00;0;3;3.007;7.180;17.893;15.457;10.793;1.262;0;55.595;0;3;1.772;5.507;12.083;10.134;9.919;1.973;0;41.391;0;0;0;0;0;0;0;0;0;6;4.779;12.687;29.976;25.591;20.712;3.235;0;96.986
;05:3,01 a 4,00;0;0;755;3.283;9.540;5.061;3.752;690;0;23.081;0;0;596;2.748;7.364;4.589;3.847;1.750;0;20.894;0;0;0;0;0;0;0;0;0;0;1.351;6.031;16.904;9.650;7.599;2.440;0;43.975
;06:4,01 a 5,00;0;1;467;2.774;10.687;5.186;2.961;726;0;22.802;0;0;288;1.560;5.485;3.914;3.689;1.015;0;15.951;0;0;0;0;0;0;0;0;0;1;755;4.334;16.172;9.100;6.650;1.741;0;38.753
;07:5,01 a 7,00;0;1;303;1.018;5.387;7.947;6.464;966;0;22.086;0;3;186;717;4.932;4.462;4.280;1.825;0;16.405;0;0;0;0;0;0;0;0;0;4;489;1.735;10.319;12.409;10.744;2.791;0;38.491
;08:7,01 a 10,00;0;0;220;615;3.904;4.092;4.095;958;0;13.884;0;1;152;435;3.068;4.530;5.148;958;0;14.292;0;0;0;0;0;0;0;0;0;1;372;1.050;6.972;8.622;9.243;1.916;0;28.176
;09:10,01 a 15,00;0;0;186;440;2.817;3.584;3.300;882;0;11.209;0;0;168;365;1.853;2.635;3.224;724;0;8.969;0;0;0;0;0;0;0;0;0;0;354;805;4.670;6.219;6.524;1.606;0;20.178
;10:15,01 a 20,00;0;0;70;165;852;1.572;1.846;475;0;4.980;0;0;69;139;559;982;1.065;310;0;3.124;0;0;0;0;0;0;0;0;0;0;139;304;1.411;2.554;2.911;785;0;8.104
;11:Mais de 20,00;0;0;71;249;1.091;1.730;2.451;676;0;6.268;0;0;36;240;804;968;1.153;278;0;3.479;0;0;0;0;0;0;0;0;0;0;107;489;1.895;2.698;3.604;954;0;9.747
;{ñ class};3;27;2.281;3.884;7.730;6.465;6.507;1.597;0;28.494;0;20;1.686;2.776;5.935;4.585;3.754;495;0;19.251;0;0;2;0;0;0;0;2;3;47;3.967;6.660;13.667;11.050;10.261;2.092;0;47.747
240810:Natal - RN;Total;6;205;15.883;21.090;51.105;44.719;33.764;4.165;0;170.937;2;201;11.917;16.878;42.387;35.146;26.664;2.894;1;136.090;0;0;0;0;0;0;0;0;8;406;27.800;37.968;93.492;79.865;60.428;7.059;1;307.027
;00:Até 0,50;3;111;1.019;182;302;208;180;40;0;2.045;0;116;1.265;182;250;213;177;38;0;2.241;0;0;0;0;0;0;0;0;3;227;2.284;364;552;421;357;78;0;4.286
;01:0,51 a 1,00;2;73;2.848;1.899;2.573;1.701;1.006;56;0;10.158;1;56;2.532;1.749;2.456;1.753;1.022;66;0;9.635;0;0;0;0;0;0;0;0;3;129;5.380;3.648;5.029;3.454;2.028;122;0;19.793
;02:1,01 a 1,50;0;11;7.845;9.601;16.709;11.892;8.147;465;0;54.670;0;16;5.886;8.141;15.656;11.754;6.908;288;0;48.649;0;0;0;0;0;0;0;0;0;27;13.731;17.742;32.365;23.646;15.055;753;0;103.319
;03:1,51 a 2,00;0;0;1.983;3.044;7.757;6.185;4.436;408;0;23.813;0;0;883;2.045;4.675;3.646;2.380;255;0;13.884;0;0;0;0;0;0;0;0;0;0;2.866;5.089;12.432;9.831;6.816;663;0;37.697
;04:2,01 a 3,00;0;1;753;2.133;6.574;5.243;4.071;559;0;19.334;0;0;339;1.673;5.622;4.333;3.137;365;0;15.469;0;0;0;0;0;0;0;0;0;1;1.092;3.806;12.196;9.576;7.208;924;0;34.803
;05:3,01 a 4,00;0;0;177;1.459;5.365;3.245;2.267;340;0;12.853;0;0;109;999;5.358;4.263;2.805;273;0;13.807;0;0;0;0;0;0;0;0;0;0;286;2.458;10.723;7.508;5.072;613;0;26.660
;06:4,01 a 5,00;0;0;69;400;2.816;3.149;2.195;369;0;8.998;0;0;72;353;2.281;2.172;2.488;379;0;7.745;0;0;0;0;0;0;0;0;0;0;141;753;5.097;5.321;4.683;748;0;16.743
;07:5,01 a 7,00;0;0;64;310;2.355;4.746;3.204;450;0;11.129;0;0;50;255;1.559;1.995;2.801;373;0;7.033;0;0;0;0;0;0;0;0;0;0;114;565;3.914;6.741;6.005;823;0;18.162
;08:7,01 a 10,00;0;0;140;231;1.270;2.060;1.864;235;0;5.800;0;0;44;128;978;1.127;1.391;224;0;3.892;0;0;0;0;0;0;0;0;0;0;184;359;2.248;3.187;3.255;459;0;9.692
;09:10,01 a 15,00;0;0;62;203;1.405;2.369;2.013;290;0;6.342;0;0;32;95;775;1.283;1.158;207;0;3.550;0;0;0;0;0;0;0;0;0;0;94;298;2.180;3.652;3.171;497;0;9.892
;10:15,01 a 20,00;0;0;22;57;315;724;1.060;260;0;2.438;0;0;11;30;151;420;573;103;0;1.288;0;0;0;0;0;0;0;0;0;0;33;87;466;1.144;1.633;363;0;3.726
;11:Mais de 20,00;0;0;8;50;369;686;917;178;0;2.208;0;0;7;48;216;339;323;71;0;1.004;0;0;0;0;0;0;0;0;0;0;15;98;585;1.025;1.240;249;0;3.212
;{ñ class};1;9;893;1.521;3.295;2.511;2.404;515;0;11.149;1;13;687;1.180;2.410;1.848;1.501;252;1;7.893;0;0;0;0;0;0;0;0;2;22;1.580;2.701;5.705;4.359;3.905;767;1;19.042
250750:João Pessoa - PB;Total;4;161;16.184;20.570;50.100;43.175;33.784;5.306;0;169.284;3;135;12.231;15.982;40.097;33.264;26.456;4.183;0;132.351;0;0;0;0;0;0;0;0;7;296;28.415;36.552;90.197;76.439;60.240;9.489;0;301.635
;00:Até 0,50;1;40;430;168;317;235;133;20;0;1.344;2;34;439;138;241;169;84;12;0;1.119;0;0;0;0;0;0;0;0;3;74;869;306;558;404;217;32;0;2.463
;01:0,51 a 1,00;2;85;3.355;1.994;3.184;2.167;1.571;208;0;12.566;1;75;3.418;2.058;3.594;2.522;1.789;159;0;13.616;0;0;0;0;0;0;0;0;3;160;6.773;4.052;6.778;4.689;3.360;367;0;26.182
;02:1,01 a 1,50;1;27;8.864;9.553;17.456;13.950;9.930;902;0;60.683;0;19;6.141;7.419;14.939;12.215;8.281;745;0;49.759;0;0;0;0;0;0;0;0;1;46;15.005;16.972;32.395;26.165;18.211;1.647;0;110.442
;03:1,51 a 2,00;0;0;1.342;2.936;7.668;6.492;4.432;400;0;23.270;0;1;839;2.170;5.656;4.295;3.076;399;0;16.436;0;0;0;0;0;0;0;0;0;1;2.181;5.106;13.324;10.787;7.508;799;0;39.706
;04:2,01 a 3,00;0;0;714;2.482;8.392;7.181;4.025;515;0;23.309;0;0;415;1.842;6.225;4.990;3.496;483;0;17.451;0;0;0;0;0;0;0;0;0;0;1.129;4.324;14.617;12.171;7.521;998;0;40.760
;05:3,01 a 4,00;0;0;195;727;3.244;3.001;3.221;503;0;10.891;0;0;110;551;2.531;2.176;2.532;641;0;8.541;0;0;0;0;0;0;0;0;0;0;305;1.278;5.775;5.177;5.753;1.144;0;19.432
;06:4,01 a 5,00;0;1;132;450;1.874;1.772;1.923;463;0;6.615;0;0;74;311;1.571;1.361;1.606;472;0;5.395;0;0;0;0;0;0;0;0;0;1;206;761;3.445;3.133;3.529;935;0;12.010
;07:5,01 a 7,00;0;1;115;365;1.758;1.768;1.802;434;0;6.243;0;0;59;230;1.489;1.653;1.883;397;0;5.711;0;0;0;0;0;0;0;0;0;1;174;595;3.247;3.421;3.685;831;0;11.954
;08:7,01 a 10,00;0;0;112;269;1.442;1.476;1.298;400;0;4.997;0;0;76;197;989;972;856;255;0;3.345;0;0;0;0;0;0;0;0;0;0;188;466;2.431;2.448;2.154;655;0;8.342
;09:10,01 a 15,00;0;1;88;216;1.236;1.500;1.370;366;0;4.777;0;0;74;141;680;940;895;258;0;2.988;0;0;0;0;0;0;0;0;0;1;162;357;1.916;2.440;2.265;624;0;7.765
;10:15,01 a 20,00;0;0;29;99;411;708;981;311;0;2.539;0;0;17;59;208;382;467;108;0;1.241;0;0;0;0;0;0;0;0;0;0;46;158;619;1.090;1.448;419;0;3.780
;11:Mais de 20,00;0;0;18;101;485;599;768;227;0;2.198;0;0;18;86;331;327;319;68;0;1.149;0;0;0;0;0;0;0;0;0;0;36;187;816;926;1.087;295;0;3.347
;{ñ class};0;6;790;1.210;2.633;2.326;2.330;557;0;9.852;0;6;551;780;1.643;1.262;1.172;186;0;5.600;0;0;0;0;0;0;0;0;0;12;1.341;1.990;4.276;3.588;3.502;743;0;15.452
261160:Recife - PE;Total;13;400;33.359;45.021;111.911;104.670;85.140;12.209;0;392.723;4;349;24.448;36.271;93.564;84.386;62.639;8.795;1;310.457;0;0;0;0;0;0;0;0;17;749;57.807;81.292;205.475;189.056;147.779;21.004;1;703.180
;00:Até 0,50;10;239;1.848;306;567;365;330;97;0;3.762;3;204;2.373;250;408;304;380;123;0;4.045;0;0;0;0;0;0;0;0;13;443;4.221;556;975;669;710;220;0;7.807
;01:0,51 a 1,00;2;117;4.603;2.763;3.974;2.787;3.066;456;0;17.768;1;96;4.131;3.250;5.290;3.912;2.563;277;0;19.520;0;0;0;0;0;0;0;0;3;213;8.734;6.013;9.264;6.699;5.629;733;0;37.288
;02:1,01 a 1,50;0;28;17.739;19.190;32.329;26.989;20.178;1.523;0;117.976;0;40;12.124;15.499;28.479;22.418;13.043;765;1;92.369;0;0;0;0;0;0;0;0;0;68;29.863;34.689;60.808;49.407;33.221;2.288;1;210.345
;03:1,51 a 2,00;0;3;3.867;7.222;19.904;20.495;17.189;1.396;0;70.076;0;0;2.318;5.442;14.041;13.071;10.270;1.134;0;46.276;0;0;0;0;0;0;0;0;0;3;6.185;12.664;33.945;33.566;27.459;2.530;0;116.352
;04:2,01 a 3,00;0;2;1.876;5.485;16.034;14.499;10.422;1.406;0;49.724;0;0;1.261;4.987;15.817;13.552;9.662;1.452;0;46.731;0;0;0;0;0;0;0;0;0;2;3.137;10.472;31.851;28.051;20.084;2.858;0;96.455
;05:3,01 a 4,00;0;2;589;2.666;7.800;5.817;4.907;950;0;22.731;0;0;327;1.781;7.060;7.146;5.901;936;0;23.151;0;0;0;0;0;0;0;0;0;2;916;4.447;14.860;12.963;10.808;1.886;0;45.882
;06:4,01 a 5,00;0;0;271;1.298;7.352;5.767;3.147;684;0;18.519;0;0;158;885;4.499;3.793;3.131;678;0;13.144;0;0;0;0;0;0;0;0;0;0;429;2.183;11.851;9.560;6.278;1.362;0;31.663
;07:5,01 a 7,00;0;0;291;1.123;6.420;7.274;5.004;870;0;20.982;0;0;159;850;5.600;6.026;5.347;928;0;18.910;0;0;0;0;0;0;0;0;0;0;450;1.973;12.020;13.300;10.351;1.798;0;39.892
;08:7,01 a 10,00;0;0;206;893;4.907;6.113;4.997;1.262;0;18.378;0;0;199;690;4.708;5.183;4.269;824;0;15.873;0;0;0;0;0;0;0;0;0;0;405;1.583;9.615;11.296;9.266;2.086;0;34.251
;09:10,01 a 15,00;0;0;181;538;3.164;4.481;4.118;891;0;13.373;0;0;170;356;2.005;3.100;2.777;558;0;8.966;0;0;0;0;0;0;0;0;0;0;351;894;5.169;7.581;6.895;1.449;0;22.339
;10:15,01 a 20,00;0;0;64;202;1.036;1.558;1.994;408;0;5.262;0;0;51;165;661;1.062;1.212;258;0;3.409;0;0;0;0;0;0;0;0;0;0;115;367;1.697;2.620;3.206;666;0;8.671
;11:Mais de 20,00;0;0;54;269;1.550;2.166;2.808;550;0;7.397;0;0;37;193;1.029;1.372;1.258;288;0;4.177;0;0;0;0;0;0;0;0;0;0;91;462;2.579;3.538;4.066;838;0;11.574
;{ñ class};1;9;1.770;3.066;6.874;6.359;6.980;1.716;0;26.775;0;9;1.140;1.923;3.967;3.447;2.826;574;0;13.886;0;0;0;0;0;0;0;0;1;18;2.910;4.989;10.841;9.806;9.806;2.290;0;40.661
270430:Maceió - AL;Total;15;385;18.574;21.412;45.238;41.053;30.954;4.038;0;161.669;10;335;13.552;15.798;34.492;31.533;23.445;2.936;0;122.101;0;0;0;0;0;0;0;0;25;720;32.126;37.210;79.730;72.586;54.399;6.974;0;283.770
;00:Até 0,50;11;199;729;170;264;133;87;4;0;1.597;6;172;775;121;196;122;78;3;0;1.473;0;0;0;0;0;0;0;0;17;371;1.504;291;460;255;165;7;0;3.070
;01:0,51 a 1,00;4;145;4.274;2.337;2.913;1.784;927;55;0;12.439;3;126;4.000;2.206;2.808;1.771;883;35;0;11.832;0;0;0;0;0;0;0;0;7;271;8.274;4.543;5.721;3.555;1.810;90;0;24.271
;02:1,01 a 1,50;0;28;9.709;10.016;15.543;12.485;7.561;346;0;55.688;0;25;6.312;7.506;13.402;10.321;5.156;252;0;42.974;0;0;0;0;0;0;0;0;0;53;16.021;17.522;28.945;22.806;12.717;598;0;98.662
;03:1,51 a 2,00;0;1;1.630;3.160;7.481;6.990;4.511;373;0;24.146;0;2;883;1.827;4.554;3.890;2.813;332;0;14.301;0;0;0;0;0;0;0;0;0;3;2.513;4.987;12.035;10.880;7.324;705;0;38.447
;04:2,01 a 3,00;0;0;596;1.608;5.493;5.894;4.224;575;0;18.390;0;1;345;1.192;4.200;5.109;4.648;637;0;16.132;0;0;0;0;0;0;0;0;0;1;941;2.800;9.693;11.003;8.872;1.212;0;34.522
;05:3,01 a 4,00;0;0;239;994;2.879;2.026;1.541;272;0;7.951;0;0;192;897;2.811;2.686;2.414;323;0;9.323;0;0;0;0;0;0;0;0;0;0;431;1.891;5.690;4.712;3.955;595;0;17.274
;06:4,01 a 5,00;0;0;182;914;2.973;1.652;1.140;249;0;7.110;0;0;111;469;1.771;1.629;1.355;277;0;5.612;0;0;0;0;0;0;0;0;0;0;293;1.383;4.744;3.281;2.495;526;0;12.722
;07:5,01 a 7,00;0;1;145;274;2.000;2.700;2.213;334;0;7.667;0;0;101;245;1.372;2.037;2.168;313;0;6.236;0;0;0;0;0;0;0;0;0;1;246;519;3.372;4.737;4.381;647;0;13.903
;08:7,01 a 10,00;0;0;117;183;996;1.722;2.022;267;0;5.307;0;0;87;117;612;897;947;206;0;2.866;0;0;0;0;0;0;0;0;0;0;204;300;1.608;2.619;2.969;473;0;8.173
;09:10,01 a 15,00;0;0;73;156;959;1.249;1.450;294;0;4.181;0;0;64;75;415;767;811;139;0;2.271;0;0;0;0;0;0;0;0;0;0;137;231;1.374;2.016;2.261;433;0;6.452
;10:15,01 a 20,00;0;0;25;73;318;563;624;104;0;1.707;0;0;6;24;137;241;279;54;0;741;0;0;0;0;0;0;0;0;0;0;31;97;455;804;903;158;0;2.448
;11:Mais de 20,00;0;0;15;78;385;540;795;203;0;2.016;0;0;14;48;249;273;273;70;0;927;0;0;0;0;0;0;0;0;0;0;29;126;634;813;1.068;273;0;2.943
;{ñ class};0;11;840;1.449;3.034;3.315;3.859;962;0;13.470;1;9;662;1.071;1.965;1.790;1.620;295;0;7.413;0;0;0;0;0;0;0;0;1;20;1.502;2.520;4.999;5.105;5.479;1.257;0;20.883
280030:Aracaju - SE;Total;17;378;11.608;14.974;36.554;32.948;25.657;2.669;0;124.805;6;325;8.519;11.972;31.557;29.009;18.009;1.396;0;100.793;0;0;0;0;0;0;0;0;23;703;20.127;26.946;68.111;61.957;43.666;4.065;0;225.598
;00:Até 0,50;14;251;779;171;241;188;152;11;0;1.807;4;219;838;119;206;198;167;10;0;1.761;0;0;0;0;0;0;0;0;18;470;1.617;290;447;386;319;21;0;3.568
;01:0,51 a 1,00;3;96;2.373;1.553;2.134;1.357;954;65;0;8.535;2;79;1.719;1.165;1.830;1.193;530;33;0;6.551;0;0;0;0;0;0;0;0;5;175;4.092;2.718;3.964;2.550;1.484;98;0;15.086
;02:1,01 a 1,50;0;16;6.272;7.220;12.194;9.274;5.672;252;0;40.900;0;10;4.542;6.332;11.957;9.017;4.492;132;0;36.482;0;0;0;0;0;0;0;0;0;26;10.814;13.552;24.151;18.291;10.164;384;0;77.382
;03:1,51 a 2,00;0;2;893;2.352;7.010;6.259;4.228;236;0;20.980;0;0;581;1.549;5.029;4.660;2.603;127;0;14.549;0;0;0;0;0;0;0;0;0;2;1.474;3.901;12.039;10.919;6.831;363;0;35.529
;04:2,01 a 3,00;0;1;353;1.308;4.378;3.807;3.263;319;0;13.429;0;0;249;1.091;3.891;3.715;2.434;241;0;11.621;0;0;0;0;0;0;0;0;0;1;602;2.399;8.269;7.522;5.697;560;0;25.050
;05:3,01 a 4,00;0;0;86;376;1.688;1.476;1.159;157;0;4.942;0;1;60;395;1.869;1.523;1.039;138;0;5.025;0;0;0;0;0;0;0;0;0;1;146;771;3.557;2.999;2.198;295;0;9.967
;06:4,01 a 5,00;0;0;59;451;2.304;971;950;156;0;4.891;0;0;35;214;1.272;1.191;829;116;0;3.657;0;0;0;0;0;0;0;0;0;0;94;665;3.576;2.162;1.779;272;0;8.548
;07:5,01 a 7,00;0;0;51;141;1.985;3.625;2.723;294;0;8.819;0;0;27;139;2.165;3.510;2.347;165;0;8.353;0;0;0;0;0;0;0;0;0;0;78;280;4.150;7.135;5.070;459;0;17.172
