;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;01:0,51 a 1,00;9;626;1.781;830;1.014;514;288;26;0;5.088;7;451;1.371;738;1.194;676;334;13;0;4.784;16;1.077;3.152;1.568;2.208;1.190;622;39;0;9.872
;02:1,01 a 1,50;6;417;20.109;14.811;17.098;7.257;3.656;330;0;63.684;7;298;15.191;12.143;17.291;8.982;4.826;225;0;58.963;13;715;35.300;26.954;34.389;16.239;8.482;555;0;122.647
;03:1,51 a 2,00;0;23;10.609;12.448;16.515;7.710;3.502;220;0;51.027;1;16;5.190;6.385;8.536;3.725;1.456;65;0;25.374;1;39;15.799;18.833;25.051;11.435;4.958;285;0;76.401
;04:2,01 a 3,00;0;6;7.018;11.859;20.102;11.532;5.993;435;0;56.945;0;3;2.799;5.542;11.768;9.550;6.641;511;0;36.814;0;9;9.817;17.401;31.870;21.082;12.634;946;0;93.759
;05:3,01 a 4,00;0;3;2.122;4.757;9.601;6.276;3.519;247;0;26.525;0;0;978;2.323;4.458;3.157;2.072;145;0;13.133;0;3;3.100;7.080;14.059;9.433;5.591;392;0;39.658
;06:4,01 a 5,00;0;1;724;2.318;6.363;4.585;2.081;154;0;16.226;0;0;447;1.288;3.086;2.440;1.400;49;0;8.710;0;1;1.171;3.606;9.449;7.025;3.481;203;0;24.936
;07:5,01 a 7,00;0;0;746;2.003;4.474;4.341;2.763;164;0;14.491;0;0;441;1.358;3.081;3.178;2.008;91;0;10.157;0;0;1.187;3.361;7.555;7.519;4.771;255;0;24.648
;08:7,01 a 10,00;0;0;244;1.079;3.584;3.428;2.069;144;0;10.548;0;0;140;821;2.379;2.307;1.541;70;0;7.258;0;0;384;1.900;5.963;5.735;3.610;214;0;17.806
;09:10,01 a 15,00;0;0;125;781;2.280;2.473;1.550;135;0;7.344;0;0;76;403;1.330;1.296;961;60;0;4.126;0;0;201;1.184;3.610;3.769;2.511;195;0;11.470
;10:15,01 a 20,00;0;0;7;188;1.054;1.068;870;76;0;3.263;0;0;8;112;515;491;437;22;0;1.585;0;0;15;300;1.569;1.559;1.307;98;0;4.848
;11:Mais de 20,00;0;0;7;125;1.008;1.605;1.521;130;0;4.396;0;0;7;67;416;731;603;39;0;1.863;0;0;14;192;1.424;2.336;2.124;169;0;6.259
;{ñ class};0;4;65;134;494;531;407;44;0;1.679;0;1;40;70;296;298;159;9;0;873;0;5;105;204;790;829;566;53;0;2.552
140010:Boa Vista - RR;Total;6;120;5.315;6.359;10.828;7.164;4.448;429;0;34.669;2;105;4.219;5.663;10.463;7.740;4.527;297;0;33.016;8;225;9.534;12.022;21.291;14.904;8.975;726;0;67.685
;00:Até 0,50;1;22;12;5;6;4;4;0;0;54;2;22;6;2;4;6;1;0;0;43;3;44;18;7;10;10;5;0;0;97
;01:0,51 a 1,00;4;35;353;263;303;131;84;21;0;1.194;0;33;341;292;473;230;106;7;0;1.482;4;68;694;555;776;361;190;28;0;2.676
;02:1,01 a 1,50;0;57;3.090;2.706;3.117;1.183;629;54;0;10.836;0;45;2.459;2.314;3.379;1.821;749;31;0;10.798;0;102;5.549;5.020;6.496;3.004;1.378;85;0;21.634
;03:1,51 a 2,00;0;2;725;1.057;1.594;638;310;30;0;4.356;0;3;497;563;823;361;168;10;0;2.425;0;5;1.222;1.620;2.417;999;478;40;0;6.781
;04:2,01 a 3,00;1;1;678;913;1.854;1.016;541;40;0;5.044;0;2;506;935;1.601;906;357;27;0;4.334;1;3;1.184;1.848;3.455;1.922;898;67;0;9.378
;05:3,01 a 4,00;0;1;225;466;797;419;264;20;0;2.192;0;0;159;414;672;385;187;7;0;1.824;0;1;384;880;1.469;804;451;27;0;4.016
;06:4,01 a 5,00;0;2;100;285;746;561;376;55;0;2.125;0;0;121;457;991;789;526;60;0;2.944;0;2;221;742;1.737;1.350;902;115;0;5.069
;07:5,01 a 7,00;0;0;77;360;1.156;1.486;1.088;129;0;4.296;0;0;96;429;1.437;1.791;1.427;123;0;5.303;0;0;173;789;2.593;3.277;2.515;252;0;9.599
;08:7,01 a 10,00;0;0;18;145;542;736;530;32;0;2.003;0;0;17;147;622;906;632;22;0;2.346;0;0;35;292;1.164;1.642;1.162;54;0;4.349
;09:10,01 a 15,00;0;0;18;85;288;433;241;17;0;1.082;0;0;9;58;256;261;217;7;0;808;0;0;27;143;544;694;458;24;0;1.890
;10:15,01 a 20,00;0;0;1;26;159;180;82;14;0;462;0;0;2;27;85;89;37;1;0;241;0;0;3;53;244;269;119;15;0;703
;11:Mais de 20,00;0;0;0;20;193;314;236;10;0;773;0;0;0;11;88;160;85;1;0;345;0;0;0;31;281;474;321;11;0;1.118
;{ñ class};0;0;18;28;73;63;63;7;0;252;0;0;6;14;32;35;35;1;0;123;0;0;24;42;105;98;98;8;0;375
150140:Belém - PA;Total;8;593;25.610;36.662;67.708;47.682;30.231;2.253;1;210.748;9;398;15.715;23.553;44.193;35.843;26.043;1.142;1;146.897;17;991;41.325;60.215;111.901;83.525;56.274;3.395;2;357.645
;00:Até 0,50;4;324;385;95;123;73;34;1;0;1.039;6;241;368;56;108;56;21;1;0;857;10;565;753;151;231;129;55;2;0;1.896
;01:0,51 a 1,00;1;199;3.223;2.474;2.261;878;356;18;0;9.410;2;122;2.355;1.923;2.443;1.150;387;12;0;8.394;3;321;5.578;4.397;4.704;2.028;743;30;0;17.804
;02:1,01 a 1,50;1;60;14.148;15.298;20.214;9.730;4.777;421;1;64.650;1;28;8.924;10.746;15.529;9.317;6.757;259;1;51.562;2;88;23.072;26.044;35.743;19.047;11.534;680;2;116.212
;03:1,51 a 2,00;0;4;3.561;6.681;12.577;7.610;4.572;371;0;35.376;0;6;1.971;3.450;6.058;3.904;2.297;136;0;17.822;0;10;5.532;10.131;18.635;11.514;6.869;507;0;53.198
;04:2,01 a 3,00;1;3;2.833;6.412;12.679;7.760;4.320;292;0;34.300;0;1;1.186;3.137;7.043;5.302;3.091;164;0;19.924;1;4;4.019;9.549;19.722;13.062;7.411;456;0;54.224
;05:3,01 a 4,00;1;0;683;1.846;7.763;6.472;2.523;202;0;19.490;0;0;356;1.259;3.547;4.124;2.908;100;0;12.294;1;0;1.039;3.105;11.310;10.596;5.431;302;0;31.784
;06:4,01 a 5,00;0;1;261;1.243;3.149;3.315;2.017;148;0;10.134;0;0;230;1.068;2.719;2.846;2.114;97;0;9.074;0;1;491;2.311;5.868;6.161;4.131;245;0;19.208
;07:5,01 a 7,00;0;0;232;1.231;3.760;4.399;3.688;232;0;13.542;0;0;186;1.089;3.519;3.981;3.351;152;0;12.278;0;0;418;2.320;7.279;8.380;7.039;384;0;25.820
;08:7,01 a 10,00;0;0;66;482;2.094;2.823;3.261;276;0;9.002;0;0;63;353;1.452;2.371;2.333;107;0;6.679;0;0;129;835;3.546;5.194;5.594;383;0;15.681
;09:10,01 a 15,00;0;0;83;456;1.127;1.765;1.743;106;0;5.280;0;0;37;225;735;1.134;1.253;31;0;3.415;0;0;120;681;1.862;2.899;2.996;137;0;8.695
;10:15,01 a 20,00;0;0;5;112;674;798;752;37;0;2.378;0;0;7;91;329;475;434;15;0;1.351;0;0;12;203;1.003;1.273;1.186;52;0;3.729
;11:Mais de 20,00;0;0;4;114;672;1.320;1.537;111;0;3.758;0;0;4;95;464;837;876;55;0;2.331;0;0;8;209;1.136;2.157;2.413;166;0;6.089
;{ñ class};0;2;126;218;615;739;651;38;0;2.389;0;0;28;61;247;346;221;13;0;916;0;2;154;279;862;1.085;872;51;0;3.305
160030:Macapá - AP;Total;5;124;6.773;8.456;15.372;10.058;5.825;553;1;47.167;4;89;4.549;6.318;13.058;9.500;5.572;410;0;39.500;9;213;11.322;14.774;28.430;19.558;11.397;963;1;86.667
;00:Até 0,50;2;52;83;17;10;4;0;0;0;168;1;40;90;5;9;7;1;0;0;153;3;92;173;22;19;11;1;0;0;321
;01:0,51 a 1,00;1;33;761;531;522;223;111;7;0;2.189;0;25;534;338;447;223;71;1;0;1.639;1;58;1.295;869;969;446;182;8;0;3.828
;02:1,01 a 1,50;2;36;3.762;3.111;3.428;1.236;611;45;0;12.231;2;20;2.400;2.204;3.016;1.374;607;23;0;9.646;4;56;6.162;5.315;6.444;2.610;1.218;68;0;21.877
;03:1,51 a 2,00;0;2;882;1.543;2.581;1.269;614;45;0;6.936;1;1;600;871;1.663;1.054;594;38;0;4.822;1;3;1.482;2.414;4.244;2.323;1.208;83;0;11.758
;04:2,01 a 3,00;0;0;594;1.235;2.576;1.440;700;80;1;6.626;0;1;367;696;1.243;599;326;24;0;3.256;0;1;961;1.931;3.819;2.039;1.026;104;1;9.882
;05:3,01 a 4,00;0;0;212;447;986;626;368;50;0;2.689;0;0;159;424;822;527;237;16;0;2.185;0;0;371;871;1.808;1.153;605;66;0;4.874
;06:4,01 a 5,00;0;1;110;393;864;539;280;36;0;2.223;0;0;128;694;1.344;688;471;63;0;3.388;0;1;238;1.087;2.208;1.227;751;99;0;5.611
;07:5,01 a 7,00;0;0;302;871;2.566;2.046;1.290;172;0;7.247;0;2;224;834;2.570;2.332;1.589;153;0;7.704;0;2;526;1.705;5.136;4.378;2.879;325;0;14.951
;08:7,01 a 10,00;0;0;37;137;894;1.226;833;51;0;3.178;0;0;27;134;1.364;1.602;850;64;0;4.041;0;0;64;271;2.258;2.828;1.683;115;0;7.219
;09:10,01 a 15,00;0;0;17;76;442;660;442;23;0;1.660;0;0;12;68;329;707;536;15;0;1.667;0;0;29;144;771;1.367;978;38;0;3.327
;10:15,01 a 20,00;0;0;2;37;214;256;228;7;0;744;0;0;4;16;108;139;128;7;0;402;0;0;6;53;322;395;356;14;0;1.146
;11:Mais de 20,00;0;0;2;43;237;477;314;32;0;1.105;0;0;2;28;105;229;152;6;0;522;0;0;4;71;342;706;466;38;0;1.627
;{ñ class};0;0;9;15;52;56;34;5;0;171;0;0;2;6;38;19;10;0;0;75;0;0;11;21;90;75;44;5;0;246
172100:Palmas - TO;Total;6;263;8.146;10.262;17.549;11.347;6.899;664;0;55.136;9;144;5.799;8.491;18.080;14.602;7.665;222;0;55.012;15;407;13.945;18.753;35.629;25.949;14.564;886;0;110.148
;00:Até 0,50;0;25;13;15;35;14;5;2;0;109;0;15;24;27;42;21;6;0;0;135;0;40;37;42;77;35;11;2;0;244
;01:0,51 a 1,00;4;83;739;449;530;328;225;39;0;2.397;4;52;495;429;795;478;268;7;0;2.528;8;135;1.234;878;1.325;806;493;46;0;4.925
;02:1,01 a 1,50;2;145;4.025;2.819;3.300;1.682;1.211;174;0;13.358;2;64;2.867;2.509;4.129;2.705;1.486;51;0;13.813;4;209;6.892;5.328;7.429;4.387;2.697;225;0;27.171
;03:1,51 a 2,00;0;8;1.475;2.058;2.904;1.476;908;92;0;8.921;1;8;1.020;1.284;2.246;1.674;1.133;38;0;7.404;1;16;2.495;3.342;5.150;3.150;2.041;130;0;16.325
