Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
230440:Fortaleza - CE;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;1;0;0;1;0;7;0;3;3;2;3;1;3;16;3;11;50;5;33;7;37;335;43;5;63;37;305;5;12;1;4;987;25;155;388;175;210;284;369;676;294;478;3.492;291;2.157;366;4.769;14.617;2.392;578;9.004;2.970;7.494;536;1.264;2.134;296;0;55.414;64;169;431;193;274;263;384;658;291;439;2.906;304;2.297;503;5.144;13.043;2.854;969;9.993;4.006;6.984;937;2.244;5.788;312;0;61.450;89;323;725;314;328;330;669;1.024;432;704;3.176;371;3.202;971;10.214;15.849;3.876;1.257;16.968;7.779;9.725;1.714;4.385;16.299;528;0;101.252;173;170;530;242;181;208;377;593;300;603;1.615;231;1.857;981;7.647;8.537;2.284;1.907;10.842;5.899;6.404;1.164;3.741;18.902;391;0;75.779;113;72;297;116;80;109;191;283;148;269;633;98;741;861;4.237;3.488;931;1.278;4.897;3.249;3.105;618;2.618;17.153;272;0;45.857;4;4;7;1;3;5;6;26;2;23;28;2;39;23;176;133;37;26;308;136;202;41;356;2.641;35;4.264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;468;896;2.381;1.043;1.079;1.200;1.999;3.276;1.470;2.527;11.900;1.303;10.326;3.713;32.224;56.004;12.417;6.020;52.076;24.076;34.220;5.015;14.621;62.919;1.838;0;345.011
240810:Natal - RN;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;0;0;1;0;0;1;0;0;9;0;2;1;0;0;0;2;4;0;0;25;0;13;7;33;281;34;4;32;23;122;28;23;0;3;637;22;88;132;53;21;15;165;120;50;43;2.623;95;513;237;2.469;6.820;1.048;206;3.208;824;2.916;318;427;944;112;0;23.469;78;88;127;58;30;10;151;137;59;51;2.003;94;499;493;2.762;5.424;1.046;355;4.096;1.110;2.718;473;849;3.342;167;0;26.220;136;131;173;99;37;12;267;225;102;63;1.902;101;668;1.018;4.664;6.565;1.510;395;6.159;2.201;3.761;784;1.477;10.155;296;0;42.901;323;84;143;56;18;13;133;175;37;24;908;32;376;1.422;3.563;3.359;832;534;4.103;1.872;2.169;494;1.051;14.086;232;0;36.039;290;51;60;33;13;4;65;62;10;17;271;11;139;1.023;1.867;1.214;317;270;1.835;1.148;988;214;594;11.112;204;0;21.812;3;4;3;0;0;0;2;12;1;0;8;0;3;27;56;59;8;8;81;46;74;12;40;1.012;13;1.472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852;448;639;299;119;54;785;735;259;198;7.740;333;2.211;4.228;15.416;23.726;4.795;1.772;19.514;7.225;12.748;2.323;4.462;40.651;1.027;0;152.559
250750:João Pessoa - PB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;0;0;0;5;0;3;0;1;0;0;1;1;0;0;17;0;4;0;8;51;1;1;8;1;50;0;1;3;0;151;3;267;84;186;4;1;87;217;89;249;533;152;541;484;1.958;3.663;790;169;1.809;531;1.462;145;301;2.110;61;0;15.896;4;315;70;147;1;2;102;257;91;236;758;108;602;974;2.309;3.640;941;285;2.850;846;1.420;266;716;4.371;100;0;21.411;8;519;110;97;4;7;164;444;135;325;967;133;923;1.303;4.123;4.665;1.385;393;5.197;1.928;2.217;608;1.766;9.541;155;0;37.117;3;272;60;70;1;7;86;224;72;198;521;50;408;862;2.786;2.051;561;503;2.950;1.434;1.554;494;1.765;16.636;156;0;33.724;5;119;24;24;0;0;29;92;38;70;199;8;154;548;1.451;638;183;266;1.204;831;847;351;1.950;12.599;185;0;21.815;3;6;0;1;0;0;2;6;1;7;5;0;6;28;51;25;7;9;57;55;64;39;154;1.197;18;1.741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;1.501;348;526;10;17;471;1.241;426;1.085;3.000;451;2.638;4.199;12.686;14.735;3.869;1.626;14.076;5.626;7.615;1.903;6.653;46.457;675;0;131.860
261160:Recife - PE;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;4;0;0;2;2;0;0;5;4;0;4;2;1;6;3;6;197;24;6;23;6;134;0;4;3;1;433;51;188;363;130;250;60;215;413;205;382;169;44;1.584;448;4.589;9.698;2.491;563;8.011;1.633;4.705;563;607;3.404;221;0;40.987;63;345;544;197;313;77;235;560;241;585;157;64;1.853;913;5.820;10.733;3.562;1.066;10.117;2.715;4.956;1.416;1.461;6.324;356;0;54.673;162;710;724;329;380;156;358;841;303;934;257;108;3.352;1.985;11.606;14.975;5.623;1.381;17.500;5.684;8.473;3.120;3.453;18.032;601;0;101.047;139;462;583;236;275;101;185;533;155;569;140;65;2.082;2.473;8.774;6.811;2.734;1.607;11.499;5.183;5.527;1.498;3.766;27.990;461;0;83.848;94;182;257;128;105;39;85;270;51;236;67;33;961;2.481;5.398;2.910;1.098;808;6.432;3.014;3.217;710;3.364;18.223;401;0;50.564;3;20;8;4;6;0;6;40;1;11;5;0;52;40;225;116;57;23;381;132;301;81;333;1.420;33;3.298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512;1.907;2.481;1.026;1.329;433;1.089;2.662;956;2.721;797;315;9.890;8.343;36.418;45.441;15.589;5.454;53.963;18.368;27.314;7.388;12.988;75.396;2.074;0;334.854
270430:Maceió - AL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;3;0;0;0;0;8;0;2;0;0;0;0;2;2;2;6;1;0;11;22;1;130;11;2;10;3;111;1;0;0;3;320;19;49;56;143;4;11;87;110;24;219;49;5;1.693;336;1.456;4.914;791;176;1.300;554;1.969;290;373;670;92;0;15.390;24;46;76;158;2;17;100;144;40;257;55;4;1.778;461;1.867;4.588;1.025;262;2.262;979;2.465;464;732;2.371;116;0;20.293;47;90;134;210;11;37;142;259;46;366;79;10;2.657;839;3.694;6.276;1.411;355;4.520;2.237;4.613;966;1.923;7.845;218;0;38.985;40;46;106;144;4;30;65;108;22;283;42;1;1.392;830;2.630;2.665;690;474;2.323;1.700;2.450;537;1.494;11.845;141;0;30.062;29;21;85;72;0;16;27;43;13;121;22;0;551;638;1.333;1.055;267;198;793;944;1.260;251;1.389;7.155;119;0;16.402;3;0;2;0;0;0;0;4;0;2;0;0;15;14;29;36;19;4;29;30;111;22;101;567;6;994;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;162;254;459;727;21;111;423;670;147;1.254;248;20;8.097;3.141;11.010;19.667;4.214;1.471;11.239;6.447;12.982;2.531;6.012;30.453;695;0;122.455
280030:Aracaju - SE;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;6;1;1;1;9;0;0;1;2;0;6;13;0;10;0;14;149;8;5;12;7;69;2;5;0;0;315;87;131;130;268;26;8;92;148;17;104;260;6;332;112;2.253;4.012;693;167;1.883;689;1.741;360;349;1.348;133;0;15.349;212;127;166;232;24;4;71;131;20;127;243;2;330;388;2.507;3.628;865;273;2.820;1.066;1.584;540;598;2.494;150;0;18.602;297;204;156;180;20;24;197;215;35;170;428;1;519;565;4.136;4.475;1.099;288;4.923;2.123;2.244;855;1.433;6.733;348;0;31.668;414;136;118;77;17;9;58;167;9;85;269;0;287;678;3.217;2.057;531;480;2.577;1.573;1.469;720;880;9.279;386;0;25.493;567;93;51;15;6;4;33;54;4;24;103;0;115;569;2.056;630;182;189;1.018;831;730;482;473;6.178;454;0;14.861;11;9;0;0;0;0;3;6;0;2;7;0;3;42;71;12;7;2;42;20;39;30;37;505;42;890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.589;701;622;782;93;49;455;723;85;518;1.324;9;1.596;2.354;14.255;14.965;3.386;1.404;13.275;6.309;7.876;2.989;3.775;26.537;1.513;0;107.184
292740:Salvador - BA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;4;1;5;0;0;0;0;25;2;0;2;12;1;0;4;6;0;7;5;0;11;92;28;423;19;13;65;37;339;15;51;15;0;1.147;159;167;360;150;103;25;242;268;76;350;316;3;1.053;361;6.285;13.427;2.022;630;9.703;3.602;6.582;1.185;941;4.444;133;1;52.588;334;242;404;225;101;52;332;389;119;494;300;12;1.268;768;7.786;13.700;2.595;960;12.679;5.306;7.088;2.566;1.993;9.599;198;0;69.510;446;338;443;265;115;86;441;540;126;652;402;10;1.758;1.438;13.338;16.751;4.053;1.378;21.318;11.730;10.897;4.569;4.403;26.652;350;0;122.499;933;197;251;137;82;44;208;449;68;449;252;2;864;2.215;9.953;8.109;2.257;1.778;13.272;9.606;6.678;2.557;3.169;28.262;276;0;92.068;839;133;178;88;45;41;77;248;27;208;122;3;299;2.304;6.723;3.281;966;785;6.460;4.907;3.083;1.003;2.232;22.421;188;0;56.661;22;3;5;0;0;1;5;21;2;10;3;0;12;54;318;179;45;40;414;177;265;81;303;2.675;12;4.647;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;2.735;1.080;1.643;877;447;249;1.309;1.921;418;2.170;1.400;30;5.265;7.232;44.431;55.886;11.957;5.584;63.915;35.366;34.938;11.976;13.092;94.068;1.157;1;399.147
310620:Belo Horizonte - MG;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;17;5;0;2;0;3;0;0;0;0;31;0;5;39;18;16;9;24;31;19;25;28;7;80;9;223;1.330;242;11;378;84;4.004;39;45;18;28;6.712;94;247;1.983;857;458;741;515;1.112;626;845;770;126;2.101;670;18.334;21.365;3.963;1.359;23.005;6.312;11.352;1.440;1.175;9.325;535;0;109.310;227;334;2.260;744;312;640;479;1.012;584;756;531;74;1.719;1.655;17.241;15.838;3.694;2.104;22.722;7.771;10.350;2.423;2.051;20.186;468;0;116.175;399;541;3.867;1.091;382;816;729;1.504;767;1.036;804;180;2.580;6.353;28.935;19.775;4.888;3.327;33.130;14.492;16.442;4.114;4.340;43.006;827;0;194.325;300;390;2.928;707;208;392;441;920;453;622;537;180;1.545;7.207;22.495;11.188;2.781;3.827;22.260;11.613;11.700;2.606;3.816;40.063;603;0;149.782;258;173;1.481;435;114;167;267;530;205;311;261;63;714;4.590;17.245;5.667;1.321;1.795;13.563;6.117;6.797;1.718;2.996;25.718;405;0;92.911;20;5;58;19;5;18;12;60;16;14;16;9;44;53;899;353;93;89;1.101;275;679;147;307;1.907;30;6.229;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1.298;1.695;12.616;3.871;1.495;2.783;2.467;5.169;2.670;3.610;2.947;639;8.783;20.537;105.375;75.533;16.987;12.512;116.162;46.664;61.327;12.487;14.730;140.223;2.897;0;675.477
320530:Vitória - ES;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7;8;2;0;1;1;10;1;2;0;0;34;2;0;0;1;0;0;1;24;1;0;1;0;36;0;69;346;44;7;54;108;555;56;34;0;1;1.340;203;7;56;49;3;22;33;208;66;111;28;0;363;369;2.379;3.880;482;312;2.581;1.628;2.657;339;308;1.482;18;0;17.584;518;10;68;67;4;19;30;243;47;182;25;0;251;460;2.223;2.747;500;435;3.188;2.601;1.985;533;685;2.576;44;0;19.441;797;15;65;116;8;23;42;408;62;282;25;0;336;778;3.665;3.450;709;542;4.552;3.733;2.813;757;1.445;7.609;97;0;32.329;674;11;55;48;3;6;14;276;26;139;25;2;183;673;3.214;1.772;376;852;3.103;2.559;2.579;373;1.456;9.009;203;0;27.631;388;6;55;32;2;10;14;166;13;56;12;0;71;552;2.877;785;196;461;1.954;1.302;1.766;164;1.230;6.006;269;0;18.387;5;0;0;1;0;0;2;5;1;0;1;0;4;16;112;49;24;10;145;32;148;21;90;462;15;1.143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.587;49;299;314;20;80;136;1.331;216;770;117;2;1.245;2.848;14.546;13.037;2.333;2.619;15.578;11.964;12.513;2.244;5.250;27.144;647;0;117.889
330455:Rio de Janeiro - RJ;0;1;5;1;0;1;0;1;1;3;0;0;1;1;6;8;1;0;17;1;12;0;0;0;0;60;0;29;76;44;15;15;6;71;29;137;33;0;69;46;158;909;120;46;353;148;2.027;11;30;1;6;4.379;525;486;1.582;1.247;323;983;403;1.387;927;1.666;1.109;85;3.802;2.232;12.122;37.816;6.677;3.254;33.981;11.354;26.264;2.695;2.415;11.743;228;0;165.306;1.959;648;2.253;1.924;490;1.216;416;2.138;1.407;2.567;1.037;85;4.608;3.282;14.766;35.426;8.549;5.828;46.418;18.978;25.985;4.932;4.658;18.280;224;0;208.074;3.364;1.313;3.850;2.967;1.041;1.664;692;3.812;2.341;4.906;1.420;136;7.440;5.763;25.673;46.927;13.572;9.018;78.080;36.035;40.741;7.584;9.774;61.149;393;0;369.655;3.438;1.069;3.427;2.526;1.036;1.921;619;3.191;1.891;4.226;1.228;117;5.135;8.078;18.453;29.602;8.977;8.015;57.229;30.735;30.779;5.002;10.409;70.118;336;0;307.557;3.724;590;2.123;1.751;652;1.724;391;2.209;850;2.319;747;78;2.306;7.849;15.026;16.795;5.207;4.721;35.880;22.431;20.056;4.047;9.373;50.724;325;0;211.898;156;38;114;97;36;71;31;152;38;187;59;22;151;576;814;1.229;361;201;3.647;1.264;2.476;432;1.333;4.725;37;18.247;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;7;0;12;13.166;4.174;13.430;10.557;3.593;7.595;2.558;12.961;7.484;16.011;5.633;523;23.512;27.827;87.019;168.712;43.464;31.083;255.606;120.947;148.340;24.704;37.993;216.747;1.549;0;1.285.188
355030:São Paulo - SP;0;0;0;1;0;0;0;1;0;1;0;0;0;2;2;12;4;0;3;3;37;0;2;0;0;68;4;55;312;275;123;157;54;212;122;216;367;29;203;169;217;5.309;740;265;1.793;442;6.426;72;383;1;25;17.971;138;1.335;9.405;6.716;4.038;3.762;1.693;6.021;3.910;7.525;9.531;342;8.768;2.099;35.343;88.900;25.541;13.058;93.057;26.722;41.550;6.735;3.822;13.804;635;0;414.450;265;1.576;9.372;7.374;4.110;4.160;1.769;6.790;3.888;10.031;7.192;222;8.758;3.363;34.826;67.614;25.333;18.753;96.627;36.683;35.435;10.221;6.045;33.270;597;0;434.274;449;2.908;15.538;11.698;6.158;6.721;3.142;11.357;5.816;19.320;10.193;357;14.667;8.572;62.061;91.935;37.676;25.098;147.918;65.447;56.768;17.357;13.914;100.005;1.104;0;736.179;463;2.160;12.231;9.839;4.631;5.020;1.888;7.466;3.986;12.402;6.378;271;8.050;7.851;44.202;50.724;21.945;16.022;87.912;50.512;35.433;11.696;14.085;115.988;793;0;531.948;387;1.232;7.358;5.988;2.542;2.525;1.229;3.669;2.155;5.696;3.298;204;3.349;5.324;29.277;26.020;11.523;7.055;41.943;27.637;19.568;7.233;9.595;82.548;608;0;307.963;29;57;370;292;139;101;76;276;138;318;221;19;207;238;1.398;1.596;673;239;2.996;1.349;1.909;712;1.469;6.047;65;20.934;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;4;1.735;9.323;54.586;42.183;21.741;22.446;9.851;35.792;20.015;55.509;37.180;1.444;44.002;27.618;207.326;332.112;123.435;80.490;472.250;208.796;197.126;54.026;49.315;351.663;3.827;0;2.463.791
410690:Curitiba - PR;0;0;0;1;2;1;0;0;0;1;0;0;1;10;0;18;0;0;4;1;4;0;1;5;0;49;1;18;58;139;47;125;32;99;41;49;25;0;158;98;46;1.913;168;39;538;208;1.267;95;60;98;17;5.339;12;324;1.599;2.258;864;1.836;683;1.803;485;1.027;327;18;2.328;1.305;3.683;17.336;2.647;1.223;10.113;4.510;6.412;873;1.136;2.931;192;0;65.925;18;260;1.357;2.980;864;2.314;643;1.675;601;828;206;7;2.240;2.140;3.758;12.365;2.409;1.897;10.946;5.496;4.927;1.196;1.928;6.081;193;0;67.329;36;539;1.915;4.025;1.090;3.571;1.246;2.430;780;1.321;364;15;2.923;3.306;7.685;16.749;3.580;3.144;17.106;10.270;7.757;2.016;4.228;19.323;353;0;115.772;48;399;1.100;2.271;688;2.539;972;1.242;449;960;258;13;1.416;5.222;6.540;9.557;1.990;3.373;10.615;8.009;5.479;2.085;3.701;22.725;252;0;91.903;42;196;544;892;256;806;530;501;185;505;118;3;474;2.810;4.802;5.092;1.007;1.332;6.384;4.845;3.799;2.254;2.470;14.456;200;0;54.503;5;11;19;18;7;23;49;26;15;30;8;0;22;49;220;303;50;31;455;260;387;200;279;1.034;14;3.515;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;162;1.747;6.592;12.584;3.818;11.215;4.155;7.776;2.556;4.721;1.306;56;9.562;14.940;26.734;63.333;11.851;11.039;56.161;33.600;30.032;8.719;13.803;66.653;1.221;0;404.336
420540:Florianópolis - SC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;9;0;0;0;0;18;0;1;3;6;8;0;5;8;3;8;2;0;23;11;10;327;15;10;68;20;622;9;15;0;5;1.179;4;22;26;101;118;8;55;160;71;35;19;0;213;191;677;4.660;287;293;3.685;1.232;2.916;153;252;2.547;35;0;17.760;6;27;37;100;191;6;36;161;69;29;9;3;134;471;725;3.464;296;503;4.173;1.620;2.376;234;530;4.563;42;0;19.805;27;38;42;111;159;11;85;261;76;34;24;1;188;956;1.308;4.080;365;689;6.085;2.803;3.073;345;1.405;11.450;49;0;33.665;13;22;20;45;43;13;48;153;49;16;6;2;72;1.268;884;2.041;197;830;3.866;2.112;2.132;186;1.837;15.206;50;0;31.111;12;14;14;12;9;0;29;51;33;5;7;1;31;993;635;942;86;383;2.223;1.412;1.293;199;1.728;9.301;50;0;19.463;3;1;2;0;1;0;2;5;2;1;0;0;1;24;26;45;7;13;139;59;107;16;84;443;4;985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;65;125;144;375;529;38;260;799;303;128;67;7;662;3.914;4.265;15.567;1.253;2.721;20.240;9.258;12.528;1.142;5.851;43.511;235;0;123.987
431490:Porto Alegre - RS;0;0;0;2;1;2;0;0;1;3;0;0;3;0;10;8;1;1;7;4;5;0;0;0;0;48;1;5;41;48;52;49;3;50;25;48;13;0;58;32;175;1.398;103;40;216;212;781;21;23;1;7;3.402;26;113;591;719;595;718;179;816;390;607;134;12;1.106;447;3.751;13.576;2.326;1.274;8.062;3.663;5.624;938;643;2.357;165;0;48.832;31;101;624;867;704;879;179;920;536;677;118;7;1.160;785;4.206;10.002;2.234;2.217;10.163;5.089;4.964;1.713;1.238;5.863;134;0;55.411;72;146;1.011;1.190;773;1.220;240;1.379;598;924;169;6;1.526;1.314;7.197;12.433;3.231;3.350;15.458;8.517;7.220;3.416;2.540;17.760;275;0;91.965;84;126;811;1.021;422;989;195;1.010;319;604;154;8;861;1.681;5.742;7.309;2.026;3.859;10.053;6.981;5.391;2.588;2.740;26.406;279;0;81.659;68;77;497;520;168;400;136;575;145;325;101;6;389;1.541;4.854;3.700;1.150;2.279;6.541;4.957;4.166;1.993;2.473;20.607;246;0;57.914;5;7;31;25;13;4;9;42;5;13;9;0;12;61;193;203;72;57;600;242;432;257;312;1.058;35;3.697;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;287;575;3.606;4.392;2.728;4.261;941;4.792;2.019;3.201;698;39;5.115;5.861;26.129;48.630;11.143;13.077;51.100;29.666;28.583;10.926;9.969;74.052;1.141;0;342.931
500270:Campo Grande - MS;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;1;0;1;0;0;0;0;11;3;2;4;6;1;2;7;17;4;1;6;0;39;22;29;600;51;10;40;38;691;13;42;1;36;1.665;10;92;235;79;19;45;100;189;155;165;127;2;1.074;101;2.832;6.179;743;284;2.536;1.143;1.561;363;348;2.120;527;0;21.029;10;123;192;111;10;47;126;168;208;158;62;2;980;248;2.589;4.995;887;324;2.664;1.546;1.294;598;667;4.135;586;0;22.730;23;186;264;131;13;62;188;235;253;221;102;5;1.337;373;4.109;6.278;1.242;482;3.676;2.861;2.054;955;1.429;9.166;1.107;0;36.752;15;88;109;72;8;24;96;153;153;98;41;2;641;459;3.382;3.154;646;540;2.005;2.175;1.317;796;1.246;8.840;811;0;26.871;15;58;52;26;2;17;65;55;62;53;15;1;284;432;2.665;1.456;278;157;1.155;1.462;857;641;1.035;5.748;647;0;17.238;0;0;0;2;0;1;1;3;4;5;1;0;12;10;132;85;17;4;81;63;93;54;66;347;38;1.019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;76;549;856;427;53;198;583;821;839;701;354;12;4.367;1.645;15.738;22.755;3.864;1.801;12.158;9.288;7.868;3.420;4.833;30.358;3.752;0;127.316
510340:Cuiabá - MT;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;3;0;1;0;1;1;0;0;0;12;0;5;22;2;2;2;12;14;16;9;25;1;40;2;67;522;49;3;65;14;310;6;21;2;8;1.219;45;205;514;44;109;25;241;185;272;213;181;1;622;266;2.346;6.092;923;290;1.906;1.075;1.988;185;331;1.188;153;0;19.400;43;210;398;50;77;25;172;173;292;171;109;1;511;483;2.055;4.349;823;397;2.325;1.316;1.589;292;502;3.488;221;0;20.072;69;300;486;76;95;52;230;215;318;195;131;3;733;672;3.394;5.214;1.169;430;3.431;2.434;2.283;488;1.217;8.899;435;0;32.969;65;186;198;33;43;46;131;129;139;109;61;1;348;436;2.816;2.437;573;397;1.912;1.619;1.398;196;1.049;8.362;394;0;23.078;95;97;87;21;21;20;68;66;58;49;40;1;146;224;2.222;1.081;254;151;939;884;854;79;1.208;6.873;405;0;15.943;10;3;4;2;0;1;7;2;2;2;3;1;2;6;81;57;13;5;66;39;79;10;73;531;27;1.026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;327;1.006;1.709;228;347;171;861;784;1.098;748;551;9;2.402;2.089;12.981;19.756;3.807;1.673;10.645;7.381;8.502;1.257;4.401;29.343;1.643;0;113.719
520870:Goiânia - GO;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;11;2;0;1;0;31;2;46;0;0;96;1;7;30;12;1;5;29;42;24;29;158;15;69;1;38;1.198;149;7;103;64;1.508;24;1.675;2;17;5.208;26;280;536;187;108;202;510;652;408;1.224;1.605;238;1.869;169;4.319;13.885;3.088;569;6.789;2.366;4.308;753;740;3.466;363;0;48.660;26;318;468;207;70;140;411;475;366;926;856;148;1.698;563;4.359;9.805;2.488;763;5.389;3.047;3.544;918;1.192;7.549;406;0;46.132;19;450;705;324;109;216;658;675;385;1.188;813;134;2.231;1.058;7.942;12.044;3.207;962;6.750;5.825;5.057;1.383;2.219;18.666;733;0;73.753;22;257;391;162;54;125;293;357;250;488;316;90;1.051;1.462;6.163;6.155;1.751;1.270;3.446;4.080;2.987;1.035;1.708;18.370;586;0;52.869;23;136;209;96;21;113;111;132;96;229;153;26;451;1.826;3.952;2.616;796;440;1.906;2.732;1.834;1.008;1.192;13.552;446;0;34.096;0;5;9;5;1;9;7;9;8;9;11;2;21;78;170;138;42;18;128;115;173;80;104;1.231;22;2.395;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;117;1.453;2.348;993;364;810;2.020;2.342;1.537;4.093;3.913;654;7.390;5.157;26.943;45.852;11.524;4.029;24.512;18.229;19.442;5.203;8.876;62.836;2.573;0;263.210
