;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
;10:15,01 a 20,00;0;0;0;0;2;0;27;3;501;25;20;578;0;0;0;0;0;0;6;4;303;18;6;337;0;0;0;0;2;0;33;7;804;43;26;915
;11:Mais de 20,00;0;1;0;0;0;0;22;2;519;30;32;606;0;0;0;0;0;0;3;1;190;21;10;225;0;1;0;0;0;0;25;3;709;51;42;831
;{ñ class};12;86;60;77;188;115;1.320;38;141;7;18;2.062;8;61;53;77;162;76;925;47;154;5;11;1.579;20;147;113;154;350;191;2.245;85;295;12;29;3.641
130260:Manaus - AM;Total;401;3.502;2.248;7.899;17.494;12.825;199.477;9.628;50.042;1.632;3.394;308.542;195;1.434;1.033;2.924;7.455;6.088;123.304;8.211;68.976;1.402;2.748;223.770;596;4.936;3.281;10.823;24.949;18.913;322.781;17.839;119.018;3.034;6.142;532.312
;00:Até 0,50;6;9;18;153;107;1.366;1.992;72;101;16;14;3.854;1;9;3;94;62;1.095;1.675;106;143;24;7;3.219;7;18;21;247;169;2.461;3.667;178;244;40;21;7.073
;01:0,51 a 1,00;36;165;123;555;905;1.473;11.164;394;647;64;21;15.547;30;192;110;390;858;1.147;10.632;595;1.299;63;19;15.335;66;357;233;945;1.763;2.620;21.796;989;1.946;127;40;30.882
;02:1,01 a 1,50;201;1.123;774;3.062;5.931;4.715;65.974;1.698;2.595;88;37;86.198;98;717;527;1.332;3.212;2.344;50.035;2.609;5.069;88;40;66.071;299;1.840;1.301;4.394;9.143;7.059;116.009;4.307;7.664;176;77;152.269
;03:1,51 a 2,00;69;1.065;636;1.870;3.850;2.110;47.495;1.419;3.360;104;57;62.035;26;272;279;610;2.041;792;31.882;1.485;5.490;111;73;43.061;95;1.337;915;2.480;5.891;2.902;79.377;2.904;8.850;215;130;105.096
;04:2,01 a 3,00;49;739;374;1.154;3.318;1.485;35.786;2.172;11.451;112;240;56.880;11;135;54;262;645;285;15.661;1.510;19.014;169;549;38.295;60;874;428;1.416;3.963;1.770;51.447;3.682;30.465;281;789;95.175
;05:3,01 a 4,00;8;104;101;300;909;367;10.787;1.140;5.389;115;157;19.377;4;31;14;44;148;90;3.891;662;8.694;156;291;14.025;12;135;115;344;1.057;457;14.678;1.802;14.083;271;448;33.402
;06:4,01 a 5,00;2;24;29;109;527;154;5.510;797;5.625;121;180;13.078;4;5;5;13;69;24;1.907;389;9.704;115;281;12.516;6;29;34;122;596;178;7.417;1.186;15.329;236;461;25.594
