;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
110020:Porto Velho - RO;Total;237;2.096;1.906;5.569;7.295;5.930;53.967;1.770;14.300;304;99;93.473;98;662;554;1.712;3.101;3.198;48.191;2.218;20.932;337;63;81.066;335;2.758;2.460;7.281;10.396;9.128;102.158;3.988;35.232;641;162;174.539
;00:Até 0,50;0;4;0;142;40;167;93;10;37;1;1;495;0;1;6;103;46;163;102;8;51;1;0;481;0;5;6;245;86;330;195;18;88;2;1;976
;01:0,51 a 1,00;10;29;46;142;160;251;702;35;136;5;3;1.519;3;24;29;103;112;281;898;59;205;4;0;1.718;13;53;75;245;272;532;1.600;94;341;9;3;3.237
;02:1,01 a 1,50;96;344;432;958;1.621;1.659;11.340;307;416;9;1;17.183;45;246;246;787;1.410;1.652;17.054;655;875;14;1;22.985;141;590;678;1.745;3.031;3.311;28.394;962;1.291;23;2;40.168
;03:1,51 a 2,00;66;463;387;1.241;1.574;1.644;10.212;305;615;9;0;16.516;9;88;78;297;565;668;10.337;481;1.502;10;2;14.037;75;551;465;1.538;2.139;2.312;20.549;786;2.117;19;2;30.553
;04:2,01 a 3,00;41;571;489;1.431;1.841;1.289;12.306;420;1.899;27;11;20.325;6;196;125;180;396;264;8.382;530;4.766;28;3;14.876;47;767;614;1.611;2.237;1.553;20.688;950;6.665;55;14;35.201
;05:3,01 a 4,00;8;219;192;620;736;390;4.866;195;2.020;24;1;9.271;28;34;20;54;179;61;6.392;195;5.090;33;7;12.093;36;253;212;674;915;451;11.258;390;7.110;57;8;21.364
;06:4,01 a 5,00;3;77;83;281;286;212;6.025;174;1.118;24;2;8.285;3;4;17;43;62;28;1.786;110;1.891;33;6;3.983;6;81;100;324;348;240;7.811;284;3.009;57;8;12.268
;07:5,01 a 7,00;2;155;69;287;457;145;4.286;156;1.569;29;8;7.163;0;48;6;71;213;22;1.771;87;2.062;43;5;4.328;2;203;75;358;670;167;6.057;243;3.631;72;13;11.491
;08:7,01 a 10,00;0;56;22;185;262;31;1.963;78;1.963;52;7;4.619;0;5;0;12;38;11;654;52;1.783;63;8;2.626;0;61;22;197;300;42;2.617;130;3.746;115;15;7.245
;09:10,01 a 15,00;0;13;13;30;69;34;819;49;1.917;74;19;3.037;0;1;0;7;22;4;352;24;1.373;85;13;1.881;0;14;13;37;91;38;1.171;73;3.290;159;32;4.918
;10:15,01 a 20,00;0;1;7;9;17;10;523;21;1.117;21;14;1.740;0;0;0;0;2;6;143;4;610;14;5;784;0;1;7;9;19;16;666;25;1.727;35;19;2.524
;11:Mais de 20,00;0;0;7;3;7;12;334;11;1.424;29;28;1.855;0;0;0;0;1;5;62;5;612;9;11;705;0;0;7;3;8;17;396;16;2.036;38;39;2.560
;{ñ class};11;164;159;240;225;86;498;9;69;0;4;1.465;4;15;27;55;55;33;258;8;112;0;2;569;15;179;186;295;280;119;756;17;181;0;6;2.034
120040:Rio Branco - AC;Total;281;2.267;1.195;2.185;4.123;2.675;27.452;1.874;13.039;249;85;55.425;54;1.070;495;1.350;2.751;1.448;20.966;2.133;19.243;280;37;49.827;335;3.337;1.690;3.535;6.874;4.123;48.418;4.007;32.282;529;122;105.252
;00:Até 0,50;1;1;1;16;11;164;61;4;11;1;0;271;0;0;0;9;5;146;47;9;10;0;1;227;1;1;1;25;16;310;108;13;21;1;1;498
;01:0,51 a 1,00;23;89;64;55;91;172;824;90;64;1;0;1.473;2;25;22;35;62;140;943;152;95;1;1;1.478;25;114;86;90;153;312;1.767;242;159;2;1;2.951
;02:1,01 a 1,50;155;681;529;559;1.275;1.004;10.012;404;302;8;0;14.929;43;382;324;512;1.146;696;9.919;754;684;4;0;14.464;198;1.063;853;1.071;2.421;1.700;19.931;1.158;986;12;0;29.393
;03:1,51 a 2,00;61;583;278;542;946;589;5.825;267;406;5;0;9.502;5;303;106;377;653;221;3.964;355;832;5;1;6.822;66;886;384;919;1.599;810;9.789;622;1.238;10;1;16.324
;04:2,01 a 3,00;22;500;180;532;921;418;4.805;337;1.534;12;2;9.263;1;231;17;295;493;134;3.135;416;3.951;23;1;8.697;23;731;197;827;1.414;552;7.940;753;5.485;35;3;17.960
;05:3,01 a 4,00;4;159;47;164;284;146;2.880;392;2.704;24;5;6.809;0;54;6;70;142;47;1.395;212;3.768;22;2;5.718;4;213;53;234;426;193;4.275;604;6.472;46;7;12.527
;06:4,01 a 5,00;1;66;17;67;124;44;1.177;183;2.298;28;2;4.007;0;28;3;16;73;17;613;100;3.544;44;2;4.440;1;94;20;83;197;61;1.790;283;5.842;72;4;8.447
;07:5,01 a 7,00;0;99;16;132;279;46;935;92;1.690;38;4;3.331;0;23;0;8;87;15;454;76;2.931;55;3;3.652;0;122;16;140;366;61;1.389;168;4.621;93;7;6.983
;08:7,01 a 10,00;0;21;14;50;72;19;354;51;1.428;37;7;2.053;0;4;0;1;39;11;180;33;1.650;56;2;1.976;0;25;14;51;111;30;534;84;3.078;93;9;4.029
;09:10,01 a 15,00;0;4;3;4;27;8;177;36;1.221;37;17;1.534;0;0;1;2;17;2;132;10;996;36;10;1.206;0;4;4;6;44;10;309;46;2.217;73;27;2.740
;10:15,01 a 20,00;0;0;3;2;6;0;52;3;609;20;8;703;0;1;0;0;0;0;21;3;365;11;1;402;0;1;3;2;6;0;73;6;974;31;9;1.105
;11:Mais de 20,00;0;1;7;0;2;0;56;9;724;37;40;876;0;0;0;0;0;0;9;2;366;20;13;410;0;1;7;0;2;0;65;11;1.090;57;53;1.286
;{ñ class};14;63;36;62;85;65;294;6;48;1;0;674;3;19;16;25;34;19;154;11;51;3;0;335;17;82;52;87;119;84;448;17;99;4;0;1.009
130260:Manaus - AM;Total;492;5.554;3.774;13.633;26.941;20.075;169.366;9.556;44.015;1.015;335;294.756;128;2.314;1.852;6.015;11.558;11.103;119.113;9.916;60.016;883;264;223.162;620;7.868;5.626;19.648;38.499;31.178;288.479;19.472;104.031;1.898;599;517.918
;00:Até 0,50;2;15;10;202;96;1.701;438;29;113;1;0;2.607;2;10;6;111;90;1.357;428;33;111;2;2;2.152;4;25;16;313;186;3.058;866;62;224;3;2;4.759
;01:0,51 a 1,00;25;91;57;329;563;1.522;2.721;123;325;31;11;5.798;7;63;41;257;452;1.285;3.756;246;493;21;5;6.626;32;154;98;586;1.015;2.807;6.477;369;818;52;16;12.424
;02:1,01 a 1,50;248;1.505;1.189;5.270;8.924;7.714;49.201;1.400;1.192;25;34;76.702;89;836;846;3.616;6.889;5.837;54.051;2.580;2.758;39;28;77.569;337;2.341;2.035;8.886;15.813;13.551;103.252;3.980;3.950;64;62;154.271
;03:1,51 a 2,00;116;1.431;1.013;3.338;6.214;4.111;38.900;1.379;2.558;27;11;59.098;12;659;574;1.152;2.413;1.451;26.058;2.016;4.938;51;19;39.343;128;2.090;1.587;4.490;8.627;5.562;64.958;3.395;7.496;78;30;98.441
;04:2,01 a 3,00;58;1.672;981;2.516;6.081;2.931;37.557;2.084;8.511;66;27;62.484;2;531;323;647;1.122;724;19.769;2.316;15.553;82;22;41.091;60;2.203;1.304;3.163;7.203;3.655;57.326;4.400;24.064;148;49;103.575
;05:3,01 a 4,00;17;384;263;825;2.217;949;13.410;1.153;3.892;65;13;23.188;1;44;24;70;206;178;5.387;949;7.301;94;15;14.269;18;428;287;895;2.423;1.127;18.797;2.102;11.193;159;28;37.457
;06:4,01 a 5,00;1;108;79;298;620;312;9.450;941;4.711;67;18;16.605;0;57;7;17;75;63;3.101;638;8.020;84;14;12.076;1;165;86;315;695;375;12.551;1.579;12.731;151;32;28.681
;07:5,01 a 7,00;1;101;43;255;714;247;8.362;1.130;5.399;105;19;16.376;0;60;7;18;84;52;3.019;569;7.428;124;18;11.379;1;161;50;273;798;299;11.381;1.699;12.827;229;37;27.755
;08:7,01 a 10,00;1;48;25;243;716;194;4.289;685;6.370;185;27;12.783;0;13;4;5;34;23;1.157;318;6.760;192;27;8.533;1;61;29;248;750;217;5.446;1.003;13.130;377;54;21.316
;09:10,01 a 15,00;1;26;19;44;210;116;1.886;358;4.961;191;76;7.888;0;5;3;3;28;19;697;123;3.451;100;53;4.482;1;31;22;47;238;135;2.583;481;8.412;291;129;12.370
;10:15,01 a 20,00;1;8;6;12;64;28;574;121;2.351;60;21;3.246;0;0;1;2;7;7;161;45;1.406;30;12;1.671;1;8;7;14;71;35;735;166;3.757;90;33;4.917
;11:Mais de 20,00;0;1;2;15;29;5;492;101;3.350;163;66;4.224;0;1;0;5;1;1;110;22;1.489;44;37;1.710;0;2;2;20;30;6;602;123;4.839;207;103;5.934
;{ñ class};21;164;87;286;493;245;2.086;52;282;29;12;3.757;15;35;16;112;157;106;1.419;61;308;20;12;2.261;36;199;103;398;650;351;3.505;113;590;49;24;6.018
140010:Boa Vista - RR;Total;109;614;698;1.268;4.878;2.094;21.840;993;10.500;207;56;43.257;35;244;250;718;3.381;1.036;19.394;1.296;16.544;209;39;43.146;144;858;948;1.986;8.259;3.130;41.234;2.289;27.044;416;95;86.403
;00:Até 0,50;0;0;1;20;10;122;59;10;9;1;1;233;0;1;1;11;8;134;53;7;12;1;0;228;0;1;2;31;18;256;112;17;21;2;1;461
;01:0,51 a 1,00;7;17;16;32;213;224;843;28;141;2;0;1.523;1;14;11;37;198;173;1.035;76;174;4;0;1.723;8;31;27;69;411;397;1.878;104;315;6;0;3.246
;02:1,01 a 1,50;64;245;200;353;2.032;964;8.803;263;632;7;2;13.565;29;114;183;214;1.811;545;9.570;480;1.346;3;1;14.296;93;359;383;567;3.843;1.509;18.373;743;1.978;10;3;27.861
;03:1,51 a 2,00;23;92;100;143;885;373;4.034;142;763;6;2;6.563;3;6;13;21;552;87;2.814;197;1.081;11;1;4.786;26;98;113;164;1.437;460;6.848;339;1.844;17;3;11.349
;04:2,01 a 3,00;10;89;137;166;685;272;3.271;172;1.610;8;1;6.421;1;7;19;14;197;49;1.828;231;3.162;26;1;5.535;11;96;156;180;882;321;5.099;403;4.772;34;2;11.956
;05:3,01 a 4,00;1;54;94;164;307;59;1.547;114;1.142;9;1;3.492;0;43;7;170;147;16;1.687;134;2.207;16;2;4.429;1;97;101;334;454;75;3.234;248;3.349;25;3;7.921
;06:4,01 a 5,00;0;9;66;52;121;29;575;64;1.233;2;4;2.155;0;4;3;10;36;10;349;70;2.165;15;0;2.662;0;13;69;62;157;39;924;134;3.398;17;4;4.817
;07:5,01 a 7,00;0;74;30;265;474;19;1.694;91;1.793;19;7;4.466;0;48;5;233;407;14;1.647;40;3.363;17;0;5.774;0;122;35;498;881;33;3.341;131;5.156;36;7;10.240
;08:7,01 a 10,00;1;5;19;28;68;13;580;61;1.127;41;6;1.949;0;0;1;0;12;2;262;50;1.579;31;4;1.941;1;5;20;28;80;15;842;111;2.706;72;10;3.890
;09:10,01 a 15,00;0;1;7;4;28;3;226;24;874;37;8;1.212;0;0;1;1;5;2;48;8;855;42;15;977;0;1;8;5;33;5;274;32;1.729;79;23;2.189
;10:15,01 a 20,00;0;0;0;3;4;1;53;13;481;24;6;585;0;0;1;0;1;1;29;3;255;12;2;304;0;0;1;3;5;2;82;16;736;36;8;889
;11:Mais de 20,00;0;0;5;4;4;0;40;5;659;51;18;786;0;0;0;0;0;0;6;0;303;31;13;353;0;0;5;4;4;0;46;5;962;82;31;1.139
;{ñ class};3;28;23;34;47;15;115;6;36;0;0;307;1;7;5;7;7;3;66;0;42;0;0;138;4;35;28;41;54;18;181;6;78;0;0;445
150140:Belém - PA;Total;576;3.677;3.503;13.591;31.603;17.937;114.214;5.796;44.254;1.717;555;237.423;111;794;973;5.019;11.387;7.602;83.658;5.940;60.911;2.732;449;179.576;687;4.471;4.476;18.610;42.990;25.539;197.872;11.736;105.165;4.449;1.004;416.999
;00:Até 0,50;1;23;9;150;127;635;331;29;202;12;4;1.523;3;35;22;140;114;561;325;27;124;6;1;1.358;4;58;31;290;241;1.196;656;56;326;18;5;2.881
;01:0,51 a 1,00;31;167;104;476;1.146;834;3.112;165;640;38;7;6.720;15;91;54;298;814;712;3.145;195;567;31;12;5.934;46;258;158;774;1.960;1.546;6.257;360;1.207;69;19;12.654
;02:1,01 a 1,50;250;1.569;1.428;4.797;11.506;6.666;37.705;1.163;1.755;46;15;66.900;77;537;681;2.922;7.351;4.091;40.058;1.853;3.342;63;9;60.984;327;2.106;2.109;7.719;18.857;10.757;77.763;3.016;5.097;109;24;127.884
;03:1,51 a 2,00;147;956;858;3.899;6.384;3.489;20.671;837;1.642;46;10;38.939;8;56;119;1.018;1.390;1.112;16.197;1.097;2.715;48;15;23.775;155;1.012;977;4.917;7.774;4.601;36.868;1.934;4.357;94;25;62.714
;04:2,01 a 3,00;96;532;683;2.097;5.812;2.487;24.392;1.062;3.555;137;18;40.871;2;35;43;315;822;447;11.349;1.079;5.888;321;31;20.332;98;567;726;2.412;6.634;2.934;35.741;2.141;9.443;458;49;61.203
;05:3,01 a 4,00;20;100;141;726;1.942;1.101;12.158;560;3.694;119;22;20.583;1;3;9;134;343;180;4.409;428;7.324;176;17;13.024;21;103;150;860;2.285;1.281;16.567;988;11.018;295;39;33.607
;06:4,01 a 5,00;4;58;51;449;2.181;1.664;5.842;421;3.960;167;26;14.823;0;5;5;59;227;241;2.661;337;7.115;229;18;10.897;4;63;56;508;2.408;1.905;8.503;758;11.075;396;44;25.720
;07:5,01 a 7,00;6;80;41;373;1.029;533;4.792;548;7.601;264;35;15.302;0;6;1;27;133;101;3.098;384;12.307;522;46;16.625;6;86;42;400;1.162;634;7.890;932;19.908;786;81;31.927
;08:7,01 a 10,00;1;50;21;211;590;201;2.546;539;8.768;475;28;13.430;0;3;0;12;26;30;1.128;334;10.924;888;30;13.375;1;53;21;223;616;231;3.674;873;19.692;1.363;58;26.805
;09:10,01 a 15,00;0;6;8;75;150;65;1.182;296;6.050;204;160;8.196;0;1;0;15;28;5;513;141;5.986;259;146;7.094;0;7;8;90;178;70;1.695;437;12.036;463;306;15.290
;10:15,01 a 20,00;0;0;2;6;36;11;335;82;2.579;91;80;3.222;0;0;0;2;8;1;93;18;1.940;92;45;2.199;0;0;2;8;44;12;428;100;4.519;183;125;5.421
;11:Mais de 20,00;0;1;11;6;16;7;209;65;3.620;106;148;4.189;0;0;0;1;1;0;85;11;2.463;91;79;2.731;0;1;11;7;17;7;294;76;6.083;197;227;6.920
;{ñ class};20;135;146;326;684;244;939;29;188;12;2;2.725;5;22;39;76;130;121;597;36;216;6;0;1.248;25;157;185;402;814;365;1.536;65;404;18;2;3.973
160030:Macapá - AP;Total;154;914;510;1.739;3.490;2.842;34.157;1.333;7.181;154;47;52.521;35;230;194;724;2.318;1.314;29.665;1.321;9.766;146;27;45.740;189;1.144;704;2.463;5.808;4.156;63.822;2.654;16.947;300;74;98.261
;00:Até 0,50;0;1;0;19;10;185;99;11;26;1;0;352;0;0;0;15;7;219;90;16;21;2;0;370;0;1;0;34;17;404;189;27;47;3;0;722
;01:0,51 a 1,00;17;122;29;98;293;253;1.215;54;106;7;3;2.197;4;26;10;41;194;157;1.291;57;136;4;0;1.920;21;148;39;139;487;410;2.506;111;242;11;3;4.117
;02:1,01 a 1,50;84;412;235;744;1.541;1.418;9.522;333;394;5;1;14.689;21;137;147;411;1.333;730;8.661;485;778;2;1;12.706;105;549;382;1.155;2.874;2.148;18.183;818;1.172;7;2;27.395
;03:1,51 a 2,00;22;188;115;277;507;423;4.348;239;450;4;1;6.574;4;15;24;72;126;88;3.645;286;789;4;0;5.053;26;203;139;349;633;511;7.993;525;1.239;8;1;11.627
;04:2,01 a 3,00;16;71;74;176;389;342;5.543;220;638;8;3;7.480;4;8;9;24;73;75;2.903;194;937;10;2;4.239;20;79;83;200;462;417;8.446;414;1.575;18;5;11.719
;05:3,01 a 4,00;15;22;18;82;210;112;2.281;99;478;7;1;3.325;2;20;2;56;246;8;1.561;72;811;7;0;2.785;17;42;20;138;456;120;3.842;171;1.289;14;1;6.110
;06:4,01 a 5,00;0;7;6;11;37;37;1.938;70;660;9;0;2.775;0;0;1;9;12;7;1.925;42;1.073;5;1;3.075;0;7;7;20;49;44;3.863;112;1.733;14;1;5.850
;07:5,01 a 7,00;0;67;9;281;376;23;4.142;109;1.274;20;2;6.303;0;20;0;85;294;8;4.745;74;2.109;23;2;7.360;0;87;9;366;670;31;8.887;183;3.383;43;4;13.663
;08:7,01 a 10,00;0;3;6;22;40;9;3.081;114;1.221;36;3;4.535;0;1;0;1;7;4;3.726;49;1.572;36;5;5.401;0;4;6;23;47;13;6.807;163;2.793;72;8;9.936
;09:10,01 a 15,00;0;2;1;1;21;8;1.181;55;865;29;8;2.171;0;0;0;3;8;2;709;23;908;37;5;1.695;0;2;1;4;29;10;1.890;78;1.773;66;13;3.866
;10:15,01 a 20,00;0;0;2;3;21;2;314;19;440;7;5;813;0;0;0;1;9;1;179;14;290;7;3;504;0;0;2;4;30;3;493;33;730;14;8;1.317
;11:Mais de 20,00;0;1;1;3;2;2;323;8;604;18;20;982;0;0;0;0;0;2;174;6;310;6;8;506;0;1;1;3;2;4;497;14;914;24;28;1.488
;{ñ class};0;18;14;22;43;28;170;2;25;3;0;325;0;3;1;6;9;13;56;3;32;3;0;126;0;21;15;28;52;41;226;5;57;6;0;451
172100:Palmas - TO;Total;137;2.549;467;1.549;4.162;3.039;35.272;1.519;15.203;465;160;64.522;44;3.568;104;341;2.020;1.522;30.442;1.733;24.071;422;130;64.397;181;6.117;571;1.890;6.182;4.561;65.714;3.252;39.274;887;290;128.919
;00:Até 0,50;0;0;0;64;4;342;59;11;13;0;0;493;0;1;0;20;8;308;98;12;11;0;0;458;0;1;0;84;12;650;157;23;24;0;0;951
;01:0,51 a 1,00;30;937;26;77;448;310;1.038;42;89;2;0;2.999;21;1.717;9;52;348;263;1.705;53;143;7;1;4.319;51;2.654;35;129;796;573;2.743;95;232;9;1;7.318
;02:1,01 a 1,50;43;800;154;527;1.406;1.070;9.714;355;359;4;0;14.432;17;1.121;78;209;1.347;714;11.515;586;779;7;1;16.374;60;1.921;232;736;2.753;1.784;21.229;941;1.138;11;1;30.806
;03:1,51 a 2,00;39;395;112;358;715;565;6.301;243;463;7;1;9.199;4;250;8;36;137;130;4.698;369;753;4;2;6.391;43;645;120;394;852;695;10.999;612;1.216;11;3;15.590
;04:2,01 a 3,00;19;258;111;326;1.109;500;7.263;352;1.268;14;7;11.227;0;399;1;14;103;59;4.993;336;2.497;19;5;8.426;19;657;112;340;1.212;559;12.256;688;3.765;33;12;19.653
;05:3,01 a 4,00;2;48;31;96;245;130;2.368;169;1.332;30;15;4.466;0;36;1;3;22;17;1.693;114;2.893;45;2;4.826;2;84;32;99;267;147;4.061;283;4.225;75;17;9.292
;06:4,01 a 5,00;1;30;8;28;56;47;1.357;97;2.583;33;8;4.248;0;19;0;0;7;7;2.219;66;5.061;40;5;7.424;1;49;8;28;63;54;3.576;163;7.644;73;13;11.672
;07:5,01 a 7,00;1;32;3;29;73;25;3.105;92;2.937;45;2;6.344;0;13;4;1;18;4;2.534;58;6.419;35;8;9.094;1;45;7;30;91;29;5.639;150;9.356;80;10;15.438
;08:7,01 a 10,00;0;8;1;8;30;11;2.400;52;1.728;140;21;4.399;0;3;0;1;5;4;402;45;2.146;136;14;2.756;0;11;1;9;35;15;2.802;97;3.874;276;35;7.155
;09:10,01 a 15,00;0;3;3;5;14;6;1.078;68;1.786;119;52;3.134;0;5;0;0;11;1;325;38;1.701;82;62;2.225;0;8;3;5;25;7;1.403;106;3.487;201;114;5.359
;10:15,01 a 20,00;0;3;0;0;9;3;131;14;954;35;16;1.165;0;0;1;0;1;1;72;27;771;32;13;918;0;3;1;0;10;4;203;41;1.725;67;29;2.083
;11:Mais de 20,00;0;1;2;3;5;3;284;23;1.663;33;38;2.055;0;0;0;3;0;2;93;24;865;11;17;1.015;0;1;2;6;5;5;377;47;2.528;44;55;3.070
;{ñ class};2;34;16;28;48;27;174;1;28;3;0;361;2;4;2;2;13;12;95;5;32;4;0;171;4;38;18;30;61;39;269;6;60;7;0;532
211130:São Luiz - MA;Total;449;3.863;4.156;5.961;13.571;14.717;111.565;4.778;26.615;642;153;186.470;57;1.017;1.235;1.340;3.243;21.111;75.618;5.029;36.980;744;130;146.504;506;4.880;5.391;7.301;16.814;35.828;187.183;9.807;63.595;1.386;283;332.974
;00:Até 0,50;5;30;5;23;10;119;163;6;72;2;1;436;0;3;3;12;10;105;184;11;88;1;0;417;5;33;8;35;20;224;347;17;160;3;1;853
;01:0,51 a 1,00;37;214;208;321;547;536;3.888;146;460;10;3;6.370;6;103;125;208;323;406;4.911;286;832;10;1;7.211;43;317;333;529;870;942;8.799;432;1.292;20;4;13.581
;02:1,01 a 1,50;258;1.209;1.170;2.823;5.276;2.996;40.655;893;2.939;52;2;58.273;44;266;419;914;2.228;1.660;43.886;1.588;5.989;28;5;57.027;302;1.475;1.589;3.737;7.504;4.656;84.541;2.481;8.928;80;7;115.300
;03:1,51 a 2,00;78;551;541;1.277;2.731;1.330;21.688;659;1.814;25;4;30.698;4;155;164;109;300;267;10.925;865;3.735;32;2;16.558;82;706;705;1.386;3.031;1.597;32.613;1.524;5.549;57;6;47.256
;04:2,01 a 3,00;25;796;841;699;2.737;1.446;19.978;783;3.477;51;2;30.835;0;427;410;41;145;933;8.381;1.105;6.793;56;6;18.297;25;1.223;1.251;740;2.882;2.379;28.359;1.888;10.270;107;8;49.132
;05:3,01 a 4,00;8;280;386;192;670;4.179;7.376;508;2.401;57;11;16.068;1;32;44;11;62;5.365;2.681;387;4.360;77;4;13.024;9;312;430;203;732;9.544;10.057;895;6.761;134;15;29.092
;06:4,01 a 5,00;3;376;522;99;312;2.038;5.767;709;1.828;63;10;11.727;0;18;22;9;29;5.731;1.229;302;3.615;86;8;11.049;3;394;544;108;341;7.769;6.996;1.011;5.443;149;18;22.776
;07:5,01 a 7,00;2;97;146;145;419;1.283;5.658;431;3.023;110;19;11.333;0;4;6;7;28;4.770;1.544;228;3.786;146;19;10.538;2;101;152;152;447;6.053;7.202;659;6.809;256;38;21.871
;08:7,01 a 10,00;0;51;42;94;172;491;2.844;335;3.266;85;15;7.395;0;0;6;2;5;1.417;556;118;3.271;142;11;5.528;0;51;48;96;177;1.908;3.400;453;6.537;227;26;12.923
;09:10,01 a 15,00;6;102;36;29;107;113;1.207;200;3.301;79;30;5.210;0;0;2;0;15;393;347;76;2.499;82;28;3.442;6;102;38;29;122;506;1.554;276;5.800;161;58;8.652
;10:15,01 a 20,00;3;12;12;5;77;12;496;61;1.583;50;28;2.339;0;0;1;0;1;2;131;29;857;62;32;1.115;3;12;13;5;78;14;627;90;2.440;112;60;3.454
;11:Mais de 20,00;0;5;9;2;13;6;209;22;2.325;37;22;2.650;0;0;3;1;2;2;102;16;1.009;11;14;1.160;0;5;12;3;15;8;311;38;3.334;48;36;3.810
;{ñ class};24;140;238;252;500;168;1.636;25;126;21;6;3.136;2;9;30;26;95;60;741;18;146;11;0;1.138;26;149;268;278;595;228;2.377;43;272;32;6;4.274
221100:Terezina - PI;Total;935;9.538;5.190;10.777;17.210;12.146;73.857;4.843;24.426;4.017;301;163.240;84;1.122;728;1.829;4.739;4.930;66.633;5.031;36.134;4.811;159;126.200;1.019;10.660;5.918;12.606;21.949;17.076;140.490;9.874;60.560;8.828;460;289.440
;00:Até 0,50;11;12;11;64;35;227;113;11;216;4;0;704;0;6;0;20;29;211;135;20;136;17;0;574;11;18;11;84;64;438;248;31;352;21;0;1.278
