;;Sexo Trabalhador;Escolaridade Agreg após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total
;01:0,51 a 1,00;18;91;137;437;578;1.066;1.353;44;255;3.979;4;53;62;211;354;809;1.653;117;189;3.452;22;144;199;648;932;1.875;3.006;161;444;7.431
;02:1,01 a 1,50;304;1.323;1.461;4.942;7.369;6.788;24.542;628;460;47.817;96;891;685;2.327;4.574;4.647;27.141;1.010;658;42.029;400;2.214;2.146;7.269;11.943;11.435;51.683;1.638;1.118;89.846
;03:1,51 a 2,00;179;1.219;1.320;3.543;5.108;3.641;23.676;543;462;39.691;38;774;1.269;1.385;2.343;1.442;16.837;876;608;25.572;217;1.993;2.589;4.928;7.451;5.083;40.513;1.419;1.070;65.263
;04:2,01 a 3,00;164;1.505;1.416;3.454;6.052;3.770;28.282;1.247;2.461;48.351;22;1.259;927;1.040;2.131;1.517;20.094;1.891;3.851;32.732;186;2.764;2.343;4.494;8.183;5.287;48.376;3.138;6.312;81.083
;05:3,01 a 4,00;29;1.201;641;1.547;2.753;1.382;13.705;1.130;2.538;24.926;4;457;112;207;435;364;10.951;1.521;4.997;19.048;33;1.658;753;1.754;3.188;1.746;24.656;2.651;7.535;43.974
;06:4,01 a 5,00;14;578;286;901;1.720;742;7.265;874;1.685;14.065;0;134;33;107;238;104;4.003;865;2.588;8.072;14;712;319;1.008;1.958;846;11.268;1.739;4.273;22.137
;07:5,01 a 7,00;8;164;132;532;1.009;488;7.341;1.245;3.407;14.326;0;59;10;48;143;109;4.957;1.064;5.246;11.636;8;223;142;580;1.152;597;12.298;2.309;8.653;25.962
;08:7,01 a 10,00;2;108;64;231;776;369;4.809;982;4.354;11.695;0;18;12;6;69;48;1.741;623;6.218;8.735;2;126;76;237;845;417;6.550;1.605;10.572;20.430
;09:10,01 a 15,00;1;22;18;61;302;182;2.564;595;3.375;7.120;0;4;1;6;41;27;608;273;2.986;3.946;1;26;19;67;343;209;3.172;868;6.361;11.066
;10:15,01 a 20,00;0;12;6;20;114;55;666;246;2.397;3.516;0;0;0;5;37;9;210;59;1.328;1.648;0;12;6;25;151;64;876;305;3.725;5.164
;11:Mais de 20,00;0;14;6;17;116;97;697;250;3.649;4.846;0;0;2;1;28;8;267;75;1.522;1.903;0;14;8;18;144;105;964;325;5.171;6.749
;{ñ class};7;53;64;117;191;97;463;14;92;1.098;1;18;11;36;55;40;307;12;82;562;8;71;75;153;246;137;770;26;174;1.660
140010:Boa Vista - RR;Total;137;937;922;2.350;3.739;1.476;7.059;479;2.150;19.249;35;513;779;1.365;1.960;841;6.913;596;2.239;15.241;172;1.450;1.701;3.715;5.699;2.317;13.972;1.075;4.389;34.490
;00:Até 0,50;0;0;0;1;2;11;2;0;0;16;0;0;0;4;1;16;4;0;0;25;0;0;0;5;3;27;6;0;0;41
;01:0,51 a 1,00;8;20;118;101;170;95;216;9;10;747;7;23;181;128;178;68;272;12;7;876;15;43;299;229;348;163;488;21;17;1.623
