;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
110020:Porto Velho - RO;Total;348;3.155;3.704;8.321;12.696;6.255;45.355;1.856;9.485;153;51;91.379;166;790;874;2.278;4.339;2.439;38.810;1.940;12.660;105;20;64.421;514;3.945;4.578;10.599;17.035;8.694;84.165;3.796;22.145;258;71;155.800
;00:Até 0,50;0;13;7;87;22;60;36;0;8;0;0;233;0;8;3;54;17;75;33;2;12;0;0;204;0;21;10;141;39;135;69;2;20;0;0;437
;01:0,51 a 1,00;25;46;75;230;434;233;1.145;30;65;2;0;2.285;5;23;43;117;379;195;1.612;37;99;0;0;2.510;30;69;118;347;813;428;2.757;67;164;2;0;4.795
;02:1,01 a 1,50;148;476;722;2.395;3.510;2.135;9.820;276;228;5;0;19.715;104;204;298;1.105;1.915;1.377;13.296;489;521;1;0;19.310;252;680;1.020;3.500;5.425;3.512;23.116;765;749;6;0;39.025
;03:1,51 a 2,00;72;730;889;2.148;2.922;1.681;8.033;305;460;8;1;17.249;19;133;216;382;634;460;7.431;425;1.202;1;1;10.904;91;863;1.105;2.530;3.556;2.141;15.464;730;1.662;9;2;28.153
;04:2,01 a 3,00;78;1.001;925;1.723;2.984;1.213;9.777;459;1.403;14;4;19.581;28;148;212;175;519;212;5.977;433;3.462;10;1;11.177;106;1.149;1.137;1.898;3.503;1.425;15.754;892;4.865;24;5;30.758
;05:3,01 a 4,00;16;290;395;560;905;409;4.508;207;937;10;2;8.239;5;55;57;45;132;49;5.398;197;1.676;7;0;7.621;21;345;452;605;1.037;458;9.906;404;2.613;17;2;15.860
;06:4,01 a 5,00;1;119;189;275;510;168;3.927;137;630;19;0;5.975;1;44;24;99;129;24;1.662;106;1.020;14;1;3.124;2;163;213;374;639;192;5.589;243;1.650;33;1;9.099
;07:5,01 a 7,00;2;248;205;426;664;137;3.304;166;961;8;2;6.123;3;146;11;236;456;22;1.593;101;1.315;11;1;3.895;5;394;216;662;1.120;159;4.897;267;2.276;19;3;10.018
;08:7,01 a 10,00;0;128;97;249;369;78;2.177;106;1.272;28;7;4.511;0;17;2;30;95;9;981;73;1.400;22;2;2.631;0;145;99;279;464;87;3.158;179;2.672;50;9;7.142
;09:10,01 a 15,00;0;48;107;97;184;75;1.359;112;1.373;21;11;3.387;0;6;1;16;33;4;458;50;980;25;3;1.576;0;54;108;113;217;79;1.817;162;2.353;46;14;4.963
;10:15,01 a 20,00;0;8;21;16;49;8;479;31;744;12;8;1.376;0;0;0;0;5;0;132;12;361;10;4;524;0;8;21;16;54;8;611;43;1.105;22;12;1.900
;11:Mais de 20,00;0;9;7;11;36;9;665;22;1.370;22;16;2.167;0;0;2;2;3;0;194;9;580;4;6;800;0;9;9;13;39;9;859;31;1.950;26;22;2.967
;{ñ class};6;39;65;104;107;49;125;5;34;4;0;538;1;6;5;17;22;12;43;6;32;0;1;145;7;45;70;121;129;61;168;11;66;4;1;683
120040:Rio Branco - AC;Total;457;3.971;1.651;3.549;6.627;3.076;19.441;1.838;6.220;50;27;46.907;88;2.493;418;2.488;4.412;1.654;14.664;2.610;8.519;48;21;37.415;545;6.464;2.069;6.037;11.039;4.730;34.105;4.448;14.739;98;48;84.322
;00:Até 0,50;0;2;0;2;7;99;29;3;6;0;0;148;0;0;0;4;7;58;25;0;1;0;1;96;0;2;0;6;14;157;54;3;7;0;1;244
;01:0,51 a 1,00;59;126;87;123;199;213;542;23;26;1;0;1.399;6;33;25;52;91;141;453;28;28;0;0;857;65;159;112;175;290;354;995;51;54;1;0;2.256
;02:1,01 a 1,50;250;1.412;729;1.233;2.304;1.319;6.789;242;109;2;0;14.389;72;745;324;972;1.578;873;5.671;377;166;4;0;10.782;322;2.157;1.053;2.205;3.882;2.192;12.460;619;275;6;0;25.171
;03:1,51 a 2,00;91;858;397;785;1.325;605;3.658;222;184;4;0;8.129;6;496;39;457;602;192;2.312;296;238;1;0;4.639;97;1.354;436;1.242;1.927;797;5.970;518;422;5;0;12.768
;04:2,01 a 3,00;42;826;251;620;1.187;448;2.942;341;360;6;0;7.023;0;703;8;677;986;164;2.275;564;684;4;3;6.068;42;1.529;259;1.297;2.173;612;5.217;905;1.044;10;3;13.091
;05:3,01 a 4,00;5;310;89;355;568;145;2.683;457;862;3;1;5.478;0;254;3;196;455;79;1.349;419;1.246;5;1;4.007;5;564;92;551;1.023;224;4.032;876;2.108;8;2;9.485
;06:4,01 a 5,00;0;212;20;242;480;89;1.140;183;1.009;2;0;3.377;0;132;6;51;375;58;1.087;408;1.890;4;2;4.013;0;344;26;293;855;147;2.227;591;2.899;6;2;7.390
;07:5,01 a 7,00;1;114;34;69;327;66;779;176;1.073;4;3;2.646;0;88;5;44;217;45;864;381;1.947;6;1;3.598;1;202;39;113;544;111;1.643;557;3.020;10;4;6.244
;08:7,01 a 10,00;0;42;10;30;91;32;391;95;742;7;3;1.443;0;23;1;15;67;15;375;101;975;7;1;1.580;0;65;11;45;158;47;766;196;1.717;14;4;3.023
;09:10,01 a 15,00;0;18;1;8;47;26;251;53;741;2;1;1.148;0;6;0;3;16;20;179;22;640;9;3;898;0;24;1;11;63;46;430;75;1.381;11;4;2.046
;10:15,01 a 20,00;0;2;1;0;15;1;66;27;387;5;1;505;0;0;0;0;4;1;29;5;316;6;2;363;0;2;1;0;19;2;95;32;703;11;3;868
;11:Mais de 20,00;0;3;0;0;12;3;90;15;705;14;18;860;0;2;0;0;1;0;14;4;379;2;7;409;0;5;0;0;13;3;104;19;1.084;16;25;1.269
;{ñ class};9;46;32;82;65;30;81;1;16;0;0;362;4;11;7;17;13;8;31;5;9;0;0;105;13;57;39;99;78;38;112;6;25;0;0;467
130260:Manaus - AM;Total;673;6.452;5.878;17.561;30.716;20.328;141.687;9.839;28.286;594;172;262.186;127;3.109;2.783;5.279;10.728;10.141;94.509;10.356;36.764;534;131;174.461;800;9.561;8.661;22.840;41.444;30.469;236.196;20.195;65.050;1.128;303;436.647
;00:Até 0,50;0;3;4;123;48;575;193;7;13;3;1;970;0;4;3;77;38;520;156;9;12;2;0;821;0;7;7;200;86;1.095;349;16;25;5;1;1.791
;01:0,51 a 1,00;21;108;146;600;657;1.259;1.999;112;172;10;4;5.088;10;93;80;303;527;1.100;2.220;179;254;14;4;4.784;31;201;226;903;1.184;2.359;4.219;291;426;24;8;9.872
;02:1,01 a 1,50;301;1.661;1.919;5.944;9.566;7.730;34.785;1.051;700;22;5;63.684;92;1.359;1.630;3.166;6.685;5.559;37.469;1.844;1.115;34;10;58.963;393;3.020;3.549;9.110;16.251;13.289;72.254;2.895;1.815;56;15;122.647
;03:1,51 a 2,00;185;1.220;1.305;4.110;6.178;4.331;31.566;1.030;1.069;26;7;51.027;15;172;205;570;1.055;1.186;19.026;1.594;1.521;23;7;25.374;200;1.392;1.510;4.680;7.233;5.517;50.592;2.624;2.590;49;14;76.401
;04:2,01 a 3,00;106;1.646;1.424;3.558;6.446;3.575;34.115;1.821;4.177;57;20;56.945;6;839;707;838;1.581;1.237;20.387;2.589;8.553;64;13;36.814;112;2.485;2.131;4.396;8.027;4.812;54.502;4.410;12.730;121;33;93.759
;05:3,01 a 4,00;28;1.135;563;1.454;2.891;1.286;15.168;1.392;2.554;41;13;26.525;2;542;90;164;375;197;5.919;1.404;4.375;57;8;13.133;30;1.677;653;1.618;3.266;1.483;21.087;2.796;6.929;98;21;39.658
;06:4,01 a 5,00;10;305;204;896;2.231;577;8.280;1.089;2.577;45;12;16.226;0;37;23;42;141;116;2.888;919;4.487;46;11;8.710;10;342;227;938;2.372;693;11.168;2.008;7.064;91;23;24.936
;07:5,01 a 7,00;4;173;159;464;1.201;433;7.061;1.350;3.555;68;23;14.491;0;26;16;32;98;95;3.335;917;5.542;76;20;10.157;4;199;175;496;1.299;528;10.396;2.267;9.097;144;43;24.648
;08:7,01 a 10,00;4;87;60;183;743;260;4.245;970;3.909;68;19;10.548;0;14;13;17;67;54;1.436;533;5.027;77;20;7.258;4;101;73;200;810;314;5.681;1.503;8.936;145;39;17.806
;09:10,01 a 15,00;1;36;21;55;278;148;2.236;617;3.828;105;19;7.344;0;4;3;8;46;31;764;238;2.937;81;14;4.126;1;40;24;63;324;179;3.000;855;6.765;186;33;11.470
;10:15,01 a 20,00;1;11;6;13;107;31;673;204;2.173;31;13;3.263;0;0;0;1;28;5;233;61;1.238;16;3;1.585;1;11;6;14;135;36;906;265;3.411;47;16;4.848
;11:Mais de 20,00;2;7;5;10;104;28;538;171;3.410;88;33;4.396;0;1;1;2;14;3;201;41;1.563;25;12;1.863;2;8;6;12;118;31;739;212;4.973;113;45;6.259
;{ñ class};10;60;62;151;266;95;828;25;149;30;3;1.679;2;18;12;59;73;38;475;28;140;19;9;873;12;78;74;210;339;133;1.303;53;289;49;12;2.552
140010:Boa Vista - RR;Total;162;906;960;2.369;7.081;1.533;15.313;786;5.437;98;24;34.669;82;407;615;1.365;4.950;893;15.367;969;8.245;115;8;33.016;244;1.313;1.575;3.734;12.031;2.426;30.680;1.755;13.682;213;32;67.685
;00:Até 0,50;0;0;0;7;6;20;16;1;4;0;0;54;0;0;1;4;6;16;9;0;7;0;0;43;0;0;1;11;12;36;25;1;11;0;0;97
;01:0,51 a 1,00;14;54;55;108;264;94;534;28;40;2;1;1.194;20;33;52;125;361;115;698;46;32;0;0;1.482;34;87;107;233;625;209;1.232;74;72;2;1;2.676
;02:1,01 a 1,50;97;362;332;710;2.969;734;5.282;181;163;6;0;10.836;60;177;485;413;2.712;541;5.793;290;323;3;1;10.798;157;539;817;1.123;5.681;1.275;11.075;471;486;9;1;21.634
;03:1,51 a 2,00;35;163;245;319;991;279;2.032;100;187;4;1;4.356;1;19;36;66;316;103;1.521;164;193;5;1;2.425;36;182;281;385;1.307;382;3.553;264;380;9;2;6.781
;04:2,01 a 3,00;8;120;189;371;1.397;256;2.305;125;245;27;1;5.044;0;7;14;94;689;48;2.804;182;462;33;1;4.334;8;127;203;465;2.086;304;5.109;307;707;60;2;9.378
;05:3,01 a 4,00;0;24;49;125;311;82;1.112;89;384;16;0;2.192;0;3;9;44;106;36;948;71;568;38;1;1.824;0;27;58;169;417;118;2.060;160;952;54;1;4.016
;06:4,01 a 5,00;0;48;30;202;296;21;748;76;698;5;1;2.125;0;71;8;264;177;9;793;79;1.541;2;0;2.944;0;119;38;466;473;30;1.541;155;2.239;7;1;5.069
;07:5,01 a 7,00;0;102;27;403;540;16;1.789;89;1.317;10;3;4.296;0;83;2;323;511;7;1.883;80;2.400;14;0;5.303;0;185;29;726;1.051;23;3.672;169;3.717;24;3;9.599
