;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;45.711;542;150;434;32.493;145;5.478;146;4;587;420;1;0;6;31;55;96;0;0;86.299;32.976;327;89;79;38.495;245;4.326;3;6;551;336;2;0;0;20;74;48;1;0;77.578;78.687;869;239;513;70.988;390;9.804;149;10;1.138;756;3;0;6;51;129;144;1;0;163.877
;00:Até 0,50;118;0;0;0;8;8;48;0;1;307;1;0;0;0;0;1;0;0;0;492;171;1;0;0;17;11;36;0;0;265;0;0;0;0;0;0;0;0;0;501;289;1;0;0;25;19;84;0;1;572;1;0;0;0;0;1;0;0;0;993
;01:0,51 a 1,00;834;57;2;29;288;24;276;0;0;253;14;0;0;2;3;1;0;0;0;1.783;1.063;26;0;20;289;31;245;0;0;264;7;0;0;0;1;11;0;0;0;1.957;1.897;83;2;49;577;55;521;0;0;517;21;0;0;2;4;12;0;0;0;3.740
;02:1,01 a 1,50;14.012;227;55;142;3.478;5;970;0;1;25;126;0;0;0;9;19;4;0;0;19.073;16.072;191;33;35;7.034;12;932;0;4;19;111;2;0;0;1;38;2;0;0;24.486;30.084;418;88;177;10.512;17;1.902;0;5;44;237;2;0;0;10;57;6;0;0;43.559
;03:1,51 a 2,00;11.626;135;31;141;2.326;12;537;0;0;1;114;0;0;4;3;13;11;0;0;14.954;7.225;55;11;11;5.101;23;542;0;2;1;116;0;0;0;7;13;0;1;0;13.108;18.851;190;42;152;7.427;35;1.079;0;2;2;230;0;0;4;10;26;11;1;0;28.062
;04:2,01 a 3,00;9.510;91;32;90;6.110;9;1.319;0;1;0;64;1;0;0;4;7;35;0;0;17.273;3.756;29;27;9;10.084;5;887;0;0;0;39;0;0;0;7;10;8;0;0;14.861;13.266;120;59;99;16.194;14;2.206;0;1;0;103;1;0;0;11;17;43;0;0;32.134
;05:3,01 a 4,00;2.972;15;13;17;5.792;39;707;1;0;0;51;0;0;0;2;4;29;0;0;9.642;1.522;10;7;3;7.224;103;506;0;0;0;25;0;0;0;0;0;22;0;0;9.422;4.494;25;20;20;13.016;142;1.213;1;0;0;76;0;0;0;2;4;51;0;0;19.064
;06:4,01 a 5,00;1.408;3;7;4;3.140;8;437;0;0;0;13;0;0;0;1;1;13;0;0;5.035;744;3;6;1;2.024;13;320;0;0;0;4;0;0;0;1;0;9;0;0;3.125;2.152;6;13;5;5.164;21;757;0;0;0;17;0;0;0;2;1;22;0;0;8.160
;07:5,01 a 7,00;1.532;5;8;2;4.274;4;502;0;0;0;15;0;0;0;1;8;3;0;0;6.354;831;5;5;0;2.694;5;339;0;0;0;17;0;0;0;1;2;5;0;0;3.904;2.363;10;13;2;6.968;9;841;0;0;0;32;0;0;0;2;10;8;0;0;10.258
