;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;46.644;366;178;522;12.000;91;2.541;138;2;551;1.301;1;0;20;25;375;59;0;128;64.942;31.858;198;131;71;14.965;194;2.321;4;0;691;833;0;0;0;24;211;54;0;426;51.981;78.502;564;309;593;26.965;285;4.862;142;2;1.242;2.134;1;0;20;49;586;113;0;554;116.923
;00:Até 0,50;212;1;1;4;10;0;0;4;0;240;57;0;0;0;0;2;0;0;0;531;223;1;0;0;7;1;1;0;0;309;35;0;0;0;0;0;0;0;0;577;435;2;1;4;17;1;1;4;0;549;92;0;0;0;0;2;0;0;0;1.108
;01:0,51 a 1,00;2.000;61;19;51;30;12;79;90;0;263;245;0;0;1;2;16;2;0;1;2.872;2.421;34;15;17;20;20;93;3;0;337;231;0;0;0;3;114;0;0;8;3.316;4.421;95;34;68;50;32;172;93;0;600;476;0;0;1;5;130;2;0;9;6.188
;02:1,01 a 1,50;14.718;146;23;161;244;11;709;43;0;22;412;0;0;9;1;188;11;0;19;16.717;14.626;101;29;36;351;17;565;1;0;12;330;0;0;0;6;48;0;0;115;16.237;29.344;247;52;197;595;28;1.274;44;0;34;742;0;0;9;7;236;11;0;134;32.954
;03:1,51 a 2,00;12.225;89;23;162;686;7;224;1;1;1;284;0;0;8;4;55;6;0;20;13.796;6.089;29;9;14;1.480;1;200;0;0;0;78;0;0;0;3;25;1;0;75;8.004;18.314;118;32;176;2.166;8;424;1;1;1;362;0;0;8;7;80;7;0;95;21.800
;04:2,01 a 3,00;7.362;48;36;97;2.616;10;602;0;0;0;141;1;0;1;0;51;7;0;24;10.996;3.323;16;28;2;5.275;19;342;0;0;0;52;0;0;0;0;11;4;0;65;9.137;10.685;64;64;99;7.891;29;944;0;0;0;193;1;0;1;0;62;11;0;89;20.133
;05:3,01 a 4,00;2.875;8;25;25;1.217;40;356;0;1;0;37;0;0;1;0;45;17;0;18;4.665;1.370;9;17;1;1.699;114;364;0;0;0;21;0;0;0;1;9;18;0;60;3.683;4.245;17;42;26;2.916;154;720;0;1;0;58;0;0;1;1;54;35;0;78;8.348
;06:4,01 a 5,00;1.301;4;26;7;1.222;4;85;0;0;0;16;0;0;0;0;6;4;0;2;2.677;641;2;20;0;1.505;5;102;0;0;0;11;0;0;0;2;1;11;0;19;2.319;1.942;6;46;7;2.727;9;187;0;0;0;27;0;0;0;2;7;15;0;21;4.996
;07:5,01 a 7,00;1.443;5;15;4;1.828;4;312;0;0;0;9;0;0;0;2;4;9;0;15;3.650;749;2;10;1;1.564;11;449;0;0;0;15;0;0;0;2;0;13;0;28;2.844;2.192;7;25;5;3.392;15;761;0;0;0;24;0;0;0;4;4;22;0;43;6.494
;08:7,01 a 10,00;886;0;0;1;1.378;0;105;0;0;0;6;0;0;0;1;1;3;0;21;2.402;400;0;0;0;1.213;2;133;0;0;0;6;0;0;0;0;0;6;0;43;1.803;1.286;0;0;1;2.591;2;238;0;0;0;12;0;0;0;1;1;9;0;64;4.205
;09:10,01 a 15,00;460;0;0;0;1.383;2;46;0;0;0;6;0;0;0;1;0;0;0;6;1.904;192;0;0;0;1.068;4;64;0;0;0;6;0;0;0;1;0;1;0;13;1.349;652;0;0;0;2.451;6;110;0;0;0;12;0;0;0;2;0;1;0;19;3.253
;10:15,01 a 20,00;161;0;0;0;757;1;15;0;0;0;1;0;0;0;0;0;0;0;1;936;50;0;0;0;452;0;6;0;0;0;1;0;0;0;0;0;0;0;0;509;211;0;0;0;1.209;1;21;0;0;0;2;0;0;0;0;0;0;0;1;1.445
;11:Mais de 20,00;232;0;0;0;615;0;5;0;0;0;2;0;0;0;3;0;0;0;1;858;42;0;0;0;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357;274;0;0;0;930;0;5;0;0;0;2;0;0;0;3;0;0;0;1;1.215
;{ñ class};2.769;4;10;10;14;0;3;0;0;25;85;0;0;0;11;7;0;0;0;2.938;1.732;4;3;0;16;0;2;0;0;33;47;0;0;0;6;3;0;0;0;1.846;4.501;8;13;10;30;0;5;0;0;58;132;0;0;0;17;10;0;0;0;4.784
120040:Rio Branco - AC;Total;31.289;424;18;449;13.114;1.191;5.622;1;106;431;1.218;0;0;2;11;242;45;248;64;54.475;23.127;143;4;49;14.505;2.133;8.569;1;362;357;540;0;0;0;5;43;45;175;267;50.325;54.416;567;22;498;27.619;3.324;14.191;2;468;788;1.758;0;0;2;16;285;90;423;331;104.800
;00:Até 0,50;130;2;0;0;6;1;0;0;0;238;29;0;0;0;0;23;0;0;0;429;149;2;0;1;2;0;1;0;0;225;22;0;0;0;0;1;0;0;0;403;279;4;0;1;8;1;1;0;0;463;51;0;0;0;0;24;0;0;0;832
;01:0,51 a 1,00;2.733;109;1;99;9;1;22;0;0;168;302;0;0;1;1;75;1;0;3;3.525;3.346;21;1;15;10;1;15;0;0;118;175;0;0;0;0;9;0;0;15;3.726;6.079;130;2;114;19;2;37;0;0;286;477;0;0;1;1;84;1;0;18;7.251
;02:1,01 a 1,50;13.045;208;11;245;159;36;582;0;0;3;491;0;0;1;0;74;0;2;11;14.868;11.294;77;1;24;113;36;415;0;0;6;195;0;0;0;0;11;0;1;93;12.266;24.339;285;12;269;272;72;997;0;0;9;686;0;0;1;0;85;0;3;104;27.134
;03:1,51 a 2,00;6.684;54;4;57;453;105;730;0;0;0;195;0;0;0;1;38;2;37;17;8.377;3.212;18;1;5;1.027;161;1.182;0;0;0;36;0;0;0;0;1;2;18;53;5.716;9.896;72;5;62;1.480;266;1.912;0;0;0;231;0;0;0;1;39;4;55;70;14.093
;04:2,01 a 3,00;3.997;34;0;34;1.076;334;1.189;0;0;0;70;0;0;0;2;10;23;60;20;6.849;2.078;13;0;2;2.445;978;1.674;0;0;0;28;0;0;0;3;4;15;35;68;7.343;6.075;47;0;36;3.521;1.312;2.863;0;0;0;98;0;0;0;5;14;38;95;88;14.192
;05:3,01 a 4,00;1.154;5;0;5;1.371;265;1.504;0;0;0;21;0;0;0;1;4;13;66;1;4.410;785;6;0;1;3.033;356;3.202;0;0;0;21;0;0;0;0;0;16;54;8;7.482;1.939;11;0;6;4.404;621;4.706;0;0;0;42;0;0;0;1;4;29;120;9;11.892
;06:4,01 a 5,00;548;4;0;2;1.651;149;571;0;0;0;10;0;0;0;0;1;3;18;2;2.959;459;3;0;0;1.941;224;892;0;0;0;21;0;0;0;1;1;5;21;11;3.579;1.007;7;0;2;3.592;373;1.463;0;0;0;31;0;0;0;1;2;8;39;13;6.538
;07:5,01 a 7,00;486;2;0;3;4.301;89;375;0;0;0;11;0;0;0;2;0;3;36;6;5.314;335;1;1;0;2.782;226;491;0;0;0;8;0;0;0;0;2;4;30;17;3.897;821;3;1;3;7.083;315;866;0;0;0;19;0;0;0;2;2;7;66;23;9.211
;08:7,01 a 10,00;415;1;0;0;1.904;74;271;0;0;0;3;0;0;0;1;1;0;22;4;2.696;239;1;0;0;1.842;87;358;0;0;0;0;0;0;0;0;0;2;16;2;2.547;654;2;0;0;3.746;161;629;0;0;0;3;0;0;0;1;1;2;38;6;5.243
;09:10,01 a 15,00;231;0;0;0;1.266;90;206;0;0;0;1;0;0;0;1;0;0;7;0;1.802;121;0;0;0;827;46;230;0;0;0;0;0;0;0;0;0;1;0;0;1.225;352;0;0;0;2.093;136;436;0;0;0;1;0;0;0;1;0;1;7;0;3.027
;10:15,01 a 20,00;68;0;0;0;406;37;67;0;0;0;0;0;0;0;0;0;0;0;0;578;38;0;0;0;244;8;47;0;0;0;0;0;0;0;0;0;0;0;0;337;106;0;0;0;650;45;114;0;0;0;0;0;0;0;0;0;0;0;0;915
;11:Mais de 20,00;97;0;0;0;454;8;46;0;0;0;0;0;0;0;1;0;0;0;0;606;30;0;0;0;172;8;15;0;0;0;0;0;0;0;0;0;0;0;0;225;127;0;0;0;626;16;61;0;0;0;0;0;0;0;1;0;0;0;0;831
;{ñ class};1.701;5;2;4;58;2;59;1;106;22;85;0;0;0;1;16;0;0;0;2.062;1.041;1;0;1;67;2;47;1;362;8;34;0;0;0;1;14;0;0;0;1.579;2.742;6;2;5;125;4;106;2;468;30;119;0;0;0;2;30;0;0;0;3.641
130260:Manaus - AM;Total;229.354;236;686;805;47.815;1.024;9.858;20;3.820;4.349;5.873;2;4;13;135;1.275;107;0;3.166;308.542;135.852;424;257;182;55.584;1.215;15.052;0;3.172;3.778;3.546;6;3;1;59;546;114;1;3.978;223.770;365.206;660;943;987;103.399;2.239;24.910;20;6.992;8.127;9.419;8;7;14;194;1.821;221;1;7.144;532.312
;00:Até 0,50;938;0;3;2;9;0;4;0;29;2.651;203;0;0;1;0;11;0;0;3;3.854;662;6;0;2;12;0;11;0;49;2.306;164;1;0;0;0;5;0;0;1;3.219;1.600;6;3;4;21;0;15;0;78;4.957;367;1;0;1;0;16;0;0;4;7.073
;01:0,51 a 1,00;11.456;37;40;65;139;133;334;0;444;1.456;1.287;1;0;5;18;73;0;0;59;15.547;11.860;63;15;13;142;133;296;0;428;1.314;875;3;0;1;6;78;0;0;108;15.335;23.316;100;55;78;281;266;630;0;872;2.770;2.162;4;0;6;24;151;0;0;167;30.882
;02:1,01 a 1,50;78.497;104;229;415;791;285;819;0;1.688;117;2.120;0;2;3;12;438;0;0;678;86.198;59.926;217;101;125;1.323;344;760;0;1.182;69;1.212;1;2;0;9;174;2;1;623;66.071;138.423;321;330;540;2.114;629;1.579;0;2.870;186;3.332;1;4;3;21;612;2;1;1.301;152.269
;03:1,51 a 2,00;50.102;36;130;174;6.641;90;1.535;4;938;10;920;0;0;2;8;389;1;0;1.055;62.035;24.747;53;59;24;10.852;106;5.200;0;817;4;524;1;0;0;8;199;0;0;467;43.061;74.849;89;189;198;17.493;196;6.735;4;1.755;14;1.444;1;0;2;16;588;1;0;1.522;105.096
;04:2,01 a 3,00;40.500;33;124;97;10.089;170;3.502;1;388;6;625;1;1;1;14;205;28;0;1.095;56.880;15.966;39;37;11;16.219;200;3.531;0;418;6;348;0;0;0;7;46;23;0;1.444;38.295;56.466;72;161;108;26.308;370;7.033;1;806;12;973;1;1;1;21;251;51;0;2.539;95.175
;05:3,01 a 4,00;13.916;8;60;23;3.796;68;1.060;0;92;2;175;0;0;0;4;56;37;0;80;19.377;6.803;19;16;4;5.534;90;1.200;0;57;3;117;0;0;0;5;16;54;0;107;14.025;20.719;27;76;27;9.330;158;2.260;0;149;5;292;0;0;0;9;72;91;0;187;33.402
;06:4,01 a 5,00;7.659;8;21;5;3.814;56;1.262;3;41;1;71;0;1;0;9;9;29;0;89;13.078;3.691;7;5;0;5.639;85;2.217;0;65;0;75;0;0;0;2;9;16;0;705;12.516;11.350;15;26;5;9.453;141;3.479;3;106;1;146;0;1;0;11;18;45;0;794;25.594
;07:5,01 a 7,00;7.045;2;16;7;7.067;76;560;11;32;0;89;0;0;0;9;10;5;0;37;14.966;3.261;5;12;1;6.714;101;876;0;52;1;68;0;0;0;4;5;13;0;184;11.297;10.306;7;28;8;13.781;177;1.436;11;84;1;157;0;0;0;13;15;18;0;221;26.263
;08:7,01 a 10,00;4.558;1;6;5;7.156;83;316;1;12;0;36;0;0;0;1;13;4;0;57;12.249;1.929;5;2;1;4.233;99;434;0;14;0;20;0;0;0;0;6;5;0;315;7.063;6.487;6;8;6;11.389;182;750;1;26;0;56;0;0;0;1;19;9;0;372;19.312
