;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;69.018;468;96;348;32.361;59;4.301;176;3;738;464;6;0;3;148;76;17;1;0;108.283;38.151;424;70;58;38.580;74;2.908;3;4;664;461;1;0;0;69;15;20;0;0;81.502;107.169;892;166;406;70.941;133;7.209;179;7;1.402;925;7;0;3;217;91;37;1;0;189.785
;00:Até 0,50;80;0;0;0;6;0;40;2;0;410;1;0;0;0;0;0;0;0;0;539;100;0;0;0;6;0;22;0;0;361;0;0;0;0;0;0;0;0;0;489;180;0;0;0;12;0;62;2;0;771;1;0;0;0;0;0;0;0;0;1.028
;01:0,51 a 1,00;860;47;2;32;69;0;281;14;0;288;2;1;0;0;70;1;0;0;0;1.667;1.221;55;1;14;76;0;166;0;0;275;17;0;0;0;29;0;0;0;0;1.854;2.081;102;3;46;145;0;447;14;0;563;19;1;0;0;99;1;0;0;0;3.521
;02:1,01 a 1,50;13.380;196;45;135;3.281;1;512;32;0;37;57;2;0;0;13;15;0;1;0;17.707;17.276;272;51;24;6.129;5;574;1;1;26;127;0;0;0;14;9;0;0;0;24.509;30.656;468;96;159;9.410;6;1.086;33;1;63;184;2;0;0;27;24;0;1;0;42.216
;03:1,51 a 2,00;15.100;114;26;96;4.488;6;548;42;1;0;51;0;0;2;14;28;0;0;0;20.516;7.846;54;6;9;6.151;18;488;0;2;2;38;0;0;0;8;3;0;0;0;14.625;22.946;168;32;105;10.639;24;1.036;42;3;2;89;0;0;2;22;31;0;0;0;35.141
;04:2,01 a 3,00;17.546;64;11;64;3.457;7;1.194;54;0;0;70;2;0;1;16;17;1;0;0;22.504;5.457;17;4;8;6.771;12;527;2;1;0;54;1;0;0;11;2;1;0;0;12.868;23.003;81;15;72;10.228;19;1.721;56;1;0;124;3;0;1;27;19;2;0;0;35.372
;05:3,01 a 4,00;8.433;21;8;14;6.841;8;447;15;0;0;115;0;0;0;6;10;3;0;0;15.921;2.550;12;6;3;9.788;9;250;0;0;0;68;0;0;0;1;1;5;0;0;12.693;10.983;33;14;17;16.629;17;697;15;0;0;183;0;0;0;7;11;8;0;0;28.614
;06:4,01 a 5,00;3.875;13;2;1;2.760;14;317;4;1;0;47;1;0;0;3;4;3;0;0;7.045;1.126;2;0;0;2.508;7;248;0;0;0;48;0;0;0;3;0;5;0;0;3.947;5.001;15;2;1;5.268;21;565;4;1;0;95;1;0;0;6;4;8;0;0;10.992
;07:5,01 a 7,00;3.827;7;0;1;4.192;13;341;11;1;0;69;0;0;0;8;0;8;0;0;8.478;1.000;8;2;0;3.031;16;257;0;0;0;55;0;0;0;1;0;6;0;0;4.376;4.827;15;2;1;7.223;29;598;11;1;0;124;0;0;0;9;0;14;0;0;12.854
;08:7,01 a 10,00;2.072;2;2;1;2.967;4;240;0;0;0;23;0;0;0;5;1;2;0;0;5.319;713;1;0;0;1.708;4;152;0;0;0;30;0;0;0;1;0;3;0;0;2.612;2.785;3;2;1;4.675;8;392;0;0;0;53;0;0;0;6;1;5;0;0;7.931
;09:10,01 a 15,00;1.354;0;0;0;1.874;3;238;0;0;0;22;0;0;0;1;0;0;0;0;3.492;304;1;0;0;1.269;3;143;0;0;0;21;0;0;0;0;0;0;0;0;1.741;1.658;1;0;0;3.143;6;381;0;0;0;43;0;0;0;1;0;0;0;0;5.233
;10:15,01 a 20,00;706;0;0;0;1.131;2;39;0;0;0;6;0;0;0;1;0;0;0;0;1.885;149;0;0;0;566;0;16;0;0;0;2;0;0;0;0;0;0;0;0;733;855;0;0;0;1.697;2;55;0;0;0;8;0;0;0;1;0;0;0;0;2.618
;11:Mais de 20,00;640;0;0;0;1.271;1;51;1;0;0;0;0;0;0;5;0;0;0;0;1.969;115;0;0;0;530;0;13;0;0;0;0;0;0;0;0;0;0;0;0;658;755;0;0;0;1.801;1;64;1;0;0;0;0;0;0;5;0;0;0;0;2.627
;{ñ class};1.145;4;0;4;24;0;53;1;0;3;1;0;0;0;6;0;0;0;0;1.241;294;2;0;0;47;0;52;0;0;0;1;0;0;0;1;0;0;0;0;397;1.439;6;0;4;71;0;105;1;0;3;2;0;0;0;7;0;0;0;0;1.638
120040:Rio Branco - AC;Total;37.034;824;30;222;12.157;158;3.641;0;51;328;232;2;1;29;3;87;13;0;766;55.578;23.884;235;11;14;14.651;88;5.411;0;21;297;162;0;0;1;3;71;12;0;1.130;45.991;60.918;1.059;41;236;26.808;246;9.052;0;72;625;394;2;1;30;6;158;25;0;1.896;101.569
