;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;75.856;422;26;416;30.142;1.048;4.880;191;4;515;249;11;0;2;162;76;37;0;0;114.037;36.190;393;6;79;35.851;318;3.424;3;9;465;478;1;0;0;103;21;24;0;0;77.365;112.046;815;32;495;65.993;1.366;8.304;194;13;980;727;12;0;2;265;97;61;0;0;191.402
;00:Até 0,50;48;1;0;1;9;0;83;13;0;318;0;0;0;0;0;1;0;0;0;474;70;0;0;0;18;0;94;0;0;266;1;0;0;0;0;0;0;0;0;449;118;1;0;1;27;0;177;13;0;584;1;0;0;0;0;1;0;0;0;923
;01:0,51 a 1,00;807;41;0;52;1.090;0;188;16;0;164;9;1;0;2;80;1;0;0;0;2.451;1.080;70;0;28;1.917;0;245;0;1;168;6;0;0;0;45;4;0;0;0;3.564;1.887;111;0;80;3.007;0;433;16;1;332;15;1;0;2;125;5;0;0;0;6.015
;02:1,01 a 1,50;12.618;154;1;179;2.336;0;536;24;0;25;19;5;0;0;17;6;0;0;0;15.920;15.455;239;1;32;4.923;2;385;1;1;29;77;1;0;0;25;13;0;0;0;21.184;28.073;393;2;211;7.259;2;921;25;1;54;96;6;0;0;42;19;0;0;0;37.104
;03:1,51 a 2,00;16.620;106;10;102;4.006;0;686;22;1;7;26;2;0;0;20;44;0;0;0;21.652;7.840;48;1;5;5.979;2;575;1;1;0;213;0;0;0;10;2;0;0;0;14.677;24.460;154;11;107;9.985;2;1.261;23;2;7;239;2;0;0;30;46;0;0;0;36.329
;04:2,01 a 3,00;19.611;76;10;71;3.289;0;1.103;51;0;1;38;1;0;0;16;13;3;0;0;24.283;5.363;20;3;10;5.486;5;649;1;1;0;84;0;0;0;7;2;0;0;0;11.631;24.974;96;13;81;8.775;5;1.752;52;1;1;122;1;0;0;23;15;3;0;0;35.914
;05:3,01 a 4,00;11.023;20;4;5;6.371;2;666;21;1;0;30;1;0;0;2;9;10;0;0;18.165;2.615;9;0;3;8.286;6;375;0;1;0;21;0;0;0;5;0;5;0;0;11.326;13.638;29;4;8;14.657;8;1.041;21;2;0;51;1;0;0;7;9;15;0;0;29.491
;06:4,01 a 5,00;4.209;10;1;1;2.279;7;336;12;1;0;36;1;0;0;8;2;12;0;0;6.915;1.226;0;1;0;2.016;13;274;0;1;1;11;0;0;0;3;0;12;0;0;3.558;5.435;10;2;1;4.295;20;610;12;2;1;47;1;0;0;11;2;24;0;0;10.473
;07:5,01 a 7,00;4.245;9;0;2;4.153;73;491;11;1;0;35;0;0;0;3;0;6;0;0;9.029;1.031;2;0;1;2.886;106;367;0;1;1;24;0;0;0;4;0;3;0;0;4.426;5.276;11;0;3;7.039;179;858;11;2;1;59;0;0;0;7;0;9;0;0;13.455
