;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;65.519;496;123;366;33.100;74;4.047;1;3;910;485;2;1;7;230;104;22;0;0;105.490;39.033;392;116;66;39.521;64;2.786;1;4;783;421;6;0;0;34;57;26;0;0;83.310;104.552;888;239;432;72.621;138;6.833;2;7;1.693;906;8;1;7;264;161;48;0;0;188.800
;00:Até 0,50;86;0;0;0;5;0;43;0;0;518;0;0;0;0;0;0;0;0;0;652;84;0;0;0;9;0;25;0;0;439;0;0;0;0;0;0;0;0;0;557;170;0;0;0;14;0;68;0;0;957;0;0;0;0;0;0;0;0;0;1.209
;01:0,51 a 1,00;844;51;5;40;51;0;102;0;0;348;2;0;0;1;19;2;0;0;0;1.465;1.141;40;7;23;75;0;117;0;1;303;13;0;0;0;7;1;0;0;0;1.728;1.985;91;12;63;126;0;219;0;1;651;15;0;0;1;26;3;0;0;0;3.193
;02:1,01 a 1,50;14.094;195;41;128;2.949;3;337;1;1;39;85;2;0;1;2;24;0;0;0;17.902;17.597;232;54;22;5.589;4;341;0;3;41;128;6;0;0;2;38;1;0;0;24.058;31.691;427;95;150;8.538;7;678;1;4;80;213;8;0;1;4;62;1;0;0;41.960
;03:1,51 a 2,00;15.173;116;31;111;2.627;3;479;0;1;2;54;0;1;4;68;36;3;0;0;18.709;8.331;60;15;14;5.503;13;397;0;0;0;35;0;0;0;10;6;1;0;0;14.385;23.504;176;46;125;8.130;16;876;0;1;2;89;0;1;4;78;42;4;0;0;33.094
;04:2,01 a 3,00;15.874;79;22;71;5.425;16;1.284;0;0;0;133;0;0;1;129;31;2;0;0;23.067;5.620;31;17;5;8.502;13;725;0;0;0;53;0;0;0;9;5;4;0;0;14.984;21.494;110;39;76;13.927;29;2.009;0;0;0;186;0;0;1;138;36;6;0;0;38.051
;05:3,01 a 4,00;6.848;26;13;8;6.255;8;540;0;0;0;93;0;0;0;0;7;6;0;0;13.804;2.253;11;16;2;9.415;9;274;0;0;0;34;0;0;0;2;3;6;0;0;12.025;9.101;37;29;10;15.670;17;814;0;0;0;127;0;0;0;2;10;12;0;0;25.829
;06:4,01 a 5,00;3.678;17;5;1;3.534;17;333;0;0;1;28;0;0;0;2;1;7;0;0;7.624;1.280;6;1;0;2.482;7;326;0;0;0;35;0;0;0;1;1;9;0;0;4.148;4.958;23;6;1;6.016;24;659;0;0;1;63;0;0;0;3;2;16;0;0;11.772
;07:5,01 a 7,00;3.573;5;5;1;4.328;9;321;0;0;0;31;0;0;0;3;3;3;0;0;8.282;1.067;5;4;0;3.445;9;214;0;0;0;61;0;0;0;0;1;4;0;0;4.810;4.640;10;9;1;7.773;18;535;0;0;0;92;0;0;0;3;4;7;0;0;13.092
