;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;31.602;387;34;337;23.396;11;2.659;179;0;132;413;18;0;3;132;11;0;1;0;59.315;18.735;241;6;29;30.683;13;2.239;1;1;124;515;6;2;0;44;3;0;0;0;52.642;50.337;628;40;366;54.079;24;4.898;180;1;256;928;24;2;3;176;14;0;1;0;111.957
;00:Até 0,50;32;0;0;1;15;0;4;10;0;24;2;0;0;0;1;0;0;0;0;89;38;0;0;0;10;1;4;0;0;24;4;0;0;0;0;0;0;0;0;81;70;0;0;1;25;1;8;10;0;48;6;0;0;0;1;0;0;0;0;170
;01:0,51 a 1,00;714;51;3;50;147;0;153;42;0;95;11;0;0;0;67;0;0;1;0;1.334;592;43;3;11;62;0;223;1;0;87;23;1;0;0;22;1;0;0;0;1.069;1.306;94;6;61;209;0;376;43;0;182;34;1;0;0;89;1;0;1;0;2.403
;02:1,01 a 1,50;10.787;227;9;129;2.349;2;250;46;0;13;130;17;0;2;10;5;0;0;0;13.976;8.782;168;0;16;5.330;1;340;0;1;11;175;4;0;0;11;0;0;0;0;14.839;19.569;395;9;145;7.679;3;590;46;1;24;305;21;0;2;21;5;0;0;0;28.815
;03:1,51 a 2,00;8.226;72;8;87;1.668;2;207;42;0;0;71;1;0;1;5;4;0;0;0;10.394;3.382;23;1;1;3.187;7;204;0;0;0;136;0;0;0;2;0;0;0;0;6.943;11.608;95;9;88;4.855;9;411;42;0;0;207;1;0;1;7;4;0;0;0;17.337
;04:2,01 a 3,00;4.881;29;7;52;2.471;0;692;25;0;0;63;0;0;0;11;2;0;0;0;8.233;2.672;6;2;1;4.167;0;460;0;0;0;102;0;1;0;0;1;0;0;0;7.412;7.553;35;9;53;6.638;0;1.152;25;0;0;165;0;1;0;11;3;0;0;0;15.645
;05:3,01 a 4,00;2.193;4;3;9;2.663;0;475;6;0;0;31;0;0;0;7;0;0;0;0;5.391;1.069;0;0;0;6.600;1;276;0;0;0;38;0;0;0;1;0;0;0;0;7.985;3.262;4;3;9;9.263;1;751;6;0;0;69;0;0;0;8;0;0;0;0;13.376
;06:4,01 a 5,00;1.226;0;2;3;2.815;1;179;5;0;0;13;0;0;0;7;0;0;0;0;4.251;745;1;0;0;4.552;0;153;0;0;0;7;0;0;0;1;0;0;0;0;5.459;1.971;1;2;3;7.367;1;332;5;0;0;20;0;0;0;8;0;0;0;0;9.710
;07:5,01 a 7,00;1.098;2;1;1;4.477;2;183;0;0;0;39;0;0;0;7;0;0;0;0;5.810;578;0;0;0;2.621;1;168;0;0;0;13;0;0;0;1;1;0;0;0;3.383;1.676;2;1;1;7.098;3;351;0;0;0;52;0;0;0;8;1;0;0;0;9.193
;08:7,01 a 10,00;881;0;1;1;2.700;2;199;1;0;0;34;0;0;0;4;0;0;0;0;3.823;401;0;0;0;1.976;1;209;0;0;0;9;0;1;0;2;0;0;0;0;2.599;1.282;0;1;1;4.676;3;408;1;0;0;43;0;1;0;6;0;0;0;0;6.422
;09:10,01 a 15,00;733;0;0;1;1.405;2;141;0;0;0;12;0;0;0;2;0;0;0;0;2.296;253;0;0;0;889;1;109;0;0;0;6;0;0;0;0;0;0;0;0;1.258;986;0;0;1;2.294;3;250;0;0;0;18;0;0;0;2;0;0;0;0;3.554
;10:15,01 a 20,00;303;0;0;0;1.038;0;104;0;0;0;2;0;0;0;1;0;0;0;0;1.448;83;0;0;0;481;0;62;0;0;0;2;0;0;0;0;0;0;0;0;628;386;0;0;0;1.519;0;166;0;0;0;4;0;0;0;1;0;0;0;0;2.076
;11:Mais de 20,00;293;0;0;0;1.632;0;70;0;0;0;1;0;0;0;9;0;0;0;0;2.005;56;0;0;0;790;0;29;0;0;0;0;0;0;0;3;0;0;0;0;878;349;0;0;0;2.422;0;99;0;0;0;1;0;0;0;12;0;0;0;0;2.883
;{ñ class};235;2;0;3;16;0;2;2;0;0;4;0;0;0;1;0;0;0;0;265;84;0;0;0;18;0;2;0;0;2;0;1;0;0;1;0;0;0;0;108;319;2;0;3;34;0;4;2;0;2;4;1;0;0;2;0;0;0;0;373
120040:Rio Branco - AC;Total;22.329;476;96;245;10.717;9;2.878;1;10;94;286;41;0;3;25;12;0;0;311;37.533;12.274;128;22;19;15.276;5;4.142;0;1;80;192;5;0;0;5;9;0;0;100;32.258;34.603;604;118;264;25.993;14;7.020;1;11;174;478;46;0;3;30;21;0;0;411;69.791
;00:Até 0,50;19;0;0;0;1;0;6;0;0;44;2;0;0;0;0;0;0;0;0;72;10;0;0;0;0;0;6;0;0;40;2;0;0;0;0;0;0;0;0;58;29;0;0;0;1;0;12;0;0;84;4;0;0;0;0;0;0;0;0;130
;01:0,51 a 1,00;576;137;14;62;5;0;13;0;9;45;11;20;0;1;1;0;0;0;0;894;431;27;3;11;1;1;20;0;0;38;6;2;0;0;0;1;0;0;2;543;1.007;164;17;73;6;1;33;0;9;83;17;22;0;1;1;1;0;0;2;1.437
;02:1,01 a 1,50;10.001;213;43;96;175;2;475;0;1;2;179;16;0;1;0;7;0;0;40;11.251;6.522;83;18;4;781;0;445;0;1;2;138;3;0;0;1;4;0;0;37;8.039;16.523;296;61;100;956;2;920;0;2;4;317;19;0;1;1;11;0;0;77;19.290
;03:1,51 a 2,00;4.511;71;19;57;768;0;511;0;0;0;47;1;0;1;0;2;0;0;198;6.186;1.573;8;0;2;1.780;0;1.058;0;0;0;9;0;0;0;0;1;0;0;5;4.436;6.084;79;19;59;2.548;0;1.569;0;0;0;56;1;0;1;0;3;0;0;203;10.622
;04:2,01 a 3,00;3.030;44;7;19;1.622;1;714;1;0;0;30;4;0;0;0;2;0;0;21;5.495;1.241;7;1;0;3.849;1;957;0;0;0;16;0;0;0;0;2;0;0;8;6.082;4.271;51;8;19;5.471;2;1.671;1;0;0;46;4;0;0;0;4;0;0;29;11.577
;05:3,01 a 4,00;1.569;10;6;6;1.215;0;291;0;0;0;3;0;0;0;2;0;0;0;32;3.134;746;3;0;2;2.119;0;540;0;0;0;7;0;0;0;0;1;0;0;32;3.450;2.315;13;6;8;3.334;0;831;0;0;0;10;0;0;0;2;1;0;0;64;6.584
;06:4,01 a 5,00;605;0;1;0;2.238;0;212;0;0;0;6;0;0;0;3;0;0;0;3;3.068;515;0;0;0;1.950;0;266;0;0;0;6;0;0;0;0;0;0;0;3;2.740;1.120;0;1;0;4.188;0;478;0;0;0;12;0;0;0;3;0;0;0;6;5.808
;07:5,01 a 7,00;699;0;2;1;1.986;4;261;0;0;0;4;0;0;0;4;0;0;0;3;2.964;621;0;0;0;2.238;3;365;0;0;0;6;0;0;0;2;0;0;0;5;3.240;1.320;0;2;1;4.224;7;626;0;0;0;10;0;0;0;6;0;0;0;8;6.204
;08:7,01 a 10,00;451;1;2;1;982;1;156;0;0;0;2;0;0;0;2;1;0;0;10;1.609;313;0;0;0;1.129;0;232;0;0;0;0;0;0;0;0;0;0;0;7;1.681;764;1;2;1;2.111;1;388;0;0;0;2;0;0;0;2;1;0;0;17;3.290
;09:10,01 a 15,00;372;0;1;0;671;0;98;0;0;0;0;0;0;0;6;0;0;0;4;1.152;172;0;0;0;901;0;175;0;0;0;0;0;0;0;0;0;0;0;1;1.249;544;0;1;0;1.572;0;273;0;0;0;0;0;0;0;6;0;0;0;5;2.401
;10:15,01 a 20,00;140;0;0;0;395;0;31;0;0;0;0;0;0;0;0;0;0;0;0;566;43;0;0;0;221;0;39;0;0;0;0;0;0;0;0;0;0;0;0;303;183;0;0;0;616;0;70;0;0;0;0;0;0;0;0;0;0;0;0;869
;11:Mais de 20,00;109;0;0;0;659;1;90;0;0;0;0;0;0;0;5;0;0;0;0;864;18;0;0;0;307;0;37;0;0;0;1;0;0;0;2;0;0;0;0;365;127;0;0;0;966;1;127;0;0;0;1;0;0;0;7;0;0;0;0;1.229
;{ñ class};247;0;1;3;0;0;20;0;0;3;2;0;0;0;2;0;0;0;0;278;69;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;72;316;0;1;3;0;0;22;0;0;3;3;0;0;0;2;0;0;0;0;350
